L	rómv. taltekn fyri 50
leggja	1fáa at liggja, seta í vatnrætta legu,legg bókina á borðið;tey kunnu leggja fólk(hava nóg mikið av seingjarplássi til gestir);(talv)leggja kongingeva upp2(um skip)taka úr sigling,Tjaldrið verður lagt fyribils3(um skip)leggja stiltel.fyri rák til at fiska(við snøriel.snellu)4(um dýr)føða livandi ungar,kettur, hundar, kóparo.tíl.leggja5(um óløgi)bróta (2),tað legði yvir skerið6(kvæð.)stinga, renna 3(8),stong at skjóta, spjót at leggja;Helga, tak tær hann at grøða, lagdur er hann við spjóti7gera (snarael.snúgva) viðt.d.snørisgøgnum,leggja reip, snøri, tog;leggja teymar,síteymur8klæða, prýða,komu at húsi tí, ið lagt varð við gullinum reyða9lata øðrum sum viðurlag,teir løgdu triðingin í nótarpart10halda avstað, leypa (ímóti)(uttan at himprast),hann legði á ánna;vit løgdu á dyrnar;hann legði eftir okkum;leggja út í hav;teir løgdu avstaðí osb.(skaldsk.)leggja (allar) árar í sjógv,síár 1;leggja bát á (e-n)vinna í kappróðri innanborða, keikja;leggja ást við,síást;leggja bardagarhalda orrustu, stríðast,leggja sínar bardagar (el.sínum bardøgum);leggja beinini,síbein;leggja til brots,síbrot;leggja felag,sífelag;leggja ferð sínafara;leggja hondina á plaggtøva,tú mátti lagt hondina á hesa troyggjuna;leggja hug á,síhugur;hann legði inn úr havinum við mjørka og sirmi(kom við mjørka og sirmi);leggja e-n kaldansláa e-n kaldan;leggja kava;hann leggur kavatað kavar (illa);hann hevði lagt stóran kava av landnyrðingi;leggja kjaft á,síkjaftur;leggja lag í,sílag (6);leggja (e-m) lag á,sílag (4);leggja leiðina suðureftir;leggja lið á,sílið 3(1);leggja mið,símið 1(1);leggja nátt á seg,sínátt;leggja ein rakstur,sírakstur;leggja ráðráðleggja;leggja e-m ráðgeva e-m ráð;leggja seglið,sísegl;leggja spor við,síspor;leggja stilt(um skip)steðga;leggja stórongulsmíða bugin á stórongli;leggja tunguna ásmakka á (t.d.fløsku);leggja í vaðið,sívað 3viðfs/hjleggja afturel.afturíafturleggja hitt omanavskorna flagið aftur í torvgrøv, byrgja aftur;leggja afturáaftur1rógvael.sigla afturáaftur(t.e. rógvael.sigla aftur á mið sum báturin er rikin av),vit vóru við snøri og høvdu havt ein góðan rakstur, vit løgdu so afturáaftur2byrja aftur at etael.seta seg at eta eitt sindur afturat;leggja afturat1skoyta uppí, taka afturíaftur2(sj.)siga meira enn satt er, lúgva, skrøgga3leggja saman við,royna at fáa Klettagarð lagdan aftur at Dalsgarði4leggja (meira) brenni aftur at eldi,leggja afturatel.aftur at eldinum;leggja afturá1sovna2doyggja, andast,nú hevur hann lagt afturá3leggja afturum,menningarskeiðið í Evropa hesi seinastu 400 árini hava føroyingar lagt afturá eftir 80 árum;leggja afturum1fáa aftur um seg, fara framum,tað er skjótt, at Lundaurðarnar eru lagdar afturum, og so eru vit í Villingadali;vit løgdu bátinel.skipið afturum(í kappróðriel.-sigling)2yvirhála (1),hann legði nógvar bilar aftur um seg;leggja afturyvir:leggja aftur yvir e-tleggja útyvirel.aftur í hol, opo.tíl.;leggja at1(um skip)koma at landi, bryggjuo.tíl.,leggja at (landi)2veita atsókn, leggja á,leggja at e-m3(um seyðahund)koma ov nær seyðinum í rakstri(so at hvøkkur kemur í hann),á Stígum legði Falkur at4sneiða sátu,ger meir út á brotið, tú mást ikki leggja at enn5(sj.)(um illveður)bresta á,tá ið hann legði at á Mykinesi, bað pápin okkum draga;nú legði attað fór at regna eftir at hann hevði staðið og hótt, hann loysti avfallið;leggja at sær1arbeiða hart, ikki spara seg,leggja nógv at sær til arbeiðis;leggja ilt at særleggja nógv fyri seg2eta grammliga, skræða í seg;leggja av1gevast, halda uppat við,hann hevur lagt av at roykja;tað er langt síðan avlagt;leggja av særseta byrði frá sær(fyri at hvíla seg)2(um bróstabarn)venja frá brósti,tá ið barnið verður lagt av3leggja til síðis í handli(til at keypa seinni),leggja avel.burturav;leggja á1leypa á, søkja at, herja á, leggja til brots,handa ærin er so hervilig at leggja á;teir løgdu á fjørðin;teir løgdu á ein streymtanga2lamma til3áseta, gera av, biðja um, krevja(t.d. ávísan prís fyri e-t),hvat leggur tú á?;tú fært tað, tú leggur á4byrja(t.d. at draga línu),vit løgdu á kl. 4 í morgun5festa línu í kongar í bjørgunum,teir fóru at leggja á Búgvan6í osb.leggja á hoyggjleggja bendlar á des(at hoyggið ikki skal fúka),leggja (e-n) á læriðfleingja;leggja á lán,sílán;leggja á ránnabinda dragið fast í ránna;so varð lagt á rossini og tøðini reidd út á bøin;leggja á seingina,sísong;leggja stokkar á(bát);leggja burtur1halda uppat, leggja av,siðurin varð burturlagdur2(búsk.)leggja (pening) í tiltaksgrunn;sbr.burturlegging;leggja burturúr1gloymael.leypa um, ikki taka við, sleppa (e-m)(t.d. kvæðaørindi),børnini kvóðu og royndu ikki at leggja burturúr2(um seyð)fara úr fylginum,okkurt veðurlamb legði burturúr;leggja eftir1gloyma(at taka við sær),leggja eftir seggeva yngri ættarliðum;ikki høvdu hjúnini lagt nakað eftir seg;leggja eftir særlata liggja eftir2hvør legði annan eftirallir vildu vera fyrstir;(flutt m.)allir vóru eins góðir (dugnaligir)3leggja fingrarnarel.hondina eftir segstjala, vera tjóvskur4leggja eftir (e-m)leypa á, herja á,hví leggur tú eftir mær?;leggja fram1hava framløgu(t.d. leggja mál fyri tingið)2greiða frá e-m ávísum evni;leggja framatleggja grammliga í vaðið, fara eftir e-m,hann legði framat, sum hevði hann ikki sæð mat leingi;leggja frá(um skip, bát)fara frá landi,leggja frá (landi);leggja frá sær1gevast(t.d. at eta, arbeiða)2fara úr starvi3(um skip, bát)sigla so skjótt at tað brýtur frá bógnum,óført, sum hann leggur frá sær(siglir skjótt)4(um bindingarkonu)binda skjótt,ófør bindingarkona, ið kundi leggja hálvanannan bul frá sær væl áðrenn hinar;leggja fyri1borðreiða, seta á borðið fyri,tey leggja ikki heilt breyð fyri fólk2geva (kríatúrum) at eta,leggja fyri kúnna3leggja nógv fyri (seg)átaka sær hart og vandafult arbeiði, stríðast og strevast;leggja nógv/lítið fyri e-nkrevja nógv/lítið arbeiði av e-m;hin gamli legði lítið fyri sonin4royna at steðga (e-m) við at forða,leggja fyri mann, seyðo.tíl.5byrja,hvør leggur fyri?6leggja e-n fyri e-tleggja e-n undir e-t, geva e-m skyldina (fyri e-t);leggja e-n fyri stuldur7fara um,bæði Villingadal og Ritudal løgdu teir fyri8leggja gott/ilt fyri e-nbera e-m alt gott/baktala e-n9(í fygling)halda fyglingarstongina fyri har ið fuglurin situr,hann tók stongina og legði fyri nakrar ferðir10leggja fyri íla,sííli;leggja inn1taka árarnar inn í bátin,(flutt m.)doyggja,hann hevur lagt innhansara fjørður er rógvin2leggja inn í bátleggja reiðskap, árar, skríno.tíl.inn í bátin,teir ivaðust at fara til útróðrar, men fóru so oman og løgdu inn3velta og girða inni ódyrkað lendi til traðirel.gerði,leggja inn haga;leggja traðir inn4leggja til húsið(t.e. útvega matel.pening til húsið);sbr.innløga5(um skip)fara í havn á leiðini(áðrenn hildið verður fram),á veg niður leggur skipið inn í Lerwick6(um brot)bróta inn yvir bát,so nógv legði inn, at teir kendu tann stríða streym í knæsbøturnar7leggja (mál) fram,hann legði málið inn á grannastevnu8leggja ravmagn, vatno.tíl.inn í hús9(teld.)skriva (dátur) inn í teldu10(kortsp.)taka stikk inn11leggja sjúkling inn á sjúkrahús;leggja innavflyta seg burtur úr streymi og nærri landi,(flutt m.)hann hevur lagt innav(orkar, tímir ikki longur),síinnav;leggja inn undir seg1kradda inn undir seg2savna sær niðurfyri, keypa inn undir seg;leggja í1(kortsp.)spæla út blað ið telur2leggja lag í, brýggja seg um e-t,hon leggur einki í hann;hann legði einki í at skunda sær;eg leggi líka í alt hetta;líka leggi eg ígott tað sama;legg ikki í!ómaka teg ikki við tí!;ikki skuldi tú lagt í!(sagt við e-n ið átti at havt gjørt e-t men ikki fekk gjørt tað)3kýta seg,leggja í at rógva;leggja alla orku í4leggja sær e-t í høvdiðgerast frá sær sjálvum av e-m,hon var so illa hýrd um hetta, at hon legði sær tað í høvdið;leggja sær í minnigoyma í minninum, hava í huga5leggja í bát(um nýggjan bát)hava góðan mat og brennivín við fyrstu ferð á útróðri;maðurin, ið bátin átti, legði í bátin: eitt gott krov, nógvan drýl og ein tíggjupottakagga6leggja í leypgera alt til reiðar at fara undir eitt arbeiði(Sv);leggja ímillumjavna (t.d.við peningi) munin í virði millum tveir partarel.lutirt.d.í býti,nógv var(ð) lagt ímillum;leggja ímóti1(í seyðabýti)meta (tveir seyðir) javngóðar,eitt í senn varð lagt ímóti hvørjum øðrum í hvønn partin2muta ímóti,hugurin at leggja ímóti, vit kunnu næstan siga træta;leggja niður1sláa nógv gras í einum,hann legði allan bøin niður2kava illa,hann legði nógvan kava niður;tað (hann) legði niður av møkum3(um kjóla, buksuro.tíl.)leggja faldin niður(so at plaggið verður síðari)4leggja niður sjógvfáa sjógv at slætna við gandi5mana niður í jørðina,hann legði spøkilsið niður6leggja burturúr, taka burtur, leggja til viks,teir løgdu ikki sjódag niður fyri velting;leggja eitt mál niður(fáa tað avgreitt seinni);leggja talv niðursteðga talvi fyri fyrst;tað var ikki niðurlagtel.niðurafturlagt(havt á munni í heilum)7(sj.)fara framum og ganga undan, leggja afturum í gongu,nú legði tú hana niður8leggja niður til breyðblanda súrdeiggj, vatn og mjøl(og lata standa um náttina);leggja niður í:leggja niðuríleggja klæði, viðførio.tíl.niður í kuffert, taskuo.tíl.;nú er niðurílagt;leggja gott niður í e-nlæra e-n tað ið rætt er;leggja niður í seg(um fisk)gloypa onglinum, kíka;leggja niðurfyrileggja í goymslu(at hava at taka til seinni);leggja niðurvið:tað er einki at leggja niðurviðtað er ikki ov nógv avgjørt, tað er ikki skrøgg;leggja saman1lata aftur, loka,hann legði bókina saman;leggja eyguni samandoyggja, andast;leggja saman hendurkneppa hendurnar saman(við fingrunum hvør millum annan t.d. í bøn)2gera til eitt, kasta saman,leggja tvey feløg saman3(støddfr.)vaksa um tal við øðrum taliel.tølum4leggja saman jørðsavna jarðarstykki saman til eina heild(við óðalsbýti el. keypi)5(um breiddan fisk)savna saman í stakk(t.d.undan regni),øll skunda sær at leggja saman, so ikki vátt skal koma í fiskin6alt samanlagtsamanumtikið;leggja sundurbýta sundur,leggja sundur bø, seyð, fisk, mógvo.s.fr.;bygdin varð løgd sundur í triðingar;leggja til1sláa,hann legði til hansara2leggja kroppin tilleggja alla megi í e-t tungt arbeiði;tað var at tveita jarnbrotini og leggja kroppin til3vága, leggja nógv fyri,nógv varð tillagt við árabátunum4gera (e-m) boð, boða,Loftabóndin legði honum til at koma norður í Skor til fugla5gera fjallboð6(sjóm.)leggja skip upp ímóti vindinum í illveðri7fáa mat til húsið, leggja inn,leggja til húsið8leggja e-m e-t tilgeva e-m skyldina (fyri e-t);steinurin var brotnaður, og tað varð lagt manninum til at hava volt;leggja um1skifta veiðihátt,skipini hava lagt um til lodnu2leggja lán umbroyta lánstreytirnar(t.d.gera afturgjaldingina lættari)3leggja um træ,sítræ;leggja undan1rýma burturúr, fara undan,neyt kundu leggja undan(fóru burturúr og aftur um tann sum rak);ofta løgdu ross undan í fyrstuni og brutu av sær;tá legði Ketilskona undan(fór fram um hinar);kongur visti ikki, um hann skuldi andøva ella leggja undan(flýggja)2taka týggini av rossi(tá ið liðugt er at arbeiða);leggja undir1lata undir,leggja (ross) undirleggja týggj á ross fyrstu ferð;(flutt m.)lata gerat.d.tungt arbeiði;Janus var tíðliga undirlagdur, hann var bert 15 ára gamal, tá pápin doyði2(mjólk.)lata undirløgu í mjólk,lagt varð undir til fleytir3leggja undir segtaka í sítt vald,leggið jørðina undir tykkum4leggja e-t undir e-nsiga e-m e-t ið hann ikki skal siga øðrum,tað legst ikki undir bátsmanning5leggja e-n undir e-tgeva e-m skyldina fyri e-t6leggja e-m e-t undirlova e-m e-t sum samsýning afturfyri at gera e-t(Sv);leggja upp1landa, avreiða,skipið legði allan fiskin upp í Føroyum;leggja (fisk) upp á landveiða,nógvur fiskur varð lagdur upp á land2stytta (plagg)3skola upp á land,nógvur tari leggur upp her;landnyrðingur leggur nógvan reka upp4leggja upp ráðgera ætlan um e-t (t.d.lokabrøgdo.tíl.)5leggja upp seyðbondvirka seyðbond(RJ Greivab.13; 77)6leggja upp á vevel.leggja uppálata vev upp, lata upp á vevin;leggja uppáleggja snørið upp á tollin tá ið drigið verður,vit løgdu ikki uppá(fingu ongan fisk);leggja uppfyriætla útyvir, hava eitt sindur meir enn neyðugt;leggja upp fyri streyminsigla heldur langt ímóti ráki áðrenn lagt verður á fjørðin, sundiðo.tíl.;leggja upp fyri óvæntaðum útreiðslum;leggja uppi:leggja mann uppiikki gera bátsmanni boð;(í kortspæli)vola,leggja mótpartin uppi;leggja uppíkoma sær upp í e-t,onglendingar løgdu upp í kríggið;eg leggi ikki upp í nakað, ið tit havast at;leggja upp í orðaskifti;leggja uppímóti(um skip, bát í illveðri)leggja upp ímóti vindinum, leggja til;leggja uppundirleggja afturat, skrøgga,hann man hava gjørt søguna ella í hvussu er lagt uppundir;leggja upp undir (tuflur)negla (við trænaglum) nýtt træ upp undir tuflur í staðin fyri tað slitna;leggja uppúrtaka kókaðan átumat upp úr potti;sbr.oysa uppúr;leggja út1leggja út (árar)fara at rógva2gera breiðariel.víðari,leggja bát út;legg hann væl útger bátin væl breiðan3greiða frá, týða 1(4),nógv hevði hon lisið, og væl dugdi hon at leggja tað út;leggið mær út dreymar mínar;leggja ov mikið út á bertvera ov bersøgin um ósømilig evni4leggja stong útreiggja fleygastong tá ið fleygað verður, fleyga;stong verður ikki løgd út, so leingi sum hesin fiskiskapur stendur við(farið verður ikki at fleyga);hann var dottin oman á niðurferð, hevði ikki lagt stongina út5gjalda fyribils,kanst tú leggja út fyri meg?6(um plagg)gera størri, víðka,leggja buksur út;leggja útfrásigla út frá landi;leggja útífara at rætta tong,legg útí(avbjóðing til at rætta tong);leggja við1leggja javnt viðjavnmeta,vit skulum ikki Ásbjørn prúða javnt við køttin leggja2krevja, biðja um, leggja á,allir skuldu fara, legði kongurin við;leggja treytir við e-m;skuldi ein selja kálv, varð tað viðlagt, at hann mátti ikki smakka hoyggj;leggja e-m eina viðminna (staðiliga) á;børnunum varð lagt eina við ikki at taka meira enn eitt køkupetti;leggja sær eina viðgera sær stóran ómak, leggja doyðin á3røkta, lekja sár, grøða skaða,leggja við e-n(Sv)4leggja e-m dýrt viðsvørja dýrt, geva álvarsliga áminning,prestur leggur dýrt við, at so leingi hann er prestur, skal ikki vera kortspæl aftur undir Skarði5leggja e-m ríkan viðseta (e-m) harðar treytir, banna strangliga;hann legði teimum ríkan við ikki at siga tað6(kvæð.)seta í veð,lív mítt leggi eg við7(kvæð.)løgdu sær so ráðini við(løgdu saman ráð)leggja seg1fara til songar, leggjast2detta flatur,leguakur er akur, ið hevur lagt seg;skipið legði seg á liðina3(byrja at) svimja,hann torir ikki at leggja seg4leggja seg afturel.afturá afturleggja seg aftur at sova, ikki fara upp (um morgunin);leggja seg eftirleggja alla orku í (e-t),teir løgdu seg eftir at flyta feskan fisk út;leggja seg framábenda høvdið framyvirt.d.í bøn;leggja seg heima(um fiskimann)vera heima meðan skipini eru til fiskiskap;leggja seg upp í e-tleggja seg út í e-t;leggja seg uppigevast at vera sjómaður;leggja seg út í e-tkoma sær upp í e-t;hann legði seg við høgætt(legðist við høgætt);leggja sær:leggja sær av løttumtaka sær av løttum;leggja sær nærgera sær ómak, vera íðin, ágrýtin;leggja sær á láni,sílán;leggjast1søkka (á botn), botnseta,gruggið legst á botnin2fara til songar, leggja seg3gerast sjúkur,leggjast sjúkur4(um seyð)gerast hagfastur, fáa sær fast tilhald,at leggja í lamgelding varð brúkt, tá teir vildu fáa inniføtt lamb, ið ikki hoyrdi til hagan, at leggjast;músin er løgst í bjørgini5(um kava)koma niður í stórum(og vera liggjandi),tá kavi legst6(veðurfr.)koma við ávísum veðri(ið verður liggjandi),hann legst við náttarfrosti, vesturætt, stilli, kavaveðrio.tíl.7(t.d. um bøgu)leggja seg at bøla (eggjum),ein merkisdagur var, tá ið bøgan legðist;leggjast áleggja á, leypa á, herja á,leggjast á e-n (at deila);leggjast á e-tikki bera aftur tað ein hevur fingið um hendur;leggjast á boðiniikki bera øðrum givin boð,síboð;leggjast á grøsini,sígras;tað legst á silvurel.messing(verður óblankt);leggjast afturá1(sj.)dragna afturúr2leggja seg at sova;leggjast frá1(um hjún)tey eru fráløgst(hava ikki longur kynsligt samband)2(á fleyg)gevast at flúgva,fuglurin legðist frá, tá sólin skeyt út3(um lamb)gevast at súgva,veðurlombini leggjast fyrr frá enn gimburlombini;leggjast fyri1lúgvast, ikki orka meira2(um knív og líggja)óhvessast3lætt legðist fyri hannhann fekk ein skjótan og lættan deyða;leggjast inn:leggjast inn á fólk(um fólk sum ein ikki sleppur av aftur við);leggjast inniikki longur koma út millum fólk;leggjast niður1kava illa, leggja nógv niður,har legst nógvur kavi niður2(um konu sum er við barn)skula eiga,hon gongur enn, men nú er ikki langt eftir, til hon legst niður;leggjast til(um veiðuo.tíl.)lutast e-m, leggjast til húsið,nú fór at leggjast til hjá honum;Malan var væl hýrd, tá ið nakað legðist til húsið;leggjast undansnarast,árin legðist undanblaðið snaraðist;leggjast upp(um tara)koma upp á land, leggja upp (3),nógvur tari legðist upp;leggjast uppileggja seg uppi,uppilagstur sjómaður;leggjast út1fáa sær tilhald burtur frá húsum,ein ketta var løgst út frá honum(rýmd og vorðin vill)2ikki koma á gátt longur(um e-n ið hevur verið fastur gestur í einum húsi),hann er útlagstur3minka(t.d. um fisk á miði);(flutt m.)tá ið so fáir eru í stovuni, legst prátið út(einki eftir at tosa um);lagstur:fjallakavi var lagstur(niðurkomin);(um fugl)sum hevur lagt seg at bøla (eggjum),lundin er væl/illa lagstur(væl/illa vorpið)
leggjalangur	við longum leggjum, langleggjaður,lambið var so leggjalangt
leggjarband	band at halda sokki uppi hjá konufólki;sbr.hosuband
leggjarbein	(lívfr.)bein í leggi(sum mergur er í),skelbein (2)
leggjastinnur	við stinnum leggjum
leggkýli	(plfr.)sera stuttur uppbólgnaður jarðleggur
legglangur	1langleggjaður2(plfr.)við longum leggi, langleggjaður,legglangar blómur
leggleysur	(plfr.)við ongum leggi,leggleys bløð
leggliður	(plfr.)staður á leggi har sum blað (bløð) er(u) fest
legglutur	(plfr.)stykki á leggi millum tveir liðir
leggstaður	(óregl.)->legstaður
leggstreingjagróplanta	kv1(plfr.)leggstreingjagróplanturhøvuðsbólkur av plantum (við leggstreingjum og sum nørist við grókornum)(Pteridophyta),trøllakampar, javnar og kannubjøllur eru leggstreingjagróplantur
leggstrongur	k34(plfr.)leggstreingirlangir streingir uttan um mergin(úr rótini út í blaðæðrarnar)
leggstuttur	(plfr.)við stuttum leggi
leggsýra	(plfr.)planta av sýruætt, sýra 1(1), sýruleggur (2)(Rumex acetosa)
leggur	1beinpípa í beini og armi,(tilt.)bróta leggintaka fyrsta stigið (til e-t),tað er ikki lætt at vera hann, ið má bróta leggin;tú ert altíð klárur at bróta leggin(taka eina avgerð);tú brýtur ikki legg!hatta gert tú ikki, hatta mást tú ikki gera2beinið millum knæ og økul, fótleggur3(plfr.)framhaldsvøkstur (yvir jørð) av meginrót á plantu;sbr.stelkur 1(1)4(á ár)parturin millum kálva og lumm, árarleggur,árin hevur lumm, legg, kálva og blað5(á bori, navara)parturin millum skaft og snúning6beini parturin á ongliel.sóknarongli(niður móti buginum el. krókinum),ongulin varð rørdur eftir øllum legginum heilt niður móti buginum7skaftt.d.á skutli, haka, kleppi, stavio.tíl.,kópaklepparnir høvdu langan legg8niðari partur á fuglsfjøður(niðan fyri skeggið (3)),fjaðurleggur9pípuleggur10bismarastong;sms. t.d.alboga-,arm-,blómu-,fjaður-,fót-,jarð-,kall-,kvenn-,lang-,loft-,lorku-,lær-,smokku-,sperru-,staraleggir,sýru-,tjó-
legión	(søg.)(rómverskt) herlið(um 4000-6000 mans),(bíbl.)tólv legiónir av einglum
legmeis	1ódugnaligt, dovið konufólk,kom upp við tær, ligg ikki sum ein legmeis í seingini allan dagin;situr sum ein legmeis(um eitt ið einki tímir at gera)2(stb.)genta við ógreiddum, frísutum hári,far og greið tær, tú sært út sum ein legmeis3(stb.)kúgv ið ofta liggur
legn	slóð, farvegur, legstaður(har e-t hevur ligið),her hava neytini ligið, tí legnin er eftir tey;har hevur hundurin ligið, hygg, legnin eftir hann í kavanum;tá ið ein tekur fótlista burtur, sæst legnin eftir
legna	s30í osb.legna segel.legnast1laga seg (eftir),klæðini legna seg eftir kroppinum;legna seg eftir broyttum viðurskiftum2koma (ganga, bera) í lag, koma í rættlag, javna seg, laga 2(4),tað man fara at legna seg
legsa	traðka niður,legsa grasið, bøin niður;grasið er legsað niður
legsmansbyrði	sera tung byrði, bakbyrða (2),tað vóru deyðatøk at vinna brekkuna niðan undir legsmansbyrði
legstað	legstaður
legstaður	1sporel.merki eftir e-m ið hevur ligið (leingi), legn,her hevur seyður ligið á bóli, eg síggi legstaðin eftir honum;legstaðurin sást eftir, har sum steinurin hevði ligið;legstaður eftir húsagrund2leiði 2
legsteinur	fornur gravsteinur
legstøði	(sj.)legstaður,legstøðini síggjast eftir klúkunum, tá ið tey venda teimum
legsutur	niðurlegsaður(av fótatraðki),grasið er legsut
leguakur	akur ið hevur lagt seg(t.d.fyri vindi),síleggja seg;sbr.legukorn
legubál	bál kynt íel.við legu (4)(at hugna sær við),skótarnir sótu rundan um eitt legubál
legubonkur	divan
leguból	ból (1) á gólvi(har ið fólk kann liggja)
legubundi	bundi av legukorni
legudagur	k42:legudagardagar tá ið fiskiflotin liggur (í havn)(og ikki hevur loyvi at fiska, friðingartiltak)
legudýr	1yvirvaksin kalvi, legukalvi;sbr.miðadýr2(flutt m.)dovið fólk sum bara liggur(og einki ger til nyttu)
legufiskur	(Suð.)yvirvaksin fiskur, miðadýr
legufuglur	k6(sj.)í osb. sumgóður legufuglurgóð leguhøna, høna ið liggur væl á og vermir væl;høna, ið vermir væl, er góður legufuglur
legugras	1gras ið hevur lagt seg2(plfr.)slekt í grasætt, loðgras(Holcus),ullhært legugrasfrægras(H. lanatus),knæloðið legugras(H. mollis)
legugrýti	(jarðfr.)sundursyndraðir, samantrunkaðir, botnsettir vind-el.ísbornir smálutir ið harðna til grót(sediment)
leguhálmur	hálmur av legukorni
leguhús	hús har ið fólk fara á legu (4),leguhúsið í Nesvík
leguhøna	høna sum løgd er at klekja, liggingarhøna, leggingarhøna
legukalvi	sera stórur kalvi(hildin at liggja í sama stað),legudýr (1);sbr.búkalvi
legukorn	korn sum hevur lagt seg(hevur fingið ov nógva tøðu og ov stóran ávøkstur)
legukølva	legukalvi
legurvald	leguvald
legusár	(lækn.)sár av seingjarlegu
legusekkur	bjølgur sum neyt fáa av bert at liggja á aðrari liðini(vombin verður meira úti í síðuni sum upp vendir),vambarsekkur,tá ið kúgv bara lá á aðrari síðuni, fekk hon legusekk - vombin skeytst "út í annað borðið"
leguskáli	(lækn.)(á (bróst)sjúkrahúsio.tíl.)opið rúm við taki har ið sjúklingar kunnu liggja í frískari luft
legustólur	stólur(trægrind við toyi spentum um)við longum baki at leggja niður til at liggja í, liggistólur
legusveipur	(í akriel.grasi)strá ið leggjast niður,er eingin legusveipur at síggja á ólavsøku, so er ikki nógv gras;sbr.legugras
leguvald	h3eí osb. sumvera komin í leguvald1liggja í seingini og ikki fáast upp aftur2einki fáa á skaftið, bara liggja inni,hann er komin í leguvald3hava ampa av e-m,eg eri komin í leguvald av øllum seingjarklæðunum (sum eru skitin og tørva at verða vaskað)
