H	rómv. taltekn fyri 200
harrafólk	1tjóð ið metir seg vera hægri enn aðrar(um týskarar í nasistatíðini)2(stb.,talv)alt talvfólk uttan finnurnar
harrakort	harrablað
harraleysur	við ongum harra (1), við ongum yvir sær,Tinganes man hava ligið til eitt høvdingasæti, tí harraleyst var tað neyvan;á gøtunum ganga harraleys kríatúr og mala
harramaður	góðseigari, stórbóndi,(tilt.)okkurt býr undir harramans heilsan
harranasar	kv fltí osb.ganga upp í harranasarvilja koma sær fram at teimum fínuel.stóru, lifra
harrasetur	(gl.)bústaður hjá harramanni, riddaraborg
harraveldi	yvirvald, ræði,koma undir útlendskt harraveldi
harri	1ein ið ræður, valdsharri,vera sín egin harriráða sær sjálvum;aldurin er hvøns mans harri2(søg.,kvæð.)høgur embætismaður,ein harri út av vindeyga sá3harramaður4HarrinGud,Harrin havi lov fyri tað;fara í Harrans hendur1í Guds varðveitslu,nú havi eg bundið teg í, og far so í Harrans hendur2doyggja, andast3ganga til grundar;skjótt er Harranum umskjótt kann broytast(til hitt verra),hava sjóverk í hesum Harrans silvitni(í so stak góðum veðri);eitt sovorðið Harrans veður(dýrdarveður);ein Harrans lætti(ein stórur lætti);ein Harrans flokkur av ritum(stórur flokkur);(eið.)Harrans ólukka!hann náði meg!;sms. t.d.einræðis-,einvalds-,hús-,kamar-,lens-,ráð-,sigur-,valds-
hart	síharður
harta	hava undir aga, tykta, tekstra, tukta, revsa,hann endaði við at harta teir til at semjast;hann varð bæði hartaður og happaður;hon er bert eina ferð hartað og ongantíð flongd
hartan	tað at harta, agi,hann fekk manga harða hartan
hartil	harafturat, harumframt,hesin hestur var so einstaka góður og hartil so væl vandur
harting	hartan
harudagur	dagur tá ið menn skjóta harur
harufressur	(dj.)hara av kallkyni,harufressarnir plaga at berjast illa
harugildi	gildi aftan á haruveiðu
haruhagi	hagi til haruskjóting,hugurin at keypa haruhagar var stórur
harum	har um, um tað,harum stóð trætni teirra millum;harum hann!hann um tað!
harumaður	maður sum veiðir harur
harumfram	(sj.)harumframt
harumframt	umframt tað, harafturat
harumyntur	(lækn.)við skarði upp í vørr
haruppi	uppi á tí staðnum(sum umrøtt verðurel.peikað verður á),á hasi rókini haruppi
haruppí	har uppí, aftur at tí,haruppí roknast(er íroknað)
haruræ	ræ av haru
harusetur	1túgva sum hara ofta situr á2(stb.)skýli gjørt til harur at hølast í
haruskarð	varrarskarð
haruskjóting	tað at veiða harur(við byrsu)
harustør	(plfr.)slag av stør(Carex ovalis)
harutíð	tíðin tá ið loyvt er at veiða haru(nov. - des.)
haruungi	ungi hjá haru,haruungar verða ofta tiknir heim at ala, men sjáldan fáast teir heilt tamir(MáR Dýral.48)
haruætt	(dj.)ætt av gnagarum við tveimum eykatonnum aftan fyri gnagtenninar(Leporidae)
harútí	út í tað,og so mikið óminni læt hon harútí;harútí var tað komiðtað var einki við at gera
harva1	(bún.)amboð at saksa við;sms. t.d.skál-
harva2	(bún.)saksa við harvu
harvið	1[hɛarvi:]á tann hátt, soleiðis,og harvið var taðsoleiðis varð tað2[hɛarˈvi:]í osb.tað verður harvið!gott er! tað er einki við tað at gera!
haryviri	yviri á tí staðnum(sum umrøtt verðurel.peikað verður á),vit komu niður á helluna haryviri undir Svidningi
has	hí osb.vera í hvørjum hasi og vasivera allastaðni har ið nakað hendir
hasa	(óregl.)->hæsa
hasin	tann sum er har,móts.hesin,hasin sami;handa vegin;kom nú ikki handa vegin!tig við hasum!;hasin rádni;hvør var hatta?;(niðr.)hatta(um fólk),hatta hevur ikki gonguvit;hatta býtta!
haski	(kvæð.,gl.)vandi, hætta,í haska stóð hans lív
hassj	rúseitur vunnið úr hampi(Cannabis sativa)
hasta	hava skund,tað hastar ikki
hastigur	snarsintur, bráðsintur
hastiligur	skundiligur, skundigur, bráður,hastilig ferð á sjúkrahús kundi verið lívbjarging;hon var rykt burtur av eini hastiligari sjúku;hj-ligaskundiliga, skjótt,hann er farin og kemur ikki hastiliga aftur(ikki enn á sinni)
hastur	skundur,í ein dýran hastí stórum skundi;tað var í ein hast, at alt varð spunnið
hasumegin	á hasari síðuni (á),móts.hesumegin,steinurin er hasumegin ánna;hann er hasumegin
hasuminni	(tlm.)hasumegin
hat	hatur,Brúsi hevði lagt hat á Páll
hata	1bera hatur til,móts.elska,tær hatast ikki(hata ikki hvør aðra);(tilt.)barnið (el.kríatúrið) veit hvør seg hatar og hvør seg matar2dáma (serstakliga) illa,eg hati at verða sendur ørindi;eg hati knettir3(serst. um høsn)happa, pikka, jagstra,hini høsnini hataðu ta sjúku hønuna;hatast(um gásarsteggjar)illsemjast(renna físandi hvør móti øðrum við útrættum hálsi fram eftir jørð)
hatari	(bíbl.)ein ið hatar, fíggindi,teir, ið fyri onga søk eru hatarar mínir
hatarót	(kvæð.)orsøk til haturel.stríð,... um ta hatarót, ið ókst av fuglameingi
hatifuglur	haturfuglur
hatskur	fullur í hatri,so hatskir vóru teir hvør á annan
hatta	síhasin
hattafjøður	fjøður(til pynt)í hatti
hattar	(tlm.)hatta
hattargerð	(kvæð.)skuggi á hattiel.hjálmi(ivasamt),Ólavur tók báðar hendur aftur um hattargerð
hattarsoppur	(plfr.)slag av soppi við hatti (3)
Hattarvík	(stn.)bygd í Fugloy,í/úr Hattarvík;til Hattarvíkar
hattatorv	svarð(ar)torv, soppatorv
hattleysur	við ongum á høvdinum,tú gongur hattleysur;(tilt.)vera hattleysur, vattleysur og klútaleysur(lítið klæddur)
hattur	1høvuðplagg við kolli og skugga(vanl. úr tóva),undir hattií hatti, við hatti á høvdinum;karða hatt,síkarða2(flutt m.)skýflóki á fjalli,oyggin hevur hatt3(plfr.)kollur á soppi;sms. t.d.blá-,lín-,royk-,tóv-,tyrils-
hattvíkingur	fólk íel.úr Hattarvík (Fugloy)
hatur	(varandi) sterkur illviljiel.fíggindskapur, agg, hat,kasta hatur á (e-n);leggja (e-n) undir hatur;hann bar hatur til hennara;harav stóðst hatur
haturfuglur	ein ið verður happaður og forfjónaður
haturmikil	hatskur
hatursamur	haturmikil
hav1	1sjógvur landa millum, sjógvurin uttansyndis,hvalur heldur seg mest úti á víðumel.opnum havi;hiðani sæst væl til havs;grindin fór aftur í haviðel.fór til havs;leggjael.seta út í hav;(kvæð.)sigla tað salta hav;(kvæð.)hann rakst úti á myrkum havi;(tilt.)vita hvar havið er djúpastvita nógv (slaturkent);(tilt.)sum at oysa havið turt(um e-t ógjørligt)2sjógvurin í havsbrúnni,sólin reis úr havi;tá ið sólin fór í havið;hann brennir æling í havinum3fjarar útróðrarleiðir,vera úti á havi, vera á havinumel.vera til havsvera til útróðrar;tíggjumannafarið var á havinum;tríggir bátar av bygdini vóru til havs;ein dagin teir vóru úti á havi, kom hann gravandi av landnyrðingi;fara út á havel.fara á haviðfara til útróðrar;inn av havi(á veg) aftur at landi4(um ógvusligt gæsut fólk el. ófriðarligt handdragið barn)hatta er sum eitt hav;mamma hansara var eitt sovorðið hav;sms. t.d.djúp-,heims-,loft-,megin-,mið-,norður-,pól-,stór-,veraldar-
hav2	1tungur steinur(sum hildin varð roysni at lyfta),roysnissteinur,tann neytakona, ið ikki orkaði at hevja havinum, varð søgd ikki at vera neytakonufør;(flutt m.)tað var havið at fáa gjørt fyri leiguna(eitt tungt tak);tað var ítasta hav at lyfta teimum2(tá ið steinur verður lyftur við vág 3)longdin frá nakka (2) til niðara enda,langt ella stutt hav;sms. t.d.neytakonu-
hava	1bera (uppi á sær), halda (á),hevur tú knív?;hevur tú eld?;snøri hevði hann við sær;hargarbrøðurnir høvdu við sær vápn;hava arbeiði við sær;í brúdleypum skuldi hvør maður hava hattin undir hondini;(flutt m.)myrkrið hevur so mangt við sær2hava í fylgi við (sær),hann hevði húskall við sær;hin ókunnigi hevði hund við sær3taka, lyfta, hevja, flyta, skúgva, seta,hann hevði glasið at munninum;(kvæð.)Róland hevði sítt spjót á loft;hon hevði hana til viks;hann mundi havt meg um koll;hann hevði eyguni aftur um seg;hann hevði hann niður á jørð við armatøkum;eitt sindur ger norður, so gamli hevur suðurá við hvørt(rør)4halda,hann hevur havt hondina oman fyri høvdið á sær, so hon er stirðnað;prestur hevði beinið uppi á einum stóli;hann hevði hendurnar niður á karmin5eiga 2(1),hava hús;hevur tú bil?;hann hevur so hvassar knívar;hav tað bara, mær nýtist tað ikki!;tað skulu tey hava, makaleys hava tey verið;tað sást skilliga, hvaðan tey høvdu síni ættarbregði;(tilt.)tað er hond, ið hevur,síhond;hava høsn;hava svín;hava seyð;hava neyt6vera útgjørdur við, vera staddur við,slík hús høvdu teir mangastaðni fyrr at vera í;Ungi Jógvan hevði ongan at standa fyri garðinum;tann maður, ið hann(t.e. sigurstein)hevur, fær altíð sigur;teir høvdu gimbrarnar í einum lítlum húsi um náttina;hann hevur einki til at verja seg fyri gandi;hann hevði útróðrarbát í Skarðsvík;tú mást ikki hava aðrar gudar;Vágar hava bara seks bygdir7(um klæði)vera í,hvør, ið úti var staddur, hevði hosu, vøtt og tílíkt rangvørgt;teir høvdu hvítar hosur og spenniskógvar;eina rangvørga hettu hevði tað á høvdinum8hava í tænastu (hjá sær), vera húsbóndi hjá,ikki hevði hann meira enn eina arbeiðskonu;einans húskall hevði hann;hann hevði ein heilsuveikan uppgávudrong9vera faðirel.móðir at, eiga 2(4),tey hava tríggjar synir;hon hevur eitt lítið smábarn sjálv10vera giftur við,hava danska konu;teir tveir fyrstu menninir, ið hon hevði, doyðu;Jansaguttarnir høvdu konur úr Sunnbø11hava í hondum, hava í varðveitslu, ansa,tú verður røsk aftur, og onkur hevur tær børnini;kanst tú hava hetta, meðan eg eri burtur?;eftir harra Nielsar deyða hevði Beinta náðinsgarðin12taka ímóti, fáa,tað er nógv fyri at hava tað frá tær, tí tað er ikki so at fáa aftur;hetta skuldi hann hava í løn;skomm skuldi hann hava fyri muddin13skula, eiga 2(5), hava skyldu til,teir, ið sótu á toftuni, høvdu at ansa bóglínuni;hann hevur at ansa eftir, um nakar vandi er á ferð;hvat loyndarmál er tað, sum tú hevur at tosa við hann um?;hon hevði eitt framíhjáørindi at gera14nýta,henda stein hevði hann til hav;einaferð seymaði hann sær eina sjóstúku at hava at dansa í um jólini;so høvdu teir hana(t.e. helluna)í staðin fyri trog at eta av;steinar høvdu tey fyrr til pallar at sita á við grúgvuna15(um heilsu, livimáta)hvussu hevur tú tað?hvussu veit tær við? hvussu livir tú?16(um lívskor)hava tað smáligt;hava tað fátæksligt;hava góð/ring ráð17(um eyðkenni)hava konufólkaskapilsi;hava long bein;hava sítt hár;hava sterkt mál;tú hevur longri armar;hann hevði høvdið yvir allar menn;(kvæð.)kallmans hevur hon mál18vera fongdur við (ávísa sjúku),hava krím;hava meslingar;hava reydlingar19(um tíð)nýta,hann hevði tríggjar tímar um ferðina20(um fjarstøðu, vegarlongd)fugloyingar høvdu longstan vegin;hann hevði langa leið at ganga21(í smb. við áheitan, ynski)hav tú ein hund!el.hav tú ein beinan skitt!skittur í teg!;ótøkk havi tú!;hann bað hann hava brøðurnar so góðar(royna seg við teimum);Harrin havi lov (fyri tað)!22vilja havavera fyri, ynskja,hon vildi ikki hava hann at fara;hann vildi hava hann avstað alt í einum;hon vildi so fegin hava fosturdóttrina gifta við Gunnari;hann vildi hava markið heilt í gjónna23(framman fyri navnhátt)tað hevur einki at týða;hava við at farastvera við barn;hava við ein at gera;hava til at takahava eyka;hava nógv um at verahava úr at gera24(framman fyri nútíðar lýsingarhátt)seyð hevur hann gangandi á heimrustini;hann hevur gentuna sitandi millum knøini25(sum hjálparsagnorð at mynda samansettar tíðir)eg havi barst við hann;hann hevur etið nátturð;minst nú væl til, hvat eg havi sagt tær;einki høvdu teir fiskað;hon hevði gjørt tað í hevnisøku;hann hevði runnið ov hart;felli hevði verið á seyðinum;hann hevði sitið um dagin í sjálvdrátti;tað hevði betur verið ógjørt;ovleingi høvdu tey drálað;teir høvdu tikið ein oksaí osb.hava ampa;hava andróður;hava arbeiði;hava áræði;hava band á (e-m)hava (e-n) í bandi;hava boð (eftir e-m)gera, senda boð (eftir e-m);hava bønhalda bøn,tá hevði hann bøn til Gud;hava dagfáa dagræði;hava (góðan) byr;hava(góða) eydnu;hava frið;hava glímurglímast;hava handilreka handil;hava hógv;hava hugvilja fegin;hava hug á (e-m)vera góður við, hava alsk til;hava ilt;hava megi;hava nálg;hava orð á (e-m),síorð;hava orðið um (e-t)tala um (e-t);hava pínu;hava ráð;hava ringt (av e-m)vera illa staddur,sjóbátar høvdu nóg ringt;hava rætt (í e-m);hava skund;hava stundir;hava stev;hava teiti í (e-m);hava tilhald;hava tíð;hava tokka tilvera góður við;hava tolgeva tol, vera tolin;hava vald á e-m;hava veitsluhalda veitslu;hava ørindiviðfs/hjhava aftur at:hon vildi hava hana aftur at tí yngra soninum(at giftast við);hava aftur fyri:hava aftur fyri e-tel.hava afturfyrifáa sum afturløning;hava aftur viðsíaftur við (afturvið);hava at1harta, tekstra,hevur hann havt harðliga at tykkum, skal eg gera tað harðligari2(bjarg.)draga (bjarga)línu nakað upp aftur(tá ið ov nógvur slaki er)3leggja bát at landiel.bryggju;hava av:hava av fótum,sífótur;hava á1(um skipan av seyði og neytum)hvussu nógv hevur tú á?2vinda upp,hava á segl;hava flagg á (stong);hava ótta/ampa á særvera bangin/fjáltraður;hava prís áseta prís á;(kvæð.)hava (ein) á gálgaheingja;hava á hondum,síhond;hava á loft(i),síloft;hava á máli,símál 1(6);hava á motorinum(ferð á);hann hevði alt/eitt sindur á motorinum;hava á munni,símunnur;hava á orði,síorð;hava eftir(um e-t ið ikki er mistel.nýtt)maðurin hevði aðra ermina eftir;(um tíð)hvussu leingi hann hevur eftir í skúlanum;tað var sjónligt, at hon hevði ikki langt eftir(ikki leingi at liva);hava (e-n) eftir segeiga eftirkomararel.kríatúr (tá ið ein er deyður);tey hava øll onkran eftir seg;børnini, tey høvdu eftir seg;pápi mín hevði tveir hundar eftir seg;hava boð eftir (e-m),síboð;hava framsigla, rógva fram;hava fram um:hava fram um e-nvera betri enn ein annar,tað slagið hevði nakað fram um onnur fólk;bert hásætið skal eg hava fram um teg;hava framásigla, rógva fram,tá ið brotini reistu seg fyri stavn, høvdu teir dyggiligari framá aftur;motorurin hevði spakuliga framá;hava framísíframí;hava frammihava á lofti, bera fram, siga,hann hevði hóttur frammi;hon hevði allar vælir sínar frammi(nýtti allar snildir);hava framyvirandøva spakuliga,hann var altíð maður fyri at hava framyvir, so at snørið stóð niður;hava fráleggja frá landi;hava fyri1hava fyri (e-t)fáa í løn2fáast við, havast at,børnini høvdu fyri at renna út og inn;hann hevur altíð okkurt býtt fyri3hava frammi,har sum tesk og flenn varð havt fyri;hava nógv málageip fyri4(á fundi)hava eitt mál fyri(viðgera)5(um setning)skula lesa heima,hvussu nógv hava tit fyri?;hava e-m (e-t) fyrikasta e-m fyri, brigsla;hava fyri sær:vit høvdu dagarnar fyri okkum(nóg mikið av tíð);hava fyri gjøldur,sígjøldur;hava fyri munni,símunnur;hava hjá:hava hjá sær1bera (uppi á sær), hava við sær,teir høvdu altíð tendraða lykt hjá sær2hava búgvandi hjá sær,Arnfinnur hevði langa tíð marmennilin hjá sær;hon hevði dóttrina hjá sær;hava navnið hjá sær,sínavn;hava inni(um veturin)føða (kríatúr) inni,summi høvdu rossini inni allan veturin;hava inni við segbyrgja inni, ikki vísa, ikki bera til sjóndar,teir hava óttan inni við seg sjálvan;hava inni við (e-n)hava at minnast (e-m),tað, ið hann hevði inni við sítt næstrafólk;hava ilt inni við e-n,síillur;hava í1skjóta á, stýra í(til at steðga báti)2(um seyðaskipan)hava á,hava nógvel.lítið í,hann hevði ov nógv í og fekk felli3hava í (e-t)halda í, hava fatur á;hann hevði í armin á honum;hava (e-t) í hondini;hava í særinnihalda, vera samansettur av;hava fragd í,sífragd;hava í eygsjón;hava í hondum;hava í huga;hava í hyggju;hava í minni;hava í ráði;hava í skotmáli;hava í valdi;hava í varðveitslu;hava í viðføri(síhesiorð);hava ímótimuta ímóti, mótmæla;hava niðurfyrieiga umframt, hava til taks, eiga á goymslu, hava at taka til,nú hevur tú nóg mikið góðs og fæ niðurfyri til mong ár;hava saman:hava e-t samanvera saman um, hava í felag;hava hondum saman,síhond;hava orðum saman,síorð;hava til1hava til (e-t)nýta til (e-t),hann kundi velja sær tann besta garð, í Føroyum var, at hava til løgmansgarð2hava tilel.hava væl til (av e-m)vera væl útgjørdurel.staddur (við e-m)3hava e-t til e-neiga e-t at geva e-m4ikki hava nógv tilel.hava lítið tilikki vera vitigur;hann hevur ikki nógv til, stakkalin;hava um:hava um hendur,síhond;hava undanhalda av (fyri vindinum),skiparin tók róðrið og hevði hana(t.e. skipið)undan;hava undir:hava e-t undir særhava ræði á, hava tøkan,høvundarnir høvdu bert stutta tíð undir sær;hava undir hond,síhond;hava upphevja, lyfta,hon hevði upp sína høgru hond;(kvæð.)hann hevði upp sín bitra brand;hann hevur upptað er upphald (1) (á fjøllum);hava upp á:hava upp á masturheingja e-t upp í mastrina(at boða frá grind),hava upp á seg1týða,tað hevur einki upp á seg(ongan týdning);hann hevur ringan upp á seghann er fyri mannarópinum(av órøttum)2(um vind)hann hevur upp á seg(veksur vindin);hava uppafturtaka uppaftur, endurgeva,tað var ofta havt uppaftur(havt til uppikipsan, ikki niðurlagt);hava upp ímóti(um bát)rógva ímóti vindinum, andøva;hava uppihava á munni, hava frammi,søgur, sum fólk er vant at hava uppi;hava uppi á særbera (hjá sær),hevur tú knív uppi á tær?;gøtubrá høvdu tey gomlu ofta uppi á sær at verja fyri gandi;hava uppiíhava við(t.d. í spæli el. dansi),hav nú beiggja tín uppií eina løtu;hava eitt orð uppiítosa við;hava uppi við:hava uppi við segbera við sær, hava til (lyndis)eyðkenni;hava uppíhalda uppí,hava bátin uppí(rógva, stevna ímóti vindinum);hava út ágera út á (súpan),hava mjøl út á súpan;bæði til greyt og súpan høvdu summi føroyskt útá;hava við:hava (bát) viðhalda báti frá landi (við ár)(so at báturin liggur at men gnaddast ikki),maðurin afturi á læri hevði við;sbr.sveipa;hava við e-mfinnast at, lasta,tú skalt altíð hava okkurt við mær;hava við seg;hvussu hevur tú tað við teg?hvussu veit tær við? hvussu livir tú?(Sv);hava við sær1hava uppi á sær, hava hjá særel.í fylgi við sær,hvør maður hevði seyðbond við sær2bera við sær, valda3hava sum eyðkenni;hava ilt við,síillur;hava við orði,síorð;hava yvir:hava hart yvir e-mvera strangur við e-n, hava e-n undir agahava segtoyggja seg, flyta seg,grasið hevði seg aftur og fram í lotinum;hann hevði seg eitt sindur burturfrá;hava seg til viks;hava seg aftur í orðinumtaka afturíaftur, rætta mismæli (í sama viðfangi)(Sv);hava seg burturel.(burtur)fráflyta seg burtur, fara til viks;hava seg eftirlaga seg eftir;hava seg framathalda seg framat, liggja fram við;hava seg framyvirbukka seg, lúta;hava seg undan1flyta seg undan2bera seg undan, ikki halda seg til,hinir eldru brøðurnir hava seg undan at síga og lata hin yngsta niður;hava seg upptaka seg upp, hevja seg;(bjarg.)hava seg útfyrifara út fyri fyri eggina(í línu el. bandi);hava seg viðvenja seg,fyri at hava seg við, hevði hann roynt einar tveir dystir við vinstru hond;hava seg vælfalla væl í lag, hilnast væl, bera væl til;hava særeiga, hava fyri seg sjálvan,uppi í haganum hevði Runti sær skjól;havast:stovan ið havast skuldi til dans um veturin(nýtast);einki hevst fyri honumeinki fær frið fyri honum;havast afturfáast aftur;havast atfáast við, takast við;hvat hevst tú at?;havast undanhava seg undan;havast við1halda á, vera áhaldin,(bíbl.)hesi havast ikki við, men fyrsta tey koma í trongd, kasta tey trúnna;hvussu hevst við í dag?(stendur til);hann hevst væl við(er birgur enn, ber seg væl);Maria hevst væl við 80 ára gomul;(um plagg)hetta hevst so væl við(sæst ikki slit á, roynist væl);(tilt.)havast við sum vátur vøttur í sjógvtola nógv av;(tilt.)havast við sum tongul í brimihava gott seiggi2takast við, havast at,harafturat hevði hann havst við gandakunstir;(bíbl.)farið burtur frá mær, tit ið havast við órætt;havandi:ikki vera havandiikki bera til at hava;hann var ikki havandi (um borð), tí hann segði seg altíð hava sjóverk;havdur:beiggin er eitt sindur ólagaligur, tí hann er so nógv havdur(nógv borin, hildin á);vera væl havdur(væl hildin til mato.tíl.),tað má sigast, at vit vóru væl havdir;sms. t.d.hand-,inni-,í-
