S	rómv. taltekn fyri 70
sátulendi	so stórt lendi at hoyggj fæst av til eina sátu
sátustaðahoyggj	turkaðir sátustaðir (2),sátustaðahoyggið verður borið til hús í leypi seinni
sátustaður	1staðurel.pláss (í bønum) har ið sáta stendurel.hevur staðið2vátt hoyggj ið liggur eftir á sátustaðnum (1)(tá ið hoyggið er innborið),raka sátustaðir (stb.eis.-staðar)
sátusteinur	steinur at klíggja sátu við, klíggjasteinur
sátustøði	niðasti partur á sátu, støði (4)
sátuylur	ylur (1) í sátu
sbr.	stytting fyrisamanber
sbrt.	stytting fyrisambært
sebra	(dj.)slag av hvít- og svartrondutum afrikonskum villrossi(Equus zebra)
sedristræ	(plfr.)nálatræ í slektiniCedrus
sedrisviður	viður av sedristræ
seðil	1lítil pappírslepi2(í grind)seðil sum prógv fyri at ein hevur verið við í grindadrápi(verða útflýggjaðir bátsformanninum tá ið liðugt er at merkja),nær koma seðlarnir út?;sms. t.d.ferða-,grinda-,luta-,penga-
seðlabanki	(búsk.)banki ið hevur rætt til at geva út pengaseðlar
seðlabók	bók til pengaseðlar
seðlamappa	mappa til peningaseðlar
seðlasavn	savn av seðlum(t.d. skipaðir í kassar eftir stavraðnum)
seðlaskrá	skrá av seðlumel.smáum kortum í stavraði(t.d. á bókasavni um heiti, høvundar o.tíl.)
seg	(ið vísir til grundliðin í setningi)balla seg;ganga seg á e-t;hvíla seg;leggja seg;seta seg niður;verja seg;upp á seg[ˈse:]lutfalsliga;svara fyri seg;(kvæð.)frúgvin læt seg við barni ganga;taka føði til sín;hann dró línuna til sín;til sín sjálvs;tey dansaðu við hosubandi ímillum sín;fáa sær upp í pípuna;skunda sær;ráða sær sjálvum;vitael.kenna á sær;fara væl/illa við sær;lata sær siga(sísagnorð)
segði	sísiga
seggjarhattur	(plfr.)slekt av soppi (2)(Trichomolopsis);sms. t.d.korka-
seggur	(kvæð.)(raskur) maður, kappi, hetja,reystir seggir
segl	(á skipi el. báti)dúkur sum vindur blæsur í at føra farið fram,leggja segliðtaka niðurel.strika seglið;seta á seglvinda upp segl;minka seglini(lækka);við smáum seglum(minkaðum);undir seglivið segli á;skerpa segl,sískerpa;tú vilt hava títt segl á lofttú vilt altíð hava rætt;seglið liggur (el.stendur) ikki frá(eingin vindur, stilli),síliggja frá;sms. t.d.bakk-,báts-,for-,gaffil-,nævur-,rá-,skák-,sprit-,stór-,summar-,topp-,vetrar-
seglbátur	(bát.)bátur førdur fram við seglum
seglbonkur	bonkur til at goyma í amboð hjá seglmakara
seglburður	(skip.)øll segl ið eitt far hevur á í senn,sluppin eymkaði og gav seg undir seglburðinum
seglbussi	k1(bát.)góður seglbussi(stívur undir seglinum, góður í undangongu)
seglbyrur	(bát.)(góður) byrur til sigling,nú er góður seglbyrur;teir væntaðu at fáa seglbyr suður til Havnar
seglbært	l hí osb. sumtað var ikki seglbært(ikki havandi segl á)
segldúkstaska	taska úr segldúki
segldúkur	sterkur tættvovin dúkur av lørifti nýtturt.d.til segl
seglfar	seglbáturel.-skip
seglfjøl	(ítr.)stór framspísk fjøl av glastrevju við segli til at sigla á standandi,standa á seglfjøl[en.windsurfing]
seglgarn	sterkt garn úr hampi(m.a. til at seyma segl við)
seglgarnsstubbi	stubbi (2) av seglgarni
seglgarnstráður	seglgarn
seglhandski	handski hjá seglmakara(við verju fyri nálini í lógvanum)
seglhús	(gl.)hús til at goyma skipssegl í
seglkoyggja	(skip.)rúm at goyma eyka segl í,vit høvdu summarseglini liggjandi í seglkoyggjuni til reiðar at taka
seglloft	loftsrúm at seyma segl í
segllykkja	(skip.)kós 3
seglmakari	maður ið seymar og vælir um segl
seglnál	serstøk nál at seyma segl við
seglseymari	seglmakari
seglskip	(skip.)skip ført fram við seglum
segltog	(skip.)tog at draga upp segl við;sbr.drag (2)
seiðaár	ár 2(1) (gottel.ringt) til seið,gott/ringt seiðaár
seiðabátur	(stb.)lítil dyrgingarbátur
seiðabeita	beita 1(1) skorin av seiði,hava seiðabeitu til agn
seiðaberg	atdjúpt pláss har ið høgligt er at fiska seiðo.tíl.(við tráðu),standa á seiðabergi;gangael.fara á seiðaberg
seiðabergsagn	agn at egna við á seiðabergi
seiðabergsfiskur	fiskur fingin á seiðabergi
seiðabergsklettur	klettur at standa á seiðabergi á
seiðabergskyrra	so góð kyrra at til ber at standa á seiðabergi
seiðabergsleypur	leypur at hava við á seiðaberg
seiðabergsmaður	maður ið stendur á seiðabergiel.ið (vanliga) gongur á seiðaberg,hann er óførur seiðabergsmaður
seiðabergspallur	pallur (2) til at standa á seiðabergi á
seiðabergspláss	pláss at standa á seiðabergi á
seiðabergsseiður	seiður fingin á seiðabergi, bergseiður
seiðafuglur	fuglur ið veiðir seið(serst. bakur, valmási o.tíl.)
seiðaglas	(sj.)seiðakikari
seiðagreipa	greipa av seiði
seiðakikari	amboð at kika eftir seiði við(høgur og trongur kassi við glasi í øðrum endanum at seta niður í sjógv)
seiðakimbil	kimbil (2)
seiðaknetti	knetti av seiði
seiðaleypur	leypur at bera seið í(tættleypur el. við lítlum gloppi millum rimarnar)
seiðalivur	livur av seiði
seiðalíkindi(r)	líkindi at veiða seið
seiðalykt	(stór) trælykt nýtt við nótarkast
seiðamál	mál 2(4) til seið,hetta seiðamál varð gjørt sum føroyskur rimaleypur, men størri og tók o.u. 300 seiðir
seiðamurtur	murturel.yngul hjá seiði
seiðanót	nót at kasta eftir seiði
seiðaongul	ongul at fiska seið við
seiðapláss	pláss (serst.á sjónum) har ið nógvur seiður fæst,á Galvinum er tiltikið seiðapláss
seiðaróður	sbr.teistasjógvur
seiðarúgva	rúgva av seiði,teir setast í seiðarúgvuna at kryvja
seiðaskrubb	skrubb (1) av seiði,saksalopin um skøvningarnar av reistlu og seiðaskrubbi
seiðaskræða	skræða av seiði,tey nýttu seiðaskræðu til at klára kaffi, tá fell gruggið á botnin
seiðasmátt	(stb.)(stórur) seiðamurtur
seiðaspíli	lítil spísk sneis við holi í endanum til at teyggja seið við
seiðateyggja	teyggja av seiði
seiðatorva	torva 2(1) av seiði
seiðatráða	tráða til at fiska seið við
seiðatrog	nótartrog
seiðatræ	træ til at heingja seið og annan fisk á(til at ræsa el. turka),heingingartræ, fiskatræ
seiðatrøll	1ein (serst.konufólk, barnel.ein ið ikki plagar at vera á floti) ið verður hildin at vera atvoldin í at eingin seiður fæst á dyrging,ver nú ikki seiðatrøll2(dj.,stb.)áttaarmaður høgguslokkur
seiðatyssi	(stb.)seiðateyggja
seiðavág	vág 2(1) av seiði
seiðaæti	æti hjá seiði
seiðhvalur	(dj.)slag av stórhvali(mesta føði hansara er seiðaæti)(Balaenoptera borealis);sbr.sildreki
seiðongul	seiðaongul
seiður	(fisk.)fiskur av toskaslag(Pollachius virens),sum seiður í nótsum sild í tunnu;tað gongur ikki fyri seið(ógvuliga spakuliga, ikki um fliðuna);tað er sum at syfta seið(um e-t ið gongur skjótt fyri seg);sbr.upsi;sms. t.d.blá-,dyrgingar-,grón-,kams-,livur-,nótar-,smá-,stór-,summar-,tvævetur-,vendingar-
seig	sísíga
seigan	við longum og róligum tøkum, spakuliga, langan,fíla langan og seigan;rógva seigan
seiggi	tað at vera áhaldin, stirðil, stimbur, áhaldni, treysti, tæri 2,tað er gott seiggi í honum;sbr.seigur (3)
seiggil	(stb.)seiggi,í osb. sumtað er eingin seiggil í honum;tað er góður seiggil í(gott tæri)
seiggj	seiggi
seigil	(stb.)seiggi
seiglendi	(stb.)seig (1) jørð,móts.soyrlendi,á seiglendi verður oftast bara aksaknokkur og gras, søgdu teir gomlu
seigligur	heldur seigur (4), seinur, seinførur, drálutur,teir vóru vorðnir seigligari á gongd, nú ið liðið var á kvøldið;hj-liga
seiglívaður	lívseigur,hummarin er seiglívaður
seigmjólkað	seigmjólkin
seigmjólkin	(um kúgv)tungel.tógvin at mjólka, treyðmjólkin,móts.bleytmjólkin,kúgvin er so seigmjólkin
seigpína	pína seigan og áhaldandi
seigur	1sum hongur fast saman, sum illa fæst sundur, tógvin og boyggiligur,móts.moyrur,seigt kjøt;veðragjólingur er tiltikin seigur at tumma;(kvæð.)klývur upp hurðar av seigum jarni2(um flótandi)tjúkkur, samanhangandi, kleimin,seigt slím3áhaldandi, treystur, stinnur, knáur, tógvin,seigar eru gamlar sinartey gomlu havast væl við4við longum, róligum tøkum,nú róðu teir seigari róður5treiskur, óvikandi
seikka	gera seigari,planturøturnar binda saman og seikka svarðlagið;hon seikkaði neytinigjørdi at tey vórðu seigmjólkin;seikkastgerastel.verða seigari,veðurlombini seikkast, tá ið tað líður út á heystið(verða seigari at tumma);spikið seikkast í lakanum;set knettini í hjallin, so seikkast tey
seil	1band, ál2partur av neytsbandi(ofta av homlubandi, fest í syll í neðra el. hæl í vegginum),kúgvin togar í seilina og vil sleppa út;sbr.kvistløga3stunga (1)4trevil, ál,hann skræddi eina seil úr skjúrtuni;ikki var seilin heil(um illa slitið plagg)5(á vevi)band ið rivurin var bundin fastur við(Sv)6fetlaband, teyggja 1(1)7(sj.)kjaftseil(á fiski),(flutt m.)hatta heldur ikki seilina saman á sær;ikki stendur seilin saman á hasum(tegir ikki);halt seilina saman!halt gák8langt og mjátt stykki,t.d.teigur, geiri (2),ein smøl seil nevnd Mølin;(flutt m.)sólin leggur eina gylta seil á sjógvin9í osb. sumtað eru góðar seilar í honumel.hatta hava verið einar seilir(sterkur og seigur til arbeiði);sms. t.d.agna-,kjaft-,neyðar-,veika-
seila	1glíðael.skreiða spakuliga2(stb.)lappa (1)
seilast	stríðast og strevast
seinabukka	eitt sum kemur darlandi aftaná, drumbur
seinan	seint, ikki í bræði
seinast	síseinur
seinasta	sbr.síðsta 1
seinastakvøld	seinasta dansikvøld fyri føstu,tá ið jólini vórðu tald seinastakvøld, dansaðu øll mannfólk hattleys
seinastur	1síðstur (1),seinasti partur2síðstur (2),seinasta fríggjadag;í seinastu viku;sbr.seinur
seinátin	sum etur seint
seinbúgvin	seint búgvin
seinføðingur	1barn hjá hjúnum ið leingi hava verið barnleys, seinkomið barn2barn føtt langt aftan á hini systkinini, síðføðingur
seinføri	tað at vera seinførur, drál (1)
seinførur	1ið flytur seg spakuligael.gevur sær góðar stundir, seinur á sær, drumbutur,á hellu var kópurin seinførur2(um arbeiði)ið tekur langa tíð,lætta sær um seinføra og tunga starvið3seinur, trekur, treyður,tykkara dárar, sum eru so seinførir til at trúgva
seingerin	sum arbeiðir seint,móts.skjótgerin
seingir	sísong
seingjadeild	(lækn.)deild á sjúkrahúsi har ið sjúklingar liggja
seingjarband	band niður úr loftinum yvir song at taka seg upp við
seingjarbotnur	songarbotnur
seingjarfelagi	songarfelagi
seingjarfjøl	1(gl.)songarstokkur2fjøl í seingjarbotni
seingjargalvur	songargalvur
seingjargjørð	(stb.)ovari kantur á fótalagnum
seingjarhestur	songarhestur
seingjarhoyggj	(gl.)hoyggj í song(undir rekkjuváð),hann grevur djúpt í seingjarhoynum eftir lúsum
seingjarhús	(gl.)hús har ið gestir vórðu lagdir
seingjarkamar	songarkamar
seingjarklæði(r)	útbúnaður (t.e.dýna, kodda- og dýnuver) í song
seingjarlag	seingjarstaður, song,hvørt seingjarlag (á sjúkrahúsinum) kostar 200.000 kr.
seingjarlega	1tað at liggjael.leggjast í song,til seingjarlegunatil songartíð2song, songarstaður
seingjarliggjandi	ið liggur í seingini(t.d.av sjúku)
seingjarlongd	longd á song,tríggjar seingjarlongdir
seingjarmatur	songarmatur
seingjaroyra	(á songarstokki)árundaður endi upp móti stuðlinum (við høvda- og fótalagið), songaroyra
seingjarpláss	pláss til at sova í eini song(á sjúkrahúsi, hotellio.s.fr.),hetta hevur við sær at útivið 100 seingjarpláss færri verða til taks á Landssjúkrahúsinum í summar
seingjarskál	(lækn.)kerald (3)
seingjarstaður	song, lega (3), seingjarlega (2)
seingjarstokkur	songarstokkur
seingjarstólpi	songarstuðli
seingjarteppi	teppi at breiða yvir seingjarklæði í song(tá ið hon er uppreidd)
seingjartíð	(stb.)songartíð
seingjarvarmi	songarhiti
seingjørt	(um arbeiði)sum tekur langa tíð at gera, drúgt,tað er seingjørt hjá tygum at skriva eina føroyska mállæru
seingongdur	sum gongur seint,móts.lættgongdur
seinhugsin	sum hugsar og fatar seint, seintonktur, tornæmur
seinka	1gera at tað gongur spakuligari, tarna, darva,brýningin í bønum seinkaði slótturin nógv;tað seinkar fyri títað kemur í drag2ganga spakuligariel.seinni, sakta (2),klokkan seinkar(saktar)3líða móti kvøldi, gerast kvøld,nú seinkar;nú er farið at seinka;tá seinkaði nakað væl á degi;tá ið tað er farið at seinka til árs(komið út á heystið)
seinkan	tað at seinka, tað at ein er seinkaðurel.e-t er seinkað
seinking	tað at vera seinkaður, tað at seinka,seinkingar í flogferðsluni vegna vánalig floglíkindi
seinkomin	l26:seinkomið barnseinføðingur
seinleiki	tað at vera seinur
seinliga	heldur seint, líðandi, spakuliga, langan,seinliga liðu dagarnir
seinmentur	(lækn.)ið er seint mentur, evnaveikur
seinmiðøld	(søg.)seinni partur í miðøld(o.u.1300 til trúbótinao.u.1540),listaliga var seinmiðøldin eitt lítið blómandi tíðarskeið sammett við hámiðøldina
seinmjólkin	(sj.)seigmjólkin
seinnameiri	seinni, síðani, eftir tað, eftirsíðan(i),seinnameiri hoyrdist einki frá honum
seinnapartsblað	tíðindablað sum kemur út seinnapart á degi,móts.morgunblað
seinnapartsvakt	(sjóm.)vakt seinnapart á degi(kl. 12.30-18.30)
seinnapartur	1tíðarbilið frá middegi til kvølds,seinnapart á degi;seinnapartineftir middag2seinni partur (av e-m),seinnapart á sumri
seinnaspæl	(kortsp.)1(í grevjassi)avgerandi spæl eftir at tað hevur staðið í kortum;sbr.hálvakort2(skemt.)tað at tosað verður aftaná um hvussu kundi verið spælt
seinni	1ið av tveimum kemur aftaná, nummar tvey av tveimum(í tíð, røðel.rúmi),seinna kona hansara;seinni maður hennara2sum hendir aftan á e-t annað,eftir seinna kríggj;seinni í tíðini;eina løtu seinni;sbr.seinur,seint
seinnidagur	dagur tá ið ein er hundasjúkur,tað er seinnidagur hjá mær
seinpjakutur	pjakutur, drálutur
seinra-	seinna-
seinri	(stb.)seinni
seinrøkin	ið gevur sær góðar stundir, seinførur (1), pjakutur, drálutur
seinsiringur	(gl.)seinført og pjakut fólk, drál (2)
seinsirja	1seinført og pjakut konufólk(Sv)2(sj.)kúgv ið ikki fæst at ganga
seinsíl	(stb.)seinført og pjakut fólk, drál (2)
seint	1seinliga, spakuliga,ganga seint2síðla,seint á kvøldi
seintonktur	seinhugsin
seinur	1við lítlari ferð, seinførur, drúgførur, drálutur,hann var ikki seinur at boða frá(kvikur);(orðt.)seinar eru einar hendur,síhond;seinur á særtungur á sær, ófimur í rørslum, drumbutur;seinur til hugsseinhugsin;seinur á fótumsum gongur (rennur) spakuliga;seinur fyri terranumseinur at torna2sum kemurel.hendir aftan á ávísa tíð,seinur á føtur;tað verður seinur dagur, áðrenn ...(ikki enn á sinni);tað verður seinna dagin, at ...(helst ongantíð);vera seinur á veg;í seinasta lagi,sílag (13.2),(eg) takki fyri seinast(fyri samveru fyri stuttum);sbr.síðst;hjseintsíðla, ikki tíðliga,seint á kvøldi;tað gloymdi hann seint;seint livir tú tann dag(aldri);seint um seint klárnaði hann og skilti, at hetta var eingin dreymur(spakuliga, líðandi)
seinvaksin	ið veksur seint,seinvaksin planta
seinvirkin	seinførur í arbeiði,seinvirkiðdrúgført
seinvovið	seint at veva,seinvovið var at veva í teimum gomlu føroysku vevunum
seismikkur	(jarðfr.)1jarðskjálvtafrøði2háttur at kortleggja jarðfrøðiligan bygnað í havbotninum við at nýta ljóðbylgjur,nýta seismikk í oljuleiting
seismiskur	(jarðfr.)viðv. seismikki
sek.	stytting fyrisekund
sekaður	(sj.)sekur,(orðt.)hann tekur at sær, ið sekaður ersekur at sær tekur
sekkjalørift	posalørift
sekkjarband	kjaftband, posaband
sekkjarpípa	(tónl.)blásturljóðføri við fleiri pípum 1(4) samanbundnum við ein luftbjølg(serst. nýtt í Skotlandi)
sekkjutur	(serst. um kýr)vambarsíður, búkmikil,kúgvin er so sekkjut;sbr.legusekkur
sekkur	1(stórur) posi(at koyra e-t í),stinga í sekkin(flutt m.)gevast við e-m, fara úr arbeiði;fáa sekkin(slang)verða koyrdur úr starvi2tað ið rúmast í sekki (1)3partur á ketli ið kemur niður í eldin4stórur búkur;sms. t.d.davar-,epla-,gor-,klæð-,mjøl-,legu-,orma-,post-,torv-
seks	talið 6, í rómv. tølum VIel.vi
seksari	e-t sum hevur nummar 6t.d.bussur,koma við seksaranum
seksfaldur	seks ferðir so nógvur
sekshyrningur	myndel.lutur við seks hornum (13)
sekshyrntur	við seks hornum (13)
seksmannafar	(bát.)føroyskur bátur rógvin av seks monnum(22 føtur til longdar)
seksmarkagarður	garður (5) ið er seks merkur til støddar
sekstan	talið 16, í rómv. tølum XVIel.xvi
sekstandi	raðtal av sekstan, nummar sekstan
sekstantur	(skip.)amboð til at máta hæddina á sólel.stjørnum
seksti	talið 60, í rómv. LXel.lx, trýss, trýssinstjúgu
sekstiundi	raðtal av seksti, trýssinstjúgundi, nummar seksti
sekstrátt	við seksføldum tráði,seyðbandið skuldi vera nóg trivaligt, tá ið tað varð lagt upp sekstrátt
seksu(r)	(kortsp.)kortablað við talinum seks,eini seksu(r);seksuni
seksæringur	(bát.)føroyskur bátur rógvin av tólv monnum(o.u. 28 føtur til longdar, nú vanl. við motori)
sekt	1gjald ið rindast skal í bót, bót (5),leggja sekt á e-n;gjalda 200 kr. í sekt;sektin liggur á (tí),el.tað liggur á sektinisama ger, tað hevur ongan týdning2arbeiði ið er skeivt gjørt(t.d. í smíði),hatta var ein sekt, segði pápi, tá ið hann hevði smíðað skeivt3(sj.,stb.)ávís nøgd av ull,eg hevði tríggjar sektir, ein varð ætlað til hosur, onnur til vøttir og triðja til troyggjur;sms. t.d.blóð-,synda-,válgara-
sekta	revsa (e-n) við sektel.bót, leggja bót á (e-n),sekta e-n;sorinskrivarin vildi hava teir sektaðar
sektarábyrgd	(løgfr.)ábyrgd ið hevur við sær sekt (1) um ávísar reglur ikki verða hildnar,við sektarábyrgd
sektaroffur	(bíbl.)offur (1) kravt av honum ið hevur gjørt seg sekant.d.í halgibroti(3. Mós.5,15)
sektarrenta	(løgfr.)eykarenta at gjalda fyri skuld ið ikki verður greidd rættstundis
sekund	(stund ið varir) 1/60 av minutti(stytsta tíðareind ið vanl. verður roknað við; styttsek.)
sekur	1sum hevur framt brotsgerð, dømdur at gjalda bót, ikki sakleysur, skyldigur,døma e-n sekan;eg eri sekur í hesum verki;(orðt.)sekur (er hann, ið) at sær tekurel.hann, ið er sekur, inn at sær tekur;(orðt.)sárt bítur sekan,sísárur2ið mistekur segel.ger nakað skeivtt.d.á báti, í flettingo.tíl.(og má lata e-t í sekt),sagt varð, at maður var sekur, um hann mistók seg, tá ið hann fletti;misti maður ár fyri borð (t.d. um homlubandið slitnaði), var hann sekur og skuldi lata eina fløsku,sbr.høsna;sms. t.d.blóð-,ó-,sam-
selaknappur	knappur 1(1) í buksulíning at kneppa sela niður á,selaknapparnir vóru farnir, men hann setti griflastubbar til spritur afturfyri
