M	rómv. taltekn fyri 1000
málturkur	(ítr.,slang)tað at lið hevur ilt við at skjóta mál,niðurflytingarvandin er ikki heilt burtur enn, og tí er umráðandi at fáa bilbugt við málturkinum
málveikur	veikur á málinum, spakmæltur(avt.d.smædni),drongurin verður ræddur og sigur málveikur(fáligur)
málverji	(ítr.)(í fót- og hondbólti)leikari ið verjir málið(so at bólturin ikki fer í tað),málmaður 1
málvilla	villa í máli, rangt mál,tað er vanlig málvilla ikki at skilja millum orðini "næsti" og "annar"
málvinur	1kunningi ið ein kann skifta orð við,(tilt.)mangur er málvinur, ið ikki er alvinur;eingin hevur so mangan óvin, at hann hevur ikki onkun málvin2ein ið er góður við móðurmál sítt
málvísindaligur	(málfr.)viðv. málvísindum, málfrøðiligur
málvísindamaður	málfrøðingur(lingvist)
málvísindi	(málfr.)frøðigrein um bygnað og nýtslu av tungumálum[en.linguistics];sbr.málfrøði
málætt	(málfr.)bólkur av skyldum tungumálum,indoevropeiska málættin
máløki	(málfr.)øki har ið eitt mál verður nýtt
mána	mana
mánadagsgrátur	k6e:fríggjadagslátur verður mánadagsgrátur,sífríggjadagslátur
mánadagur	annar dagur í vikuni
mánadúgva	(fugl.)stór dúgva við ljósum bletti báðumegin á hálsinum(Columba palumbus),mánadúgva er væl størri enn bládúgva
mánaðamót	tíð tá ið ein mánaður endar og annar tekur við, mánaðarskifti
mánaðar-	sms. t.d.-blað,-byrjan,-frí,-gamal,-gjald,-kort,-loyvi,-rit
mánaðardagur	1dagur í einum mánaði, mánansdagur2sami dagur í næsta mánaði3fyrsti dagur í einum mánaði
mánaðarkort	kort (2) ið geldur í ein mánað(at nýta í smb. við ferðing)
mánaðarligur	ið er eina ferð um mánaðin, galdandi í ein mánað
mánaðarløn	(føst) løn útgoldin hvønn mánað
mánaðarskifti	mánaðamót
mánaður	1(stjfr.)tann tíð sum mánin nýtir at gera eina umferð um jørðina,sbr.mánamánaður2eitt av teimum tólv tíðarskeiðunum sum álmanakkaárið er skift sundur í(hvørt við sínum navni og við 30 el. 31 døgum hvørt (tó hevur februarmánaður 28 dagar)),máni (3),hvør er í mánaðinum í dag?;meiri vaks hann um mánaðin enn onnur børn í seks;útgjalding er 25. í hvørjum mánaði;í nakrar mánaðir;komin í (á) mánað(um kúgv)sum skal kálva í mánaðinum,kúgvin stendur á mánað;sms. t.d.heyst-,jóla-,juli-,kava-,kráku-,skaða-
mánaferð	ferð til mánan (við rúmdarfari)
mánafiskur	(fisk.)stórur rundbøllutur fiskur(vanl. í suðurhøvum, men sæst á sumri í føroyskum sjógvi)(Mola mola)
mánagras	(plfr.)slekt í ormstunguætt(Botrychium);sbr.tyssismánagras
mánahorn	horn á mánanum(tá ið hann er minni enn hálvur)
mánaklingra	fullmánin sæddur sum ein klingra á himinhválvinum
mánakvøld	mánadags kvøld
mánalendi	óslætt lendi á mánanum við gosopum o.ø.,fjallaryggurin er sum eitt mánalendi at síggja
mánaljósur	lýstur av mánanum, við mánalýsi,eina mánaljósa septembernátt
mánalýsa	(stb.)mánalýsi
mánalýsi	ljós frá mánanum, mánaskin,mánalýsisnátt,sbr.fullmáni
mánamánaður	(stjfr.)tíðin millum mánatendringar(í miðal 29,53 dagar)
mánamorgun	mánadags morgun
mánamyrking	(stjfr.)tað at jørðin(tá ið hon stendur millum sólina og mánan)myrkir fyri mánanum,sbr.almyrking
mánanátt	náttin fyri mánadag
mánansdagur	mánaðardagur,helst vóru tey mong, ið ikki vistu, hvønn mánansdag tey vóru fødd
mánansdúgva	(fugl.)mánadúgva
mánanslóg	(gl.)mánaðarligur frídagurserst.tá ið aðrir frídagar ikki vóru
mánansríð	(stb.)kavaavfall í heilan mánað,mánansríð er skaðilig,sbr.kavaríð
mánarás	(stjfr.)rásin hjá mánanum kring jørðina
mánasjúka	(lívfr.)mánaðarlig bløðing úr lívmóðurini hjá barnførum kvinnum, tíðir,sbr.gøtumaður (2),skifti (6)
mánasjúkur	(bíbl.)við sinnissjúku ið varð hildin at gera serliga vart við seg í fullmána
mánaskalli	skalli (2),(stb.)rokna upp mánaskallar(ráð hjá neytakonum til at fáa mjørkan at lætta)
mánaskin	(sj.,gl.)mánalýsi,ljótur sum traminel.illimaður í mánaskini
mánaskýggj	h16í osb.uppi millum mánaskýggjógvuligt høgt uppi, himmalhøgt;rósa e-m heilt upp í mánaskýggj(upp um skýggini)
mánatendring	(sj.)tendring (3)
mánauppkoma	(stjfr.)tað at mánin kemur upp
máni	(stjfr.)1himinknøttur sum gongur um gongustjørnu,jørðin hevur ein mána og Jupiter sekstan mánar2máni sum gongur kring jørðina, (nátt)sól, tungl,mánin er uppkomin;á mánanum situr rótatjóvurin;tað boðar frá kulda, tá ið mánin er hvassur;(tilt.)ovarlaga gongur tær sólin og niðarlaga mánin(við e-n ið er bjartskygdur)3(tlm.)mánaður;sbr.jesuspápaleika;sms. t.d.full-,hálv-,kulda-,ný-
mánudagur	(Suð.,sj.)mánadagur
mápa	(sj.)lumpa, lokka, tøla, nápa,eingin fær mápað hann
mápari	ein ið mápar, nápari,hann er ein mápari
márur	(dj.)smávaksið lágføtt ránsdjór, mørður(Martes martes)
másaligur	másasligur
másaskuri	(fugl.)skuri hjá fiskimása
másaslag	(fugl.)másafuglur í ættiniLaridae(vanl.dimmir um veingir og bak og ljósir um kroppin)
másasligur	(lítil og) klænur, klantrasligur, pappírsligur, pisuligur, mjarra(s)ligur,lítil og másasligur
mási	1(fugl.)(ein og hvør) fuglur av másaslag,vanl.fiskimási2(stb.)skúvsungi (2),hygg ikki at, hatta eru teir beru másar(grátt torv);sms. t.d.íslands-,lorta-,oyði-,skatu-,val-
mát1	1máld stødd (á e-m), mál 2(2),taka mát av e-m;gera e-t eftir máti;seyma eftir máti;hava til máts(at máta eftir)2gøgn(t.d.mátiband, mátistokkur, ílat)at máta vídd, rúmdel.mongd við, mál 2(4),hitamát, rennimát, strikumát, trýstmát3mátingareind,metralagið er okkara lógfesta mát
mát2	(talv)tað at kongurin ikki fæst fluttur úr skáki(uttan aftur at koma í skák),nú er mát;gera mát;seta e-n mát;seta e-n skák og mátseta e-n í bróstið,(flutt m.)seta e-n fastan, seta e-n í trongstøðu;mát (fyri) uttan skáktað at kongurin ikki fæst fluttur uttan at koma í skák(patt)
mát3	hí osb. sumvera mátvera vinir;pápi og hann vóru sovorðið mát;teir eru einki í mát(ikki vinir);(kvæð.)so gekk eg til Jákupsa, sum var mítt mát;vera væl (illa) í mátvera vinir (óvinir)
máta1	1finna stødd, longd, hædd, ummálo.s.fr.á e-m, taka mát 1(1), máttaka, mála 1,yvirsyllarnar vóru mátaðar eftir undirsyllunum;máta hitastig;máta e-t til;máta upp(t.d. vídd á lendi);sbr.viga2meta javnt,eg kann ikki mátast við hann(standi honum ikki mát)
máta2	(talv)vinna (e-n) í talvi, gera mát
mátaligur	sámuligur, toluligur, hóskandi,mátaligt veður var;hj-liga,"hvussu veit við?" "mátaliga"
mátari	(tøkni)tól at máta e-t við, málari 2,hitamátari;vindmátari
máteind	mátingareind
máti	1háttur, lag, vegur,í summar (allar) mátar;í aðrar mátarannars, aðramáta;hava máta við e-m(fylgjast við e-m í songi)2háttalag, framferð, mannagongd, (yrkis)lag3siður, skikkur,teir plaga at hava til máta at lata bergið torna(áðrenn teir fara til bakka)4hógv, hóvsemi, afturhald,við mátavið hógv;máti skal vera viðtað er ov nógv avgjørt;máti skal vera við, sum ...mark skal vera fyri, sum ...5mát 2(2)(Sv);sbr.krútmáti(Sv)6drykkjusteyp(Sv);sms. t.d.krút-,livi-,lívs-,ólukku-,tosingar-,vanlukku-
mátiband	mátingarband
máting	tað at máta 1(1);sms. t.d.halla-,upp-
mátingarband	band við ámerktum mátingareindum at máta við, mátiband
mátingareind	eind sum mátað verður í, máteind
mátingartól	tól at máta e-t við
mátitól	(alisfr.)tól at máta viðt.d.varmamát, hitamáto.tíl.
mátstøða	(talv)tað at standa skák og mát
máttaka	taka mát av, máta 1(1),teir máttaka gomul hús og tekna tey upp
máttarlind	lind 3 ið gevur mátt, orkulind, orkukelda, magnkelda
máttarpeningur	tað dýrasta ein orkar, ódnartak(Sv)
máttarstøð	orkustøð
mátti	símega
máttleysur	við ongum mátti, sum einki orkar, (av)maktaður, (út)lúgvaður, fyrilagstur
máttlítil	við lítlum mátti, veikur, ússaligur, orkulítil
máttloysi	tað at vera máttleysur, tað ongan mátt at eiga, magnloysi, ørmegin,máttloysi kom á hann;veðurlambið vísti seg at hava máttloysi;sbr.maktarloysi
máttloysiskensla	vanmáttarkensla
máttmikil	við góðum mátti, kraft(a)mikil, sterkur,máttmikil maður;máttmikið orðalag
máttstolin	máttleysur, (út)maktaður, (út)lúgvaður
máttsúgva	súgva máttin úr (e-m), gera veikan, mergsúgva,hetta penisillinið máttsýgur meg
máttugur	1máttmikil, sterkur, megnaður2mektigur, mætur, (vald)mikil, veldigur;sms. t.d.al-,yvir-
máttul	(alisfr.)tól ið ger tølska orku um til ravmagnsorku, (lítil) ravmagnsgeri, dynamo
máttur	tað at vera sterkur, styrki, megi, kraft, alv,lekjandi máttur;tá ið sólin fær mátt;missa bæði mátt og megikoma burtur í einki;(sj.,gl.)kenna seg lítið til máts(veikan);sms. t.d.al-,atdráttar-,ganda-,gróðrar-,lívs-,miðdráttar-,miðflótta-,náttúru-,rek-,tyngdar-,vakstrar-,van-
máur	(fugl.,Suð.)mási
máva	(Suð.)máa
mávsungi	(fugl.,Suð.)ungi hjá mávi;sbr.fiskimási
mávur	(fugl.,Suð.)máur,eg sá ein máv koma flúgvandi
mb	stytting fyrimillibar
mðr	stytting fyrimánaðurel.mánaðir
med	1(við hvnf)(kvæð.)við2í osb.med allafyri alla tíð, við øllum
medarbeiðari	ein ið arbeiðir á einum arbeiðsplássi(saman við øðrum),ein ið er partur av størri starvsliði
medda	1sikta (leingi), miða,hann stóð og meddaði við byrsuni;medda eftir e-m2gita, gissa, gjøtla um
medeigari	samognari
medferð	atferð, atburður, framferð, ferð (4),ráðuligur í medferð og orðum;við síni andbráðu og spræknu medferð
medhjálp	(bíbl.)hjálp (2), hjálparfólk, atstøða,eg vil gera honum medhjálp, sum hóskar honum
medisin	(lækn.)heilivágur
medistarpylsa	pylsa úr malnum svínakjøti
medmenniskja	menniskja í samlag við onnur, sammenniskja, samskapningur
medvit	tilvit(an), tilvitska, samvit (2)
medvitin	tilvitaður, (av)vitandi
meðal-	miðal-
meðan	1um somu tíð sum,eis.meðan ið2so leingi sum,meðan væl eráðrenn tað er ov seint3av tí at, við tað at, tá ið,so lat tað liggja, meðan tú vilt hava tað at liggja;jú, meðan tygum spyrja so4hjso leingi,bíða tú her meðan;meðan lá hon í einum skoti og lurtaði
meðani	meðan
meðni	1sbmeðan2hjso, so statt, altso, íðan, fyri alt tað,far so meðni;hart móti hørðum meðni
meg	síeg
mega	1vera noyddur til, noyðast, skula (3), eiga 2(5) at, verða at,eg má gera tað;vit mugu royna;tú mátti vitað tað;tað mátti borið til;tú mást ikki gráta;veður má sær ráða;tú mátti ræðst fleingjuna2(gl.)megna, orka, kunna, vera mentur, vera førur fyri,(tilt.)hann má lúta, ið minni már,sílúta 1(2);(kvæð.)hvørki mátti røkka ei støkka, so var svørðið hart,sírøkka 2(2)
megahertz	(alisfr.)mát fyri 1 millión hertz(tekn MHz)
-megd	síó-
megi1	máttur, styrki, kraft, megin 1,misti bæði mál og megi;eg trúgvi á mátt mín og megi;sms. t.d.arbeiðs-,avlops-,gróðrar-,her-,lívs-,mans-,ó-,rek-,sálar-,vatn-,vápna-,vind-
megi2	(sj.)megi 1,tá misti hundurin megi sítt
megileysur	máttleysur, (av)maktaður, kraftaleysur,drongurin lá megileysur
megin-	høvuðs-, aðal-
-megin	sí t.d.báðu-,blindu-,fjals-,frísku-,hasu-,hesu-,hinu-,hvítu-,hvørgu-,hvørju-,høgru-,konufólka-,lógva-,mannfólka-,rættu-,sínu-,sjúku-,skeivu-,skugga-,somu-,sólar-,svørtu-,syðru-,teirri-,tí-,vinstru-,ymsu-,øðru-,øllu-,øvutu-
megin1	(sj.)megi,trúgva á mátt sín og megin
megin2	1(um streym)av tí hægsta,tá ið vit drógu upp, var megið eystfall(fullbroddað);tá ið vit fóru, var eystfallið megið2(um flóð og fjøru)av tí størsta,flóðin er megin(fullfløtt);fjøran er megin(fullfjarað);á megnari[mɛdnarɪ]flóð (fjøru);sbr.meginfjøra,meginflóð
meginá	stór á, stórá,móts.tvørá
megindalur	(jarðfr.)stórur dalur,smærri dalir ella botnar, sum høgt uppi munna út í ein megindal ella ein fjørð, verða ofta nevndir ovari dalir ella hvammar
megindeild	1(fróðsk.)deild á hægri lærustovni ið umfatar lærugreinar innan eitt ávíst høvuðsøki(t.d.samfelagsvísindi, náttúruvísindi, málvísindi)undir leiðslu av dekani2fremsta deild, høvuðsdeild
megineinkja	(søg.)tignarlig og mæt einkja,Turið megineinkja
meginevni	týdningarmikið evni, fremsta evni, aðalevni, høvuðsevni
meginfelag	høvuðsfelag hjá feløgum við sama endamáli, landsfelag,móts.heimafelag,meginfelag teirra brekaðu í Føroyum
meginfjøld	størsti partur av fólki,meginfjøldin í flokkinum hevur aðra støðu
meginfjøra	hægsta fjøra, fullfjaraður sjógvur, megin fjøra, háfjøra
meginflóð	hægsta flóð, fullfløddur sjógvur, megin flóð, háflóð
megingjørð	(søg.)belti ið gevur mátt
-megingur	síav-
meginhandil	stórur handil(aloftast við úthandlum),hesin meginhandil hevði sjey úthandlar
meginhav	stórhav ímillum meginlond, heimshav, veraldarhav, úthav
meginheimur	stóri heimur,tað kemur til lands uttan úr meginheiminum
meginheit	kv2(stb.)meginheitinmeginparturin
meginheiti	h24í osb.í meginheitumí høvuðsheitum, í stórum dráttum
meginhending	stór týðandi hending, stórhending
meginhópur	tað nógva, meginpartur,fólksins meginhópur
-megini	(tlm.)-megin,hesumegini;hinumegini
meginland	1stór oyggj(tætt við minni oyggjel.útoyggj),land 1,mykinesmenn siga: inni á meginlandinum(í Vágum)2stórt samfast landøki,móts.oyggj,evropeiska meginlandið
meginlandarák	(jarðfr.)tað at stór landøki so líðandi førkast hvørt í mun til annað(t.d.Amerika og Afrika-Evropa)
meginlandsgrunnur	(jarðfr.)landgrunnur og bankar, dýpi og rennur millum teirra út á hellingina út ímóti djúphavinum, meginlandsstøði
meginlandsstøði	(jarðfr.)meginlandsgrunnur
meginlandsveðurlag	(landafr.)veðurlag eyðkent fyri meginlond við køldum vetrum og heitum sumrum, landveðurlag,móts.havveðurlag,Russland hevur meginlandsveðurlag
meginlívæðr	(lívfr.)størsta lívæðrin sum gongur úr vinstra innrúmi hjartans(aorta)
meginlutur	týdningarmesti lutur (av e-m), høvuðspartur, høvuðstáttur
meginmál	tað ið størsta týdning hevur, høvuðstáttur, aðalmál,meginmálið er hetta
meginpartur	størri partur, tað nógva, meginhópur, dast (2),meginpartin av tíðini;meginparturin av veiðuni var toskur
meginregla	regla 1(3) ið er støði undir hugsanel.gerð, aðalregla, grundregla, høvuðsregla, grundsetningur, reglulag(principium)
meginregluligur	viðv. meginreglu
meginrót	(plfr.)størsti og mittasti partur av rót,móts.hjárót;sbr.stólparót
meginskúli	(skúl.)skúli fyri elstu skúlabørnini ít.d.eini sýslu, felagsskúli,Sandoyar meginskúli
megintáttur	týdningarmesti táttur (í e-m), aðaltáttur, hjartatáttur (2)
meginting	(søg.)høvuðsting við bæði lóggávu- og dómsvaldi(har ið allir frælsir menn høvdu rætt at koma),meginting føroyinga hevur staðið á Tinganesi;sbr.alting
meginøki	øki (í landinum) har ið meginparturin av fólkinum býr,politikararnir eiga at taka støðu til, um liviligt skal vera uttan fyri Havnina og meginøkið annars
megn	(sj.)magn,at liva um megnnýta meiri enn ráðini eru til;sms. t.d.evnis-,ill-,ó-
megna	vera mentur, vera førur fyri, orka, magna,hann megnaði at finna ein veg;megna yvir e-mhava vald á e-m, hava tamarhald á e-m, aga e-n;megnandi maður(máttmikil, sterkur);megnaststyrkna, treystna
megnaður	sterkur, máttugur, máttmikil, megnarligur,megnaður maður;so megnað vóru hans orð(kjarngóð, mergjað)
megnar-	framúrskarandi, frálíkur, magnandi, avreks-, dygdar-, vala-,sms. t.d.-avrik,-bók,-hús,-kvinna,-skald
megnargerð	bragd, roysni, roysnisverk, avreksverk
megnarligur	sterkur, máttugur, megnaður
megnarmaður	avreksmaður, roysnismaður, manndómsmaður,megnarmaður var hann
megnarorð	mergjað, megnað og kjarngóð orð,hann yrkti hesi megnarorð
megnarrisi	(stb.)(sera) stórur og sterkur maður, menniligur maður
megnartak	1øgiligt tak, ódnartak2bragd, megnaravrik, avreksverk, megnarverk
megnarverk	1bragd, roysni, roysnisverk,hon útinti eitt satt megnarverk2stórfingið bókaverk,hetta megnarverk í okkara bókmentum
megni	kraft, styrki, megi, orka, magn,tað skal megni til at gera tað
megurð	ómegd av svølti ella vánaligari føðslu,fleiri børn hennar doyðu av megurð;honum bagir megurð(trívst ikki væl);mjólkin minkaði, so at megurð kom í lombini
meiða	skaða, geva meiðsl, meiðsla, løsta,meiða seg;meiða fótin;teir vóru illa meiddir og meinslaðir;sms.æru-
meiðsl	mein, løstur, snuddur
meiðsla	(lam)løsta, skammløsta, meinsla, skaða, skala
meiðvongur	(stb.)maður sum einki orkar, stimburlítil maður;sbr.mýrivongur
meig	símíga
meiggj	e-t útmeiggjað,hatta er tað bera meiggj(t.d.um málning)
meiggja	1smyrja, klína, dálka,meiggja út;meiggja seg útel.til;meiggjaður í runu2(Suð.)skíta, kukka;(um seyð)tað fór at meiggjaskræpa gekk á
