n	(málfr.)hjáljóðsstavur (nevndur[ɛn:])
nevna	1geva navn, kalla (3),tey nevndu hann Sjúrð;sjáldan verður eydnismaður, ið nevndur er burtur úr ætt2siga (navnið á),nevna á (at) navninevna e-n við navni hansara;nevna segel.nevnasteita, kallast,hann nevndi segel.nevndist Hanus;nevna tvey samankunna tvey hvørt fyri øðrum;nevna segsiga navnið(tá ið ein heilsar e-m fremmandum),Sigmundur nevndi seg;eingin nevndur, eingin gloymdur3hava á lofti, siga, umrøða, tala um,eg skal nevna tað fyri honum;hesa tíðina hendi meg einki soleiðis at nevna;hann nevndi einki um nakað;agn skuldi ikki nevnast á báti, teir søgdu biti í staðin fyri;tey høvdu alt, sum kundi nevnast við navni;virðið var so lítið, at tað valla var nevnandi(næstan einki)4útnevna, tilnevna,kongur nevndi hann til umboðsmann sín;sms. t.d.eyk-,til-,út-
nevnari	1(støddfr.)tal í broti (7) sum stendur undir brotstrikuni(sýnir hvussu nógvar partar eindin er býtt sundur í);sbr.teljari2ein ið setti menn til pliktarbeiði(Sv)3(gl.,sj.)skjútsskaffari
nevnd	1bólkur av fólki valdurel.skipaður til at fyrireikael.granska ávís viðurskifti(og t.d. leggur úrslit fram)2stýri (3), stjórn(t.d. í felag);sms. t.d.dóms-,fíggjar-,gerðar-,kanningar-,lands-,løgtings-,millumtinga-,siðsemi-,skúla-,starvs-,ting-
nevndarálit	álit 2 sum nevnd hevur skrivað
nevndarformaður	formaður fyri nevnd
nevndarfundur	fundur hjá nevnd
nevndarlimur	limur (5) í nevnd
nevndarmaður	1nevndarlimur2(søg.)tingmaður(tilnevndur at møta á løgtingi og í løgrættu),skipan um tingfaratoll nevndarmanna í Føroyum
nevndarsessur	limaskapur í nevnd,hann segði nevndarsessin frá sær(fór úr nevndini)
nevndarviðgerð	viðgerð av máli 1(6) í nevnd,málið hevði fingið nevndarviðgerð
nevni	navn, heiti,teir gomlu høvdu viss nevni fyri halar, eftir sum teir vóru skaptir;sms. t.d.ein-,eyk-,dul-,fleir-,sam-,stutt-,tví-
nevniliga	(til at leggja dent á, greiða frá el. grundgeva fyri e-m, sum frágreiðing til e-t ið sagt er frammanundan),nettupp, akkurát, júst,næmingarnir høvdu tað ikki lætt fyrr, tað vóru nevniliga ongar føroyskar skúlabøkur;tað er nevniliga so, at hann hevur sagt upp;tað er nevniliga ikki bara sum at siga tað
nevning	1tað at nevna (2)2tað at útnevnael.tilnevna
nevningamál	(løgfr.)rættarmál sum nevningar døma í(um skuld, men ikki revsing)
nevningarverdur	verdur at nevna
nevningating	(løgfr.)dómstólur sum nevningar manna(serst. í revsimálum)
nevningur	(løgfr.)limur í nevningatingi sum dømir í ávísum rættarmálumserst.revsimálum(ikki løgfrøðingur)
nevnliga	(sj.)nevniliga
nevreyður	(sj.)hitt nevreyðael.hin nevreyði(góðn.)tjaldur;sbr.nevið reyða
nevrót	nevsrót
nevsa	nepsa
nevsbroddur	tað fremsta á nevsoddi,tjaldrið hevur spískan nevsbrodd
nevsligin	sligin á nevið,sum nevsligin lundisum lundi sligin á nev(ið)(hámur, lotur)
nevsoddur	oddur 1 á nevi
nevsrót	tað innasta á nevi, nevrót
nevsteðji	(Suð.)nevstiði
nevstiði	amboltur spískur til endarnar,tveir vóru stiðjarnir, annar nevstiði, hin kubbutur
nevstør	(plfr.)slag av stør(Carex rostrata)
nevtollur	(søg.)tollur 2(2) ið hvør maður (havnarmenn undantiknir) millum 15 og 50 ára aldur skuldi lata hinum almenna sum ravns-el.krákunevel.í peningi(fór úr gildi 18. mars 1881),ravnatollur,í nevtolli skuldi hvør maður millum 15 og 50 ár á hvørjum ári lata eitt ravnsnev ella tvey krákunev ella eitt skinn í sekt
nevtron	(alisfr.)kjarnabitil við ongari løðing,verður ein tílíkur atomkjarni órógvaður, t.d. við at skjóta eina nevtron eftir honum, kloyvist hann ofta í tveir partar
neya	(gl.)níga
neyð	1vána standur, hættislig støða, vandi 1, stórar líðingar, líðing, tregi,vera í dýrastu neyðhava tað ringt, vera illa staddur;staddur í neyð;fert tú frá mær í hesari neyðini?;neyð gekk á hanahon var illa stødd;við neyð og deyðel.við neyðvið bit og slit, akkurát (2)(um e-t ið er um reppið at miseydnast),teir vunnu upp land við neyð og deyð;fuglarnir vóru góðir at hava, um neyð skuldi gingið á;hava neyð av e-m;kæra sína neyðgremja seg;hann rópar av so tungari neyð;tá ið neyðin er størst, er hjálpin næst;(orðt.)neyð ger nasadjarvan;(tilt.)neyðin er, sum hon eiturneyð er tað sum hvør einstakur kennir sum neyð;(tilt.)neyð ger so mangan tjóvmangur stjelur av neyð;(orðt.)mangur dansar og dansar av neyðel.neyðum,sídansa;(orðt.)mangt er í neyðini nýtt (el.tøkt) (sum ikki er í armóðini gitið)í neyð hjálpist ein við tað sum er fyri hond;(tilt.)mangur lovar í neyð, hann heldur ikki til sín deyð2fátækdømi, armóð, neyðarstøða, neyðarstandur,hann hevur onga neyð(er væl fyrit.d.fíggjarliga);hava e-t fyri neyðiniel.fyri neyðumhava tørv á;hava hjálp fyri neyðinitreingja til hjálp;vera fyri neyðinivera tiltrongdurel.neyðugur;tað var fyri neyðini(gott, fyri bestum);vit hava alt, sum er fyri neyðini(sum neyðugt er, sum tørvar);nú er neyð á honum(er altráur eftir e-m);tá var neyð á honum (eftir) at sleppa við;(orðt.)neyð er ikki nóg mikiðel.nógv breyðí neyð kann eingin liva, ein má arbeiða seg úr neyðini;tað er eingin neyð fyri títað er alt í lagi, tað man fara at laga seg3trot,neyð upp á grýtur4sindur,hann drakk so illa og oyðilegði ta neyðina av ogn, sum var í húsinum fyri brennivín5(kvæð.)taka við neyðumneyðtaka;sms. t.d.agn-,barns-,epla-,fóður-,havs-,hoy-,hungurs-,korn-,mat-,peninga-,rím-,sálar-,tubbaks-,vatn-
neyðakker	(sjóm.)akker til at taka
neyðar	hjálparleysur og illa fyrikomin, sum synd er í, ólukkuligur, neyðars,tann neyðar drongur
neyðara	neyðar,at sleppa sær burtur úr hesum neyðara landinum
neyðaradýr	neyðardýr
neyðarár	ár 2 við neyð og armóð, ár 2 tá ið fólk líður neyð(av hungursneyð, fiskaloysi o.s.fr.),hallár,eitt hitt størsta neyðarár í Føroyum
neyðarbeist	neyðardýr,neyðarbeistið er ótt av pínu og ótta(tarvurin)
neyðarboppa	(stb.)dvørgaboppa
neyðardagur	k42:neyðardagartíð tá ið fólk líður neyð;í góðum og ringum døgum, í valatíðum og neyðardøgum
neyðardalur	(heimurin sum) staður við neyð og armóð,í hesum neyðardali
neyðardjór	(stb.)neyðardýr,neyðardjórið, nú ert tú afturstrevaður við torvinum
neyðardýr	illa fyrikomið og hjálparleyst fólk (el.vera) sum synd er í, neyðar menniskja, stakkal, armingi, olmussudýr,hon gekk skóleys og klædd í spjørrum sum tað versta neyðardýr;hann er eitt satt neyðardýr;hestarnir, neyðardýrini, fingu ikki at eta sum vit;nú, neyðardýrið!lukka, vælsignaður(sagt serst. við børn)
neyðaregg	óvanliga lítið egg, pínegg
neyðarfár	neyðar menniskja(Sv)
neyðarfostur	(stb.)mistrivningur
neyðarhús	fátækt hús
neyðarkall	boð send út til at biðja um hjálp(í neyðstøðu),skipið sendi út neyðarkall
neyðarkor	neyðarsligel.fátækslig lívskor,hann livdi í neyðarkorum
neyðarligur	(sj.)neyðarsligur,hon var neyðarlig til heilsuna
neyðarlív	neyðarsligt lív,her hevði verið slíkt slit og sovorðið neyðarlív
neyðarmaður	maður sum livir í neyð og armóð, fátækur maður
neyðarnartl	(plfr.)slag av nartli (4)(Anagallis tenella)
neyðarróp	róp um hjálp(frá e-m ið er staddur í neyð),rópa neyðarróp;neyðarrópini hoyrdust
neyðars	neyðar,teir neyðars móðurloysingar
neyðarseil	(á fiski)tað ytsta tunna í kjaftseil á fiski, veikaseil,húkurin stóð í neyðarseilini, tað skrædnaði úr henni, tá ið eg skuldi taka fiskin inn
neyðarsligur	sum lítil og eingin dugur er í, skroypiligur, ússaligur, vesalur, vánaligur,eitt neyðarsligt lív;eg havi ikki hitt neyðarsligari manning(lakari);hon var so rak og neyðarslig(lítil og visalig);hj-liga
neyðarsmør	smáir smørbitlar sum koma í nýmjólkaða mjólk(t.d. av tí at kúgvin er køld el. illa hirsin úti í haganum),fárasmør (1)
neyðarstandur	standur við neyð og armóð, tað at illa stendur til, vánaligur standur, neyðarstøða, neyð,á, tann neyðarstandur
neyðarstund	(bíbl.)stund tá ið ein er neyðstaddur,á neyðarstund
neyðarstøða	neyðarstandur
neyðarting	(sj.)neyðardýr, armingi, stakkal,eitt neyðarting
neyðartíð	tíð við neyð og armóð, ógvuliga ring tíð
neyðbitin	(sj.)bitin tætt at rótini, púrasta avetin, (meir enn) rótbitin,trøðin er neyðbitin
neyðbluss	bluss tendrað til at boða frá neyðstøðu
neyðbragð	neyðbrá,tað eru einans sjey seingjarpláss, men í neyðbragði kann verða reitt upp til tíggju
neyðbrá	hí osb. sumgera e-t í neyðbrá(í eini knappari vending)
neyðbremsa	1bremsa at nýta í neyðstøðu2(ítr.)(í fótbólti)tað at steðga mótstøðuleikara á óregluligan hátt(tá ið hann hevur møguleika at skjóta mál)
neyðbróta	bróta av bonskleika, harðligari viðferð, í neyðstøðuo.tíl.,árin er neyðbrotin
neyðdoypa	(átr.)bráðdoypa
neyðdópur	(átr.)bráðdópur
neyðdyr	dyr at nýta í neyð-el.vandastøðu
neyðelta	(stb.)elta tráliga, renna eftir, jagstra (e-n eftir e-m),hann neyðelti hann fyri at fáa brennivín
neyðflagg	(sjóm.)flagg sum tekin um at ein er í neyð,flagga við neyðflaggi
neyðfullur	ið veldur neyð og pínu, pínufullur, kvalafullur
neyðga	sbr.neyðska
neyðgifta	(kvæð.)noyða til at giftast við sær,áðrenn tú frúnna neyðgiftir, sveitkast tær um ennið
neyðhalda	tvíhalda (1),neyðhalda sær í (e-t);so harðført var, at teir máttu neyðhalda sær í bilin(krøkja seg í);(flutt m.)teir neyðhalda um støðu sína
neyðhavn	havn ið skip og bátar søkja fyri óveður, skaðao.tíl.,teir noyðast at taka neyðhavn í øðrum bygdum, tá ið ikki er komandi til lands í heimbygdini
neyðhjálp	1bráðfeingis hjálp í neyð,ein løstað ár kann vera sum ein neyðhjálp at hava við í bátinum;slíkur studningspolitikkur er bert ein neyðhjálp2hjálp til neyðstødd fólk,Neyðhjálp fólkakirkjunnar
neyðhjálpari	(sj.)ein ið altíð er fúsur at hjálpa tá ið tørvur er á
neyðiliga	neyðuliga
neyðindi(r)	h flt26(stb.)í osb.gera síni neyðindi(r)hjálpa sær sjálvum, loysa sær buksurnar
neyðkeyp	(sj.)ognartøka
neyðkomin	kominel.staddur í neyð, illa fyrikomin
neyðlátur	tað ikki at fáa barað sær fyri látri,hon svarar við illa fjaldum neyðlátri
neyðlenda	1(um flogfar)lenda (2) aðrastaðni enn ætlað(vegna maskinbrek, illveður el.tíl.),flogfarið mátti neyðlenda, av tí at ólag var á motorinum2(um bát)lenda (1) aðrastaðni enn ætlað, seta upp(t.d. av illveðri),ein kirkjubøbátur neyðlendi í stormi og kavaroki í Skopun
neyðlending	tað at neyðlenda
neyðljós	ljós ið vísir til neyðdyr,rýmingarleiðir og neyðdyr skulu hava neyðljós
neyðloysn	(bráðfeingis) loysn (3) í trongstøðu
neyðlygn	ósannindi ið ein tekur til í trongstøðu, hvít lygn
neyðmikil	neyðfullur
neyðpíndur	píndur av neyð og trega, pínufullur, kvalafullur
neyðrakett	rakett (2) send upp til at boða frá neyðstøðu(serliga av bátiel.skipi)
neyðrot	tað at blettir eru á barkaðum roð har ið tað ikki hevur tikið við barki(av tí at skinnið hevur verið ójavnt rotað)
neyðrota	(um skinn el. roð)rota ójavnt so at ullin hongur eftir í støðum,tú mást hyggja dagliga, so at tað ikki neyðrotar;roðið verður flekkut, tá ið tað er neyðrotað
neyðroyta	1royta ov nógva ull av seyði(ið ikki er nóg væl filaður),nú neyðroytti tú seyðin;neyðroyt hatta ikki, hatta er ikki so væl filað;tak av ærini um hálsin, so hon ikki er loðær, men neyðroyt hana ikki2klippa hárið ov snøgt,hann er neyðroyttur
neyðróður	(skip.)bráðfeingisróður(fyri mist róður)
neyðsegl	bráðfeingissegl(fyri mist el. skrætt segl),roynt varð at seta neyðsegl á skipið
neyðsemja	semja 1 har ið báðir partar slaka í upprunaligu krøvum sínum[da.kompromis]
neyðsend	ferð neyðstøddum til hjálpar,fara í neyðsend(eftir lækna, jarðarmóður, prestio.tíl.)
neyðsendarbátur	(gl.)bátur nýttur til neyðsendarferðir
neyðsendarboð	boð (1) eftir alneyðugari hjálpt.d.læknahjálp
neyðsendarferð	alneyðug ferðserst.við báti(tá ið e-t er áfatt),fara neyðsendarferð
neyðsendarróður	(gl.)róður 1 eftir hjálp fyri e-n sum er í neyð(t.d. eftir lækna, ljósmóður)
neyðsendarørindi	alneyðugt ørindi (1) fyri neyðstaddan, neyðsynjarørindi,gerael.fara neyðsendarørindi
neyðsigling	vandamikil sigling í ringum líkindum
neyðska	(gl.)noyða, kroysta, neyðga, tvinga seg,hann neyðskaði alt vatnið niður í seg;hon neyðskaði seg til at brosa
neyðskaddur	(stb.)noyddur,vit eru neyðskadd til at hava børnini við í arbeiðinum
neyðskot	skot frá neyðstøddum(ið tørvar hjálp),neyðskot frá einum skipi, ið rak undir land
neyðskræða	skræða (t.d.plagg, sildagarno.tíl.) av bonskleika, ringari viðferðel.neyðstøðu
neyðspark	(ítr.)tað at noyðast at sparka bóltin út av vøllinum illa trongdur av mótstøðuleikara
neyðstaddur	staddur í neyð, komin í neyð,hjálpa neyðstøddum børnum
neyðstandur	neyðstøða
neyðstøða	hættislig støða, neyðstandur, neyð (1)
neyðsyn	tað ið krevstel.er fyri neyðini, tørvur,fyri neyðsynjar sakir
neyðsynd	neyðsend
neyðsynjargerð	gerð ið alneyðugt er at fremja
neyðsynjarlutur	neyðugur lutur
neyðsynjarmál	e-t ið er alneyðugtel.hevur alstóran týdning,(kvæð.)tað er unga Jatvarði til neyðsynjarmál
neyðsynjartørvur	sera stórur tørvur
neyðsynjarvøra	vøra ið hevur alstóran týdning, neyðturvilig vøra
neyðsynjarørindi	1neyðsendarørindi,teir fara neyðsynjarørindi á nátt sum á degi2ørindi (1) til at kasta sær av vatninum,hann fór eini neyðsynjarørindi
neyðsynligur	neyðturviligur,nú kundi hon keypa alt, sum neyðsynligt var til jóla;hj-liga
neyðsynt	neyðsynligt, neyðturviligt,einki var so neyðsynt sum korn
neyðtaka	1tvinga til samlegu2(flutt m.)oyðileggja, skemma,gravkýrnar hava neyðtikið bøin
neyðtrongdur	1illa staddur, staddur í neyð,vit vóru neyðtrongdir av einum hvali2neyðturviligur, neyðugur,tað er ikki neyðtrongt3sprongdur í landi, bløðrusprongdur
neyðturvandi	neyðturviligur
neyðturviligur	neyðugur, alneyðugur, lívsneyðugur,neyðturviligar vørur;vit hava tann neyðturviliga kunnleikan;hj-liga
neyðtænasta	tænasta veitt í neyðstøðu
neyðtøka	1tað at neyðtaka (1)el.verða neyðtikin2tað at neyðtaka (2), oyðilegging, spilling
neyðtørviligur	neyðturviligur
neyðugleiki	tað at vera neyðugur, tað at e-t er neyðugt
neyðugur	1ið hevur alstóran týdning, ið er fyri neyðini, ið tørvur er á, alneyðugur, neyðturviligur, neyðsynligur, tiltrongdur,hvør fekk so mikið, sum hann hevði neyðugt tann dagin2(gl.)treyður, ið ikki vil,neyðuga førdu teir Ingibjørg hennara borgum frá(ímóti hennara vilja)3(stb.)neyðugtfyri neyðini;her er einki sjónvarp í húsinum, tað er neyðugt;teir høvdu ikki neyðugt at stása seg upp fyri gentunum;sms. t.d.al-,bráð-,lívs-,ó-
neyðuliga	hjí osb.neyðuliga staddurilla staddur(t.d. fíggjarliga)
neyðverja	1sjálvverja2slitið plagg ið tó er ov gott til at blaka burtur
neyra	júka, meyla, knarra, bidda,børnini neyraðu um at fáa bita;eg neyraðist og júkaði um at sleppa við
neyring	júk, jabb, meyl
neys	sínjósa
neyst	skýli til bát(ar) niðri við sjógv,har var bátur í hvørjum neysti;sms. t.d.kongs-
neystadyr	dyr á neysti,nasarnir vóru sum neystadyr(víðar og stórar)
neystakjaftur	neystadyr
neystaloft	loft (1) í neysti
neystatoft	toft av neysti
neystaveggur	veggur á neysti
neyt1	1stórt kleyvdýr hildið fyri mjólk og kjøt(kúgv, tarvur, kálvur, oksi)(Bos),fara til neyta(r)fara í hagan at mjólka kúnum,ganga til neyta(r)ganga í hagan at mjólka kúnum;koma frá neytum;tarvurin var í neytunum(ímillum neytini);tær royndu at fáa tarvin úr neytunum;sópa undan neytumel.neytunum,sísópa (2)2býttlingur, tápulingur, tjórneyt (1),títt neyt;sms. t.d.arbeiðs-,avdeyða-,dráps-,ekur-,feiti-,geld-,heima-,innstøðu-,kjøt-,lív-,mjólk-,rak-,tjór-,ung-
neyt2	sínjóta
neytaavroð	avroð av neyti
neytabakki	k1/3í osb. sumringur neytabakkibakki (1) har ið vandi er fyri at neyt detta oman
neytaband	neytsband
neytabarn	(gl.)barn ið situr hjá neytum úti í haganum
neytabásur	básur (1) hjá neyti
neytabein	kúgvarbein(t.e. skeivt upp á bein)
neytabiði	(gl.)mjólkarbiði(at bera mjólk heim úr haganum í)
neytabit	bit 1(3) hjá neytum
neytabiti	(stb.)bitiel.breyðflís til óvita aftur fyri at reka kúnna til hús(tá ið neytini gingu út og inn)
neytabløðra	landbløðra úr neyti
neytaboð	(gl.)boð (1) um at fara til neyta(r),hvør neytakona gjørdi neytaboð fyri eina viku í senn
neytadagur	(gl.)dagur tá ið farið varð til neyta(r),tá ið líður á heystið, kann mangur neytadagur vera ótespiligur
neytadrongur	(gl.)drongur ið goymir at neytum
neytadrýlur	(stb.)neytakonudrýlur
neytaeydna	tað at hava eydnu við neytahaldinum,hann hevði góða seyða- og neytaeydnu
neytafetil	(gl.)fetil sum biði varð borið í
neytaflokkur	flokkur av neytum(í haganum)
neytafloti	(stb.)neytaflokkur;sbr.rossafloti
neytafóður	fóður 1(1) til neyt
neytagarður	garður (1) til at forða fyri at neyt ganga seg útav, forræðisgarður
neytageil	geil (1)
neytagerði	neytatrøð
neytagonga	(gl.)tað at ganga til neyta(r), neytagongd,neytagonga er nú burturdottin
neytagongd	(gl.)neytagonga
neytagryvja	(Myk.)neytageil
neytagøta	gøta at reka neyt eftir(í haganum)
neytahaft	haft (1)
neytahagi	hagi til neyt, neythagi
neytahald	tað at hava neyt,fólkið livdi mest av seyða- og neytahaldi
neytahali	hali á neyti, neythali
neytahorn	horn (1) áel.av neyti, neytshorn
neytahúð	húð av neyti, neytshúð
neytahælur	hælur at tjóðra neyt við
neytahøgur	neythøgur
neytahøvd	høvd áel.av neyti, neytahøvur, neytshøvd
neytahøvur	neytahøvd
neytajøkil	(stb.)hagi avbitin av neytum,tað er ikki gott hjá seyði at koma afturumaftur á henda neytajøkilin;sbr.rossajøkil
neytakjøt	kjøt av neyti
neytakleyv	1kleyv 1(1) á neyti,har var ikki ein neytakleyv at síggja(einki neyt)2kúgvarbein(t.e. skeivt upp á bein),vera neytakleyv;hann er neytakleyv
