R	rómv. taltekn fyri 80
renna2	1(um vætu)flóta, dríva, seyra, seta 3(8), streyma, fossa,(kvæð.)jørð við eitri rennur;vatnið rennur í takrennu;henda áin rennur nógv undir heilum;tað rann úr hvørjari fjøður(dryppaði, drap);sveittin rennur úr hvørjum tráð(drívur);tað rann ikki vatn ímillum teirra,sívatn2bráðna, tiðna, smelta, svinna, minka,spikið rennur so illa(svinnur tá ið kókað verður),renna væl(um spik ið brætt verður)geva nógv lýsi3fara við (miklari) ferð, haldael.brenna avstað, leypa, skunda (sær),renna kapp;eg sá hann fara rennandi eftir vegnum;laksurin rennur niðan í áirnar at gýta;eg visti, kalvi kundi renna so langt, at hann fór við øllum snørinum;snørið rennur(fer niður á botn);meðan snørið rann niður, hevði abbi skorið sær eitt agn av sildini;tað er óført, ein bátur kann renna, tá ið sjóslætt er;skipið rann lættliga undir seglunum;(kvæð.)Ormurin rennur, árar leika í tolli4halda leiðina, stevna,tó at Golfstreymurin altíð setur sama veg, rennur streymurin í Føroyum ymsar vegir5vaksa skjótt, vaksa eftir stuttari tíð,hornið rennur;sumt fell millum tornir, og tornirnar runnu upp og køvdu tað6(um tíð)fara skjótt aftur um bak, gangael.líða skjótt,tíðin rennur;øldir runnu;tað árið, sum nú rennur, kann ikki kallast nakað ringt seyðaár(sum líður móti endanum)7(um sólina)rísa, koma upp;sbr.sólarrenning8í osb. sumrenna e-m í hugel.hugakoma e-m til hugs;tað rann fram fyri meg(datt mær í hug);spurningurin rann fram fyri hann;minnini renna fram fyri meg;renna e-m í minnidetta e-m í hug;tá rann honum í minni, at...;hvat um vegin rann(hendi, viðurfórst);nú rann henni ilt í sinni;lata reiði rennasleppa reiði leysari;hann letur av reiði renna;renna møðinahvíla seg, rinda møðina;lata møði renna;renna snælduna at enda(lúka 2(1), enda 1);hevði eg ikki verið so sjúkur, so skuldi eg runnið snælduna at enda(gjørt verkið liðugt);seyðurin er runnin(brundaður)viðfs/hjrenna afturgrógva saman aftur,hon visti, at brotna beinið rann aftur fyrr ella seinni;renna at:sinnið rann at honumhann gjørdist illur;tá ið hon raknaði við, var tað sum vitið rann aftur at henni(hon visti til sín aftur);spakuliga rann vitið at honum;renna av:tað rann av honumhann gjørdist edrúur;sum kvøldið líður, rennur ølið av aftur risunum;nú er avrunnið;tað bragdliga og stórbæra lagið var heilt runnið av honum(horvið);møði av honum rannhann gjørdist ómóður;seyðurin rann av(steðgaði ikki á savningini);renna e-n avrenna skjótari enn ein annar;renna á:tað rann á hannhann fekk kenning;møði rennur á hanahon verður móð;vitið rann aftur á hannel.at honumhann raknaði við aftur, fekk vitið aftur;lata hvíld renna á seg og sita og hugsa(hvílast);renna eftir:renna eftir (e-m)halda eftir, elta,renna eftir konufólki;tað rennur so illa eftir tær, tá ið tú hevur etið ræsta grind(rennur so illa upp aftur);renna samanleypa saman(í samfelda heild),litur firvaldsins rennur saman við tað, hann situr á;søgn og søga renna saman í eitt(verða ein heild);renna samanblandast(t.d.um litir),tað rann saman aftur millum teirrateir gjørdust vinir aftur;har runnu ástir samantey gjørdust góð;renna samanel.renna saman aftur(umt.d.beinbrot)grógva aftur;renna undan:renna undan (e-m)flýggja,ótangarnir runnu undan, tá ið løgreglan kom á staðið;kyrrindini runnu undan(vórðu uppi);renna undir:renna undir høggið,síhøgg;renna upp1vaksa skjótt2renna upp fyri e-mverða e-m greitt;tað rennur upp hjá teimumtey fáa orðið fyri seg(serst. um slatur);nú rennur upp hjá mærnú skilji eg ikki meir;dámligt er tað ikki, tá ið sunnan rennur upp við sóltað boðar ikki frá góðum at sólin skínur á morgni tá ið hann er sunnan í ættini(tá fer at regna),rann landsynningur upp við sól, var dagurin ikki álítandi;nú rennur nýggj tíð upp fyri Føroyar(kemur);renna upp afturkenna ferilin av smakki í munninum(eftir at ein hevur etið treystan mat);renna uppí:báturin rennur uppí(upp í vindin);renna út1spíra 2(2),setin er útrunnin2fara úr gildi,sáttmálin rennur út á nýggjárinum;renna við:tá rann vitið við megtá klárnaði fyri mær, tá skilti eg;renna yvirflóta yvir,vatnið rennur yvir í baðikarinum;sms. t.d.hálv-,kapp-,kring-,ov-,stein-
renna3	1lata streyma, floyma, fossao.s.fr.,stoyta (5), koyra (8),renna niðurstoyta niður (av óvart);hann rendi mjólkina í seg(kulkaði);renna korka aftur yvir steinamosa2lata renna 2(1) út, úthella, hella 2(3),hann mangan sveitan rendi;renna av (e-m)hella av, stoyta av;løgurin var rendur av, áðrenn uppúr varð lagt;renna løgin av døgurðapottinum;renna leysablóðtøma krovið fyri leysablóð;sbr.øsa 2;eg kom heim á kvøldi, sum konan sat og rendi mjólk at ysta3lata fara (skjótt), skjóta,renna eygunilata eyguni flytast í ymsar ættir, loypa eyguni, kveita;renna eygum víðalíta víða um;renna garn(í veving)vinda upp á rennibora;renna vev4koyra út, skúgva burtur, tveita (1), blaka (1), senda 2(3),renna e-n á dyr;reiður rendi hann hana burt;renna e-n um kolltaka av fótum;renna undir (e-n)skumpa undir (e-n)5koyra úr starviel.embæti, koyra frá, siga burtur,hann varð rendur6(handv.)dreya (1),renna træ7lata fara, lata hvørva,í osb. sumrenna møðinael.møðinihvíla seg, rinda møðina;lata møðina renna;hann setir seg á ein hvílingarbakka at renna møðina av sær;lata møði renna;renna reiðinisissa seg, sissast;mær rendi kenslu á (hann, tað)(eg bar kenslu á, helt meg kenna)8bora, stinga (1)(e-t ígjøgnum e-t annað),renna ígjøgnum;hann rendi knívin í hann;rennir til hansara við spjótinum(stingur hann)9lata síga, lina,renna niður(t.d. seyð);tað varð rent til báts;renna seyðin niður í bátin10halda avstað við nógvari ferð,gammurin rendi í loftið upp;á Birtingsskóg hann (hesturin) rendiviðfs/hjrenna ástoyta ímóti,renna á land;skipið rendi á land;bilurin rendi á ein garð;renna í:nú renna vit okkum beint í eina grind(komu fram á);renna í botnlata snørið taka botn, ræsa 3;renna ímótistoyta ímóti;renna samanrenna á (e-t/e-n annað/annan),tveir bilar rendu saman;renna seg:renna seg fastan1ikki kunna koma úr stað,hann rendi seg fastan í kavanum2koma í kløtur, koma í rasshaft;sms. t.d.for-,koll-
rennan	tað at renna 2(3), (óstortslig) renning, tuskan,mong halda, at tað er trampan, rennan og skrálan, sum skapar dansin
rennari	1ein ið rennur(t.d.kapprennari)2landastrok, vallari3(kvæð.)gangari (1),Tíðrikur leyp á rennaran4slag 1(1), stoytur (1), leðrari,hann gav havrinum ein rennara millum hornini5(borð)leypari, dregil (7), langmotta6(sjóm.)fiskur (toskur) komin aðrastaðni frá(upp í annan fisk),renningur (4);sbr.íslands-
rennibori	(handv.)amboð til at renna garn við til vevingar
rennibreyt	(ítr.)renningarbreyt
rennifjøl	rullifjøl
rennihjól	fjøl við tveimum hjólum og stýrisstong upp av fremra hjóli(ferð koyrd á við øðrum fótinum),renningarhjól
rennihurð	skjótihurð
rennikavabøkil	hvítur rundur skýbøkil ið boðar frá rennikava
rennikavaskýggj	skýggjel.skýbólkur ið boðar frá rennikava
rennikavaæl	æl við rennikava
rennikavaælingur	ælingur við rennikava,nú rann alt saman aftur í rennikavaælingi
rennikavi	vátur kavi(helst bleytari enn vátakavi),(fólktr.)tá ið kúgv stendur og sleikir, veit hon rennikava í
renniknútur	(sj.)lykkjuknútur
rennikrím	(lækn.)krím sum hevur við sær at nógv rennur úr nøsini(rhinitis),hon fær rennikrím, serliga um tað dumbar úr hoynum
rennikúla	lítil blýkúla(minni enn byrsukúla)ið ikki fyllir byrsupípuna heilt(fleiri saman í einum skothylki),(kvæð.)løða byrsuna við krút og høgl og rennikúlur sjey
rennil	1áfløt klingra(av viðiel.grindageisla)á endanum á handsnældu og rokkasnældu(virkar sum sveivhjól)2klingra av grindageisla, grindarennil(tvey hol borað í til snurru)3(dj.)trýni á svíni, svínstrýni(tað flata fremst á trýninum)4tað ytsta á hestafansi5stavnur (3), jassur (1)6(tøkni)malandi lutur í ravmagnsgerao.tíl.[da.rotor]
rennilag	tað hvussu fólk rennur(eyðkendar rørslur tá ið ein rennur),hann hevur tungt rennilag
rennilás	dragulás, snarlás
rennimát	(handv.)amboð við flytandi slá til at máta tjúkt og vídd við, skjótilæra
renning	1tað at renna, rensl2(í rakstri)leiðel.rás hjá seyði,vit kunnu ikki teppa renningina hjá seyðinum3(í veving)tráður upp og niður í vevi(sum vefturin verður drigin ígjøgnum),garn (2)4tað at renna niður(snøri),hann fekk tveir í renningini;sbr.heinti5stað har ið sígt verður6renninginel.renning aftur og frambindingarmynstur(HMD Bindm.41);sms. t.d.aftur-,at-,av-,boð-,forða-,frá-,huga-,kapp-,land-,niður-,posa-,saman-,skíð-,sólar-,stein-,undan-
renningarbreyt	(ítr.)long breyt til kapprenningar, rennibreyt
renningarhjól	rennihjól
renningarlag	tað hvussu ein rennur, háttur at renna,hesturin er viðgitin fyri vakurt renningarlag
renningarlop	tað at gera rend á seg áðrenn lopið verður,gerael.fáa sær renningarlop;í kæti gjørdi kúgvin renningarlop á seg og tað so dyggiliga, at tjóðrið slitnaði;menn komu við renningarlopum(við ferð rennandi)
renningarstev	renningarstig
renningarstig	(í føroyskum dansi)tað at dansa mestsum rennandi(serst. meðan niðurlagið verður kvøðið)
renningarstrongur	(sj.)rennistrongur
renningarvatn	vatn sum dryppar úr e-m(t.d.klæðum, snørio.tíl.ið hongur til turkingar)
renningur	1tað at fiti bráðnar ít.d.kjøti ið verður kókað,renningur kemur í2(stb.)rennisúgur,renningur inni í bátahylinum3(plfr.)langur krúpandi leggur sum festir røtur við liðirnar(t.d.á skriðsólju)4(sjóm.)rennari (6)5(stb.)smøl ál av jørð;sms. t.d.kava-
rennisjógvur	rennisúgur,rennisjógvurin fór við hvørt langt niðan í ánna
renniskræpa	tunt skarn, skræpa 1(1)
rennislettingur	æl við vátum kava, vátt kavaavfall, vátaslettingur
rennisót	sót ið rennur(blandað við vatni)
rennistig	renningarstig
rennistólur	(sj.)lyfta 1
rennistrongur	strongur av stáli til at flyta farm, hoyggj, torvo.tíl.oman eftir,alt mátti berast, tí eingin rennistrongur var
rennisúg	(sj.)rennisúgur
rennisúgur	dráttur (7) í sjónum inn og út við strondina, dráttur tá ið sjógvurin skolar út aftur eftir alduskot,børnini runnu kapp við rennisúgin
rennisúgvur	(stb.)rennisúgur
rennitól	(handv.)tól til at renna 3(6)el.dreya (1) við
rennitrappa	rullitrappa
renniælingur	vátur heglingsælingur
rennugravari	lítil gravimaskina(til at grava rennuro.tíl.)
rennustokkur	1renna til mylnu(úr viði),tveir rennustokkar vóru til mylnuna2frárensl niður úr takrennu,tað dryppaði úr rennustokkinum
rennvátur	vátur ígjøgnum, dýggjvátur, gjøgnvátur, kavvátur, dravvátur, at kroppi
rensl	1rennan, tuskan (3),hetta renslið kann ikki halda fram, børnini verða í ørviti2(um hval)ferðing, rend 1(1),á hvørjum ári gjørdi grønlandskópurin stór rensl suður undir Ísland og Finnmørkina;á sumri ger krossnev stór rensl út í onnur lond3rend av fiski á mið,um summarið er ofta gott rensl av hýsu4(við strondina)brim í koming, run;sms. t.d.blóð-,frá-,grinda-,huga-,ring-,út-
rensla	1(um aldu í rensli (4))bróta (2), bresta,nú renslarel.nú fer at rensla2renslastreika um, rekast, flakka (1),børnini verða í ørviti, sum tey renslast um húsið
renslsótt	(bíbl.)sjúkligel.óvanlig úrskiljing av vætu, slímiel.vági úr einum likamsluti,renslsótt og líktrá
renta1	(búsk.)gjald ásett í prosentum í eitt ávíst tíðarskeið aftur fyri at læna øðrum pening(el.fyri íløguro.tíl.),renta av samanspardum peningi;renta av innlánum og útlánum;gjalda rentur og avdrátt;(flutt m.)lata aftur við rentu(í ríkiligt mát);sms. t.d.eftirsetu-,ellis-,innláns-,láns-,lív-,okur-,ovur-,rentu-,sektar-,útláns-
renta2	fáael.lata rentu,renta seggeva ávøkst (3), loysa seg;renta innvera til fyrimunar, geva av sær(Sv)
renting	(búsk.)tað at renta seg, tað at bera rentu, tað at geva av sær búskaparliga
rentlast	renslast,ganga úti og rentlast við hinum dreingjunum;rentlast havn úr havn
rentufótur	(búsk.)tal fyri hvussu nógva rentu peningaupphædd gevur eitt ávíst tíðarskeið(vanl. roknaður sum prosent um árið),rentufóturin er 8%
rentufríur	(um peningaupphædd)sum ein ikki skal gjalda rentu av,rentufrítt lán;lánið er rentu- og avdráttarfrítt tey fyrstu árini
rentuinntøka	(búsk.)inntøka í rentum(t.d.av virðisbrøvumel.peningi í banka)
rentukamar	(søg.)fíggjarráð iðm.a.umsat inntøkur og útreiðslur hjá danska ríkinum(fram til 1848)
rentuleysur	(búsk.)ið renta ikki verður goldin av, við ongari rentu,rentuleyst lán
rentumaður	(búsk.)ein ið livir av rentumo.tíl.(av ognum sínum)
rentumeistari	(søg.)embætismaður við ábyrgd fyri Danmarkar roknskapi í einaveldistíðini
renturenta	(búsk.)renta av rentu(m)
renturokning	(støddfr.)tað at rokna rentu
rentuseðil	(búsk.)skjal ið prógvar vinningsbýti og rentu(fylgir við lánsbrøvum og partabrøvum)
rentuskattur	(búsk.)skattur (1) av rentuinntøkum
rentuskái	(búsk.)tað at fáa rentur av láni útsettar eina tíð,landsstýrið bað donsku stjórnina um rentuskáa
rentustig	(búsk.)stødd á rentu át.d.lánsveiting(ásett í prosentum),rentuútreiðslurnar eru mettar at lækka orsakað av tí lága rentustiginum
rentustudningur	(búsk.)studningur sum tað almenna veitir við at gjalda rentur av byggiláni(t.d. meðan skip er í gerð);sbr.studningslán
rentustuðul	(búsk.)stuðul frá tí almenna til at gjalda rentur avt.d.sethúsaláni,rentustuðul til sethúsaeigarar
rep	(skip.)tað at minka segl(við at binda tað niður við replissu ígjøgnum kósir 3 í trimum røðum),taka rep í;teir tóku tvey rep niður;teir lógu bakk við tveimum repum niðri
repa	1(skip.)minka segl, taka niður rep,repa seglini;hvat sigur tú, repa í hesum Harrans veðri?;repa niður á slætttaka øll rep í;repa seglini;(flutt m.)leggja minni fyri, tátta í, fara varligari fram(í fíggjarmálumo.tíl.),fyritøkan hevur repað seglini í seinastuni2(skemt.)gerast brúnasíður, ilskast í andliti,hon fór so smátt at repa(at síggja grísk út)
repanarknútur	(stb.)rættur knútur, ferastaknútur (1)
repfetil	(bát.)eitt av stuttum bondum á bátssegli til at repa við
repil	rað (1), riðil, hópur,ein repil av tunnum stóð á dekkinum;við einum repli av dreingjum
replissa	(skip.)lissa 1(1) at repa við,replissan varð skorin í og repið táttað
repp	1lítið mið, plinkur2reppur (2),nú kemur alt reppið(harkaliðið)(um óbodnar gestir)3í osb.vera um reppið(sagt tá ið e-t eydnast í evstu løtu so at ólukkan ikki hendir),tað var um reppið, at teir ikki fóru til hendurs(um tað lagið, men bundu tó frið);tað var um reppið, at teir ikki vunnu upp land(ikki meir enn, kláraðu tað við neyð og deyð);tað var um reppið, at flogfarið ikki datt niður(um eitt hár gjørt);tað var um reppið, at eg ikki mátti gevast at koyra;tað stendur um reppið hjá teimum(er um at fara av knóranum);hon er kvik, tá ið tað er okkurt, sum er um eitt repp(tá ið tað er okkurt serligt ið hevur skund)
reppur	1landslutur, landspartur(Sv)2flokkur av fólki, repil,nú kemur allur reppurin3(stb.)óargaungi,hann er ein reppur4(stb.)í osb.tað var um reppintað var um reppið;sms. t.d.íra-
resept	(lækn.)læknaávísing (1)
ress	sbr.rest 3
ressast	1koma fyri seg (eitt sindur), batna nakað, styrkna(um sera sjúkt fólk),ressast við;hann ressaðist við av og á, men ongantíð so mikið, at hann fekk skilið2kvaklast við, rakna við, rumsast við(áðrenn ein vaknar),hon ressaðist ikki við, hóast tann nógva larmin;tá ið fuglurin er komin og fer at taka berg, tá ressast fuglamenn við;tað vardi ikki leingi, so fór gesturin at ressast á og mátti út
rest1	leið við sera hørðum ráki, meldurstreymur, røst 1,Restin(sunnan fyri Sumbiarendan)
rest2	avlop, leivd
rest3	hvíld,hvørki rest ella rógv(Sv);sbr.ress
resta	vanta, tróta, skorta,enn restar okkum nógv;honum kom at resta nakað av handilsviði til at fáa húsini liðug;restael.resta áel.resta ívanta í;hann fekk tað, ið áel.í restaði
revagarður	garður (4) har revar verða hildnir(fyri skinn)
revaleikur	(spæl)útispæl(ein er revur og roynir at fanga hini ið royna at skáka sær undan)(MSH Gl. g. III135)
revastrá	h4í osb.taka revastrá(slag av happadrátti í barnaspæli)draga grasstrá úr bundi har ið eitt hevur knút(í bundinum eins nógv strá og børn),ikki varð tikið revastrá meiri enn ta einu ferðina(MSH Gl. g. III136)
revil1	1ál (1), leingja 1(2)2listi 1(serst. úr viði)at leggja uttan á samankoming millum borð (4) í klædningi
revil2	(stb.)røvil
revla	1leggja revlar 1(2), klæða við revlum(t.d. hús)2lýsa, lætta,hannel.tað revlar í mjørkanumel.mjørkan(lýsir í, glottir í)
revlaklæðing	klædningur (2) við revlum
revolvari	lítið skotvápn(at hava í hondini),skammbyrsa, pistól
revsa	geva revsing, tykta, straffa, aga (1),revsa e-n fyri e-t;teir skulu revsast fyri illgerðir sínar
revsali	h24:skifta revsali1skifta sess eftir at hava sitið leingi á sama stað(t.d. við tøting)2gamalt spæl(Sv Indb.1178)
revsast	ressast,revsast við aftur
revsiarbeiði	(løgfr.)tvingsilsarbeiði sum partur av revsing
revsiábyrgd	(løgfr.)skylda at átaka sær tær rættarligu fylgjurnar av lógarbroti,førarin hevur revsiábyrgd av, at øll undir 15 ár sita í trygdarbelti
revsidómur	(bíbl.)dómur ið hevur revsing við sær,við stórum revsidómum
revsifangi	(løgfr.)fangi ið situr dóm í fongsli(fyri lógarbrot)
revsilóg	(løgfr.)lóg um revsing fyri misbrot
revsilsi	(stb.)bati í ringari sjúku;sbr.revsast
revsimál	(løgfr.)mál viðv. revsiverdari gerð
revsing	tað ið ein má líða fyri framt misbrot, tað at revsa, tað at verða revsaður, straffur;sms. t.d.deyða-,fongsuls-
revsingar-	sms. t.d.-ár,-arbeiði,-dagur,-dómur,-fangi,-lóg,-orð,-regla,-stund,-tími,-treyt
revsingarleysur	(gl.,løgfr.)uttan revsing, órevsaður
revsirættur	(løgfr.)1rættur til at revsa2rættur 1(2) ið viðger revsimál
revsitollur	(búsk.)eykatollurel.avgjald lagt oman á tann vanliga tollin,ES umhugsar revsitoll á føroyskan laks
revsiverdur	(løgfr.)verdur revsing,revsivert virksemi
revskinn	ein ið er lúnskur og skálkakendur, skálkur 1, beist, lúsakjálki,hatta revskinnið!
revsmaki	ein ið er snildur sum revur,revsmaki hevði hann altíð borið orðið fyri at vera
revtík	(dj.)revur av kvennkyni,revtík leggur bert eina ferð um árið
revur	1(dj.)ránsdjór av hundaætt(við longum ývnum hala)(Vulpes vulpes),(spæl)renna rev;revur er komin í hagan(sagt tá ið sólin aftur um várið er komin so høgt á himmalin at skuggar av skýggjum síggjast á jørðini)2ein ið er lúrin, falsari,hann er ein sovorðin revur;gamal revur3konufólkarevur;sms. t.d.blá-,hára-,hvít-,silvur-
reya	(dj.)rækja(Sv)
reydleittur	reydligur, reyðdæmdur
reydligur	ið ber á reytt, reydleittur, íreyður,við reydligum skeggi;ein reydlig ær
reydlingar	(lækn.)smittandi virussjúka við útslagi á húð og trútnaðum eitlum í hálsi(barnasjúka)(rubella)
reydlitaður	við reyðum liti, reyðlitaður
reydlittur	reyður á liti
reyðadeyði	k1eí osb.fletta í reyðadeyða(í fletting)dálka skinn og krov við leysablóði,hetta hevur tú flett í reyðadeyða
reyðadralvi	(mjólk.)slag av dralva (1)(havdur so leingi úti á eldinum til hann varð reyður)(JCP Hests.23)
reyðagras	reydligt gras(serst. á mó- el. vátlendi)
reyðakkuleya	(plfr.)slag av akkuleyu(Lychnis flos cuculi)
reyðargull	gull reydligt á liti,móts.lýsigull;(kvæð.)alt mítt silvur og reyðargull, tað vil eg geva tær;(kvæð.)hon læt honum vøgguna av reyðargulli gera;eg trúði upp á hann sum reyðargull(fult og fast);goyma sum reyðargull(sum eygnasteinin)
