T	rómv. taltekn fyri 160
tungolja	tung og tjúkk olja[en.heavy oil]
tungrógvin	(um farleið, báto.tíl.)tungurel.tógvin at rógva,báturin er tungrógvin;tað er tungrógvið fram við landinum;ferðin aftur til bygdar er tungrógvin
tungsamur	(sj.)torvunnin, torførur, strævin,tungsamt og stríggið arbeiði
tungsinni	tunglyndi
tungsintur	við tungum sinni, tunglyndur
tungsvøvntur	fastsvøvntur,móts.lættsvøvntur,vera tungsvøvntur
tunguband	band av rovu 1(1) ið festir tað fremsta á tunguni í botnin á munnholuni;(flutt m.)tunguband hansara losnaðiel.tungubondini losnaðuhann gjørdist lættari fyri málinum;hann hevur tunguband(ringar talugávur);hann er ikki skorin fyri tunguband(hevur góðar talugávur);vitugur maður og ikki skorin fyri tunguband;væl/illa skorin fyri tunguband(ið)vera lættur/tungur fyri málinum
tungubein	(lívfr.)lítið bein í tungurótini(os hyoideum);sbr.nátturðabein
tungublað	1(góðn.)tunga,tað liggur á tungublaðnumtað skipar fyri munni mínum;(skaldsk.)legg mær bøn á tungublað2framtunga,væta tungublaðiðsmakka sær varliga á
tungufimur	ið hevur góðar talugávur, væl skorin fyri tungubandið, orðfimur, orðkringur,hon er tungufim
tunguleysur	við ongari tungu,(sjónavn)hin tunguleysiskarvur
tungulist	(kvæð.)orðsnildi,Tormaður tók við tungulist;læra kvæði í tungulist(av manna munni, í kvøðing)
tungulættur	ið ikki dugir at tiga, munnlættur,hann fór at iðra seg eftir, at hann hevði verið so tungulættur
tungumál	kervi av orðum við hevdbundnari merking sum fólk nýta til samskiftis(munnligael.skrivliga umt.d.sansaárin, hugsanir, kensluro.tíl.),mál 1(2), tunga (2)
tungumjúkur	smikursøtur (2), sleiskur (1), lifrandi
tungumussur	mussur har ið tungurnar røra við hvørja aðra
tunguoddur	tað fremsta á tunguni, oddur 1 á tungu, tungublað (2),við tunguoddinum millum varrarnar
tungur	1við nógvari vekt (1)el.tyngd,móts.lættur;tungur frakki;kassin er so tungur, at eingin hevjar honum;báturin flýtur tungur í sjónum;tungt fall;sløgini fullu tung, og menn smullu í gólvið;(kvæð.)tungur ert tú í høggunumhørð eru høgg tíni;(kvæð.)gjørdist hann í høggum tungur;tungur svøvnur(fastur)2trupul, nívandi, dapur,tung skepna;tung sorg;tey hava havt mangar tungar løtur;tað fall báðum sera tungt at skiljast;hon var tung, nú tey fóru(hugtung, sorgtung);hann hevur mangt tungt sporið stigið;tað var so tungt, at krákan var deyð(syrgiligt);honum vóru forløg tunghann hevði harða lagnu;tungur í hugahugtungur, tunglyndur3strævin, stríggin, torførur, harður,tungur róður;teir fingu tungan andróður;(orðt.)tungur er tigandi róður,sítigandi;tung gongd;tungt arbeiði;tungt er lønarleyst arbeiði;eitt tungt tak;har mátti mangt tungt tak takast;í báðum bygdum er ógvuliga tungt at draga bát upp;brekkurnar vóru tungar, vit togaðu niðaneftir og tivaðu av møði;málið er nóg so tungt fyri børn(torført);grasið er tungt fyri terranum(ilt at fáa turt);vera tungur fyri málinumhava ringar talugávur, hava ilt við at tosa4(um avgjald, leiguo.tíl.)stórur, tyngjandi,nógvar, tungar rokningar;tung leiga;sbr.leigutungur;hava tungt hús(nógv børn at føða, nógvar munnar at metta)5(um sjógv)síður 1(2),tung alda;tungur sjógvur(ringur);tungur og slafsutur sjógvur6tungførur, seinførur (1),vera tungur á sær;tungur á fótunum7dósin, dølskur,tungur í høvdinum8ið kennir tyngjandi møði, trongur (5),tungur fyri bróstinum;tungur um hjartað;hava tungt við at draga andan(vera trongur);hjtungt;sms. t.d.aftur-,álvars-,brúna-,gróður-,harma-,krops-,kvøld-,lagnu-,morgun-,regn-,sinnis-,svøvn-,vætu-
tungurót	kv12:tungurótel.tungurøturtað aftasta á tunguni móti svølgrúminum
tunguskorin	l26(sj.)í osb.væl tunguskorinvæl skorin fyri tunguband
tungusnild	tað at vera tungusnildur, orðsnildi
tungusnildur	ið dugir væl at orða seg (munnliga og/ella skrivliga), orðhagur (1), orðførur
tungusnjallur	tungusnildur
tungusoppur	(plfr.)slekt av soppi (2)(Trichoglossum),hærdur tungusoppur(T. hirsutum)
tungusøtur	ið hevur góðan (søtan) smakk,tær dámar væl tað, sum tungusøtt er
tungutala	1(átr.)tað í hugtøkuel.sinnisrørslu at tala mál ein ikki hevur lært(av íblástri frá halgum anda)2(flutt m.)ørkymlað og margtýdd tala,nógv av tí, ið sagt varð á fundinum, var rein tungutala
tungutur	við skapi sum tungur,tungutar tenn;hin svarti liturin (á hvali) gongur tungutur niður á búkin;markið sá so tungut út sum ein ljósadúkur
tunguvaksin	l26(plfr.)tunguvaksin krúnakrúna við rundum krúnurøri og tentum krúnukraga ið liggur út øðrumegin
tungvatn	(evnafr.)sambinding av tungum vetni og súrevni(deuteriumoksid)
tungvekt	(ítr.)tyngdarflokkur hjá nevaleikarum (81-91 kg),løtt tungvekttyngdarflokkurin 75-81 kg
tungvunnin	ringur at fáa bilbugt við, trupul, torførur,hatta, veit eg, var tungvunnið at mylda
tunna	1stórt runt stavaílat við gjørðum umel.strokkskapað jarnílat,(tilt.)sum mús í tómari tunnuí alt ov víðum klæðum;buksurnar gloyptu honum, so hann var sum mús í tómari tunnu;(tilt.)standa sum sild í tunnu(um fólk)(sera tætt saman, samanstúgvað, sum gólvtorv);sláa tunnu(r)(á fastalávint)kappast um at bróta hangandi tunnu við gassa(vinnarin er kattarkongur);tómar tunnur buldra mestreyparin hevur tíðum lítið innanfyri;hann reyk sum ein tunna(av brennivíni)2(rúmmál)8 skeppur,7 vágir verða roknaðar til tunnuna;48 kannubarar geva eina tunnu3(skip.)tunnuskapaður kagstaður uppi í mastur át.d.hvalabáti,maður fór upp í tunnuna;sms. t.d.epla-,grinda-,hálv-,heima-,jarn-,korn-,krút-,laka-,lýsi-,olju-,reka-,spik-,tjøru-,tvøst-,vín-
tunnbýttur	smábýttur,tunnbýtt sum allur posamatur;eg havi verið so tunnbýttur
tunnhærdur	við tunnum hári,móts.tjúkkhærdur
tunni	1(á fólki og djórum)tunna síðan millum riv og mjødn, huppur;sbr.tunnvembi;tað er so ringt at verða sligin inn á tunnan2(á fiski)uggi 1, elja 2(1),móts.tjúkki (2)
tunnil	gong (2) undir jørð, berghol (1), fjallasmoga;sms. t.d.frysti-,undirsjóvar-
tunnilsmunni	munni á tunli,nú sæst ljós í tunnilsmunna
tunnisligur	tunnligur,andlitið var heldur tunnisligt av sjúkuni;hann var tunnisligur og bogin;hj-liga,tunnisliga ílatintunnklæddur
tunnklæddur	(ov) lítið ílatin, tunt klæddur;sbr.berklæddur
tunnleittur	rak í andliti, skrámutur (2)
tunnligur	heldur tunnurel.soltin,(flutt m.)heystið frammanundan hevði verið tunnligt(lítið skarst);úrslitið var tunnligtilla royndist;hj-ligaheldur tuntel.illa,tunnliga klæddur
tunnskeljaður	(dj.)við tunnari skel
tunnslitin	tunt slitin(serst.um klæði)
tunnuber	(plfr.)heiðabláber, dunnuber
tunnubotnur	botnur á tunnu,(flutt m.)hendurnar vóru sum tunnubotnar(stórar),sbr.gásarkrov
tunnufjøl	tunnustavur
tunnuggi	tunni (2)
tunnugjørð	gjørð (1) um tunnu
tunnuhválv	hválv við sniði sum innanopin hálvur strokkur
tunnukjaftur	op omantil á tunnu,mánin er so stórur í kvøld sum ein tunnukjaftur
tunnukongur	(í tunnusláttri)heiti veitt honum ið slær tunnuna niður,bæði kattarkongur og tunnukongur fingu steyp afturfyri;sbr.kattarkongur
tunnulendi	bøstykki nóg stórt til at velta eina tunnu av korniel.eplum á
tunnuleypur	leypur ið tekur eina tunnu
tunnumaður	(sjóm.)maður ið er á kagi uppi í tunnu (3)
tunnuposi	posi ið tekur eina tunnu,tveir tunnuposar av korni
tunnupottur	pottur (1) ið tekur eina tunnu
tunnur	1lítil í tvørmáli, sum rættiliga stutt er ígjøgnum,tunnur ísur;veggurin er tunnur;tunt pappír;tunt klæði;(orðt.)tunn eru móður oyru,síoyra 22sum stendur ótættur,tunt gras;tað er tynri í luftini(skýggini ótættari)3sum lítið fast evni er í;eis.(flutt m.)soðið er tunt(um e-t vánaligtel.týdningarleyst),hann royndi at bryggja eina søgu um tey bæði, men soðið var ov tunt;tynri og tynri varð soðið, so hvørt sum børnini trilkaðustalsamt minni var at eta sum børnini vuksu til;(tilt.)tunt er tað blóð, ið ikki er tjúkkari enn vatn,síblóð4(um løg)við lítlari megi, veikur 2(4),tunnur temunnur;sms. t.d.eitur-,natur-,pappírs-,varra-
tunnusekkur	tunnuposi
tunnusláing	tunnusláttur
tunnusláttur	tað at sláa tunnu(serst. á fastalávint)
tunnustavur	stavur (5) íel.av tunnu
tunnutyngd	tunnutyngi
tunnutyngi	tað ið tunna av (rug)korni vigar, o.u. 100 kg;sbr.hálvtunnutyngi
tunnuviður	viður til tunnur
tunnuvirði	(sj.)tunnutyngi
tunnuvirki	virki ið ger tunnur
tunnvaksin	klænvaksin,stórur, tunnvaksin maður;kalvi er tunnvaksin fiskur
tunnvangi	tinningur
tunnvembi	tunni (1)
tunnvembri	(stb.)tunnvembi
tupa	avlangt (gyrðið) hylki úr tunnum (plast)evni(við innihaldi til at kroysta úr),tupa við tannkremi
tupla	(gl.,sj.)tufla
turisamur	(sjóm.)strævin, harður (6),sjólívið er eitt turisamt lív
turistur	fólk ið er úti og ferðast, ferðafólk
turka1	1gera turran,turka klæði;turka sær(t.d.við handklæði);turka sær burtur úr eygunumgníggja eyguni;turka av(uppvask við viskustykki)2taka burtur við at strúka eftir (e-m),turka sveittan av sær;turka sær(skoyna)3virkael.gera til við turking,turka fisk;turka korn;turka kópahúð4(um sjógv)renna (burtur),tá ið sjógvurin endaliga turkaði av aftur(dró út aftur);rennisjógvurin var so nógvur, at alt turkaði úteftir;(flutt m.)tá ið av turkaðitá ið av tornaði,lombini vóru fá, tá ið av turkaði;skipið reisti seg aftur í sjónum, tá ið av turkaði5turkast1gerast turrur,alt turkaðist upp, tí einki regnaði í langa tíð2kunna gerast turrur, torna,hetta træið turkast ikki aftur;sms. t.d.luft-,sól-
turka2	banna (2), blóta (2), svørja (2),banna og turka;hann turki tað, sum tað er vátt
turkadúgva	(fugl.)lítil ljós dúgva(Streptopelia decaocto)
turkageykn	løn til sornkonu(úr hvørjum sorni so mikið ið kundi havast í geyknini í senn)
Turkaland	land í Lítlaasia og Evropa
turkalás	(stb.)hvølpalás
-turkari	síhár-,rúta-
turkasaðil	(lívfr.)lægd í kílabeininum í skallabotninum(sella turcica)
turkaskip	(søg.)ófriðarskip hjá turkum 2(2),um summarið 1629 komu tvey turkaskip inn á Hvalbiarfjørð
turkasteinur	blágrøntel.ljósablátt gjøgnumskygt steinslag(nýttur sum prýðissteinur)[da.turkis]
turkatrúgv	óvikilig trúgv, trøllatrúgv,tað tørvaði turkatrúgv, ovurhuga og óvikandi bjartsýni til at byrja sjálvstýrisstríðið
turkatræ	1ein ið er ógvuliga rak, rakskrokkur, máhamur (1),hon var eitt turkatræ2turrisligt (3) og keðiligt fólk3(stb.)heingingartræ,tað, sum fór ikki til matna, rúgvaði væl á turkatrøunum4(um ljóð hjá lómi)sigur lómur turkatræ, verður gott veður;sbr.varvátt
turkievni	(evnafr.)evni (5) ið fær e-t at torna(t.d.í máling)
turkihús	hús til at turka fisk í(við hita)
turkiklæði	viskustykki
turkilag	steyrar við jarntráði spentum ímillum til at heingjaserst.gras á til turkingar, hessja, hesja
turking	tað at turka,heingja kjøt til turkingar;hon hongdi karmin til turkingar;sms. t.d.fiska-,inni-,korn-,sól-,upp-,úti-
turkingarbót	(gl.)spjørr (1) av e-m slag nýtt sum handklæði,illimaður grætur, varð sagt, tá ið tvey turkaðu sær í somu turkingarbót
turkingarkona	(stb.)sornkona
turkiskur	íel.úr Turkalandi,turkiskt mál
turkitrumla	trumla drivin við ravmagni til at turka klæði í(við heitari luft)
turkur1	1tað at (ov) turt er, drúgt liggjandi turrveður(elvir vatntrot, misvøksturo.tíl.),skerpingur (1)2turkingarbót,eg finni ikki handklæðið, tak hendan turkin;sms. t.d.kulda-
turkur2	1fólk íel.úr Turkalandi2(søg.)muhamedanskur sjórænari úr Norðurafrika,turkar í Suðuroy(FFÆ37)3(niðr.)í osb. sumroykja sum ein turkurroykja illa;banna sum ein turkurbanna illa
turn	skjót rørsla, ferð (2)
turna	1fara við nógvari ferð, stórleypa, stima 2(2), storma, bumsa (2),lambið turnar upp um hól og heyg;hon turnaði runt har inni;turna ágera brádligt viðbragd;koma turnandi2stoyta hartel.brádliga (ímóti), renna ímóti, bumsa (1),turna á
turnips	(plfr.)slag av fóðurrót(Brassica campestris var. sativa rapifera)
turpalapakk	óvandaslag, harkalapakk(Sv)
turra1	gera turran, turka,onglarnir vórðu bornir til hús og turraðir
turra2	fullkomiliga, heilt,í osb. sumturra edrúur;turra tómur;boppan var so turra tóm
turrafrost	frost við ongum avfalli, turt frost, rímfrost, jarðfrost, rím 1,turrafrost var á foldini og allir smáhyljar glerlokaðir
turrakavi	(sj.)turrur kavi
turrakuldi	kuldi við ongum avfalli,jólaaftan kom við turrakulda og frosti
turrarak	tussarak, diddarak,hann var turrarak
turratómur	(stb.)heilt tómur,boppan á ærini er so turratóm(troytt)
turrbankaður	avbukaður,smoykin sum turrbankaður hundur
turrbotnaður	(skip.)við ongum dammi (2),"var tað dammskip?" "nei, hon var turrbotnað"
turregg	eggjapulvur
turrevni	evni ið eftir er av e-m tá ið vætan er frá,turrevni í fóðrinum er vektin minus vatninnihaldið
turrfastur	(um bát)ið stendur oman fyri flóðarmálan,draga bát turrfastan
turrfiskur	turrur fiskur
turrfjaraður	leysur við sjógv á fjøru,turrfjarað sker
turrfjøra	(stb.)háfjøra, meginfjøra,á turrfjøru kemur flesin undan
turrfóður	(bún.)fóður 1(1) í turrum líki (til kríatúr)
turrføsta	(søg.)føsta (1) við einki drekkandi at njóta,í turrføstu mátti ein bert eta plantuføði, breyð og annað
turrføttur	turrur um føturnar;sbr.turrskøddur
turrgeldur	1turrgeld(um kúgvel.ær)fullkomiliga geld 1(2), turrslept,kúgvin er turrgeld(mjólkar einki);eingin gróður hevur verið, so at mong ærin hevur verið turrgeld2(flutt m.)(um fólk)púra uttan hugflog, hugmyndaleysur, lágfloygdur,gevið honum ikki orðið, hasum turrgelda apuspjótinum
turrger	turkað ger til at baka við
turrgosin	kaldur og illa stjølaður(t.d.av at hava verið úti í kulda og vindi),eg eri so turrgosin
turrhosti	(lækn.)hosti við ongum rákael.slími
turriklæð	turriklæði,áskoðararnir runnu allan vegin til hotellið og bóðu um at fáa hattar, húgvur, turrikløð, fløgg og annað, sum hevði tilknýti til føroyskan fótbólt
turriklæði	vovið, bundiðel.hekklað klædnaplagg(til at hava um høvdið, hálsino.tíl.),hálsklútur, høvuðklútur;sms. t.d.bundna-,háls-,høvda-,høvuð-,kasti-,krika-,lumma-
turringur	(Suð.)turkur 1(1), skerpingur (1),av og á miseydnast grøðin av turringi
turrisligur	1heldur klænurel.rak,hon var heldur lítil og turrislig2(um mat)lítil og vánaligur, slættligur (2)3(flutt m.)við lítlum flog, køvisligur, keðiligur,turrisligur lærari;framførslan var turrislig;teksturin er turrisligur at lesa;hj-liga
turrklæði	turriklæði
turrkóka	kóka turrur(so at einki vatn er eftir í),ketilin stendur útiá og turrkókar
turrlátur	kópalátur við munna oman fyri sjóvarmálan;sbr.kavlátur
turrleggja	1(um lendi)leggja turran við at veita vætu burtur,turrleggja teigarnar;hesi seinastu hundrað árini hava menn turrlagt mýrar og heiðar2gera søran við rúsdrekka,hann er turrlagdur
turrleittur	rak í andliti, skarpleittur,kongurin var ein nakað turrleittur, skarpur maður
turrlendi	turt og hart lendi,móts.vátlendi
turrlendur	við turrum lendi,har er turrlent
turrligur	1heldur turrur,veðrið hevði verið turrligt;tvøstið var sera gott, um enn nakað turrligt;har var heldur turrligt við mat(lítið til)2heldur rakel.klænur,frøknutur og turrligur í andliti
turrmjólk	pulvur av uppkókaðari mjólk, mjólkarpulvur(rørt út í vatn gerst tað mjólk)
turrmjólka	mjólka til einki er eftir, troyta (3),at blóðtroyta neyt er meir enn at turrmjólka teimum
turrmodna	1fúna,kalvalínan var turrmodnað og datt sundur2(flutt m.)torna upp, stirðna (2),sita og turrmodna á einum skrivstovukrakki
turrmunnaður	við turran munn, sum einki hevur leskað,tú fert ikki turrmunnaður av húsum!
turrmunnur	k9í osb.sita við turrmunneinki fáa at etael.drekka, sita við turran munn
turroysa	(um bát)oysa so at einki vatnel.sjógvur er eftir í soguni, oysa turran,ikki fingu vit turroyst bátin
turrpiðaður	piðaður so at ikki kjøtslintran er eftir, heilt piðaður,eitt turrpiðað skerpibein
turrsalta	salta við ongum laka,vit turrsaltaðu fiskin;turrsaltað spik
turrskøddur	við turrum skóm,sleppa turrskøddur upp á land;vit sluppu turrskøddir yvir um ánna;sbr.turrføttur
turrsleikja	sleikja turran(t.d.ílat)
turrslept	(um mjólkkúgv)heilt slept, turrgeld (1);sísleppa 3
turrsúgva	súgva tóman,ærin er turrsogin
turrsvimjing	(ítr.)tað at læra svimjitøkini uppi á turrum
turrtíð	(landafr.)árstíð við turrveðri og ongum regni(á økjum í hitabeltinum),móts.regntíð,har verður árið skift sundur í turrtíð og regntíð
turrtoskur	(sj.)turrur fiskur, turrfiskur,eg hekk sum ein turrtoskur í línuni
turrur	1við ongari vætu (í),móts.vátur,turr klæði;lata seg í turt(turr klæði);turt sum njóskur(in)(um hoyggj)skróvturt;tøva í turrum,sítøva 2;tað er turt í veðrinum(einki avfall);tað er turt av luft, stilli og samdrigið;turt var av luftini, so fleiri komu til gongu;tað er so turt um(turt at ganga);ikki var fjøðurin turr á kroppinum á honumhann var at kroppi;tað er ikki lúsin turr á kroppinum(rennvátur);ikki við turrum eygumvið táravátum eygum;(flutt m.)turt gólv á flakavirkjunum(einki arbeiði);(flutt m.)hann er ikki turrur aftan fyri oyrað(ikki vaksin)2(bát.)sum (lítilel.) eingin sjógvur kemur inn í,ein turrur bátur3turr(um kúgv)ið ikki mjólkar, geld 1(2), slept,neytini hava nú í langa tíð staðið turr hvønn morgun;nú framman undan jólum stóðu allar kýrnar í bygdini turrar4tilgjørdur við turking, turkaður,turt kjøtseyðakjøt turkað í hjalli(ikki ársgamalt);sbr.skerpikjøt;turrur fiskur;turrur maturmatur turkaður (í hjalli)5(um fólk)rak, skarpvaksin, skrámutur6reinur, berur, skærur, einskæraður,tann turri errinskapur;í tí hagapartinum var turrur vargur;tað var tað turra oyði(fiskaoyði);halda e-n fyri tað turra spott;halt turran (kjaft)7ið einki hevur fingið, við ongum, sørur,teir komu turrir aftur(krøktir, við ongum fiski);(sita) við turran munnel.við turra (el.turran) tonnuttan at leska matel.drekka;út aftur við turran munn sluppu teir ikki(turrmunnaðir);hon fór frá aftur borðinum við turra tonn;hvørki fáa vátt ella turteinki njóta;(tilt.)turt er tað, ið undir situr(sagt tá ið kúgv stoytti dylluna),sbr.tystur8ið drekkur 2(2) ikki (longur),hann er vorðin turrur9upp á turtupp á land,ofta hava døglingar komið á nátt og rent seg sjálvar upp á turt;ein trolari sigldi upp á turt;rógva seg upp á turt1rógva seg upp á land2(flutt m.)koma í kløtur;uppi á turrumá landi;ganga á turrum(á landi)
