U,u1	1málljóð2bókstavur
udlufte	lufta, lufta út, lata vindeygu upp(t.d.fyri at fáa matarroykel.hjararoyk burtur);u. en stue formadoslufta út í stovu fyri at fáa matarroykin(el.hjararoykin) burtur
udluftning	lufting, útlufting, luftnýgging
udlyd	(málfr.) endaljóð (í orði), útljóð
udlydende	(málfr.) í endaljóði;en u. vokalendasjálvljóð
udlydshærdning	(máll.)útljóðsherðing
udlydskonsonant	(málfr.) endaljóðshjáljóð
udlæg	1kostnaður, útreiðsla;Deres u. til porto vil blive godtgjorttygum fáa postgjaldskostnaðin endurgoldnan2(løgfr.)úttøka, fíggjartøka, fíggjarnám, nám;forgæves udlægúttøka til fánýtis;gøre u. i en bil, et husgera úttøku í bili, húsum
udlægge	1leggja, leggja út, leggja undir;u. rottegiftleggja rottukrút(el.rottueitur);u. minerleggja minur (út)2(um jørð) leggja av;den bageste del af haven var udlagt til køkkenhaveaftasti parturin av garðinum var lagdur av til kálgarð;u. jord til skovplantningleggja jørð av til skógplantingar3leggja ein undir;(løgfr.)krevja úttøku;hun udlagde ham som barnefaderhon legði hann undir at vera barnfaðir, hon vísti á hann sum faðir at barninum, hon kannaði honum barnið);kræve en ejendom udlagtkrevja, at úttøka verður gjørd í húsum4greina, týða, tulka, tolka, leggja út;u. en tekstgreina tekst5(handv.) u. en savkasta sag
udlægger	1(sigl.)síudligger2týðari, útleggjari, tulkari, tolkari;præsten er en kyndig u. af tekstenpresturin dugir væl at týða tekstin, presturin dugir væl at leggja teksin út
udlægning	1útlegging, týðing, greining, tolking, tulking2tað at leggja út(t.d.rottueitur)
udlægsforretning	(løgfr.) úttøkuviðgerð
udlægshaver	(løgfr.) úttøkuhavi, námhavi
udlændig	útistaddur, útlagin, í útlegd
udlændighed	útlegd, útisetur;leve i u.liva í útlegd
udlændighedstid	tíð í útlegd
udlændighedsår	ár í útlegd
udlænding	útlendingur;tyskere, franskmænd og andreudlændingetýskarar, fransmenn og aðrir útlendingar
udlænge	síðulon (á donskum garði)
udlængsel	útlongsil, úttrá, úthugur, ferðahugur;føle u. efter fremmede landeleingjast (einum leingist) eftir(el.hava útlongsil) at sleppa burtur í fremmand lond;jeg har u.mær langtast burtur
udlært	avlærdur, fulllærdur, útlærdur;hun er u.sølvsmedhon er avlærd sum silvursmiður
udlæse	lesa burturúr, fáa burturúr
udløb	1ósi, munni;flodens u.áarósin2endi, lok, slit;fra regnskabsårets u.frá tí at roknskaparárið endar(el.er úti)
udløbe	enda, ganga út, renna út, fara, líða, (um sáttmálaosfr.)fara úr gildi;togkortet udløber til majtokkortið gongur út í mai;tiden er udløbettíðin er farin(el.liðin)
udløber	1(plfr.)rót(ar)sproti;(plfr.)grein;jordbærplantens u.loftleggur á jarðberjaplantu2(jarðfr.)rust;en udløber af bjergetein fjallarust;en udløber af bjergkædenrust úr fjallarøð(el.fjallagarði)3(á húsum) útúrgerð, útundirgerð4(fl.m.) denne sag er en u. af den store bedragerisaghetta málið er sprottið úr stóra svikamálinum
udløbsdato	lokadagur
udløse	1loysa út;u. én af fangenskabloysa ein (út) úr fangilsi2seta í gongd, birta í, seta í verk, fáa fram, elva til, skapa, standast;u. en mekanismeseta mekanismu í gongd;talen udløste enbifaldsstormrøðan elvdi til fagnaðarróp;talenudløste megen vredenógv vreiði stóðst av røðuni
udløser	(tøkn., lmynd.) útloysari, úrloysari
udløserline	útloysarasnórur (band, ið kipt verður í at lata fallskíggja uppel.at fylla gummibát við luft)
udløsning	1loysn, útloysing;få u. for sin vredegera ein vørr2(kynslig) avgonga
udlån	útlán;(bókas.)útlánsdeild;u. af bøgerbókaútlán
udlåne	lænael.lána út
udlånsafdeling	útlánsdeild
udlånsloft	(bankam.) útlánsmark, (evsta) mark fyri útláni
udlånsrente	útlánsrenta
udmaje	meiggja út; fjøgga seg til, heingja upp á seg, spjarra seg til, spjarrael.skjaldra upp á seg, spjóka upp á seg;hun var udmajet med mangesmykkerhon hevði týggjað seg við smúkkum(el.smykkum), hon var avtaglað við smúkkum, hon hevði hongt nógvar smúkkur upp á seg
udmajning	útmeiggjan; síudmaje
udmale	lýsa gjølla og livandi, lýsa út í æsir, til fulnar, til lítarel.út í odd og egg, trágreina;han udmalede, hvor dejligt vi skullehave dethann lýsti við føgrum orðum, hvussu gott vit skuldu hava tað (saman)
udmaling	tað at lýsa eitt gjølla, til lítar, til fulnar, út í æsirel.út í odd og egg
udmanøvrere	troka (ein) burtur við snildum, lumpa ein við snildum, fáa burtur;få et uønsket medlemudmanøvreret af bestyrelsenfáa trokað(el.lumpað) ein nevndarlim úr nevndini við snildum
udmanøvrering	tað at troka ein burtur við snildum, tað at lumpa ein við snildum
udmark	hagi, langfarahagi, uttangarðsjørð;lavtliggende u.lághagi
udmarve	avmergja, mergsúgva, nekta;krigen udmarvedelandets økonomikríggið mergseig landsins búskap
udmarvet	avmergjaður, mergsogin;et fattigt og udmarvetland(blóð)fátækt og mergsogið(el.avmergjað) land;udmarvet(um seyð) ríða á merginum
udmarvning	mergsúgving
udmatte	1lúgva, pøsa;u. fuldstændigpøsa;da var hanfuldstændig udmattettá var hann púra pøstur (útlúgvaður, fyrilagstur, útmaktaður, útteipaðurel.(tlm.)fokkaður), tá var hann komin til trota, tá var hann farin í stein;blive udmattetleggjast fyri;udmattesmaktast, leggjast fyri2[lh nútsuml]udmattendeharður, krevjandi, lúgvandi, lúgvisamur, pøsandi, stríggin, strevin, stravin
udmattelse -	máttloysi, møði;fuldstændig (og pludselig) u.på grund af sult og anstrengelsemaktarloysi;stærk u.armóð, megurð;yderste grad af u.troti(t.d.komin á trota)
udmattelseskrig	útlúgvingarkríggj, pøsingarkríggj
udmattet	møddur, máttstolin, máttleysur, pøstur, troyttur, (niður)tøssaður, givin, avmaktaður, útlúgvaður, úttikin, (út)maktaður, útteipaður, útervaður, úttervaður, (út)túraður, útsleipaður, úttýggjaður, sum er fyri ongum,(tlm.)fokkaður; (um seyð) niðurmøddur;fuldstændigudmattetdeyðgivin, deyðmóður, deyðlúgvaður, fyrilagstur, farin í stein
udmejsle	meitla
udmelde	siga seg burtur úr, melda seg úr;u. sig af foreningensiga(el.taka) seg burtur úr felagnum;(løgfr.) u. syn og skøntilnevna sýnis- og metingarmenn
udmeldelse	tað at siga seg burtur úr (einum), útmelding
udmugning	sóping(t.d.undan neytum)
udmunde	(um á) rennael.munna út í;floden udmunder ihavetáin rennur í(el.út á) sjógv;gadenudmunder i en åben pladsgøtan endar á einum víðum torgi;diskussionen udmundede i kævlorðaskiftið endaði í kegli(el.trætnaði)
udmærke	1eyðkenna, sermerkja; heiðra;den tillidsfuldhedder udmærker barnet frem for den ungetað at trúgva øllum eyðkennir barnið fram um tann unga2(afturbent)u. sigskara framúr;han blevudmærket med en æresdoktortitelhann varð heiðraður við heiðursdoktaraheiti
udmærkelse	viðurkenning, heiðursløn, heiðursmerki;bestå eneksamen med u.fáa framúr gott prógv
udmærket	1frálíkur, óførur, fráskilaður, einskilagóður, frágerðargóður, framúrskarandi, avburðar-; merkis-, vala-, mentar-;det var u.tað var vorðið sum;u. mand,pigefráskilamaður, fráskilakona, dygdarfólk, frágerðarmaður, frágerðargenta; úrmælingur;u.menneskedygdarfólk;berømt og u. mandtiltøkumaður;aldeles u.frálíka(el.fráskila) góður2[sumhj]det ved han u. (godt)tað veit hann (so) væl;u. bekvem(el.nyttig)frálíka hentur
udmønte	1sláa mynt, sláa metal til mynt;u. guld tilpengestykkersláa gull til myntir2(fl.m.) u. nye ordsmíða nýggj orð, gera nýggj orð, gera nýggjyrði3(fl.m.)gera álvara av(t.d.ætlanum, hugsjónum), seta í verk;han udmøntede sinviden i flere småafhandlingerhann festi vitan sína á blað í stuttum ritgerðum
udmøntning	myntsláttur, myntsláing; tað at seta í verk, tað at gera álvara av onkrum
udmåle	mála, mála burturúr;(serst.ísamb.við revsing) áseta;u. en strafáseta revsing
udmålingsregel	(løgfr.) (serst.íflt) udmålingsreglerásetingarreglur
udnytte	1nýta, brúka, gagnnýta, draga sær gagn úr; fáa so nógv burturúr, ið til ber;u. mulighedernefáa sum best burtur úr møguleikunum, ið eru;u. fordelagtigtgagnnýta;u. til det yderstetroyta, tránýta;u. vandkraftengagnnýta vatnorkuna;u. ubrugte ressourcernýta ónýtt tilfeingi;han udnyttede ikke lejlighedentá ið høvi beyðst, gjørdi hann einki; hann lá sjóvarfallið av sær, hann læt høvið gleppa sær av hondum2misnýta, ovnýta, ránnýta, trároyna;han udnyttede sin mindre kloge kammerathann misnýtti(el.misbrúkti) vinmannin, sum ikki var so gløggur sum hann;
udnyttelse	nýtsla, misnýtsla, ovnýtsla, nýting, úrnýtsla
udnyttelsesgrad	nýtslustig, nýtslulutfall
udnytter	eyðrænari, misnýtari; ein, ið misnýtir, eyðnýtirel.tránýtir eitt; sjálvsøkið fólk
udnæs	útnes, andnes
udnævne	tilnevna, útnevna, seta, skipa(t.d.í embæti);u. enefterfølgertilnevna eftirmann;blive udnævnt tilkontorchefverða tilnevndur skrivstovustjóri;udnævnt af rettentilnevndur av rættinum
udnævnelse	tilnevning, útnevning, tað at verða setturel.skipaður(t.d.í embæti)
udnævnelsesret	tilnevningarrættur, útnevningarrættur
udogmatisk	ikki vanabundin, ikki reglubundin, sum gongur nýggjar leiðir, óvanligur;en u. løsning afkonfliktenóvanlig loysn av kreppuni
udokumenterbar	sum kann ikki skjalprógvast, sum ikki ber til at skjalprógva, óskjalprógvandi, ósannandi
udokumenteret	ikki skjalprógvaður, óskjalprógvaður
udover	útá; útfyri(t.d.tromina); umframt;efter at havesejlet langs kysten tog vi kursen u.eftir at hava siglt fram við strondini løgdu vit leiðina útá
udpante	panta(t.d.fyri skatt)
udpantning	(løgfr.) panting;udpantning for skatterpanting fyri skatt
udpantningsforretning	(løgfr.) pantingartiltak
udpantningsfrist	(løgfr.) pantingarfreist, pantingarfrest
udpantningsordre	(løgfr.) pantingarboð
udparcellere	skifta jørð (sundur) í smærrieindir, stykkja út til húsagrundir
udparcellering	útstykking
udpege	vísa á; tilnevna, útnevna, seta;hun udpegededen skyldige blandt de mistænktehon vísti á, hvør tann seki var millum teirra, ið vóru undir illgruna
udpegning	tilnevning, útnevning; tað at vísa á
udpensle	1mála við fínum strokum2(fl.m.)lýsa gjølliga, lýsa nágreiniliga, lýsa út í æsir, til fulnar, til lítarel.út í odd og egg
udpensling	lýsing út í æsir, nágreinilig lýsing
udpibe	óhepni røðarin varð(el.bleiv) pípaður(el.bríkslaður) niður
udpibning	tað at pípael.bríksla fólk niður(t.d.av palli)
udpine	pína(t.d.pínd jørð), arma út, troyta, mergsúgva, avmergja
udpining	tað at pína(t.d.veltan er útpínd), avmerging, mergsúgving
udplacere	(í tennis) spæla soleiðis, at mótstøðufólkið ikki røkkur fram at (bóltinum); (í fótbólti)målmandenvar udplaceretmálmaðurin stóð soleiðis fyri, at hann fekk ikki vart málið
udplante	planta, gróðurseta
udplantning	gróðurseting, tað at planta, planting
udplantningsplante	gróðursetingarplanta
udpluk	úr bók) úrtak, brot, kut;et tilfældigt u.hissini(el.tilvildarliga valt) brot; brot, valt av handahógvi
udplukke	skiljael.taka burturúr
udplyndre	ræna, eyðræna, púrga, (ov)troyta, trároyna
udplyndring	rán, eyðræning, púrging, mergsúgving
udpolstre	(skemt.) hun er godt udpolstret hon er væl í holdum, hon er hyldlig(el.prúð),(skemt.)hon er ein rættilig oyggj (bumbael.fles)
udpose	bjølga(st)
udposning	bjølgur;udposninger under øjneneposar undir eygunum
udpresse	kroysta sevjuna úr sitrón
udprikke	(um mynstur) prikka (við nál)
udprikning	1tað at prikka2(prent.)síðustøða
udprint	(teld.) útprent
udpræget	1eyðsýndur, eyðsýnur, greiniligur, reinur, gjørdur, sovorðin, burturav;en u. banditgjørdur lúshundur;han er en u. kværulanthann er eitt sovorðið knarr(el.grenj)2[sumhj]u. dumheilt býttur, steinbýttur, kúbýttur,(niðr., skemt.)hatta er folað og ikki føtt;han er u. intellektuelhann er intellektuellur burturav
udpumpe	1(lækn.)pumpa út, tøma;u. en patiens mavepumpa út(el.tøma) magan á sjúklingi2(fl.m.)tráspyrja, spyrja garnarnar út(el.upp) úr einum, spyrja lunguni burtur úr einum, spyrja ein út av nálini,(tlm.)pumpa ein
udpumpet	deyðgivin, útlúgvaður, útteipaður, pøstur
udpumpning	1(lækn.)tað at pumpa útel.tøma maga á sjúklingi2tráspyrjing; sí eis.udpumpe 2
udpustet	útblástur
udpynt	útnes, andnes, útoddi(vanlíflt, t.d.um allar útoddar í Føroyum)
udpønse	ætla, hugsa upp, hava í kvittanum, leggja upp ráð
udradere	1skava burturel.út;u. en fejlskrivningskava misskriving burtur2(fl.m.) byen blev helt udraderet vedluftangrebenebýurin var í skeljasori/var týndur eftir loftálopini
udrakt	med u. armvið útrættum(el.útstrektum) armi
udramatisk	det hele foregik meget u.alt gekk fyri seg á friðarligan hátt
udrangere	blakael.tveita burtur, vraka, høgga upp, leggja burtur;vi udrangerede de skåredetallerk(e)nervit blakaðu(el.tveittu) teir skørðutu talerkarnar burtur
udrede1	1rekja (rakti, rakt), greiða, reiða;u. noget filtretgarngreiða fløkt tógv2(fl.m.) u. årsagernegreiða orsakirnar;u.trådene i en saggreiða mál
udrede2	1gjalda, rinda,(tlm.)betala, bera, lúka(t.d.lúka skatt);u. pengenegjalda(el.rinda) peningin;u.udgifternebera útreiðslurnar2gera út;u. et skibgera skip út
udredning	1frágreiðing;komme med en lang u.koma við drúgvari frágreiðing2gjald, kostnaður
udregne	rokna út
udregning	útrokning
udrejse1	fráferð, burturferð
udrejse2	fara burtur, fara av landinum;han er udrejst af landethann er farin av landinum, hann er farin
udrejsedato	fráferðardagur
udrejseforbud	farbann, ferðabann
udrejsefrist	fráferðarfreist
udrejsestempel	fráferðarstempul, burturferðarstempul
udrejsetilladelse	farloyvi, fráferðarloyvi, burturferðarloyvi
udrejsevisum	fráferðarloyvi, fráferðarváttan, útferðarloyvi, útferðarváttan, visum
udrense	reinsa, reinska, sópa, rudda burtur, sleppa sær av við(t.d.andstøðingar), reinsa út
udrensning	(politisk) reinsing, reinsking, útreinsing, tað at beina fyri (einum), tað at sleppa sær av við(t.d.andstøðingar);u. af mindre levedygtige firmaertað at beina fyri smáum fyritøkum, ið ikki eru kappingarførar
udrensningsproces	(stjm.) (út)reinsingarrættarmál
udret	(plfr.) útrættur
udrette	1beina, beinka, rætta (út);u. en krum linjebeinka bogaða strikuel.linju2gera, avrika, fremja, útinna, fáa á skaftið,(eis.)fáa av skafti, fáa í lag;jeg kunne ikke u. nogeteg fekk einki gjørt;hun har fået meget udrettethon hevur fingið nógv á skaftið;han får intet udrettettað kemur einki á skaftið hjá honum, hann fær einki upp í lag,(tlm.)hann fær einki frá hondini;u.noget betydningsfuldtgera okkurt stórverk, avrika okkurt týdningarmikið, gera hol í sjógvin;u. ærindegera(el.reka) ørindi
udrigge	1gerael.búgva út, fáa í rættlag2(fl.m.)snolla seg upp, pynta seg, fjøgga seg til, heingja upp á seg, spjarrael.spjóka seg til, skjaldrael.spjóka upp á seg, skrýða seg3(á kappróðrarbáti) seta røðini(el.røðirnar) uttanstokka
udrigger	1uttanstokkabátur, útriggari (útlendskur kappróðrarbátur við røðunum uttanstokka)2(næstan avelt,sigl.)útriggari (til bumm; tríhyrntel.tríkantað blokkafesti á mastur)
udrikkelig	ikki drekkandi, ódrekkandi, ikki munnbærur(t.d.tað er ikki munnbært)
udrinde	(skaldsk.) renna, líða;tiden er udrundentíðin er liðinel.farin
udringe	gera niðurringaðanel.útringaðan, skerael.klippa burturúrel.niður, kriða burturúrel.niður;u. enhalsudskæringkriða burtur úr hálsinum (á kjóla);en dybt udringet kjolenógv niðurkriðaður kjóli;udringet skoniðurskorin skógvur
udrive	1skræða úr, ríva úr(t.d.blað úr bók)2(fl.m.) u. en dag af kalenderentaka sær av løttum ein dag, taka sær ein dag (til stuttleika)
udruge	1klekja unga út, bøla, liggja á2(fl.m.) u. planergera ætlanir
udruste	1(sigl.)gera út, rigga til; búgva út, búgva, gera seg til at fara í bardaga;u. et skibgera skip út;u.sig til kampbúgva seg til bardaga;han er godtudrustet fra naturens håndhann hevur fingið góðar gávur (frá Skaparans hond);u. eleverne tilspecielt hvervbúgva næmingarnar til serstakt starv;u. sigbúgva seg til, rigga seg til2[lh tátsuml]udrustettilbúgvin, búgvin, tilgjørdur, útgjørdur, undirgjørdur, fyrireikaður;fuldstændig rustet(el.parat)albúgvin;godtudrustetvæl (út)búgvin(el.stimbraður)(t.d.til sítt starv);slet u.illa fyrireikaður; óráðtøkin(t.d.hann fór so óráðtøkin avstað)
udrustning	1útgerð, útbúgving, útbúnaður, undirbúgving, reiði2(fl.m.)førningur, førleiki;hendes åndelige u.andligi førningur(el.førleiki) hennara
udrustningslån	útgerðarlán
udrydde	oyða, avoyða, týna, rudda út, ørdrepa;u. vedrovdriftoyðdrepa, ovfiska;u. en opfattelsebeina fyri áskoðan
udryddelse	oyðing, týning
udryddelseskrig	týningarkríggj, oyðingarkríggj
udryddelseslejr	týningarlega(t.d.Auschwitz)
udrykke	(um køkingel.kopling) sleppa
udrykker	(tøkn.) úrkoplari, úrkøkjari
udrykning	útkall, útrend, neyðsend (sløkkilið//løgregla//sjúkrabilur);der var stor u. afpolitinógvir løgreglumenn vóru á staðnum
udrykningshorn	lúður, neyðsendarlúður
udrykningskolonne	neyðsendarlið
udrykningskøretøj	neyðsendarfar, neyðsendarbilur
