V,v1	1málljóð2bókstavur
vedtage	1samtykkja, viðtaka; taka við, góðtaka;Folketinget har vedtaget en lovfólkatingið hevur samtykt lóg;så er det vedtaget!so er tað samtykt!2(løgfr.)taka við, góðtaka;tiltalte vedtog en bøde på 1000 kr.ákærdi tók við 1000 kr. í bót
vedtagelse	samtykt, viðtøka
vedtave	(plfr.) viðartægr, viðartrevja
vedtegning	árit, átekning, viðmerking
vedtorn	broddur, tornur
vedtægt	samtykt, viðtøka, skipan, fyriskipan, reglugerð;(t.d.) sundhedsvedtægtheilsusamtykt;efter gammel v.eftir gamlari samtykt, sum siður er
vedtægtsmæssig	sambært samtykt, viðtøku, ásetingumel.reglum;en v. foranstaltningtiltak sambært viðtøku
vedtægtsstridig	samtyktarleyst
vedtægtsændring	broyting í samtykt, samtyktarbroyting
vedvarende	áhaldandi, varandi, støðugur, tráur, samfastur, samfeldur, sam-, liggjandi;en vedvarende forkølelseringt(el.herviligt) krím, drúgt krím;vedvarende energivarandi orka(el.orkukeldur);vedvarende vindtráur vindur, trá ætt;vedvarende nordlig vindretningliggjandi høgætt
vedvæv	(plfr.) viðarvevnaður
veg1	
veg2	veikur, linur, ómansligur, eftirlátligur, følin;en v.karakterhann er veikur av lyndi
veganer	vegani [fylgdarfólk veganismunnar]; síveganisme
veganisme	veganisma [føðsluhugsan, ið sigur, at fólk bara eiga at liva av plantuføði burturav og eiga heldur ikki at nýta tilfar av dýrum til klæði]
vegetabil	urtamatur, urtaføði, plantuføði
vegetabilsk	plantu-, urta-;vegetabilske fedtstofferplantufitievni;vegetabilske olierplantuoljusløg
vegetar	urtaetari, vegetarur
vegetarianer	sívegetar
vegetarianisme	sívegetarisme
vegetariansk	plantu-, urta-, plantuátara-, urtaátara-, vegetariskur;vegetarisk fødeplatuføði, urtaføði, urtamatur, plantumatur;vegetariske rettergrøngæti
vegetarisme	vegetarisma [tað bara at liva av (el. við) plantuføði]
vegetation	1gróður, grøði, vøkstur;alpin vegetationalpugróður, fjallagróður;vegetationen er på sine steder meget kraftigvøksturin er summstaðni ógvuliga frekur, (um sítt graseis.)skógloðin2(lækn.)sjúkligur svullkendur vøkstur í svølgrúmi /svøl-/
vegetativ	1(viðv.vøkstri hjá dýrumel.plantum) gróðrar-, vakstrar-, gróðriel.vøkstri viðvíkjandi;devegetative funktionervakstrargøgn, vakstrartilgongdir2stillførur, friðarligur, róligur, stillur;en v.tilværelsefriðarlig(el.stillfør) tilvera
vegetere	1vaksa, grógva, trívast, trivnast2(um fólk) liva friðarliga, liva stillført lív, einki gera, vera óvirkin
vegne	1alle (vide) v.allastaðni, allar staðir, allar vegir;ingen v.ongastaðni, ongar staðir, ikki úr stað, ikki av fetinum(eis.fetanum), ongan veg;vikommer ingen v.vit koma ikki úr stað; vit koma ikki út um gáttina(el.út um eina gátt)2(ísamb.við)på ens v.fyri ein, eins vegna;påbestyrelsens og egne v. takker jeg denafgående formandstjórnarinnar og egna vegna takki eg (frá)farandi formanni;handle på embedsv.gera eitt embætis vegna;på hans v.fyri hann, hansara vegna; (ikki viðhvørsf) advokat PoulJensen på v. (af) husejer Per HansenPoul Jensen sakførari fyri Per Hansen húsaánara;allev. fraúr øllum ættum, úr øllum heraðshornum;hankommer ingen v. med dettað gongur ongan veg við tí, hann kemur onga leið við tí;træde af pånaturens v.hava eini smáørindi (fara á vesið)
vegsten	slag av fitisteini (ljóst, bleytt fløgugrót)
vehikel	1flutningstól2hjálpartól, tól, miðil, hjálparmiðil;han benyttededigtet som v. for sine ideerhann nýtti yrkingina sum hjálpartól (fyri) at lýsa tað, ið hann hugsaði(el.tað, ið hann vildi siga)
vej	1vegur, gøta, breyt, leið, rás(fltræsur), ræsi; gongd;smal, brolagt vejstræti;anlægge en v.leggja(el.gera) veg;bane v.bróta slóð;forsynemed vejevegleggja;stykke v.strekki, teinur;enden af en v.veg(ar)endi;vejen er asfalteretvegurin er asfaltslagdur (lagdur við asfaltiel.asfalteraður);vejen deler sig i tovegurin tekur seg(el.fer) sundur í tveir (vegir);alle veje fører tilRomallir vegir ganga (leiðael.bera) til Róm;finde v.finna;hele vejenallan vegin;nu har vigået den halve v.nú er hálvgingið;(eis.ífl.m.)her skilles vore vejeher skiljast vit;gå hver sin v.fara hvørt til sítt;(likam.) urinvejvatngøgn, landræsi;(fl.m.)vejen til frihedfrælsisvegurin, frælsisleiðin;gårettens v.fara í rættin við málinum, leggja mál fyri rættin, hava upp rættarmál;der er ingen v.udenomtað slepst ikki undan (einum), tað hjálpir ikki;da er der vel ingen v. udenom, jegmå gøre detíðan so, so noyðist eg at at gera tað (meðni);de har lige akkurat til dagen ogvejentey fáa so dánt lívbjargað sær, tey nóg illa klára seg; (um lívsstarv)den videnskabeligev.vísindaligt starv;nu er der noget i vejennú er snúður í, nú er okkurt áfatt2(leið, kós)vise v.vísa leið,(el.veg);han kunneikke finde v.hann fann ikki vegin;hvad v. skaldu?hvønn veg(el.hvagar) skalt tú?;hun vendtehovedet den anden v.hon snaraði høvdinum hin vegin; hon hugdi burtur;han tog vejen overKrusåhann legði leiðina um Kruså;kom dennev.!kom(ið) henda veg!;jeg har ofte gået den vejeg eigi mangt sporið har;gå din v.!slepp tær burtur hiðani, gakk(el.far) avstað við tær;gå sineegne vejefara sínar egnu leiðir, ráða sær, vera sjálvráðin3fráleiki, teinur, strekki, frástøða;der er lang v. tilbyenvegurin til býin er drúgvur(el.langur);havelang v. hjemhava langan veg heim;et godtstykke v.ein langur(el.fittur) teinur;træet varspaltet hele vejen nedtræið var klovnað for(el.líka) í botn(el.allan vegin niður);vi har gået tilfods hele vejenvit hava gingið allan vegin;nå tilvejs endekoma fram, koma vegin fram; [serst.ísamb.viðfs]adhan gik hen ad vejenhann gekk eftir vegnum;konflikten blev løst adfredelig v.kreppan varð loyst í øllum góðum;(fl.m.) hen adel.langs ad vejensum frá líður- afaf vejen!farið (burtur) av vegnum!, sleppið tykkum burtur!;gå af vejen for énhava seg av vegnum fyri einum;huset lå langt af vejenhúsini stóðu langt av leið;han går ikke af vejen fornogethann smæðist fyri ongum, hann firnast einki;det var ikke af vejen at få et glas øltað kom(el.kemur) væl við at fáa eitt glas av øli;rydde énaf vejenbeina fyri einum- ikomme i v.fáa gott starv;nogete kom i vejenokkurt óvæntað bar á;træet lå i vejen for ostræið lá fyri og forðaði okkum í at koma vegin fram;gå i vejen forénmala fyri fótunum á einum, darva ein, reyla;være i vejenvera áfatt, bila, baga, bagga; vera fyri;hvad er der i vejen med dig?hvat bagir tær?;det er der ikke noget i vejen foreinki skuldi verið til hindurs fyri tí- forikke gå af vejn for nogetikki fíra fyri nøkrum- påbegive sig på v.fara(el.halda) avstað; fara (til gongu);følge en på v.fylgja einum á veg(el.á leið);undskyld at jeg tog sådan på vej. Jeg plejer ikke at blive så hidsigorsaka at eg østi meg upp. Eg plagi ikki at hava so stutt fjús;være på v. hjem,til byenvera á ferð heim, oman(el.inn) í býin;haner godt på v. til at blive færdighonum líður væl at verða liðugur;komme på gale vejekoma illa fyri;tage på v.(el.veje)øsast, verða í øðini, deila- tilskaffe noget til vejefáa til vegar- tilbageder er ingen v. tilbagenú vendist ikki aftur
vejafgift	veggjald
vejanlæg	vegagerð; vegur; vegakervi
vejarbejde	umvæling av vegi, vegarbeiði
vejarbejder	vegarbeiðsmaður
vejbane	farbreyt, akbreyt, breyt;vejen har flere vejbanervegurin hevur fleiri farbreytir
vejbeliggenhed	vegfesti;en bils v.vegfesti hjá bili, tað hvussu vælel.illa bilur liggur á vegi (ts svejgreb)
vejbelægning	vegálegging
vejbelægningsmaskine	vegáleggingarmaskina
vejbom	vegbummur
vejbred	(plfr.) gøtubrá(Plantago); glat v.stórvaksin-gøtubrá(Plantago major);lancetbladet v.jóansøku-gøtubrá(Plantagolanceolata); strand v.sævar-gøtubrá(Plantagomaritima)
vejbredfamilien	(plfr.) gøtubráarættin(Plantaginaceae)
vejbro	veg(ar)brúgv
vejbryder	slóðbrótari, slóðari, vegari
vejbygger	vegmaður; (serst.) maður ið hevur umsjón við vegagerð)
vejbygning	vegagerð, vegarbeiði, vegalegging
vejbygningsingeniør	vegaverkfrøðingur, verkfrøðingur í vegagerð
veje	1(fl.m.) hans ord vejer tungt hansara áskoðanhevur stóran týdn ing; (fl.m.) v. sine ord hugsaseg væl um, áðrenn talað verður; v. sinemuligheder hugsa gjølla um, hvat er til ráða attaka; du er vejet og fundet for let tú ert vigin ávág skál, men funnin ov lættur (Dán. 5, 27);vægten vejer fra 5 g til 15 kg vektin vigar úr 5g (upp) til 15 kg2[ísamb.við herðingartungthj]afekspedienten vejede1/2 kg kaffe afkrambúðarkall urin máldi upp eitt pund av kaffi-opden bogen kan ikke vejes op med guldhenda bókin er meira enn gull verd- tildu vejer godt tiltú munar, tú gert stóran mun; tú ert tungur- udv.mel og gryn udviga mjøl og grýn í skamtir; mála upp mjøl og grýn í skamtir; mála upp mjøl og grýn í skamtir viga, vega,(ívanlnýtslu)v.rigeligt(um bismara) harður bismari(móts.lakur);stenen vejer godt og vel 40 kgsteinurin vigar stívliga 40 kg;han vejede kar toflernehan vigaði eplini;hver sten vejede mere end 1 kg.hvør steinur stóð(el.vig aði) meira enn eitt kg
veje2	sveiga, sveiggja
vejegenskaber	veg(a)umstøður
vejelig	vigandi, sum kann vigast
vejer	vektarfólk, vigari
vejerbod	vigingarhús
vejfarende	(gl.) ferðamaður, ferðafólk, vegfarandi;leddet ertil stor gene for de v.liðið er til stóran ampa hjá ferðafólki
vejfond	vegagrunnur
vejforbindelse	vegasamband
vejformand	vegformaður
vejfærdiger	útleggjari (veg(a)maskina)
vejføring	(ætlaður) vegur, veglegging, veglinja;denprojekterede v. vil kræve nedrivning af flerehuseætlaði vegurin fer at hava við sær, at fleiri hús mugu takast niður
vejgaffel	(á vegi) tvígreining
vejgreb	(hjá bili) vegfesti
vejgrus	eyrur, skervur
vejgrøft	vegaveit, frárenningarveit við veg
vejinspektør	vegaeftirlitsfólk, vegaumsjónarfólk
vejkant	vegjaðari, vegøksl, bakki
vejkasse	støði undir vegi
vejkontakt	vegfesti;bilen holder vejkontakteneksemplariskbilurin hevur frálíkt vegfesti
vejkort	vegakort
vejkryds	vegamót, krossvegur, kjørbreyt;farligt v.hættisligt vegamót, hættisligur krossvegur
vejl.	1(st.) vejledende; vejl. pris kr. 49, 95leiðbeinandi prísurin er 49, 95 kr.2(st.) vejledning
vejlede	(bara ífl.m.)leiðbeina, vegleiða, rættleiða, leggja (einum) lag á, kunna (ein), leggja einum ráð, ráðleggja;han må vejledes i færdselsreglernehann má fáa leiðbeining í ferðslureglunum
vejledende	leiðbeinandi, vegleiðandi;v. prisleiðbeinandi prísur;vejledende folkeafstemningvegleiðandi fólkaatkvøða
vejleder	leiðbeinari, vegleiðari, vegvísari;åndelig v.andligur ráðgevi (rættleiðariel.vegleiðari)
vejledning	leiðbeining, vegleiðing, rættleiðing
vejlængde	vegalongd, vegastrekki
vejløs	vegleysur, ógingin, ótroddur
vejmand	vegmaður, vegari
vejmelding	ferðslufráboðan
vejnet	vegakervi, veganet
vejoverføring	vegur, ið liggur tvørtur um jarnbreyt
vejoverskæring	staður, har sum jarnbreyt fer tvørtur um veg
vej-pileurt	(plfr.) bløðkuurt(Polygonum aviculare)
vejr	1(um veðurviðurskifti) veður;godt (disetel.tåget) v.gott (kámutel.tjúkt) í veðrinum;det ergodt v.gott veður, góðveður, góðviðri;dårligt v.ringt veður, illveður, ósvivaligt veður, rusk, ruskveður, eitt hunda veður;temmelig dårligt v.vánaveður;fugtigt v.vátveður, rotveður, rotuveður, slag, ráligt veður;fugtigt og tåget v.doðaveður;hårdt v.hvast veður, harðveður;koldt v.kuldaveður;koldt ogstormende v.(helst um heystið) ribbingsveður;mildt v.lýveður, lýtt veður;varigt liggende v.støðuveður;der var vedvarende godt v.hann lá við góðveðri;det var ikke v.(el.omstændigheder) til at tage af sted itað var ikki farandi;særdeles stille og godt v. på søendýrd (í sjónum);et herrens v.síherre; være ude i alslags v.vera úti í øllum veðri, vera úti í veðri og óveðri;forandring i vejretveðurskifti, umráð í veðrinum;det er varmt i vejrettað er lýtt;nårvejret er til dettá ið viðrar;v. og vindveður og vindur;v. på landlandveður(t.d.landveðrið hevur verið av tí besta)2(fl.m.) bede om godt v.biðja um fyrigeving; biða ein bera yvir við sær;det er helt hen i vejrethatta er púra burturvið, hatta er høpisleyst, hatta er burtur úr vón og viti, hatta er tað bera(el.rama) tvætl, tað nertur ikki afturat;komme undervejrs med nogetfáa frænir av onkrum, fáa(el.hava) snevilin av onkrum;snakke om v. og vindtosa um leyst og fast, tosa um alt og einki3(um andadrátt)holde vejrethalda andanum(el.ondini);snappe efter vejretkikka eftir ondini;tabevejretmissa ondina; við ongari ond;trække vejretanda, draga andan;besværligt at trække vejrettrongur fyri andanum;mulighed for at trækkevejret fritandarúm(t.d.eg má fara uppá, so eg fái andarúm);hun kunne ikke få vejrethon fekk ikki luft;han trak vejret lettettað lætnaði fyri andanum hjá honum;Sglemme at trækkevejretandast, doyggja;sådan en bakke kannemt tage vejret fra énslík brekka kann lættliga pøsa ein;forskrækkelsen tog vejret fra hamhann var fyri ongum eftir skelkin, einki var um hann eftir hvøkkin(el.skelkin), hann var sum hamskiftur (av skelkinum)4(ísamb.við)i vejretogtil vejrs; i vejretá loft(el.upp í loft);(sigl.) gå til vejrsfara upp í erva;stige til vejrsfara upp í loft, fara beint upp(eftir);komme til vejrs i samfundetkoma fram í samfelagnum;vende bunden i vejret på nogetvenda einum upp og niður;med bunden i vejretholvdur;gå med næsen i vejretganga so nakkafattur, stinga nasarnar í ský, ganga so braneggjaður, vera reystnasutur, halda seg vera;(skemt.) ligge med næsen i vejretvera sjúkur(el.deyður);med halen i vejret(el.til vejrs)(um hund) við halanum upp í rógv;løfte én rask ivejrethava ein á lofti
vejrballon	(veðurfr.) veðurballón
vejrberetning	veðurtíðindi
vejrbestandig	veðurdyggur;en v. fladeveðurdyggur flati
vejrbidt	veðurbardur, sjóbardur, stormbardur, dassleittur
vejre	1hvørva;ved synet af hende vejredes allehans betænkeligheder bortivin, hann hevði havt, hvarv í somu løtu, hann bar eyga við hana2tevja, snodda, snevja, kenna snoddel.tev av; fáa snevilin av, fáa frænir av;hunden vejredemod vindenhundurin snoddaði upp í ættina;hunden havde vejret en harehundurin hevði tevjað eina haru3(fl.m.) journalisten vejrede sensationtíðindamaðurin helt seg hava fingið snevilin av stórtíðindum
vejrfast	sívejrbestandig
vejrforandring	veðurskifti, umhvarvel.umráð í veðrinum;det serikke udtil v.ikki er(u) útlit til broytingar í veðrinum, hann sær ikki úrgangiligur út
vejrforhold	veðurlíkindi;som kan bruges under alle v.sum kann nýtast í øllum veðri, alveðurs-(t.d.alveðursflogfar)
vejrforudsigelse	veðurforsøgn, veðurspádómur
vejrhane	1veðurhani2(fl.m.) han er en v.hann er eitt vingl (slóm, vingul, vingliskølturel.meldurskøltur), hann sleingist sum tongul í brimi, sum hølvispønir í vindi,(óvand.)sum bukka millum sengur(el.seingir)
vejrkort	veðurkort
vejrkyndig	veðurkønur, veðurskygdur, veðurskygnur, gløggur á veðrinum
vejrlig	veður; veðurlag
vejrmagister	veðurfrøðingur
vejrmeldetjeneste	veðurtænasta
vejrmelding	veðurtíðindi
vejrmølle	1vindmylla2(fl.m.) kæmpe mod vejrmøllerberjast við vindmyllur, berjast við hugsaðan fígginda (eftirDon Quixote)3(fiml.) slå vejrmøllergera myllulop
vejrprofet	veðurspámaður;han er en god v.hann er gløggur á veðrinum
vejrprofeti	veðurspá, veðurforsøgn
vejrprognose	veðurforsøgn
vejrsatellit	veðurfylgisveinur
vejrskifte	veðurskifti, umráð í veðrinum
vejrsmuldre	molna
vejrsmuldring	(jarðfr.) molnan
vejrspådom	veðurforsøgn
vejrstation	veðurstøð
vejrtrækning	andadráttur, anding;(lækn.) hivende v.kikkandi andadráttur
vejrudsigt	veðurvánir, veðurlíkindi
vejsalt	vegsalt, salt at koyra á vegin
vejsennep	(plfr.) tevurt(Sisymbrium)
vejskel	1vegargreining, vegamót2(fl.m.)vegamót
vejskilt	vegskelti
vejspærring	vegstongsil, veggirðing
vejstabil	(um bil) sum liggur væl á veginum
vejstabilitet	sívejbeliggenhed
vejstrækning	vegalongd, vegastrekki, teinur, føri
vejsving	vegbugur,(tlm.)sving
vejsystem	vegakervi
vejtræ	træ í vegjaðara
vejviser	1(um fólk) leiðvísari, leiðvísi, vegvísari, vegvísi2(ferðslumerki)vegvísari3handbók við upplýsingum um fólk, virki og stovnar íserst.yrkisgrein4vegakortabók, bók við vegkortum
vejviserskilt	(ferðslumerki) vegvísaraskelti
vejvæsen	samferðsluverk; vegamál
veklage	gremjingar, harmaljóð;hans evindelige veklagerover de dårlige tiderhann gremur seg altíð(el.altíð og stund) um tær ringu tíðirnar
veksel	1skifti, umskifti, broyting;årenes vekslenárini koma og fara2(bú.)veksil, ávísing, skuld(ar)bræv;vekslen forfalder på mandagveksilin fellur til gjaldingar mánadagin;prolongere en v.framleingja veksil;acceptere en v.taka við (góðtakael.viðurkenna) veksil;diskontere en v.framselja veksil (áðrenn hann er gjaldkomin í banka);endossere en v.undirskriva og (á)framselja veksil;forny en v.endurnýggja veksil;honorere en v.innloysa veksil, góðtaka veksil;indløse en v.innloysa veksil;v. lydende på ihændehaverenhandhavaveksil, veksil at gjalda til handhava3(fl.m.) trække veksler påmisnýta, nýta, brúka;trække for store veksler på nogenkrevja ov nógv (ov stóra vælvild) av einum;trække veksler på fremtidenovnýta eitt, eyðræna, súlunda alt (uttan at hugsa um eftirkomararnar)4(ið villdýr hava traðkað) rás(fltræsur);dyrene havde trådt veksler i skovendýrini høvdu trott ræsur í skóginum
