h. a.	el.hujus annií hesum ári
hensynsfuld	umhugsin, umhyggin, hyggin, varin, sum hevur fyrilit, ansin, eftirskettin;være en h. ægtemandvera umhugsin hjúnafelagi;lidet h.sum hevur lítið fyrilit, óhøviskur, óumhugsin;være h. overforhava fyrilit við, umhugsin, umhyggin, ætla um
hensynsfuldhed	fyrilit, umhugsni, virðing, hygni, varsemi, ansni
hensynsled	(málfr.) atvik(i), hvørjumfalsávirki
hensynsløs	eirindaleysur, fyrilitsleysur, ansaleysur, sum hevur ikki fyrilit, óhyggin, ábyrgdarleysur;være h. mod andreikki hava fyrilit við øðrum;han er hensynsløshann hevur ikki fyrilit, hann er ein øgil og ein bøðil;en h. personein bøðil, eitt illmenni;h. konkurrenceeirindaleys kapping;h. udnyttelsemergsúgving, okur;optræde hensynsløstikki hava fyrilit
hensynsløshed	harðskapur, eirindaloysi, fyrilitsloysi, ansaloysi, ábyrgdarloysi;begå en h.vera fyrilitsleysur
hensyntagen	umhugsni, fyrilit;uden h. til nogetvið ongum fyriliti til;under h. til nogetvið tí fyriliti at;mangelpå h.tvørrandi fyrilitel.umhugsni;ligegyldighedog mangel på h.líkasæla og tvørrandi umhugsni;kærlig h.vinaligt umhugsni
hensætte	1seta; (um pening) seta av, seta burtur(av), goyma, leggja til viks, leggja til síðis, flyta;(bú.)de beløb der var hensat til at modstå tabupphæddirnar, sum lagdar vóru til síðis at standa ímóti missi;h. én i den størsteforbavselsegera ein púrasta ovfarnan, taka ein á bóli;h. én i ekstasegera ein ovurfegnanel.eldhugaðan2bera út, seta;kisten blev hensat i kapelletkistan varð sett í kapellið
hensættelse	seting, flutningur; heygseting, gravseting;(bú.)avseting (seta av til væntaði krøv), burturlegging (leggja vinning til viks at standa ímóti við)
hente	1h. vand op af en brønddraga vatn úr brunni;h.en på stationenfara eftir einumel.ímóti einum á støðini;jeg henter dig ved togeteg komi eftir tær, tá ið tokið kemur;tøjet hentes og bringesklæðini verða heintað og borin aftur;kan jeg hente demhertil?kann eg fara eftir teimum?2(fl.m.) h. sin inspiration frafáa íblástur frá;motivet til digtet er hentet fra et sagnevnið til yrkingina er tikið úr eini søgn;forfatteren hentersucces hjem på den boghøvundurin fer at verða fagnaður fyri hasa bókina
hentehår	heintihár
hentyde	sipa til, skjóta til, meina við, benda á, koma við ábendingum um, nema við, reka framundir, hálvbrokkast um, rógva framundir, kráa um;hvad hentyder du til med denbemærkninghvat sipar tú til við hasum
hentydning	tilsiping, tilsipan, ábending, hálvbrokkan, framundirróður, mølman;fuld af hentydningerfullur av tilsipingum;komme med hentydninger tilreka framundir, rógva framundir, sipa til, skjóta til, koma við tilsipingum/ábendingum um;komme med ondskabsfulde hentydningerneita, illneita, koma stingandi, klikkja
hentære	síhentæres
hentæres	hjána (burtur av verðini), tærast (upp), træna burtur, avmergjast, torna upp, svinna
hentæret	(lækn.) trænaður, tærdur, ørmøraður; avmergjaður, útarmaður
hentæring	(lækn.) trænan, tæringur, hjánan
hentørre	síhentørres
hentørres	avveita, turka(eis.um frukt, ið skal goymast);t lhsumlhenrørretturkaður, tornaður, turrur
henv.	1(st) henvendelse2(st) henvisning
henved	okkurt um, sovorðið sum, umleið, út ímóti, næstan, at kalla, um;h. tusind kronerút ímóti
henvejre	(avelt, skm.)hvørva, týnast, viðrast (burtur), veðrast burtur í einki, foykja burtur
henvende	snúgva at, venda, víkja á (at), heita á, biðja um, søkja;h. sig tilsnúgva sær til, venda sær til;h. et ord til énvíkja á ein, tala á ein;h. sig til énom hjælpleita sær hjálp hjá;man bedes h. sigpå kontoretfólk verða biðin um at venda sær til skrivstovuna;h. sin opmærksomhed pånogetsnúgva hugan móti einum
henvendelse	áheitan, ávik, tilvísing, umsókn;rette h. til énvenda sær til ein, heita á ein, víkja á ein;direkteh.beinleiðis áheitan, ákallan
henvise	1h. tilvísa á, vísa til, sipa til, benda á, beina til;han blev henvist til et andet kontorhann varð beindur á aðra skrivstovu;være henvist tilvera noyddur at;han er henvist til at leve af sin penhann noyðist at liva av at skriva, pennurin er álitið hjá honum;h. til et udvalgvísa til nevnd2(løgfr.)vísa, tilvísa, skjóta(t.d.eitt mál til nýggja viðgerð)
henvisning	1ávísing, ávísan, tilskilan, tilvísing;bogen giverhenvisninger til mange andre værkerbókin hevur ávísingar til nógv onnur verk2(løgfr.)afturvísing;under h. til skrivelse af 4.oktobervíst verður til skriv dagfest 4. oktober
henvisnings-	tilvísingar-
henånde	(avelt, hátíð)teska (veikliga);hun henåndedeordethon teskaði orðið
hep	koyr á (róptt.d.á leikvøllum)
hepatisk	(lækn.) livrar-
heppe	eggja, koyra á, stimbra, rópa á;fodboldholdetblev heppet op til at yde sit bedstefótbóltsliðið varð eggjað (til) at geva sítt besta
heppekor	eggjanarkór
heppepige	(ítr.)hvøtja
heptarki	(sø.) sjeymannastjórn, heptarki
her1	(málfr.) fornevning; oftast óhert;tidligere var herskove og søerfyrr vóru bæði skógur og vøtn her;må her spilles musikkann tónleikur verða leiktur her, sleppa vit at spæla tónleik her;ved du,hvor mange her varveitst tú, hvussu mong vóru her;de mennesker, her er tilbagetey menniskju, ið eftir eru her
her2	her; higar;h. er bogenher er bókin;det h.hetta, henda, hesin;dette h. forstår jeg ikkehetta skilji eg ikki;kom h.kom higar;forekomme hist og h.vera her og har, vera í støðum;hvad har du h. atgørehvat gert tú her;h. i landetel.h. til landsher á landi;hendes fag er medicin, og h. har hunvist sig dygtighennara yrki er at vera lækni, og er hon sera dugnalig;ingen modsigelser h.!soleiðis er tað!;kom ikke h. med det sludderikki tvætla;der er lydt h. i husettað hoyrist í so væl millum rúmini í hesum húsunum;h. på jordenher á jørð;h. og der og allevegneher og har og allastaðni(s);være både h. og dervera bæði her og har;han skal kommer h. og nuhann skal koma í stundini, beinanvegin, í løtuni, straks;snarth., snart derstundum her, stundum har;N.Hansen? Hansen h.!N. Hansen? Hann er her!;h.og hissethesu megin og hinu megin
heraf	av hesum, av tí;h. kom hele ulykkenav hesum stóðst vanlukkan;h. kan man se, at..av hesum sæst, at...
Herakles	(gudal.) Herakles (í grikskari gudalæru sonur Zeus og Alkmene; samsvarar við rómverskaHerkules)
heraldik	skjaldarmerkjafrøði
heraldiker	skjaldarmerkjafrøðingur
heraldisk	skjaldarmerkja-, vápna-;dekorere medheraldiske figurerprýða við skjaldarmerkjaevnum;h. udsmykningskjaldarmerkjaprýðing
herbarium	(plfr.) urtasavn, plantusavn (turkaðar urtir)
herberg	herbergi, vallaraheim, gistingarhús, tilhaldshús, tilhald, vistarhús, vistarhaldshús, skjól(serst.náttarskjól hjá húsvillum)
herbergsleder	fyristøðumaður (á vistarhúsi)
herbicid	(lívfr.)illgrastýnari, ókrútstýnari
herboende	búsettur her, ið býr her;h. udlændingeútlendingar búsettir her
herd	(gl) alvi, árni, árnur, eldstaður
herde	(sjónl.) (í leikhúsi) forljós; jarnrimaverk við ljóskastarum (sum geva omanljós)
hereditær	(lækn.) arvaligur;en h. sygdomarvalig sjúka
herefordkvæg	(dý.) herefordneyt (drápsneytaslag)
herefter	eftir hetta, í framtíðini, hiðan(i), hiðanífrá;h. harman at rette sigeftir hetta skal aktast;h. skal detblive anderledeseftir hetta skal verða øðrvísi
herefterdags	í framtíðini;h. skal jeg tage mig af det!nú havi eg tað um hendur
herfor	fyri hesum;h. gives intet rådfyri hesum eru eingi góð ráð
herfra	hiðan(i), hiðan(ífrá);to gader h.tvær gøtur hiðani;det andet hus h.onnur húsini hiðan(i);rejse h.fara hiðan(i)
herhen	higar, her;kom h.!kom higar
herhenne	her;bogen er h.bókin er her
herhjemme	her heima, her hjá okkum, her á landi;de forholdkendes ikke h.hasi viðurskiftini eru fremmand her heima
heri	í hesum
heriblandt	millum annað, har ímillum, teirra millum;jeg harkøbt nogle bøger, h. et par digtsamlingereg havi keypt nakrar bøkur, teirra millum nøkur yrkingasøvn
herigennem	av tí(el.hesum), á henda hátt
herimod	ímóti hesum;der rejste sig indvendinger h.fólk mutaðu ímóti hesum
herind	inn higar;kom h.!kom inn!(t.d.úr túninum og inn í gongina), kom innar!(t.d.úr gongini inn í køkin)
herinde	her inni;jeg er h.eg eri her inni
herkomst	fólk, slag, uppruni, ætt, kyn, rót; stovnur; berg, líki;af god h.av góðum fólki, av góðum bergi brotin;af ringe h.av ringumel.vána slag;enmand af fornem h.maður av ríkari ætt
Herkules	1(gudal.)Herkules (síHerakles; gudur hjá keypmonnum í forna Róm)2(stjfr.)(stjørnumynd) Herkules
herkulesarbejde	stórarbeiði, stórverk
herkulesbånd	gorðalað (bordi)
herkulisk	risastórur, stórur sum ein risi, risasterkur, sterkur sum ein risi, stórur og sterkur;h.legemsbygningsum ein risi av skapi
herlig	1eiggiligur, frálíkur, leskiligur, yndisligur, glæsiligur, ljómandi, stórfingin, prýðiligur, óførur, undurvakur, stásiligur, vegligur, dýrdarríkur;et herligt landskabstórfingið landslag;et herligt vejrfrálíkt veður, dýrdarveður;hun er et herligt menneskehon er eitt stásfólk;hun er h.hon er góð2hjherligtfrálíka, óføra;have det herligthava tað frálíkt;more sig herligthava tað óføra stuttligt;hun er så herligt fordomsfrihon er so frálíka leys av fordómum
herliggjort	(átr.) dýrmætur
herliggøre	(átr.) dýrmeta, gera dýrmætan
herlighed	dýrd, eyður, skreyt, skart, glitur, lunnindi, rættindi, veldi; himnadýrd;i al sin h.í øllum sínum veldi;leve i h. og glædeliva í dýrd og gleði; (oftaniðr.)der er ingen h. ved denrigdomtað er eingin dýrd í hasum ríkidøminum;hele herligheden koster kun entierøll henda dýrdin fer fyri bert 10 krónur;så erden h. forbiso er henda gleðin av;den h. varedekun kortstokkut var gleðin;han fik gården medherligheder og rettighederhann fekk garðin við lutum og lunnindum;herlighedens herredýrdardrottur (1. Kor. 2, 8)
herlighedslegeme	(átr.) dýrdarlikam
herlighedstrone	(bíbl.) dýrdarhásæti (Matt. 25, 31)
herlighedværdi	dýrdarvirði, lunnindi;villaen har mangeherlighedsværdiersethúsini hava mong dýrdarvirði
herlovianer	næmingur á kostskúlanum Herlufsholm
hermafrodit	1(lækn.)tvítulingur, tvíkynjað vera, tvíkynjingur2(plfr.)tvíkynjingur3(dý.)(um seyð) ærviðri(hvk);(um hønu) vala;(gudal.)hermafrodittur
hermafroditisk	tvítulinga-, tvíkynjaður, valin
herme	(byggl.) herma (ferhyrnt stútta við høvdi á ovara endanum)
hermed	við hesum, á henda hátt;h. er programmetudtømtvið hesum er skráin liðug
hermelin	1(dý.)hermalín, roysikattur(Mustela erminea)2hermalín;klæde i h.klæða í hermalín (kongstignartekin)
hermelinskåbe	hermalínsfeldur
hermelinsskind	hermalín, hermalínsskinn
hermeneutik	tulkingarlæra, tulkingarfrøði(serst.ísamb.við bíbliutulkingar)
hermeneutiker	tulkingarfrøðingur
hermeneutisk	tulkingarlæru-, tulkingarfrøðiligur
Hermes	(gudal.) Hermes (grikskur gudur, sonur Zeus og Atlas; fruktbærisgudur, samferðslugudur, gudur hjá hirðum, handilsfólki og ítróttafólki)
hermetik	dósamatur
hermetisk	1lufttættur, tillokaður, afturlatin;h. tillukninglufttøtt lokan2(fl.m.) holde vinduerne h. lukkethava vindeyguni fullkomiliga afturlatin
herned	niður higar
hernede	her niðri
hero	1(gudal.)hálvgudur2(fl.m.)stórmenni, hetja, avreksmaður, reystmenni, kappi, seggur, fyrimynd; søguhetja;videnskabens heroerstórmenni vísindanna;Cæsar er hans h.Cæsar er hansara stóra fyrimynd
Herodes	1(bíbl.)Heródes2(fl.m.) fra H. til Pilatusfrá Peri til Pól; higar og hagar;overgå H.bera av Heródesi (í ræðuleika)
heroin	(evnafr.) heroin (sterkt og vandamikið rúseitur)
heroinmisbruger	heroinmisnýtari
heroisere	skoðael.dyrka sum hetju
heroisk	1hetju-, hetjuligur, kappa-, kappaligur, reystmansligur, dreingjaligur, hásinnaður, stórsinnaður2(bókm.) h. kupletensk tvíhenda (tvær rímaðar reglur við fimm tvíliðum)
heroisme	hugdirvi, hetjulyndi, hetjudirvi, hásinni;(gl)seggjalag, hetjulag
herold	(sø.) sendisveinur, boðberi, kallari (hirðaembætismaður sum í riddaratíðini tænti sum almennur boðberi, stjórnaði kappingumo.tíl.og hevði serligan kunnleika til vápnaskjøldur); sendiboð
heroldkappe	(sø.) skjaldraskikkja (við skjaldrarmerki, ið riddarar bóru uttan á herklæðum)
heroldværdighed	skjaldarmerkjatign
herom	um, um tað, um hetta; higar;h. drejer sagen sigikkemálið snýr seg ikki um hetta;han kommerdaglig h.hann kemur higar dagliga
heromkring	her um leiðir;han bor et sted h.hann býr her um leiðir, her í kring, á hesum leiðum
herop	upp higar
heroppe	uppi her
herostratisk	bara ísamb. h. berømtkendur fyri sínar illgerðir
herover	yvir higar; her uppiyvir; av hesum;kom h. ogbesøg oskom yvir higar og vitja okkum, kom til okkara;h. morede de sig megettey stuttleikaðu sær óført av hesum
heroverfor	áraka her, yvirav her, móti hesum;h. kan manhævdeum hettael.tað er at siga, at....
herovre	her, her yviri;h. på denne side af vejenhesumegin vegin;h. i Jyllandher í Jútlandi
herpes	(lækn.) krímsár
herpes zoster	(lækn.) eldkast, álvareldur (tá ið pínan er ring); ts. s.helvedesild
herpetolog	skriðdýra- og paddufrøðingur
herpetologi	(dý.) skriðdýra- og paddufrøði
herpetologisk	(dý.) skriðdýra- og paddufrøðiligur
herpå	eftir tað, síðan, tínæst; um tað;h. gik han i sengsíðan(i) fór hann til songar;h. fulgte middagenog eftir tað kom so døgurðin
herre-	mannfólka-
herre	1harri, húsbóndi, maður;(hátíð)høvdingi, drottur, landsdrottur;være h. i husetráða, stýra, stjórna, valda;husets h.húsbóndin; (nýtt høviskliga)min h.tygum;vær så god, de herrergerið so væl, góðu menn;mine damer og herrerdámur og harrar;blive h. overfáa vald á;(sk.)skabningens herrert.e. menn;være h. over sigselvhava ræði á sær, stýra sær;som herren er,så følge hans svendesum harrin so sveinarnir;der er en h., der ønsker at tale med Demher er ein maður, ið ætlar at tosa við tygum;(bú.) herren(t.d.ønsker)tygum;den herretygum;hvad kanjeg hjælpe den h. medhvørjum kann eg hálpa tygum við; (oftaniðr.) de herrer forfattereháttvirdu rithøvundar;de høje herrerháttvirdu menn;nådige h.náðigi harri;være sin egen h.vera sín egin harri;alle ville herrer være, ingenville sækken bæreallir vilja ráða, men eingin hava stríðið;sygdom er hver mands h.sjúka vinnur á hvørjum manni;de´herrerel.d´herrerharrarnir;så sandt herren hjælpe migel.herrenstraffe migharrin hjálpi (tú) mær;i det Herrens årí tí Harrans ári;det er mange Herrens år sidentað eru mong harrans ár síðani;et herrens vejreitt harrans veður (illveður);se herrens udlíkjast ongum; síggja út sum eitt hím2(átr.) herrernes herreharri harranna(t.e.Guð);(bíbl.)Drottin, Drotturin, Guð, Harri, Alfaðir, Himnafaðir;ingen kan tjene to herrereingin kann tæna tveimum harrum (Matt. 6, 24)
herrecykel	mannfólkasúkkla, harrasúkkla
herred	(gl) herað (støði undir kirkjuliga og rættarliga býtinum av landinum)
herredag	(sø.) harradagur (fundur millum kong og hægstu aðalsmenn, har lógir vórðu gjørdar og dómar sagdir)
herredsfoged	(sø.) heraðsfúti, heraðsdómari
herredsting	(stjmfr.) heraðsting
herredømme	vald, yvirvald, veldi, ræði, yvirræði, myndugleiki; tamarhald;områder underfremmed h.landslutir undir fremmandum yvirvaldi;gejstligt h.kirkjuvald;underkastetviljens h.av fríum vilja, av sjálvsheintingum, sjálvboðin, sjálvkravdur, sjálvráddur, sum er stýrdur av viljanum, vitandi og við vilja;haveherredømmet overhava ræði yvir, hava tamarhald á, ráða yvir;h. på havetyvirvaldið á havinum
herreekvipering	mannfólkaklæði
herreekviperingshandler	mannfólkaklædnahandil
herrefolk	(gl) harrafólk; tignarfólk, valafólk, høvdingar, sømdarfólk
herrefrisør	mannfólkahárskeri
herregud	harra gud
herregård	1harragarður, góðs, óðalssetur2(fl.m.) 500 kr. er ingen h.500 kr. er ikki øll verðin;den rejse er da ingen h.handa ferðin er ikki øll verðin
herregårdsforpagter	harragarðsuppsitari
herregårdsskytte	veiðivørður
herregårdsvogn	harragarðsbilur; ts. s.stationcar
herrekjole	velafrakki
herreliv	perlulív, góðalív, harralív
herreløs	burturvilstur, eigaraleysur, útiløgu-; fallkomin, lasafarin, skirvisligur;en h. kat.útiløgukøttur;herreløst godsfalir lutir, harraleyst fæ
herremand	harramaður, góðseigari, jarðardrottur
herremandsfamilie	góðseigaraætt; harramanshúski
herreret	(í matgerð) greivamatur, harramansmatur, búrmáltíð
herresko	mannfólkaskógvar
herreskrædder	mannfólkaskraddari
herresving	(ítr.) útsíðusneiðing (í skoyturenning);slå h.gera útsíðusneiðing
herresæde	(gl) harragarður
herretoilet	mannfólkael.harra wc, mannfólkanátthús
herretække	(um konufólk) mannfólkatekki, mannfólkaeydna
herreundertrøje	mannfólkaundirtroyggja
herreværelse	(gl) harrastova (rúm í húsum, sum húsfaðirin hevur sum setstovu)
herrnhuter	(átr.) herrnhuterne merisku brøður(nir) (evangeliskt kirkjusamfelag; stovnað 1727 í Týsklandi)
herrnhutisk	(átr.) den Herrnhutiske Menighed meriska samkoman
herse1	(sjónl.) forljós (í leikhúsi); ljósgrind, ljósramma, (jarnrimaverk við ljóskastarum sum veita omanljós)
