n	(málfr.)consonant
nethinnulosnan	(lækn.)detachment of the retina, retinal detachment
netja1	omentum(omentum majus)
netja2	(bjarg.)[with a jerkel.sudden twist secure a bird in the (bird) net];netja seg/netjastthe bird is easily caught in the bird net
netjuskýggj	(veðurfr.)Cirrocumulus
netkendur	reticulated
netlíkur	netlike, reticular, reticulated; retiform
netmynstur	1 reticulation;gera netmynsturreticulate2(teld)grid
netnavn	(teld.)nickname
netorðabók	online dictionary
netriðing	netting
netrúm	(teld)cyberspace
netsetur	(teld)webinar
netsjónvarp	Internet television; (eis.) Internet TV, online TV
netskapaður	reticular, reticulated, retiform
netsokkar	net stockings;(tlm.)nets
netspannari	(firv.)netted pug(Eupithecia venosata)© Wikimedia Commons
nett	1just, exactly; nettsum hinijust like the others;nett herexactly here;skógvurin passar so nett til fótinthe shoe has a perfect fit;tað var nett so sum eg segðiit happened exactly the way I had predicted2difficult to locateel.find (on account of its small size);fiskurin stóð nett á Grynnunithe fish was shoaled in one spot of the fishing ground and was therefore difficult to find
netta	íosb.sumnetta sær átake accurate aim;netta tær væl átake accurate aim
nettala	(teld)IP Telephony, VoIP (stytting fyri ávikavistInternet Protocol TelephonyogVoice over Internet Protocol)
nettelda	(teld.)chromebook
nettleiki	1exactness, precision, preciseness, accuracy2(um fólk) neatness, spruceness
nettligur	1fine, slight, delicately built2well-prepared, well worked out, well-made, well-manufactured;nettligt arbeiðiwell-made work;hj-liga
netto1	1net2(bú.)nett, clear;eg hevði 10.000 kr. í nettovinningiit brought me a clear 10, 000 kr, I cleared kr 10, 000
netto2	net tare;pakkin vigaði 2 kg nettothe parcel weighed 2 kg net
nettoavlop	net profit, net surplus
nettoburðarorka	net tonnage
nettofaktorinntøka	(bú.)net domestic product at factor cost
nettoflyting	Netto Migration Rate; (st.) NMR, nett migration (munurin millum til- og fráflytingar)
nettoframleiðslutal	net reproduction rate, net rate of reproduction
nettoinntøka	net income, net receipts
nettoløn	net pay;(tlm.)take-home pay
nettoogn	net assets
nettoprísur	net price
nettoregistartons	(sigl.)net register ton
nettorúmd	absolute volume
nettoskuld	net debt;nettoskuld landskassanstreasury net debt
nettotjóðarúrtøka	net national product
nettoupphædd	net sum, net amount
nettovekt	net weight
nettovinningur	net profit, netel.clear gain
nettrygd	(teld.)cybersecurity
nettrøll	(teld.)trolling
nettstilla	fine-tune
nettstilling	fine-tuning; fineel.exact adjustment
nettupp	1just, exactly, precisely;tað er nettupp taðthat is just the point;tað var nettupp tað, tú ikki skuldi gerathat was exactly what you shouldn't have done2(júst í hesi løtu) just(t.d.I have just thought of an explanation; just as I came into the room); at the very moment (when)(t.d.at the very moment when the car stopped a shot was fired); just now; just then; (fyri lítlari løtu síðan) just (now), only a moment ago, just this moment, only just(t.d.(only) just arrived); nettuppnújust now
nettur	1(um útsjónd, kropp, hendur, føturo.tíl.)pretty, nice, smart(gl.)comely(t.d.girl); (hampiligur) neat(t.d.dress, handwriting); (elegantur) spruce, dapper(t.d.clothes);hon hevur so nettar hendurher hands are so delicate2who has put too little into sth, who has underestimated sth; too accurate, too precise, too exact;loyvt var monnum, ið nettir vóru við hoyggj, at sláa hagagrasmen who have too little hay are allowed to scythe outfield grass;teir gomlu vóru nettir við seyðatali í haganumour forefathers were meticulous about only keeping the number of sheep agreed upon in the outfield3difficult to locate (on account of its small size);nett miðfishing ground difficult to locate on account of its smallness4delicate, sensitive(t.d.instruments);nett vektdelicate weight5who is a good marksman;hann var so nettur at steinahe was a good marksman when it came to throwing stones6miserly, mean, stingy, tight-fisted, pinchpenny;hann er so nettur í at lata afturhe's stingy when he returns a loan
netveingja	(dýr.) netveingjurnarneuroptera
netveingjaður	(dýr.)net-winged;(fakl.)neuropterous;tær netveingjaðuneuroptera
netverk	(málfr.) network;eintáttað netverkuniplex network;fjøltáttað netverkmultiplex network
netæðraður	(plfr.)reticulated
nev	1billel.beak of bird;bresta fyri nev/nevi,síbresta1;bróta fyri nev/nevi(um unga, of young bird) break the eggshell with the beak;nú er brotið fyri nev/nevinow the chick has hatched;sum lundi sligin á neviðutterly ashamed, intensely embarrassed;vera í nevi(um unga í eggi, of a young one in an egg) grow a billel.beak;nevið reyðaoyster catcher;høga neviðpuffin in winter plumage;(skemt.) fáa sær upp í neviðhave a drink//a pinch of snuff;(tilt.) vilja hava nev fyri (sítt) nevdemand a good exchange2(gl.,á fólki, of humans) nose;gev mær upp í neviðgive me a pinch of snuff3(flogm.)nose4point of fishhook5(stn.)small headlandel.promontory (t.d.Streymnev)6(tilt.) vera millum nevs og nebbabe in a critical situation
neva	1blow with one's fist; punch;hann nevaði í borðiðhe banged the table (with his fist), he brought his fist down on the table with a bang;hann nevaði meg í síðunahe punched me in the side2shake one's fist at sby;hann nevaði ímóti honumhe shook his fist at him3nevastbe in a fistfight
nevaduk	blow with one's fist, punch
nevaleikari	(ítr.)boxer, (yrkis-,eis.)prize fighter, pugilist
nevaleikur	(ítr.)boxing; (yrkis-,eis.)prize fighting, pugilism; (venjing) sparring; eis.boksing
nevapústur	(kvæð.)blow with one's fist, punch
nevaslag	blow with one's fist, punch
nevasláttur	blow with one's fist, punch
nevastingur	íosb. draga nevastingsew with the thread running in one's hand
nevastórur	with large fists, ham-fisted
nevatak	(sj.)sílógvatak
nevdregil	(fisk.) lítil nevdregilbroad-nosed pipefish(Syngnathus typhle); stórur nevdregilgreater pipefish, tanglefish(Syngnathus acus)
nevdýr	(dýr.)(duck-bill) platypus, duckbill; water mole, duck mole;(Ornithorhynchus paradoxus)© Wikimedia Commons
nevfatti	(fugl.)piet avocet(Recurvirostra avosetta)(Linnaeus, 1758)© Gidzy S.
nevfattur stelkur	(fugl.)terek sandpiper(Xenus cinereus)(Güldenstädt, 1775)
nevgulur lómur	(fugl.)yellow-billed loon(Gavia adamsii)(Gray, GR, 1859)Wikimedia Commons
Nevgulur skrápur	(fugl.)Cory's Shearwater(Calonectris borealis)(Cory, 1881)
nevgulur súlukongur	(fugl.)atlantic yellow-nosed albatross(Thalassarche chlororhynchos)(Gmelin, JF, 1789)© Peter Steward
nevhávur	(fisk.)birdbeak dogfish(Deania calecus)© Wikimedia Commons
nevhjól	(flogm.)nose wheel
nevhvalur	(dýr.)Sowerby's beaked whale(Mesoplodon bidens)© Wikimedia Commons
nevi	1fist;geva e-m nevanhit sby with one's fist (punch sbyel.give sby a punch);fáa nevanbe punched;hann legði nevan til hansarahe struck (out) at him (he aimed a blow at himel.he took a swing at him);taka upp í nevarnar av e-mtake handfuls of sth;stinga e-m e-t í nevangive sby sth in secrecy;síggja seg í nevanbe extremely carefulel.cautious, watch out, be on one's guard;vit síggja okkum í nevan fyri at leiga bilwe think carefully before we hire a taxi (it is expensive);hann sær seg ikki í nevan fyri at gevahe is generous (he is liberal, open-handed, bountifulel.munificent, he is free with his money)2handful;ein nevi av saltia handful of salt
nevna	1go by name of, be called;tey nevndu hann Sjúrðhe was called Sjúrður2name, mention by name; nevnaá/at navnimention sby by name;nevna seg/nevnastbe called, be named;hann nevndi seg/nevndist Hanushis name was Hanus, he was called Hanus;nevna tvey samanintroduce to one another;nevna segintroduce oneself;Sigmundur nevndi segSigmundur introduced himself;eingin nevndur, eingin gloymdurno one mentioned, no one omitted3mention, make mention of;eg skal nevna tað fyri honumI shall mention it to him;hesa tíðina hendi meg einki soleiðis at nevnaduring that time nothing happened to me worth mentioning;hann nevndi einki um nakaðhe didn't say anything about it, he didn't mention it;tey høvdu alt, sum kundi nevnast við navnithey had everything you could possibly care to mention;virðið var so lítið, at tað valla var nevnandiits value was so insignificant that it was hardly worth mentioning4appoint;kongur nevndi hann til umboðsmann sínthe King appointed him his representative
nevnari	1(stfr.)denominator2(sø.)person who summons the men of the village (to their duties)3(sø.)local crew selector for official ferrying (ferrying officials across a fiord)
nevnd	1committee; (standandieis.)board, commission; (arbeiðsnevnd) working party; (til at meta um umsókniro.tíl.)selection committee2(handilsm.)board, board of directors; board of governors; directorate, board of trustees; síeis.stjórn
nevndarálit	report (of a committee); findingsel.conclusions of a committee
nevndarformaður	committee chairman, convenor, convener
nevndarfundur	committee meeting, board meeting
nevndarlimur	member of a committee
nevndarmaður	member of a committee
nevndarsessur	membership of a committee;hann segði nevndarsessin frá særhe resigned from the committee
nevndarskrivari	committee secretary
nevndarviðgerð	(stjm.)debate in committee;nýggj nevndarviðgerðrecommittal(t.d.the recommittal of a bill);beina lógaruppskot aftur í nevndrecommit a bill;meðan málið fær nevndarviðgerð (eis.)at the committee stage;málið hevði fingið nevndarviðgerðthe case had been debated in committee
nevni	name, designation, term;teir gomlu høvdu viss nevni fyri halar, eftir sum teir vóru skaptirour ancestors had different names for tails of different shapes
nevniliga	1(ísamb.við uppreksingo.tíl.)namely, to wit, that is (to say) (skrivast tíðum viz.)(t.d.he left two sons, namely John and Henry; I will repeat what I said, namely that; Yorkshire was divided into three districts,viz.the East, West and South Ridings; two countries, to wit Italy and Germany; the rest of the crew, that is to say the deck hands and enginemen); (tíðum verður kolon nýtt)(t.d.there were two things which he disliked: dogs and children)2(grundgevandi) for, because, as, the fact is that, you know, you see(t.d.I was thirsty, for the sun was very hot; I distrusted him, for I knew him to be a liar; as he was hungry he ate all the food; the fact is that he was tired; he is popular with the girls ­ he has a sports car, you seeel.you know); (tíðum týtt viðing-konstruktión)(t.d.being dead tired he fell asleep at once; the town was empty, it being Sunday); (verður tíðum lýst við kolon)(t.d.I soon fell asleep: I was very tired);nevniliga! (t.e.nettupp!) exactly!, that's right!, precisely!, you said it!;tað er nevniliga tað! (tlm.)that's just it!;nevniliga tí atbecause, for(t.d.there were few spectators, for it was a wet day); seeing that(t.d.it is difficult to do, seeing that so many people object to it)
nevning	1mentioning2appointment
nevningabásur	(løgfr.)jury box
nevningadómstólur	(løgfr.)court sitting with a jury
nevningaformaður	(løgfr.)foreman of the jury
nevningalisti	(løgfr.)jury panel
nevningamál	(løgfr.)case tried by a jury
nevningarverdur	appreciable, noticeable, worth mentioning; (tíðum) serious(t.d.there were no serious obstacles)
nevningaskipan	(løgfr.)nevningaskipanin trial by jury, the jury system
nevningating	(løgfr.)(session of a) court sitting with a jury
nevningaúrskurður	(løgfr.)verdict (of the jury)
nevningur	(løgfr.)juryman, juror;mínir harrar, nevningargentlemen of the jury;nevningaúrskurðurthe verdict (of the jury);seta á nevningalistaempanel the jury
nevnliga	(sj.)sínevniliga
nevreyður	(sj.)with a red beak;hitt nevreyðael.hin nevreyði (góðn.)the oyster catcher
nevrosa	sínervaveikindi
nevrotikari	(lækn.)neurotic
nevrót	sínevsrót
nevsa	sínepsa
nevsbroddur	point of a bird's billel.beak;tjaldrið hevur spískan nevsbroddthe oyster catcher has a pointed beak
nevskógvur	peaked shoe, poulaine
nevsligin	sum nevsligin lundi utterly ashamed, intensely embarrassed
nevsoddur	point of a (bird's) billel.beak
nevstiði	anvil with two beaks
nevstuttur grælingur	(fugl.)white-rumped sandpiper(Calidris fuscicollis)(Veieillot, 1819)© Silver Leapers
nevstør	(plfr.)bottle sedge(Carex rostrata)©Kristian Peters
nevtollur	(sø.)beak duty [tax which every male person in the Faroes (the inhabitants of Tórshavn, however, excepted) between in the form of the beaks of birds of prayorin money (abolished in 1881)]
nevtron	(alisfr.)neutron
nevtronbumba	neutron bomb, enhanced radiation weapon
nevtronstjørna	(stjfr.)neutron star
neya	(gl.)curtsey, makeel.drop a curtsey(fyrito)
neyð	1(líðing, mótgangur) distress, suffering, trouble, affliction; adversity; hardship(s);(eis.)plight(t.d.he could do nothing to help them in their plight);stór neyð valdar millum tey fátækuthere is great distress among the poor;vera í dýrastu neyðbe starving, be in want, suffer distress/hardships;kroystur av dýrastu neyðout of dire necessity;við neyð og deyðwith difficulty; (í evstu løtu) only just(t.d.we only just caught the train); barely(t.d.I barely managed to crawl upstairs);(tlm.)by the skin of his//her teeth(t.d.he just got into university by the skin of his teeth);neyð og armóðwretched poverty, misery;liva í neyð og armóð (eis.)lead a life of misery;uggi mín í neyðinimy (one) consolation;ein vinur í neyðinia friend in need;hava neyð av e-mworry about sth;kæra sína neyðpour out one's troubles to sby;hann líður onga neyðhe is all right, he has got all he wants;tá ið neyðin er størst, er hjálpin næstthe darkest hour is before/nearest the dawn;(orðt.) neyð ger nasadjarvannecessity knows no law;(tilt.) neyð ger so mangan tjóvnecessity knows no law;(orðt.) mangt er í neyðini nýtt/tøktnecessity is the mother of invention;neyð brýtur allar lógirnecessity knows no law2(fátækadømi) distress, want, indigence, destitution, need;hann hevur onga neyðhe is all right, he has got all he wants;hava e-t fyri neyðini/fyri neyðumneed sth;hava hjálp fyri neyðinibe in need of help;vera fyri neyðinibe needed;tað var fyri neyðinithat was needed,(eis.)that was the least you could do;vit hava alt, sum er fyri neyðiniwe have everything we need;nú er neyð á honumhe wants (sth) badly;fjald/krógvað neyðpoverty below the surface, hidden poverty;tað er eingin neyð fyri tí1(tað er eingin vandi fyri tí) no fear (of that)!2(tað er ivaleyst) that is pretty certain3(tað ger ikki petti) never mind! (that will be all right!, don't you worry about that!3shortage; neyðupp á grýtura shortage of pots4small piece, bitel.scrap (of sth);hann drakk so illa og oyðilegði ta neyðina av ogn, sum var í húsinum fyri brennivínhe drank so much that what little property they had was squandered for spirits5(kvæð.) taka við neyðumrape
