e	(eis. tónl.)E, e
ekkó	echo, resonance
ekkóa	echo, resound, ring, reverberate
ekkólodd	echo sounder
ekla	be stingy, miserly, niggardly,hann eklar ikki tað, hann hevurhe does not grudge giving something;ekla seg inn á (e-n)challange, provoke (someone)
e.Kr.	(st. eftir føðing Krists) 190 e.Kr.AD 190
ekrugás	(fugl.)taiga bean goose(Anser fabalis)(Latham, 1787)Anser fabalis ©iStock
ekrukúgv	(fl.m.)lazybones, lazyboots; lazy glutton
ekrulínbendil	(plfr.)corn spurrey(Spergula arvensis)
ekrulínbinda	(plfr.)navew(Brassica campestris)
eksamia	sípróvtøka
eksem	(lækn.)eczema; (um dýr) tetter
eksentrikari	síserlingur
eksentrisitetur	síserlyndi
eksentriskur	síserlyndur
eksil	síútlegd
eksistensur	sítilvera
eksponentur	(stfr.)exponent, index (of)
ekta	(gl.)marry
ektaður	1genuine(t.d.this is not a genuine diamond, but an imitation; genuine burgundy; a genuine coin); real(t.d.a real Havana cigar; real china (, diamonds, gold, silver, silk, wine)); honest-to-goodness(t.d.honest-to-goodness English pork sausages)2(sannur) genuine(t.d.with genuine feeling; his laughter was not genuine; genuine regard (, repentance, respect, sorrow)); real, sincere, true3(um barn, føðing) legitimate(t.d.legitimate child, child born in (lawful) wedlock)4(um lit) fast(t.d.fast colour, fast dye)5(um listaverkel.um tekst) genuine, authentic6(lívfr. plfr.)true(t.d.the true(el.inferior) vocal chords; true fruit)7(fl.m.) ein ektaður eingilskmaðura real(el.a trueel.a true-born) Englishman, an Englishman born and bred, an Englishman through-and-through;(fl.m.) tann ektaða vøranthe genuine article; the real thing; the real McCoy8(støddfr.)proper(t.d.fraction, subsetpartmongd)
ektakona	(wedded) wife;(sk.)spouse, wife of one's bosom
ektamaður	husband(t.d.he will make her a good husband)
ekta(r)	í osb: fáa til ekta(r) marry;taka til ekta(r)marry (each other);vilja hava til ekta(r)seek sby(el. sby'shand) in marriage;geva dóttur sína til ekta(r)give sby one's daughter in marriage; marry one's daughter to sby
ektleiki	genuineness, authenticity(t.d.of the Epistles of Paul, of a signature, of a work of art); sincerity(t.d.the sincerity of his grief); (um lit) fastness; (um føðing) legitimacy;prógva ektleikaauthenticate
ekur	síaka
ekvator	símiðkringur
el	síravmagn
el-	síravmagns-,rav-
elaklænur	very thin, slight, frail, fragile
elaligur	síelalítil
elalítil	infinitesimal, minute
elapinkulítil	síelalítil
elapinkutur	síelalítil
elarbeiði	electrical work
elastikk	elastic, rubber band
elastikkbind	sígyrðisbind
elastisitetur	sígyrði
elastiskur	sígyrðin
elda1	1heat over fire2light a fire(t.d.in the stove); start the fire (up)3incite, instigate(t.d.instigate him to commit a crime); urge on(t.d.the combatants); stimulate(t.d.he was stimulated by opposition)
elda2	age(t.d.illness had aged him; he had aged beyond his years) grow old(t.d.he grew old in this job);hetta fer at eldast av honumthis will pass off with age
eldast	grow old(t.d.he grew old in this job); age(t.d.he had aged beyond his years)
eldáseting	fire-raising, arson, incendiarism
eldávaring	fire alarm, fire call
eldbirtari	fire raiser (, starter), arsonist; (maður við sjúkligari trongd) pyromaniac
eldbumba	(herm.)incendiary (bomb), fire bomb
elddópur	(bíbl.)baptism of fire
elddyggur	fireproof
eldfastur	fireproof;eldfast fatfireproof dish, ovenproof dish, (djúpt v. oyrum) casserole;eldfast leirfireclay;eldfastur múrsteinurfirebrick;eldfast rúmfireproof room, strongroom;eldfastur sementfire cement
eldfimur	1inflammable,ógvuliga eldfimurhighly inflammable; combustible, ignitable2(fl.m.)delicate;ein eldfim støða (eis.)an explosive situation;gera støðuna minni eldfimadefuse the situation
eldfjall	(jarðfr.)volcano(flt -es);virkið eldfjallactive(el.live) volcano;slóknað eldfjallextinct volcano; eis.gosfjall
eldfluga	firefly;tey sóu eldflugur um náttinathey could see the fireflies in the night
eldfrensur	Chilly-Willy
eldfressur	síeldfrensur
eldføri	1lighter2(stb.)match
eldførisdós	matchbox
eldføriskistil	síeldførisdós
eldførisløgur	inflammables
eldførispinnur	match (síannarssvávulspinnur)
eldførur	(in)flammable, combustible
eldgamal	síavgamal,elligamal
eldgerð	arson, incendiarism, fire-raising
eldglæma	glow of fire
eldgos	(jarðfr.)volcanic eruption
eldgoysandi	(um fápildýr) fire-breathing
eldgrúgva	fireplace, hearth
eldgrýti	igneous rock
eldgrøv	streaks of fire,eldgrøvin stóð úr tístreaks of fire trailed behind it
eldhav	blaze
eldhol	(á komfýri) range opening
eldhuga	inspire, carry away; fill with enthusiasm
eldhugaður	with enthusiasm, enthusiastically
eldhugi	enthusiasm, zeal
eldhugur	síeldhugi
eldhús	(ným., sjóm.)galley
eldibrandur	(gl.)fire, (stórur) conflagration; piece of burning wood
elding	1lighting a fire2inspiration, instigation
eldiviður	(kvæð.)(fire)wood
eldkast	(lækn.)shingles, herpes zoster;(stb. eis.)burngun
eldkattur	síeldfrensur
eldker	(bíbl.)brazier; (á borði) chafing dish; hot plate
eldketta	síeldfrensur
eldkúla	fireball;(stjørnufr. eis.)bolide
eldkvæmur	síeldfimur
eldlandssuðursoppur	(plfr.)no common name(Descolea antarctica)
eldleysur	without fire
eldloysi	lack of fire,sita í eldloysibe without a fire
eldmikil	síeldhugaður
eldmurtur	síkombikk
eldneisti	spark
eldoffur	(bíbl.)burnt offering; (stórt) holocaust
eldopalur	(jarðfr.) fire opal
eldovnur	(bíbl.)fiery furnace
eldpanna	síeldker
eldpinnur	sísvávulpinnur
eldpokari	(sjóm.)poker
eldrabústaður	sheltered housing for the elderly, basic care home; housing(el.dwellings) for the elderly;(am.)senior housing
eldrakari	poker
eldraki	síeldrakari
eldreiða	kindling
eldreiggj	síeldreiða
eldreyður	fiery red, burning red
eldri	1older(t.d.I am two years older than you; the older members); (eldri av tveimum) older; (í húski) elder(t.d.my elder brother (, sister, son, daughter));eg eri tann eldri av okkum báðumI am older than you; I am your senior;(bókm.)senior(t.d.he is two years senior to me; he is my senior by two years)2(rættiliga gamal) elderly(t.d.an elderly lady)3(í fólkanøvnum: at gera mun á tveimum við sama navni) Elder(t.d.the Elder Pitt); ( senior) senior(t.d.Mr Jones, senior); (um starvsaldur) senior(t.d.the senior captain; he is ten years senior to me at the War Office)4á eldriárumlater in life;ein verður eldri við árunumI am not so young as I was;verða eldriget (, be getting) older, be getting on in years;(bókm.)advance in years;tey sum eru eldri enn egthose older than myself; my elders;tað hevur gjørt hann tíggju ár eldriit has made him (look) ten years older;eldriborgararsenior citizens;eldrifólkelderly people, people of the older generation;ein eitt sindur eldriharriherre a gentleman past his prime;eldrajarnøldthe early Iron Age;eldrimennelderly men; men who are getting on in years; men who are past middle age(el.past their prime);eldrilesandi 1. (eldri í lesnaðinum)the senior (el. advanced) students;2.(eldri í árum)the mature students;eldrirúnurearlier runes;eldristeinøldthe Paleolithic(el.Older Stone) Age; the Paleolithic;eldrasøgaOnglandsthe early history of England;frá eldritíðearlier, of an earlier date;ein eldriútgávaan earlier edition5[sumn]tey eldru(the) older people; elderly people(t.d.a book that appeals to elderly people);ráð teirra eldru (sø.)the Council of the Ancients
eldripari	(herm.)flamethrower
eldroynd	ordeal by fire;(fl.m.)ordeal(t.d.pass through an ordeal)
eldsaltur	very salt, caustic
eldsál	fiery soul; activist; ball of fire
eldsbruni	fire; (stórur) conflagration
eldsjógvur	(bíbl.)lake of fire
eldsjúka	(lækn.)pyromania
eldskaði	damage (caused) by fire, fire loss
eldskírn	baptism of fire
eldskøra	poker
eldslogi	flame
eldslóð	trail of light;nykbrandar koma við langari eldslóð eftir luftinicomets travel across the sky with a trail of light behind them
eldsløkking	síeldsløkkingur
eldsløkkingur	extinct fire,her er eldsløkkingurthe fire has gone out;(oljuv.)firefighting
eldsløkkiskipan	fire-extinguishing installation
eldsløkkitól h	fire extinguisher
eldsløkkiútgerð	fire-fighting appliances, fire fighting equipment, fire-extinguishing equipment
eldsløkkjari	(fire) extinguisher
eldsmiður	síjarnsmiður
eldsovnur	(bíbl.)fiery furnace
eldstaður	(í húsum) fireplace, hearth; (fýrstaður) furnace;opin eldstaðuropen fireplace
eldstólpi	column of fire;(bíbl.)pillar of fire
eldtinna	(jarðfr.)chalcedony, flint; eis.grátinna
eldtolin	(handv.)(um hurð, skilaveggo.a.)fire-retardant
eldtryggur	fireproof
eldtunga	tongue of fire
eldur1	1fire;heilagi eldurinthe sacred fire;helvitis eldurhellfire;kóka eitt á møkum eldilet sth simmer;makur eldura slow fire;(bíbl.) ævigi eldurinthe everlasting fire;eldurin breiðir segthe fire spreads;eldur er í húsunumthe house (o.s.fr.)is on fire;herja við eldi og svørðiravage with fire and sword; (gently);eldur kom ía fire broke out;eldur kom í húsinithe house caught fire;seta eld áraise a fire;seta eld á eittset fire to sth; set sth on fire;sløkkja eldinput out the fire2(stórur eldur) conflagration3(til tubbak) a light,kundi tú givið mær eld?can you spare me a light?4(skoteldur) fire5(fl.m.)fire, ardour6(fl.m. ymisk samb.) brent barn ræðist eldonce bitten, twice shy; the burnt child dreads fire;halda hann til eldinkeep him up to the mark(el.up to scratchel.to it); keep his nose to the grindstone; keep him at it;spæla við eldplay with fire; play with edged tools;tá var eldur í koluni el. í skálanum el. tá var alt sum í einum eldithat put the cat among the pigeons; there was hell to pay;úr øskuni í eldin outof the frying pan into the fire7(í gimsteini) lustre, fire
eldur2	aged, advanced in life;hann er nógv eldurhe has aged a lot;eldur fyri tíðinaprematurely aged, old before his (,o.s.fr.)time
eldurt	(plfr.)wood cranesbill(Geranium sylvaticum)
eldurtarætt	(plfr.)Geraniaceae(Geraniaceae)
elduvíkingur	person from Elduvík
eldvagnur	1(bíbl.)fiery chariot, chariot of fire2engine, locomotive
eldvandi	danger of fire, fire risk
eldvardur	fireproof
eldvargur	fire raiser (, starter), arsonist; pyromaniac
eldvarpari	(herm.) flame thrower
eldvatn	fire-water
eldvápn	firearm(s)
eldverjubúni	fire protection clothing, flame resistant clothing; eis.eldverjuklæði(r)
eldverjuklæði(r)	fire protection clothing, flame-resistant clothing; eis.eldverjubúni
eldverk	fireworks, firework display, display of fireworks
elefantur1	sífílur
elefantur2	sífílur
elegantur	1hj-ly;vera elegant ílatinbe elegantly(el.smartly, immaculately) dressed2elegant, neat, smart;(tlm.)posh;eleganti heimurinthe fashionable world, the world of fashion, select circles, the Smart Set, the Upper Ten
elegi	elegy
elektrikari	(ravm.)electrician
elektrisitet	(ravm.)electricity;síannarsravmagn
elektriskur	(ravm.)electric, electrical;(ofta =)power(t.d.borimaskina power drill);(fl.m.) vera heilt elektriskurbe het up; be worked up; be in a state;síannarsravmagns-hjelectrically
elektroda	(alisfr.)electrode
elektrokardiografi	(lækn.)electrocardiography
elektrokardiografur	electrocardiograph
elektrokardiogramm	
elektrokemi	electrochemistry
elektrokemiskur	electrochemical
elektrolysa	electrolysis
elektrolysera	electrolyse
elektrolysubað	galvanic bath
elektrolyttur	electrolyte(t.d.strong, weak electrolyte)
elektromagnetiskur	electromagnetic
elektromagnetisma	electromagnetism
elektromagnetur	electromagnet
elektromekanikari	electrical engineer (, repairman); electrician
elektromekaniskur	electromechanical
elektrometur	electrometer
elektromotorur	electromotor, electric motor
elektron	(alisfr.)(negative) electron
elektronikkídnaður	electronics industry
elektronikkmekanikari	electronics mechanic
elektronikktøkningur	electronics engineer
elektronikkur1	electronics
elektronikkur2	(alisfr.)electronics
elektronikkverkfrøðingur	electronics engineer
elektronikkvirki	electronics firm
elektroniskur1	electronic(t.d.data processing, music)
elektroniskur2	(alisfr.)electronic,elektronisk eftirlitsskipanelectronic surveillance equipment
elektroskop	electroscope
elektroskopiskur	electroscopic
elektrostatikkur	electrostatics
elektrostatiskur	electrostatic
elektrosveisa	weld electrically
elektrosveisari	electric welder
elektroteknikkur	electrotechnics; electrotechnology
elektrotøkniligur	electrotechnical
elektrotøkningur	electrotechnician
elektrón	(negative) electron
elementbyggjarí	sísniðhús
elementkøkur	sísniðkøkur
elevatorur	sílyfta
elgja	elgja í segpour (down one's throat), gulp down, knock down
elgsdýr	síelgur
elgshjørtur	bull moose
elgshundur	(Norwegian) elkhound
elgskálvur	(norðuramerikanskur) calf moose; (evropeiskur) calf elk
elgskúgv	cow moose
elgstarvur	bull moose
elgur	(dýr.)elk, moose(Alces alces)
eliksirur	elixir
elinstallatørur	electrician
elisabetanari	Elizabethan
elisabetanskur	Elizabethan
elita	pick, élite, flower(t.d. the pick of the army; the pick of the basket; the flower of the nobility; the flower of English youth)sí eis.úrvalslið
elitu-	síúrvals
elja	síhelja
eljastríð	síeljustríð
eljubein	(á fiski) caracoid
eljusjúka	jealousy, envy
eljusjúkur	jealous
eljustríð	1jealousy, envy2violent quarrel, violent dispute
elkomfýrur	electric cooker;(am.)electric cooking stove, electric range
ella	(Suð.)-l:a]1or(t.d.put up your hands, or I fire; a rifle or, alternatively, a revolver; I don't care whether you buy it or not; whether he does it or not, the result will be the same; strike or no strike, I have to get to work!)2or else(t.d.take care, or else you will fall); otherwise(t.d.you must obey my orders; otherwise I cannot have you in my employ); if not(t.d.you must pay your rent; if not he will have you thrown out of the house); failing that(t.d.you must restore the things you have taken; failing that you will be reported to the police)
elli1	age(t.d.the building is falling to pieces with age); antiquity(t.d.a manuscript of great antiquity); (um fólk) old age(t.d.die of old age);virðisminking av ellidiminution in value by lapse of time
elli2	(old) age(t.d.his back was bent with age); antiquity; Anno Domini(t.d.his chief complaint is simply Anno Domini; Anno Domini tells in the end)
elliár	(old) age,á elliárum hansarain his later years
ellibrek	(senile) decrepitude
ellibrekaður	decrepit
ellidagar	(old) age
ellidøkkur	black with age
ellifarin	enfeebled with age, decrepit
elliformaður	[eldest member who presides as chairman]; (ES) oldest Representative;(flm.)doyen
ellifólk	(very) old man
elligamal	exceedingly old; (ikki um fólk) immemorial(t.d.immemorial oaks; their immemorial privileges; immemorial customs; immemorial usage); age-old(t.d.problem); (sum hoyrir til gamla tíð) ancient(t.d.an ancient city);tað er elligamalt (eis.)it's as old as the hills
