p	(málfr.)consonant, /pe:/
pums1	flop, plop, splash;hesi smápumsini frá seiði, ið kastastthe plopping sound of coalfish jumping up out of the water
pums2	straight; pumsút av bakkanumhe fell straight down from the steep mountainside
pumsa	splash, plop, flop, fall with a splash;hann pumsaði útavhe flopped down;smágrót pumsaði á sjógvpebbles splashed into the sea
pund	1(vekt)approx.pound (500.45g)2(weight)bismarapund(= 24 merkur = 6 kg)3(bú.)pound(st.£)(t.d.£50);(tlm.)quid(t.d.it costs five quid);(sø.um myntineis.)sovereign
pundari	(gl.)steelyard (for weighing fairly heavy objects)
pundsseðil	(gl. bretskur)pound note
pundsseyður	sheep withapp500 g of suet (= 24 merkur)
pungagras	(plfr.)sísnjallabjalla1
punglop	(lækn.)scrotal hernia, scrotocele
pungur	1pouch, bag,(esp)purse;draga eygað í pungsquint a little;leggja eygað í pungturn back an eyelid (pull the top eyelid down over the lower one to remove a foreign body from the eye)2(likam.)scrotum3(of orange) segment4(sjóm., skemt.)síprentis
puniskur	(sø.)Punic;punisku krígginithe Punic Wars
punk	sípunkur
punkari	punker
punkrokkari	punk rocker
punkrokkur	punk rock
punkt	1(stfr.)point2point, dot;(tónl.)dot3item(t.d.item 31);næsta punkt á skránnithe next item on the agenda4(prent.)point;stavirnir eru í 9 punktumthe letters are nine points
punktgos	(jarðfr.)hot spot/hotspot volcanic chain
punktmongd	(stfr.)set of points
punktsveisaður	spot welded
punktsveising	spot welding
punktum	1(málfr.)(full) stop,(am.)period;seta punktumput a full stop2(styttingarmerki) full stop,(serst. am.)period;málfr. er stytting fyri "málfrøði"´málfr.´ is short for `málfrøði' (philology)3(tekn ið sýnir raðtal, sign as indication of a numeral number)1.1st;2.2nd;3.3rd,4.4th;3. upplag3rd.impression3(markatekn í sambandi við tíðarfestingar, full stop as indication of time);kl. 12.15(eitt korter til eitt) 12.15 (a quarter past twelve)
punkur	punk rock
punsabolli	punch bowl
punsaglas	punch glass
punsaskeið	punch ladle
punsaveitsla	(gl., uml.)carouse
punsur	punch (drink)
punta	make check pattern, check
puntalastrá	(plfr.) skyggjandi puntalastráwavy hair-grass(D. flexuosa)© Wikimedia Commons
puntur	1square, field;talvborðið hevur 64 javnstórar puntarthe chess table is divided into 64 equally large squares2(t.d.av sukurlátu) square3puntarnir[a particular Faroese knitting pattern]4(bát., gl.)punt
puntutur	(um klæði) chequered, check;(serst. am.)checked;puntut mynsturcheck (pattern);puntur tilfarcheck (material), chequered (material); diapered, lozenge-patterned;puntut turriklæðia chequered headscarf
puppuringur	(stb.)sípumpuringur1
puritani el.puritanari	Puritan
puritanisma	Puritanism
puritanskur	Puritan;(niðr.)puritanical
purka	1(dý., gl.)sow2dirty little girl, dirty slut3(sj.)little girl4(dý., sj.)young ewe;15. mai skal hvør purka av bønumby the 15thof May each and every sheep must have been driven out from the infield5(dýr.)bottom joint in an animal's hoof (of cattle or sheep);tað er snor í purkuniel.tað er ikki søtt í purkunithe sheep is skinny6(oljuv.)pig, go-devil
purkuskógvar	dirty shoes
purkutur	dirty, of dirty habits, unhygienic
purla1	curl, (long) ringlet
purla2	1curl;hárið purlaðithe hair was curly2curl; purlahárið við hárjørnumcurl one's hair with curling irons
purlujarn	curling ironel.tongs
purluknokkur	(skaldsk.)curly-haired girl
purlutur	curly-haired;purlut hárcurly-haired
purpur	1(bláreyður) purple, (fagurreyður, skarlaksreyður) crimson, scarlet2(plagg) purple(t.d.robe)
purpurhinna	(plfr.)laverbread, purple laver, sloak, slook, laver, tough laver (Porphyraumbilicalis)
purpurkápa	(bíbl.)purple robe;í purpurkápu (eis.)in purple
purpurkúvingur	(dýr.)dogwhelk(Thais purpurea)
purpurkvarði	purple border
purpurlittur	(bláreyður) purple; (fagurreyður, skarlaksreyður) scarlet
purpurlitur	(bláreytt) purple, (fagurrett, skarlaksreytt) crimson, scarlet
purpurreyður	sípurpurlittur
purpurtari	(plfr.)sípurpurhinna
purra1	(plfr.)leek(Allium ampeloprasum porrum)
purra2	1irritate, provoke, tease, banter, chaff; purrae-n (við e-m)chaff sby (with/about sth)2purra upp undirincite (stimulateel.urge) sby to action, goad sby into activity3(helstsjóm.) purra útcall/rouse/rout out
purrifinna	(likam.)clitoris
purrukuldi	[cold at the tip of the penis]
pusa	(stb.)síbeita32
pusalaknektur	(fisk.)símulta
pusliborð	(tlm.)sískiftiborð2
puslispæl	(tlm.)síputlispæl
puss1	1plaster, plastering, rendering, stucco; (óslætt) roughcasting2Sunday clothes(flt),Sunday best;vera í pussinumwear one's best clothes, dressed up to the nines, in one's Sunday best,(tlm.)in one's best bib and tucker, all spruced up;lata seg í pussiðput on one's best clothes
puss2	1injury, damage;(kvæð.) fáa puss í eygaðhurt one's eye2spæla/gera e-m eitt pussplay sby a trick; play a trick/a practical joke on sby;lagnan spældi honum eitt pusshe was the victim of an ironic fate, fate played a trick on him
pussa	1polish; (metal) polish, burnish; (við leðri og pulvuri) buff; (skóbúna) polish, black;(serst. am.)shine(tát-d); (ovno.tíl.)blacklead(t.d.a stove, a kitchen range), (reinsa) clean; pussasilvurclean the silver;pussa gløspolish glasses;pussa eina fjølsandpaper a board2plaster, render; (óslættur) roughcast;pussaðir útveggirplastered external/exterior/outer walls
pussfiskur	prankster, joker
pussikrem	polish
pussimaskina	(tøkn.)polishing machine, polisher
pussur	(stb., sj.)penis of stallion, bullel.ram
puthonk	loop sewn into a piece of clothing (for hanging clothes on a hook);puthonk í vøttiloop which is sewn on to a woollen gloveel.mitten and used in stead of a button hole, so that the other glove can be fastened to it by a button
putl	1occupying of oneself with trifles; putlog fjasslow and unimportant work2slow and difficult work
putla1	1person who potters about, person who occupies himself with trifles2pilferer, filch,(tlm.)pinch
putla2	1potter about, occupy oneself with trifles;putlast við e-tbe pottering about(t.d.in the garden);putlastbe slow/dilatory at one's work (do only a little work slowly)2pilfer, filch, pinch;eg havi einki putlað frá tærI haven't pinched anything from you
putlarbeiði	1trivial work, unimportant occupation2demandingel.fiddlingel.fiddly work
putlisamur	(stb.)síputlutur;vindeyga er so putlisamt at málait is fiddling/fiddly work to paint windows
putlispæl	puzzle, jigsaw (puzzle)
putlutur	1slow, dilatory, diverted by trifles while carrying out a task2demanding, fiddling, fiddly(t.d.task);hatta er so putlut at fáast viðit is demanding/fiddling work
putra1	powder(t.d.one's nose); putrasegpowder (oneself)
putra2	síputla21
puts	(at vísa e-t ið kemur óvart á, used when something happens suddenly) hey!, oh!, ouch!, the devil!; putshey! har datt hannhey!, down he went with a wallop
putt	síputtur
puttur	stick
putur	powder
-putur	síhjá-
puturdós	powder box; (lítil) compact, (stór) flapjack
putureskja	powder box
puturkveistur	powder puff
puturparykkur	(powdered) peruke
puturpungur	vanity (bag), vanity case
puturskuggi	eye-shadow powder
putursukur	soft brown sugar;danskt putursukurclayed sugar
puutur	1fluffy2having fluff on one's clothes
púff	(sagt tá ið e-t stinkar illa);púff, sum hetta lukar illaugh, this has a foul smell
púki	devil, troll;púkinthe Devil
púl	(gl.)trouble, inconvenience, hardship
púla	(gl.)give trouble, inconvenience (people)
púra	quite, entirely, totally; púrabeintquite right;púra einkinothing at all;púra stillurperfectly still;púra einsamallurall alone, entirely alone
púrasta	(tlm.)quite, entirely, totally, completely, perfectly
púrga	clean out, rob;trolararnir púrgaðu grunnin fyri fisktrawlers cleaned out the fishing grounds; núpúrgaði tú meg heiltyou have robbed me of all(t.d.my tobacco)
púrgera	1clean out, rob;hann púrgjørdi meg fyri tubbakhe robbed me of all my tobacco;nú teir hava púrgjørt allan tann góða bøinthey have now destroyed the infield (building sites)2púrgera særeat//drink so much that one becomes ill3thrash, beat up, give a beating;hann varð púrgjørdurhe was given a sound thrahing/hiding;eg skal so púrgera teg tilI shall tan your hide
púrgerð	severe stomach acheel.diarrhoea/diarrhea
púrgjørdur	difficult(t.d.her husband is rather difficult); hard to please, hard to satisfy, difficult to get on with; (tykkin) touchy;hann er púrgjørdur, tað flættast ikki við hannhe is extremely difficult to get on with
púrt	sípúra; púrteinkinothing at all
púrur	1pure;sum tað púrasta gulllike pure gold;gera púrtclean out, rob;nú gjørdi tú púrtnow you took everything2ignorant, without abilityel.knowledge;tú ert púruryou know absolutely nothing(t.d.teacher to pupil)
púsin	cross, disgruntled, irritable, bad-tempered, dissatisfied, displeased, peevish, morose, querulous, sulky,(tlm.)grumpy, touchy, testy, on edge, edgy, nettlesome; capricious;ólukksáligt sum tú sært púsin út í morgunyou are, I must say, grumpy this morning
pústr	sípístr
pústra	1sípístra1;pústra í eldinblow on the fire;pústra upp undir eldblow air in under the fire2(stb.)rest (from work);nú fara vit at pústra eina stundwe are going to rest for a while
pústran	sípístran
pústrari	sípístrari
pústurgráur	(seyðal., stb.)with grey throat (of sheep)
pústurhvítur	(seyðal., stb.)with white throat (of sheep)
pústursvartur	(seyðal., stb.)with black throat (of sheep)
púta1	whore, prostitute, harlot
púta2	pillow
pútudevil	pimp, maquereau,Sponce, mack
pútuhús	brothel, whorehouse, house of ill fame, bawdy hous, bordello
pútusonur	(kvæð.)son of a whore, bastard
pútusveinur	(kvæð.)son of a whore, bastard
pyjamas	sínáttklæði
pyks	small wound, blister, small boil, abrasionel.excoriation;eg havi fingið eitt pyks á fingurinI have got a small wound on one of my fingers;hann fekk ikki eitt pykshe returned safely/unharmed/uninjured/unhurt from sth
pyksi	sípyks
pylsa	1sausage;Sbanger;baiirskar pylsurfrankfurters, (heitar,eis.)hot dogs2(stb.)black pudding;fáa sín part av pylsuniget one's due3(sj.)sípelsi
pylsueitran	(lækn.)botulism, sausage poisoning
pylsueitur	(lækn.)botulin
pylsufarg	sausage press
pylsugerð	making of black puddingel.sausage (made of rolled meat); (á virki) sausage manufacture, sausage making
pylsuindur	black pudding
pylsupinnur	sausage pin;hann dugir ikki so frægt sum at telgja pylsupinnhe's butter-fingered/clumsy/maladroit
pylsupressa	sausage press
pylsuvognur	hot-dog standel.cart
pynt	1ornament, adornment, embellishment; something that serves as an ornament2(stás) finery; (besetningur, kantprýði) trimming(s); (mótapynt) millinery;(niðr.)frippery; (prýðing) ornament, adornment;bara til pynt(purely) ornamental
pynta	1(prýða) decorate(t.d.a dinner table with flowers); dress(t.d.a shop window); deck (out)(t.d.a street with flags); adorn, ornament;(niðr.)prettify; (konufólkaklæðir) trim(t.d.trim a hat; a dress trimmed with old lace); (matgerð) trim, garnish(t.d.a dish with parsley);pynta jólatrædecorate the Christmas tree;pynta til jólaadorn with Christmas decorations2(lata seg væl í) dress(t.d.the bride); dress up, smarten up;pynta segmake oneself smart, smarten/spruce oneself up;pynta seg fyri e-m//einiwear one's best for sby, dress up for sby;pynta seg viðadorn oneself with; deck oneself out with(t.d.jewels); dress oneself in(t.d.fine clothes)3(vera pyntuligur) be ornamental, look nice
pyntidukka	(niðr, fl.m.)doll;hann skal hava eina bóndakonu, ikki eina pyntidukku sum tegwhat he needs is a farmer's wife not a doll like you
pyntiligur	dainty, neat; (skreytkendur) decorative
pyntireyv	(niðr.)sípyntidukka
pyntisjúka	inordinate love of finery
pyntisjúkur	inordinately fond of finery
pyntutur	who likes being smartlyel.sprucely dressed;(tlm.)dolled up, tarted up
Pyrineafjøll	(sern., landafr.)the Pyrenees
pyrrhussigur	ein pyrrhussigur a Pyrrhic victory
pythagorei	Pythagorean
pythagoreskur	Pythagorean;pythagoreski lærusentingurinthe theorem of Pythagoras/Pythagoras's theorem
pytting	(sigl.)futtock
pyttingvant	(sigl.)futtock shroud(s)
pýggi	sípýggj
pýggj	1small child2small and slight person, dwarf, whippersnapper, stunted person, runt, a shrimp (of a man)3(barnam.)excrement, faeces
pýggjaligur	1dirty, soiled2rude, nasty, spiteful
pýggjapá	(barnam.)excrement, faeces
pýramida	1pyramid2(stfr.)pyramid;grundflati//síður//oddur á pýramiduthe base//sides//apex of a pyramid;avkuppað pýramidatruncated pyramid;øvut pýramidainverted pyramid;reglulig pýramidaregular pyramid;skeiv pýramidaoblique pyramid
pýramidudánaður	pyramidal
pýramidulagaður	pyramidal
pýramidumyndaður	pyramidal
pýramiduskapaður	pyramidal
pýramidustubbi	(stfr.)frustum of a pyramid
Pætur	Peter;(tilt.) hetta er matur fyri Pætur,símatur
pætursfiskur	(dýr.)dory(Zeus faber)© Wikimedia Commons
pætursmessa	
pætursstólur	122 February2(stjfr., stb.)a certain constellation3(kat.)the Holy See
pætursøka	St Peter's Day (29 June)
pøðutur	(gl., stb.)wet through, drenched, soaking wet, soaked
pør	sípar
-pørutur	sítjóvspørtutur
pøs	(sigl.)bucket
pøsa	tire, exhaust;ein góður gongumaður skuldi kunna pøsa ein lambseyðan agile walker should be able to tire out a lamb(app.6 months old);var tað sum onkuntíð, hevði hetta brekkuskapilsið ikki pøst teg útif you had been the man you used to be this trifling slope wouldn't have exhausted you
pøsing	(stb.)tiredness, fatigue, exhaustion;vit fingu eina sovorðna pøsingwe had been walking so hard that we were completely exhausted
pøsingarbardagi	(herm.)battle of attrition, wearing-down battle
pøsingarkríggj	(herm.)war of attrition
pøsingarstríð	(herm.)war of attrition
pøstur	tired (out), exhausted
