d	(eis. tónl.)D, d
døma	1(løgfr., í borgaramáli) judge, deliver judg(e)ment, pass judg(e)ment;døma í e-m málijudge(el.tryel.hear) a case;døma at rinda kostnaðinorder to pay costs;døma at rinda skaðaendurgjaldorder to pay damages(el.compensation);døma e-n at rinda 100 kr.fine sby (døma manni revsing) sentence, pass sentence on; condemn; (døma sekan) convict;døma e-n sekanfind(el.declare) sby guilty; convict sby;fáa e-n dømdan(brotsliga) get sby convicted, obtain a conviction against sby; (borgaraliga) obtain judgment against sby;verða dømdur sekur í e-mbe convicted of sth, be found guilty of sth;døma e-n frá lívinumsentence(el.condemn) sby to death, pass sentence of death on sby;tí verður dømtit is adjudged that;tann dømdi(kann verða endurgivið) the prisoner;dømandi valdjudicial power; judiciary2(ikkiløgfr.)judge(t.d.God will judge all men; it is not for me to judge him); (meta um) judge, form a judgement of;tú eigur ikki at døma onnurone ought not to set oneself up in judgement of(el.sit in judgement upon) others;eg døma hann ikkiI do not set myself up in judgement of him;tað er ikki mín lutur at døma hannit is not for me to judge him;døm hann ikki ov harðligado not judge him too severely; do not be too hard(el.severe) on him;døma frammanundanprejudge3(í fótbólti) referee,(am.)umpire;døma fótfeilcall a foot-fault; foot-fault sby;døma fríspark(o.tíl.)give(el.award) a free kick(o.tíl.);(í nevaleiki) referee; (í baseball, kricket, tennis) umpire; (kapprenning, rógving) act as judge; (í ítrótt)døma skeivtgive an erroneous award4judge(eftirby); estimate; (próvdøma) examine, mark(t.d.his English essay is difficult to mark);(am.)grade; (síannarsmeta um)5condemn(t.d.condemn sby for his conduct); denounce(t.d.he denounced his conduct publicly); censure(t.d.he was severely censured for his mistakes);(átr.)damn (síannarsátala,revsa)6[ísamb. viðfs]døma eftir útsjóndjudge by appearances; go by appearance(s);eftir øllum at dømato(el.by) all appearances(GG:there is every reason to believe that the picture is genuine); (sum frættist) by all accounts;døma vit hann eftir okkara mátiif we judge him by our standards;tú dømir eftir tær sjálvumyou are judging from yourself; you are applying your own standards
dømi	1example, instance (um of), paradigm; (fordømi) precedent; (upplýsandi) illustration;sum dømias an example, by way of example;eitt gott dømia good example; a case in point;eitt vánaligt dømia bad illustration, a poor example;(fl.m.: sum fyrimynd) a bad example;geva dømigive(el.adduce) examples, illustrate by examples;taka fram sum dømiinstance, cite (, quote) as an example;sum dømi kann verða nevntby way of example may be cited (, quoted);ávarandi dømia warning, a deterrent, a lesson, an example(t.d.let this be an example to you);eitt beinrakið dømia striking example;sum dømi um hansara dirvi kann eg nevnaas an instance of his courage I may mention;sum dømi um hvussu orðið verður brúktto illustrate the use of the word; (síannarsfyridømi)2(bókm.)fable(t.d.Aesop's fables)3(kvæð.)event, occurence, incident4[ísamb.viðfs]til dømisfor instance, for(el.by way of) example; like, say(t.d.let me take, say a hundred; any tragic event, say the death of a friend);(ste.g.);eg til dømis komi ikkiI for one am not coming;sum til dømis(such) as(t.d.beasts of prey, such as the tiger); as for example(t.d.large cities, as for example Paris); like(t.d.great writers, like Dickens, often use this effect); such as(t.d."Sometimes you say things that you shouldn't" "Such as?");dømi um eittan instance(el.example) of sth;dømi um tað øvutainstances (, illustrations) to the contrary; counter-examples;dømi eru um, at tílíkt er komið fyrithere are examples of this having occurred; this is known to have occurred;geva dømi um eittgive(el.adduce) examples of sth, exemplify sth(t.d.to exemplify the use of a word), illustrate sth (with examples); instance sth;dømi úr Shakespeareexamples from Shakespeare;lýsa eitt við dømumexemplify sth, illustrate sth with examples
dømileysur	unparalleled, unprecedented, unexampled, nonpareil, unheard-of
døming	1judging2(meting) evaluation, judgment, opinion; assessment(t.d.of candidates);3(verkevni, stílar) examination, marking;(am.)grading;4(ítr.) refereeing5leggja eitt fram til dømingarsubmit sth for decision; submit the question to the committee; approach someone in the matter
dømisøga	1(bíbl.)parable(t.d.the parable of the Buried Talents)2(bókm.)fable(t.d.Aesop's fables)
dønum	sídani
døpul	(kvæð.)double, twofold,í døplum hugain two minds, in doubt
døpur	sídapur
døpurhugi	irresolution,vera í døpurhuga (av e-m)be in two minds (about it)
døsi	sídøsil
døsil	tangled string
døsin	somnolent, torpid
døssasligur	sídeyðsamligur
døttur	fall,(t.d.he was injured by a fall); fall,(t.d.he was injured by a fall)
døtur	sídóttir
døv	(á fólkiel.rossi) haunches, hindquarters; behind, seat, bottom
