ó-	un-(t.d.uninterrupted); im-(t.d.improper); il-(t.d.illegal); ir-(t.d.irregular); non-(t.d.non-professional); not(t.d.not previously mentioned
óklárur	1indistinct, blurred(t.d.outlines); (um veður) cloudy, hazy2vague(t.d.expression; feeling; idea; impression; memory; reply); dim(t.d.foreboding; idea; memory); hazy(t.d.a very hazy idea of the subject)3(um løg) cloudy, muddy(t.d.wine); turbid(t.d.water)
óklívandi	unclimbable(t.d.mountain); unscalable(t.d.cliff; wall);yvir óklívandi borgargarðarover unscalable castle walls
óklókur	unwise(t.d.unwise conduct; that was unwise of him), foolish; injudicious(t.d.remark, step); ill-advised(t.d.measure; proceeding, step); ill-considered, imprudent, rash(t.d.remark; step)
ókneptur	unbuttoned;hann gongur í ókneptum kotihe wears his coat unbuttoned
ókomin	coming, future;ókomnar ættirgenerations to come;tá er ilt ókomiðbut there is worse to come
ókókaður	unboiled;eggini vóru ókókaðthe eggs were not boiled
ókravdur	unasked, unsolicited(t.d.assistance; interference); volunteer, spontaneous; without being asked, spontaneously, of oneself, on one's own initiative;hann kom ókravdur (aftur) við tíhe returned it without being asked;hon hevði ókravd sett eina fløsku á borðiðwithout being asked she had placed a bottle of wine on the table
ókristiligur	1unchristian;brævið tykist ógvuliga óvinaligt og ókristiligtthe letter appears to me very unkind and not written in a Christian spirit2[sumhj]ókristiliga(stb.)very, most, highly, extremely;tað smakkar ókristiliga vælit tastes extremely good
ókristin	unchristian, pagan, heathen
ókruvdur	(of fish) not cut open
ókrút	1weed2insect;marfluga og annað ókrútgammarus and other insects3(fl.m.)idler, loafer;títt ókrútyou useless layabout
ókrútstýnari	herbicide, weed killer; eis.illgresistýnari
ókrýndur	uncrowned; ókrýndurkonguruncrowned king
ókst	síeykast1
ókunnigur	1unaquainted; ókunnigurvið eittbe ignorant of(t.d.what was happening; his intentions), be unacquainted with(t.d.the state of affairs); be unaware of(t.d.what had happened); be uninformed of; know nothing about; be in the dark about(t.d.his plans); be in ignorance of; not know(t.d.his intentions)2unknown, strange;ókunnigt fólkstrangers
ókunnleiki	lack of knowledge, ignorance
ókunnufólk	stranger; ókunnufólkkom á gátta stranger came in
ókunnugleiki	síókunnleiki
ókunnugur	síókunnigur
ókunnukona	strange lady
ókunnuland	unknown country
ókunnumaður	stranger
ókunnumál	foreign language
ókunnuorð	(málfr.)word of foreign origin; (tíðum) loanword
ókunnur	unacquainted; unknown, unfamiliar, strange; ókunnurmaðura stranger;(orðt.) blindar eru ókunnar gøturit is difficult to find one's way in a strange place,(eis., fl.m.)you cannot deal with a problem properly unless you are acquainted with it
ókúgaður	unoppressed;tey kundu liva ókúgað í landinumthey could live as free people in the country
ókúgandi	indomitable(t.d.courage; energy; pride); unconquerable(t.d.courage; nation)
ókvendi	termagant,(tlm.)crow, bitch, battleaxe
ókvensligur	1clumsy, not very mobile, awkward2disobliging, unkind; unkindly(t.d.action); (um muruna) unamiable, unpleasant, disobliging;eitt ókvensligt fólkan unkind person3trackless, pathless, impassable;har er so ókvensligt í støðniit is difficult to walk at the landing place4ókvensligtwet weather;í morgun var so ókvensligt veðurthis morning the weather was wet
ókviðin	not in calf;kúgvin er ókviðinthe cow is not in calf
ókvæmisorð	(tlm.)term of term of abuse abuseel.opprobrium;(samn.)abuse, abusive language;nýta ókvæmisorðuse abusive language (to sby);(eis.)call sby names, abuse sby
ókynjað	(lívfr.)asexual(t.d.reproduction);umframt at nørast við egg og sáð nørast sjónotur ókynjaðin addition to sexual reproduction sea anemones have also asexual reproduction
ókynjaður	(plfr.) sexless;ókynjaðar/kynsleysar plantursexless plants
ókyrra1	roughness (of the sea,espinshore); ókyrraí sjónumrough sea
ókyrra2	(um sjógv, of sea) become rough(espof the surfel.breakers in by the coast);tað el. hann ókyrrarit is becoming rough
ókyrrupláss	[villageorplace where landing is made difficult on account of surf or breakers]
ókyrrur	1(um sjógv inni við land, of the sea inshore); rough;tað er ókyrt(brim) there are breakers2(of landing place) hampered by rough sea;lendingin er hin ókyrrasta í landinumthe landing place is the most difficult in the country on account of rough sea
ókønur	ignorant, unskilled, without knowledgeel.experience
ól	síala
ólag	1out of order, (um ólag á rakstrio.tíl.)be disorganized, be dislocated(t.d.electricity services were dislocated for six hours);motorurin er í ólagithe engine is out of order;ólag kom áthings didn't function properly;ólag er á (e-m)sth is out of order2doubt;hann er í ólagi og veit einki at hugsahe is doubtful and doesn't know what to think;loypa ólag í/ámake someone feel uncertain/doubtful
ólagabarn	difficult child, problem child, maladjusted child
ólagafólk	difficult person, person who has an awkward temper/a difficult temperament
ólagaligur	1intractable, unaccommodating, difficult to get on with, unreasonable, over-particular, difficult(t.d.a difficult partner; a difficult customer);teir høvdu ólagaligan vind allan veginthey had foul/adverse/contrary wind all the way;stjórin var eingin ólagaligur maðurthe manager was not a difficult person2inconvenient, awkward;ólagalig arbeiðstíðunsocial working hours;ólagaligt ferðasambandinconvenient service
ólagamaður	difficult man
ólagna	bad luck, ill-luck, misfortune;enn fylgdi ólagna við navninumthe name still brought bad luck
ólastandi	impeccable(t.d.behaviour; dress; manners; style; taste); blameess(t.d.lead a blameless life); irreproachable(t.d.conduct); unexceptionable(t.dconduct);ein umsjónarmaður eigur at vera ólastandithe conduct of a supervisor must be irreproachable
ólavsøka	1St Olaf's Dayel.Wake (29 July)2national day of the Faroepeople (the meeting of the Løgting on St Olaf's Day)
ólavsøkuaftan	the day beforeel.Eve of St Olaf's Day
ólavsøkudagur	St Olaf's Day (29 July)
ólavsøkufólk	people who celebrate the St Olaf's Day's festival (in Tórshavn)
ólavsøkufríggj	St Olaf's Day passionel.crushel.courtship; ólavsøkufríggjsær sjáldan jólamyrkriða St Olaf's Day affair seldom experiences the dark of Christmas
ólavsøkufríggjari	St Olaf's Day's suitor, wooer
ólavsøkugestur	out of town guest on St Olaf's Day
ólavsøkuhald	St Olaf's Day's festival
ólavsøkuleiti	about St Olaf's Dayel.around St Olaf's Day);tað var um ólavsøkuleitiðit was about St Olaf's Day
ólavsøkuligt	(esp of weather)suitable for celebrating the St. Olaf's Day
ólavsøkumjørki	fog around St Olaf's Day
ólavsøkumysing	strong current around St Olaf's Day
ólavsøkurota	prolonged rainy weather around St Olaf's Day
ólavsøkuting	(sø.)the meeting of the Løgting on St Olaf's Day
ólátaður	ungovernable, unruly, unmanageable, intractable, naughty, wild;kúgvin var ólátaðthe cow was unruly;ólátað børnungovernable/unruly children;børnini eru ólátað (eis.)the children are quite out of hand
ólátakleppur	wild person
ólátaligur	(stb.)síólátaður
ólátalív	unrestrainedel.unbridled life, wild life
ólátaskapur	ungovernableness, unmanageableness, intractability, intractableness, unruliness
ólátin	síólátaður
ólekjandi	(lækn.)incurable
ólendi	(stb.)inaccessible terrain
ólent	with uneven, roughel.rugged groundel.terrain;har er ólentthe ground/the terrain there is very rough
ólesandi	1(torførur at lesa) illegible(t.d.handwriting);brævið er ólesandithe letter is illegible2(sum ikki loysir seg at lesa) unreadable(t.d.book)
ólesiligur	1(torførur at lesa) illegible(t.d.handwriting);Hundabrævið hevur verið hildið vera mestsum ólesiligtmen have found the Dog Letter almost illegible (a law from the medi(a)eval times)2(sum ikki loysir seg at lesa) unreadable(t.d.book)
ólesingur	illiterate
óleskaður	who has not been offered a little drop or a bite;eingin fór óleskaður aftur av húsino one left the house without having been offered something to drink and eat
ólevnað	debauchery, excesses, dissoluteness, dissolute living, dissipation;hava ólevnað fyri (eis.)lead a disorderly life
ólevnaður	síólevnað
óliðiligur	inflexible, stiff(t.d.finger; hair; leaf; leg); rigid(t.d.attitude; airship; muscles);óliðilig skipanan inflexible system
óliðugur	unfinished;(fl.m.)incomplete, rough(t.d.a rough sketch); crude,(tlm.)half-baked(t.d.crude projects, half-baked theories)
óliðuligur	síóliðiligur
ólisin	unread(t.d.return the letter unread);ólisin tekstur(til próvtøku) an unseen(fltunseens)
ólisoyra	(of cow) auricular appendix(Auricula cordis)
ólitaður	undyed; natural-coloured(t.d.hair)
ólittur	with no colour
óliviligur	not liveableel.livable (inel.on), uninhabitable, intolerable;teimum tókti óliviligt í heimlandinumthey found life intolerable in their native country;leiðiligt og óliviligtboring and unliveable;ólivilig korintolerable/insufferable conditions of life, intolerable/insufferable circumstances
ólivin	(vistfr.)abiotic
ólíðiligur	insufferable(t.d.an insufferable nuisance//heat; he is insufferable); intolerable, unbearable, insupportable(t.d.agony); excruciating(t.d.pain);hann kendi eina ólíðiliga pínuhe felt an excruciating pain
ólíka	different; ólíkaer taðthat is quite different (and much better);ólíka betrimuch better;tað er ólíka maðurinhe is a far better man, they are not to be compared, they are not in the same class at all, there is no comparison between them
ólíkatekn	(stfr.)sign of inequality
ólíkindaferð	dangerous journeyel.voyage
ólíkindalív	immoral life, immorality;hon var spilt út í odd og egg av ólíkindalívishe was utterly/thoroughly depraved by the loose/immoral life she had led
ólíkindaveður	extremely rough weather(espat sea)
ólíkindi	1(piece of) folly, act of madness, foolishness, absurdity, nonsense; incautiousness, imprudence, rashness, negligence, inadvertence; ólíkindiskulu til óhappimprudence is part of an accident;verja ólíkindidefend a piece of folly/an act of madness;báturin fór av ólíkindumthe wrecking of the boat was caused by incautiousness2(um veður, vind, streymo.tíl.;of weather and wind and the like) bad circumstances for undertaking sth,esppoor weather prospects, bad wind and tide conditions
ólíkligskapur	unseemliness, impropriety, indecorousness; (grovari) indecency;hatta var ólíkligskapurthat was an improper action
ólíkligur	disagreeable, improper, offensive, unbecoming, unseemly, immodest, indecent(t.d.conduct; person; song); lewd(t.d.gesture; joke; person); obscene(t.d.book; language; word);(tlm.)naughty, dirty(t.d.postcard); smutty, filthy(t.d.joke; song; story);ólíkligt tos ella fyllskapur toldist ikkiobscene language and drinking were not tolerated
ólíkning	(stfr.)inequality
ólíkur	1unlike, different (from);málini eru ólíkthe languages are different;tær eru so ólíkar, at eingin hevði gitt, at tær vórusystrar they are so unlike (each other) that one would not suppose them to be sisters;hann er ólíkur beiggjanumhe is unlike his brother, he is dissimilar to his brother, he is different from his brother;mannagongd ikki ólík mínaria method not unlike mine2reasonable, unbecoming, improper;líkt og ólíktthe most different things, this and that, suitable and unsuitable
ólív	íosb.sumskera til ólívsgive sby a fatal/mortal wound
ólívin	who does not spare himselfel.herself;tað er so ólívið fólkthose people do not spare themselves
ólívis	íosb.sumtil ólívisto death;særa til ólívis givesby a fatal/mortal wound
ólívrunnin	(evnafr.)inorganic(t.d.salts);ólívrunnin evnafrøðiinorganic chemistry
ólívsgerð	act for which one forfeits one's life
ólívssár	death wound, mortalel.fatal wound;mangar hevur hon við ólívssári særtshe has mortally wounded many a man
ólívssótt	fatal disease, mortal disease
óljóð	1unpleasant sound, discord2noise, din
óljóðamikil	noisy;meira at kalla sjóðandi enn óljóðamikilit was more like a humming sound than noise
óljóðsampi	noise nuisance
óljóðsavgirdur	protected against noise
óljóðsavmarking	(útv.)noise suppression
óljóðsbyrging	sound barriers(flt)
óljóðsdálking	noise pollution;fyri óljóðsdálking(tíðum) antinoise(t.d.an antinoise ordinance)
óljóðseftirlit	noise abatement control
óljóðskelda	source of noise
óljóðsmark	(útv.)noise limit;hægsta loyvda óljóðsmarkhighest permitted noise limit
óljóðsmálari	noise meter
óljóðsmáling	noise measurement
óljóðsmúrur	baffle (wall)
óljóðsplága	noise nuisance
óljóðssendari	(útv.)jamming station, jammer;órógva sending við óljóðssendarajam a broadcast
óljóðsstig	noise level
óljóðsstøð	(útv.)jamming station, jammer
óljóðstal	(sjónv.)noise figure
óljóðstól	noisemaker
óljóðsvardur	protected against noise
óljóðsverja	sound barriers(flt)
óljóðsviðkvæmi	noise-sensitivity
óljóðsviðkvæmur	noise-sensitive
óljóðsøki	noise zone
ólokin	unfinished;(fl.m.)incomplete, rough(t.d.a rough sketch); crude,(tlm.)half-baked(t.d.crude projects, half-baked theories);søgubrotini vórðu standandi ólokinthe fragments of the narratives remained unfinished
