kabarett	cabaret, show
ketilseldur	small fire
ketilslív	(stb.)síketilseldur
ketilsteinur	(boiler) scale, fur, incrustation;fáa ketilstein íscale, fur;banka ketilsteinscale, remove scale;reinsa ketilsteindescale, defur;fyribyrgja ketilsteinthe prevention of incrustation
ketlaútgerð	boiler fittings
ketsjari	(ítr.)racket
ketta	(dýr.)cat;(orðt.) ilt er kynið í kettu, og so er alt slagið úteftirlike the father like son;liva sum hundur og kettalead a cat-and-dog life;tá ið kettan er úti spæla mýsnar á borðinumwhen the cat's away the mice will play;koma sum ketta upp úr høvdatrog[make an ill-placed remark];líkur kettufeline, catlike
kettjari	(ítr.)racket; (til fjaðrabólt) battledore
kettjup	catsup; ketchup
kettlingasótt	[cat's pains when it gives birth to kittens]
kettlingur	kitten,kettan hevur kettlingar
kettueyga	(eis. á súkklu)cat's eye
kettuhali	cat's tail;síkattarhali
kettuklógv	cat's claw,eitur er í kettuklógvthere is poison in a cat's claw
kettuklór	scrawl, scribble
kettulabbi	(eis. sigl.)cat's paw
kettulámur	síkettulabbi
kettulótir	(stb.)sífjákalótir
kettumatur	cat food
ketturyggur	(stb.)í osb: hava ketturygg with bent back, stooping;seta ketturygg á segexert oneself to the utmost;teir komu við ketturyggithey were ready to attack
kettutunga	cat's tongue,hava kettutungube unable drink anything hot
kettuvask	lick and a promise, an apology for washing, catlick
ketuatburður	(alisfr.)chain reaction(t.d.the explosion sets up a chain reaction)(polit. o.s.fr.)domino(el.knock-on) effect
ketubrunnur	(sigl.)chain pipe
ketubrúgv	chain suspension bridge
ketubræv	chain letter; pyramid
ketubrøkur	(stfr.)continued fraction
ketubummur	(í vevi) warp beam
ketudráttur	chain drive
ketuhandil	multiple (shop);(am.)chain store
ketuhjól	(tøkn.)sprocket (wheel)
ketukassi	1(skip.)chain locker2(á súkklu) (closed) chainguard; (við oljubaði) (closed chainguard with an) oil bath
ketukjallari	(umborð á skipi) chain locker
ketuklúss	(sigl.)hawsepipe
ketukrókur	(sigl.)chain hook
ketuliður	(sigl.)chain link
ketulongd	1length of cable a ship is riding by2chain length
keturím	linked rhyme
keturoykja	chain-smoke
keturoykjari	(tlm.)chain-smoker
keturulla	(sigl.)chain roller
ketusag	(handv.)(power) chain saw
ketuskapur	aliphatic
ketustikk	(sigl.)chain hitch
ketustingur	(handarb.)chain stitch
ketustroppur	(sigl.)chain sling
ketustubbi	piece of (anchor) chain
ketutáttari	(á súkklu) chain tightener; (á motorsúkklu) chain (tightening) bolt
ketutong	(tøkn.)chain tongs
ketutrekk	chain drive
kevja	í osb: kevja gás catch a goose on the water with a rod
keyla	1(støddfr., sigl(bákn),tøkn.)cone2(í spæli) (nine)pin, skittle(pin);(am.)bowling3(prent.)body size, point, depth4(til vegarbeiði) traffic cone5í osb: hann lá sum keylanhe fell as if struck by lightning
keyluskapaður	conic(al), cone-shaped;øvut keyluskapaðurobconic(al)
keyluspæl	(ítr.)ninepins, (game of) ninepins; skittles(t.d.play ninepins(el.skittles);(am.)bowl
keylustubbi	(støddfr.)frustum of a cone, truncated cone
keymi	(stb.)síkeymur
keymur	íosb: blása í keymblow on one's hands to warm one's fingers
keyp	1(ognan) purchase, buying2(handil) bargain, deal;tað var eitt gott keypit was a (good) bargain(el.a good buy);eitt ringt keypa bad(el.losing) bargain;keyp og sølabuying and selling, purchase and sale
keypa	1buy, purchase;keypa bíligabuy cheap(ly);keypa dýrtbuy dear, buy at a high price;(fl.m.)buy dearly(t.d.a dearly bought victory);tað e-n hevur keypt (eis.) one'spurchase(s);keypa kontantbuy for cash;keypa køttin í sekkinbuy a pig in a poke;eg veit ikki um eg eri keyptur ella seldurI don't know where I stand, I don't know if I'm coming or going;keypa sær fríask for leave of absence, ask for a day (, an afternoon, a night,o.s.fr.)off; ask for a holiday;tað er ikki keypandiit is not to be had for love or money2take(t.d.Britain takes most of our haddock); take up(t.d.building plots are being taken up); (ogna) acquire(t.d.the museum acquired the picture at an auction)3(mutra) buy (over); bribe4(gl.)hire, engage, sign on,hann keypti ein stýrimannhe signed on a mate5[ísamb.viðfs]keypaafturbuy back, repurchase; (loysa inn) redeem; (á auktión) buy in;keypafráe-mbuy from sby; (vera viðskiftafólk hjá) shop at sby's(t.d.we shop at Smith's);keypafyribuy for(t.d.I bought it for £2);hvat hevur tú keypt fyri pengarnar eg gav tær?what have you bought with the money I gave you?alt sum kann verða keypt fyri pengarall that money can buy;keypainnpurchase, buy, make purchases; (í handlum) shop, go shopping;eg fari at keypa okkurt innI have some shopping to do (el.some purchases to make);keypa inn hjáshop at, buy one's things at, patronize(t.d.a shop);keypainn undirseghoard, buy (up), corner (the market) (in);keypaupp(til at tálma marknað) buy upkeypaútbuy sby out
keypagjald	(gl.)wages
keypagrind	[flesh of pilot whale which is bought]
keypajørð	purchasable land (as opposed to freehold land and Royal land)
keyparamarknaður	buyers' market
keyparavanar	(consumers') buying habits
keypari	buyer, purchaser(t.d.eager(el.willing) purchaser);finna áhugaðar keypararfind a ready market; (á kurslista) bid;áhugaður keyparieager(el.willing) purchaser
keypfelag	(sj.)co-operative stores;(tlm.)co-op; co-operative society
keypferð	business trip
keypfrælsi	freedom of trade
keypin	(gl.)expensive, dear, costly
Keypinhavn	síKeypmannahavn
keypiorka	síkeyporka
keypmaður	1grocer2business man, dealer; (heilsølumaður) merchant; (smásølumaður) shopkeeper, tradesman;(am.)storekeeper; buyer3(sj.)buyer, purchaser
Keypmannahavn	Copenhagen
keypmannahavningur	Copenhagener
keypmannaskúli	(skúl.,gl.)commercial school, school of commerce
keypmansskapur	business (ability); business acumen
keypmál	purchase commitment
keyporka	(hjá viðskiftafólki) spending(el.purchasingel.buying) power, ability to buy;(bú.:effektivur eftirspurningur) effective demand; (sum peningur hevur) purchasing power
keypsamtøka	co-operative society, (st.) co-op; supply association
keypsavgjald	(bú.)VAT(stvalue added tax)
keypsbræv	deed (of conveyance)
keypsdeild	purchasing(el.buying) department
keypsfelag	wholesale society
keypsferð	shopping trip
keypsherðindi	shopping (, spending) spree(el.binge)
keypshugaður	eager(el.willingel.anxious) to buy
keypshugur	(lively) demand;teirra keypshugurtheir willingness to buy;vantandi keypshugursales resistance
keypskapur	business, trade, trading, commerce
keypskálayvirlit	(flotation) prospectus, stock exchange prospectus
keypskáli	1(bú.)exchange, change;í keypskálanum(sum stovnur) on the stock exchange; (um bygningin) at the stock exchange(t.d.a meeting was held at the stock exchange);keypskálin(í the City of London) the Royal Exchange2(til virðisbrøv) stock exchange; (uttan fyri Ongland ofta) bourse;pappírið er ikki skrásett í keypskálanumthe stocks are not listed(el.quoted) on (, by) the stock exchange
keypskip	(skip.)merchant ship
keypskort	charge account card, credit card, debit card;(kort.)bought card
keypskursur	bid price
keypsla1	(gl.)trade, commerce, businesss; (keyp og søla) buying and selling, purchase and sale
keypsla2	(gl.)bargain (with sby about sth); (pranga) haggle;(bíbl.)trade
keypslag	(gl.)bargain,gera keypslagmake(el.strikeel.pick up) a bargain
keypslisti	shopping list
keypslufelag	síkeypfelag
keypsluferð	business trip
keypslulógin	(í UK) the Sale of Goods Act
keypslupeningur	purchase(el.cost) price
keypslusáttmáli	contract of sale; (stundum) sales agreement; (við avgjøldum) hire purchase agreement
keypslustevna	síkeypstevna
keypsmarknaður	(bú.)buyers' market
keypsorkueind	(bú.)purchasing power party
keypspantibræv	(bú.)purchase mortgage
keypspeningur	síkeypslupeningur
keypsprísur	(bú.)initial cost, purchase cost, purchase price, original(el.acquisition) price;fyri keypsprísat cost price;selja fyri (undir) keypspríssell at (, below) cost.
keypsrættur	option to purchase
keypssamtøka	síkeypsamtøka
keypssáttmáli	contract of sale, sales contract; (stundum) sales agreement; (við avgjøldum) hire purchase agreement; (avtala) purchase commitment
keypsseðil	contract note; (hjá meklara) broker's contract note; (fyri keyp) bought note; (fyri sølu) sold note
keypsstjóri	chief buyer; purchasing manager
keypstaðarligur	1(øvut av bygdarligur) town(t.d.their town manners), townish, townified2(øvut av høvuðsstaðarligur) provincial;(am.)small-town
keypstaður	(provincial) town, market town; royal borough; (úti á landinum) country town;(serl.viðv. umsiting) borough
keypstaska	shopping bag, (stór) tote bag
keypstevna	fair(t.d.a horse fair)
keypsvani	keypsvanar (consumers') buying habits
keypsvegleiðing	brochure
keypsvirði	purchase price
keypsvognur	shopping trolley, shopping cart; (í stórhandli) trolley;(am.)pushcart, shopping cart; (taska á hjólum) push basket, mobile(el.wheeled) shopping basket, trolley shopper
keyptur	keypt vøra(eis.) bought-in goods
keys1	(sjóm.)casing
keys2	síkjósa
kg	(st.) kilogrammkilogram(me)
kgl.	(st.) kongligurRoyal
kibbuts	kibbutz (landbúnaðarsambýli í Ísrael)
kika	1look for (something)2look through a telescope
kikarafiskur	(fisk.)Black (Deep-water) cardinal fish slag av(Epigonus telescopus)
kikari	1(lang) telescope;stilla kikaraadjust a telescope;seta kikaran fyri tað blinda eygað (fl.m.)turn a blind(el.Nelson) eye on sth;(fl.m.) hann hevur hana í kikaranumhe has got his eye on her2(smærri) fieldglasses; (til bæði eygu) binoculars3(til leikhús) opera glass(es)4(skipskikari) (marine) binoculars; (langur) marine telescope
kikertur	(plfr.)chickpea
kikhosti	(lækn.)whooping cough(tussis convulsiva)
kikka	gasp, pant; kikka eftirgasp for (t.d.air);í osb: kikka eftir ondinigasp for breath; get out of breath;hann kikkaði eftir ondini (eis.)his breath came short
kikkan	gasp; gasping, panting
kikla	(stb.)síkitla
kikn	síkikni
kikna	í osb: tað kiknaði í lendunum (lærinum, rygginum)there was a sudden pain in the loins (back, thigh)
kikni	pain, ache(t.d.in the back or the thigh)
kiksa	1(ítr.)miss, muff, foozle; (í biljard) miss, foul stroke, miscue; (í golf) dub, foozle; (í fótbólti) miss, miskick2fail, be unsuccessful, miscarry, fall through;(tlm.)flop; (um ætlaneis.)be abortive;tað kiksaði hjá honum at gera taðhe failed (to do it); he did not succeed (in doing it);kiksa fullkomiligabe an utter failure;(tlm.)be a complete(el.a totalel.an utter) flop
kilen(ar)i	Chilean
kilenskur	Chilean
Kili1	(landal., sern.)Chile
kili2	(plfr.)chili
killari	(sj.)drop of alcohol
killur1	(stb.)hip flask
killur2	(stb.)kitten
kilo	kilo, kilogram(me);fýra kilo av smørifour kilogram(me)s of butter
kilobýt	(teld.)Kb/kilobyte
kilogramm	(vekt)kilogram(me)
kilohertz	(alisfr.)kilohertz
kilolitur	kilolitre
kilometrateljari	(í akfari)(svarar til)mileage recorder, mileometer;(serl. am.)odometer;(tlm.)clock; (á súkklu) cyclometer
kilometri	(sj.)kilometre
kilometur	(mát)kilometre;90 kilometrar um tíman90 kilometres an(el.per) hour
kilovolt	(ravm.)kilovolt
kilowatt	(ravm.)kilowatt
kilowatttími	(ravm.)kilowatt hour
kilpa	(stb.)síkilpur
kilpabytta	tub with wooden handle
kilpi	(stb.)síkilpur
kilpur	(gl.)wooden handle
kiltingur	síkiltur
kiltringur	síkiltur
kiltur	(gl.)bundle
kim	haze in the sky
kima	ring, peal,jólaklokkurnar kimathe Christmas chimes are sounding;kima til gudstænasturing the bells for divine service (, church);kima á dyrnarring the doorbell violently(GG:there was a loud(el.violent) ring)
kimaligur	síkimiligur
kiman	pealing, ringing, peal
kimbil	1bundle(t.d.of angelica)2shoal of fish;kimbil av fólkismall crowd of people3(handilsm.) concern
kimbla	(stb.)í osb: (um seið)kimbla seg samanform a shoal
kimiligur	supple(t.d.a supple person; supple limbs); lithe(t.d.a lithe body);(skald.)lissom(t.d.body)
kiming	pealing, ringing, peal
kimpuligur	1handsome2in good health
Kina	China
kinadropar	tincture of cinchona
Kinahav	(sern.)the China Sea
kinakál	Chinese cabbage(el.leaves)
kinatráður	button thread
kind	(kvæð.)child, baby;hon føddi tað lítla kindshe bore(el.gave birth to) the little child
kinesari	1Chinese;(gl. tlm.)Chinaman;(niðr.)chink2firecracker
kinesiskur	Chinese; (málið)kinesisktChinese; (í samanset.) Sino-(t.d.the Sino-Japanese war);(fl.m.)extremely (, unnecessarily) complicated;kinesisk epliyams;kinesisk eskjaChinese nest of boxes;(fl.m. uml. =)Chinese puzzle;sum kinesiskar eskjurlike (a nest of) Chinese boxes;kinesisk hønacochin;kinesiski múrurinthe Great Wall of China, the Chinese Wall;kinesiskur nellikur(bot.: Dianthus chinensis) China pink;kinesiskt pappírIndia paper;kinesiskur tráður síkinatráður
kingla	(sj.)síkinka
kingul	(sj.)síkinkur
kinin	quinine
kinka1	1(um stáltráð) kink2shake(t.d.a gust of wind shook the house)
kinka2	í osb: kinka eftir ondinigasp for breath
kinkur	1kink2crick,eg fekk ein kink í nakkanI cricked my neck3har er kinkur komin á hjá teimumthey have a tiff; there is a rift in the lute
kinn	1(um fólk og dýr) cheek,sita hond (upp) undir kinnresting one's head on one's hand;gráta eyguni út á kinncry one's heart out;(kvæð.) líta til ymsa kinnahave a look around2(helst í stn.) [sloping side of a mountain projection, sloping (often grasscovered) side of a cleft]
kinnareyður	1with red cheeks, red-(el.rosy-) cheeked2kinnareyttrouge
kinnaroði	blushing cheek
kinnbein	(lívfr.)cheekbone (os zygomaticum)
kinnhvítur ljómari	(fugl.)subalpine warbler(Sylvia cantillans)(Pallas, 1764)Sylvia cantillans ©Wikimedia Commons
kinnhøgg	(bíbl.)slap(el.blow) on the cheek,geva e-m kinnhøggslap sby on the cheek
kinningur	1[one side of the boat's stem]2[slope of a valley]3[top part of a halved sheep's head]
kinnklovi	corner of the mouth,(likam.)commissure(el.junction) of the lips; jaw-joint, hinge of the jaw
kinnpústingur	(kvæð.)slap on the cheek
kinnreyður	red in the cheeks, red-cheeked
kinnroði	síkinnaroði
kinntonn	(lívfr.)eye tooth
kinnur	1síkinn 22síkinningur(3)
kinverji	Chinese;síannarskinesari
kinverskur	Chinese;síannarskinesiskur
kiosk	kiosk
kipp1	í osb:halt kipp (tlm.)get away!, well I'll be damned!
kipp2	(ljóð hjá mýrisnípu) cheep
kippa1	1bunch(t.d.bunch of keys)2bundle
kippa2	1wring a bird's neck2tug, pull, jerk,kippa hondina at særdraw the hand towards one;kippa e-n av fótumpull someone so that he falls;(gl.) kippa e-n úr sessipull someone (up) from his seat;kippa øksl síyppa øksl;kippast1have a convulsive fit, lie in convulsions2(um hjarta) beat quickly and strongly;hjartað kiptist upp í hálsin á henniher heart was pounding
