V1	1rómverskt taltekn fyri 52(st.)volt
vásmaður	tough, hardy,orrobust man;hann var stórur og sterkur, ein rættur vásmaður
vátafok	melting snow (in wind);(tilt.) standa og blinka eins og kráka í vátafokifeel/be out of sorts, feel ill; be in low spirits
vátagler	(stb.)thin (invisible) layer of ice
vátakavi	sleet, melting snow
vátakálk	sívátakavi
vátakembdur	[with one's hair plasteredel.slicked down with water; combed with a wet comb]
vátaroykur	1damp smoke from wet clothes which are being dried;tað gekk sovorðin vátaroykur atthere was a damp smoke from the wet clothes2steam from a kettleora pot
vátaslettingur	sleet
vátiskalli	sívatnskalli1
vátla	(stb.)drizzle;tað vátlarit is drizzling
vátlendi	wetlands, swampyel.marshy tract, swamp, marshland, bogland, fen
vátlendismýggjagras	(plfr.)marsh hammarbya, bog orchid(Hammarbya paludosa)© Wikimedia Commons
vátlendur	(of land) soft and wet, swampy, boggy;nógv av bønum var vátlentmuch of the infield was soft and wet
vátligur	1slightly wet, dvátligt veðurrather wet weather;hon stóð við vátligum eygumshe stood there with wet/suffused/moist eyes;ein vátligur bátura boat that ships sea over the gunwale2(of a person) who drinks too much;hann var nakað vátligurhe drank too much
vátmarknaður	(har vørur ið spillast skjótt verða seldar, t.d.kjøt, fiskur, fruktir og grønmeti) wet market
vátoygdur	wet-eyed;hann var vátoygdurhis eyes were wet/suffused/moist with tears, his eyes were misty, he was misty-eyed
vátta	1attest, certify, testify (to);vátta deyðsorsøkcertify the cause of death; issue a death certificate;vátta at hon hevur verið til fyrilestrarnarcertify to her having attended lectures;við hesum verður váttað atthis is to certify that;vátta, at hetta er rætt avritcertified copy; (um eygnavitni)vátta undirskriftwitness the signature;sum kann váttastverifiable2bear witness to, confirm, corroborate;hon kundi vátta, at friðurin var at finna hjá Jesusishe could bear witness to the fact that one finds peace with Jesus3(gl.) hann váttar sær einkihe doesn't want to be conspicuous
váttan	1testimony, attestation, certification, documentation, witnessing; proof;víkingagravir eru váttan um forna búsetingviking graves are a decisive piece of evidence of medieval settlement2certificate;navnaváttanbirth certificate;leggja fram váttan fyriproduce a certificate of;geva e-m váttan fyri okkurtgive sby a certificate of sth;váttan fyri góðan atburðcertificate of good conduct;geva váttan fyri atdocument (that);geva váttanissue a certificate
váttari	(løgfr.)attestator
váttur	(bíbl.) steinurin er váttur um hettathe stone is a testimony to this fact;bera vátt um e-ttestify to sth; síváttan1
vátur	1wet;vátt hoyggjwet hay;hann mátti ikki ganga váturhe mustn't wear wet clothes;vátur inn á skinnið/at kroppidrenched, wet through;gera seg vátan (um beinini)get one's feet wet; get wet feet;eg eri vátur sum ein sjókastaður hundurI'm soaking wet, I'm drenched;hvørki vátt ella turtget nothing (either) to eat or drink; neither wet nor dry;tað váta slagiðspirits;(tilt.) har er vátt komið í reiðriðthey have fallen out with each other;fáa sum vátan vøtt frammaná,sívøttur;honum hevur mangan ligið vátt undirføti/fótumhe has been in danger many times; he has often been in a tight corner; he's been knocked about a good deal2(bát.)which ships much sea over the gunwale;ein vátur bátur3addicted to drink;hann var nakað váturhe drank too much
vátveður	damp, wetorrainy weather
vbrádligur	1hj-ligasuddenly(t.d.die suddenly); all of a sudden; abruptly, unexpectedly;brádliga slíta okkurtcut sth short;brádliga fór hurðin upp (eis.)the door flew open;hetta kemur so brádligathis is (all) so sudden;steðga brádligastop short, come to an abrupt stop;venda sær brádligaturn short2sudden(t.d.change, death, shock); abrupt(t.d.change of policy, departure, entrance); snap(t.d.do a snap survey of the supermarkets); unexpected;(herm.) brádligt álopsudden(el.surprise) attack; swoop(t.d.the Germans had long planned a swoop on Norway)
V-dalur	(jarðfr.)v-shaped valley
ve	heiti á bókstavinumv
vedda	1bet;eg vil vedda 100 kr upp á atI'll bet you kr2(ítr.)do the pools
veddan	sívedding
vedding	bet, wager;(ítr.)doing the pools
veddingarpeningur	receipts from the State football pools
veddingarseðil	(ítr.)football-pool coupon, pools coupon
veddingarvinningur	(ítr.)pools dividend, pools win
veð	security, surety(t.d.offer £1000 as a surety), veð, (í fastogn) mortgage, lien;seta í veðpledge, pawn, (fastogn) mortgage;við lívinum í veðat the risk of one's life;verja frælsið við lívinum í veðstake one's life for the cause of freedom
veðbanki	mortgage bank
veðbræv	morgage, mortgage deed, (í fastogn) morgage bond;veðbræv keyparanspurchase mortgage;veðbræv seljaranspurchase-money mortgage
veðgevi	guarantor: eis.borganarfólk
veðhald	security;veðhald fyri lánisecurity for a loan
veðhalda	guarantee;veðhalda fyri at skuld verður afturgoldinguarantee that a debt shall be paid
veðhaldslán	mortgage loan, credit secured by mortgage on real property/estate;taka veðhaldslán í húsummortgage a house
veðhavi	pledgee, mortgagee
veðlánsfelag	[credit institution lending on second and third mortgages];(uml.)second mortgage institution
veðlánsveitari	pawnbroker
veðlánsvirksemi	pawnbroking
veðraflagg	(gl.)[flag depicting a ram] (it was used as a national symbol before the present national flag obtained recognition)
veðrafrælsi	pasture for a ram
veðragemlingur	(stb.)síveðragjólingur
veðragjólingur	male breeding lamb, male lamb selected as breeder;veðragjólingarnir vórðu tiknir um hálvan januarthe breeders (veðragjólingur) were brought home in mid-January (after having serviced the ewes)
veðrahálsur	ram's neck
veðrahorn	ram's horn
veðrahøvd	ram's head
veðrajarn	síveðrur3
veðrakjøt	meat of a ram
veðrakrov	cut up ram's carcass (hung up for wind drying)
veðramerki	1(stjfr.)the constellation Aries, the Ram;eg eri føddur í veðramerkinumI am Aries2síveðraflagg
veðranøs	strong, hooked nose; aquiline nose, beak
veðraskinn	ram's skin;gylta veðraskinniðthe Golden Fleece
veðrasperra	ulna, elbow bone (of a ram);tað er góður maður, ið brýtur veðrasperruonly a strong man is able to break a ram's elbow bone
veðrast	shrink, decrease, dwindle;hoyggið hevur ligið so leingi á bønum, at tað veðrast burtur í einkithe hay has been lying for so long on the ground that it has shrunk to nothing
veðrastavur	long stave (iron-bound at the bottom, fitted with spike andveðrar;síveðrur3);hann snaraði sín langa veðrastav inn í ullina á seyðinumhe twisted the spike of his long stave into the sheep's coat
veðri	(stb.)síveðrur
veðrur	1(dýr.)ram2(stjfr.)the Ram, Aries3veðrar (flt)[(on aveðrastavur)four curved hooks, partly for decoration, partly for use as a barb to pull sheep up from inacessible places by twisting the hooks into the sheep's wool]
veðrættarskipan	1(order of) priority of mortgages2(order of) priority of debts
veðrættindi	mortgage
veðrættur	1(rættur) mortgage;hava veðrætt í fastognhave a mortgage on property;tryggjaður við veðrætti í fastognsecured by mortgage on property2(løgfr.)law of mortgages and pledges
veðseta	1pledge, pawn2(fastogn) mortgage;vera veðsetturbe in pawn(t.d.after this war the country will be in pawn to the banks), be in pawn
veðsetari	(løgfr.)pledger, pawner; (av fastogn) mortgagor
veðseting	pledging, pawning; (av fastogn) mortgaging
veðskuld	(løgfr.)mortgage debt;(bú.)mortgage loan
veðskuldarbinding	mortgage
veðskuldarbræv	(løgfr.)mortgage deed
veðskuldari	mortgagee; pledger, mortgagor, mortgager
veðskuldarlán	1mortgage debt2(handilsm.)mortgage loan
veðskuldarrenta	mortgage interest
veðskuldarskipan	state of the mortgages;hvussu er veðskuldarskipanin í ogninihow is the property mortgaged?
veðtrygd	security; mortgage, pledge
veður1	ram; síveðrur1;hann tjóðraði ein veðurhe tethered a ram
veður2	síveðrur3
veður3	(stb., gl.)bet, wager, stake;seta í veðurpledge, pawn,leggja í veðinbet, wager, make(el.lay) a bet, make/lay a wager;eg skal leggja høvdið í veðin (upp á) I'll lay my head on the block, I'll stick my neck out
veður4	1(veðurfr.)weather;gott//ringt veðurgood//bad weather;turt//vátt veðurdry//wet weather;í øllum veðriin all kinds of weather;í veðri og óveðriin good weather and bad;gott//támut//tjúkt//kalt//lýtt í veðrinumgood//hazy//foggy//cold//mild weather;hann øtlar veðriðthe wind is rising;leypandi/umleypandi veðurunsettled/changeable/variable weather; changeable/changing weather;um veðrið heldur særif the weather doesn't change for the worse;(vindur og) veður má sær ráðawe can't do anything about the weather2storm;vit vita ikki av veðri hereven if it is stormy we do not notice it here; we are well sheltered here from stormy weather;tá ið veðrið brann áwhen the storm broke;tá ið seyðurin stoytir, veit hann veður íwhen the sheep seek shelter in low-lying outfields it is because they know that a storm is imminent;í apríl kemur ofta veður so ógvuliga knappligain April storms often break without warning;reka undan veðrinumdrift with the wind;urtagarðurin lá so væl fyri veðrithe garden was well sheltered from the wind;(kvæð.) vaksa tók tá veðriðthe wind began to rise3íosb.sumupp í veðriðup in the air
veður5	(gl.)pledge, security, mortgage, deposit; forfeit, guarantee, surety(t.d.offer £1000 as a surety);seta e-t í veður fyri e-tgive sth as security for sth;ganga í veður fyri e-nvouch for sby;seta veðurgive as a pledge; pledge, pawn
veður6	sívaða
veðurballón	weather balloon, pilot balloon
veðurbardur	1(um fólk, of people) weather-beaten;veðurbart andlitweather-beaten face2stormy, wind-swept, storm-tossed, lashed by(t.d.ferocious gales);eitt veðurbart skipstorm-tossed ship;veðurbard klettastrondstormy/wind-swept rocky coast/rock-bound coast
veðurbit	(stb.)wear and tear by wind;sandsteinur tolir ikki veðurbitsandstones won't stand up to the wear and tear of stormy weather
veðurbitin	(skaldsk.)stormy, wind-swept, storm-tossed;hesi veðurbitnu skerthese wind-swept skerries
veðurborg	halo (ring round the sunorthe moon broken by a gap)
veðurdekk	(sigl.)weather deck (ovasta dekk)
veðurfagur	glorious (weather);sumrini 1878 og 1880 vóru tey veðurfagrastu, nakar kann hugathe summers of 1878 and 1880 were the best as far back as anyone could remember
veðurfastur	detained by weather, weather-bound, wind-bound;liggja veðurfasturbe detained by weather
veðurfestingur	(stb.)síterradropar
veðurforsøgn	weather forecast
veðurfrøði	(veðurfr.)meteorology; síeis.veðurlagsfrøði
veðurfrøðiligur	(veðurfr.)meteorological
veðurfrøðingur	(veðurfr.)meteorologist,(tlm.)weatherman
veðurfylgisveinur	weather satellite
veðurfyribrigdi	meteorological phenomenon
veðurgarðslið	opening in the halo; síveðurgarður
veðurgarður	halo, bright ring round the moonorthe sun
veðurglas	barometre,(tlm.)glass;veðurglasið gongur niður//uppthe barometer is falling//rising;veðurglasið stendur lágtthe barometer stands low;veðurglasið stendur á stormithe barometer is at stormy
veðurgóður	well-placed, well-shelteredorwell-situated with regard to wind and weather (a village; harbour; landing placeetc); har er so veðurgottthe place is well sheltered
veðurgudarnir	(skemt.)the Clerk of the Weather
veðurhani	1weathercock, (weather) vane2(fl.m.)turncoat, weathercock
veðurharður	exposed to stormy weather, unsheltered; íosb.sumtað er veðurhart plássthe place//the village is exposed to the weather/is unsheltered;opp.ofveðurgóður
veðurhvíld	lull (in the storm)
veðurhøvd	parhelion, mock sun (luminousel.bright, iridescent spot near the sun)
veðurhøvur	(sj.)síveðurhøvd
veðurkort	weather map, weather chart
veðurkønur	weather-wise; veðurkønurmaðura weather-wise man
veðurlag	1(veðurfr.)climate(t.d.a mild//severe climate), weather;í okkara váta og sólleysa veðurlagour wet and sunless climate2(fl.m.)conditions, climate(t.d.a climate of suspicion; the present political climate; the current climate of opinion);andliga veðurlagiðthe spiritual climate
veðurlagsbelti	(landafr.)climatic regionel.zone
veðurlagsbroyting	(veðurfr.)change of climate, climatic change, climate change
veðurlagsfrøði	climatology; síeis.veðurfrøði
veðurlagsfrøðiligur	climatological
veðurlagsfrøðingur	climatologist
veðurlagsskifti	(veðurfr.)change of climate, climatic change, climate change
veðurlagsviðurskifti	climate, climatic conditions
veðurlamb	male lamb;(á fjalli) í veðurlombum/á veðurlombumthey were in the outfield driving the sheep into the sheepfold to select the male lambs for slaughter;veðurlamb, ið slept varð til brundsa male lambs selected as breeder© Absalon Hansen
veðurlambsfjall	sískurðfjall
veðurlambsmessa	síklæmintsmessa(23 November)
veðurlambsskurður	1slaughtering of male lambs2the male lambs which are selected for slaughtering3í veðurlamsskurðithe time (in autumn) when the slaughtering of male lambs takes place
veðurlíkindi	1weather outlookorconditions;veðurlíkindi vóru so vánalig, at lítið kom burturúrthe weather was so bad that the result was poor(t.d.of the work);veðurlíkindi vóru ikki at leggja at við bátiweather conditions weren't such that we could go/come alongside (the quay)2weather forcast;hann sigur frá góðum veðurlíkindum í dagtoday's (weather) forecast says calm, good weather
veðurljós	St Elmo's fire, heatel.summer lightning
veðurmaður	1meteorologist,(tlm.)weatherman2(sj.)weather-wise man;hann er sovorðin veðurmaðurhe's a weather-wise man
veðurmerki	weather prognostic (piece of weather lore)
veðurringur	(place, houseetc)exposed to wind and weather; badly placed with regard to wind and weather;veturin hevur verið veðurringurit has been a stormy winter;har er so veðurringtthe place is exposed to the wind;veðurringt plássthe place is unsheltered from wind and weather
