t.	(st.)hour
trølldómur	(gl.)witchcraft, sorcery, magic
trøllflogmús	(dý.)Nathusius' pipistrelle(Pipistrellus nathusii)© Wikimedia Commons
trøllførur	gigantic, tall as a troll
trøllgamal	full-grown;tú ætlar tær kanska at goyma hann heima, til hann er trøllgamal?you have, I suppose, intended to keep him indoor until he is a grown man?
trøllhali	(plfr.)[the outermost (inedible) tip of edible brown alga]
trøllhetta	(dýr.)shell of small shellfish
trøllhøvd	(gl.)sulky, cross person
trøllkona	troll woman, witch, sorceress;trøllkonur komu á kúnna/vóru á kúnnithe cow caught a mysterious sickness, the cow was bewitched;(fl.m.;um fólk, of people)trøllkonur komu á hannhe was sulkyorsullen
trøllkonufingur	1(plfr.)bladder fer(Cystopteris fragilis)2(stn.) Trøllkonufingur(name of a famous pointed rock on the island of Vágar)
trøllmaður	wizard, sorcerer, magician
trøllont	(fugl.)Tufted Duck(Aythya fuligula)(Linnaeus, 1758)Aythya fuligula ©iStock
trøllrið	1(hjá neytum, of cattle) blast, bloat, hoove, blowing,(dýralfr.)tympanides;kúgvin hevur fingið trøllriðthe cow has got blowed2(hjá rossi, of horse) colic, severe stomach pain3trøllriðer á honumhe has gone quite mad
trøllræddur	trøllrædd børn children afraid of trolls; sítrøllaræddur
trøllskapur	(sj.)sítrølldómur
trøllskortur	sítrøllaskortur
trøllsterkur	extremely strong, strong as a troll
trøllstórur	sítrøllvaksin
trølltaka	sírúnabinda
trølltoppa	1(she is) a regular tomboy(t.d. eis.she is a giddy young thingel.a giddy girl)2slovenly dressed child;hatta gongur sum ein trølltoppa3rag doll;hvør mamma dugdi at evna eina trølltoppu til smábørniniall mothers knew how to make rag dolls for their children
trølltyssi	(of woman) slattern, slut
trøllvaksin	1(espof a young person who has suddenly grown) full-grown2gigantic, enormous, tall as a troll
trølsbløðra	sídroyrbløðra
trølskur	1with the nature of a troll;ríkur av trølskum alvi (kvæð.)strongorrich in magic powers;kúgvin var vorðin reint trølskit was as if the cow had been bewitched2(um fólk, of people) reserved, reticent, self-contained, withdrawn
trølsligur	1sinister(t.d.light; atmosphere), weird(t.d.cry; light), eerie(t.d.feeling; experience), uncanny(t.d.feeling; light; noise), unearthly(t.d. an unearthly shriek); scary, forbidding(t.d.a large, forbidding room);trølsligir dreymaruncanny dreams;har var so trølsligt bæði úti og innithe atmosphere was sinister both in the house and outside2who keeps (himself) to himself3[sumhj]trøsliga;heiðarnar lógu trølsliga gráar fyri honumthe moors lay in front of him, gray and forbidding
trølsrassi	sítrælsrassur
trølsurt	(plfr.)alpine bartsia(Bartsia alpina)© Jörg Hempel
trøppugrót	(jarðfr., stb.)sítvørgrýti
trøpputur	(jarðfr.)step-shaped, scaliform;landslagið er trøpputthe landscape is step-shaped;botnurin er ofta trøpputurthe seabed is often step-shaped;trøpput umskaring (jarðfr.)step fault
trøska	(lækn.)thrush
trøskur	(óregl.)sítróskur
trøstur	(fugl.)thrush(Turdus);black-throated thrushsíbringusvartur trøsturSiberian thrushsíbrúnhvítur trøsturSwainson's thrushsímorbøkutur trøsturgrey-cheeked thrushsívangagráur trøstureye-browed thrushsívongbrigðureyður trøsturscaly thrushsíaldutrøsturmistle trushsídiglutrøsturhermit thrushsíeinbýlistrøsturfieldfaresífjalltrøsturksong trush síljómtrøsturdusky thrushsímortrøsturring ouzelsísigdartrøsturwood thrushsískógtrøsturAmerican robinsístroktrøsturrock thrushsíurðartrøstur
tsetsefluga	(dýr.)tsetse fly(t.d.different species of tsetse fly)(Glossina)
tu	(call to a horse to make it stop) whoa
tuba	(tónl.)tuba
tubbak	tobacco;smáskorið tubbakfine-cut/shredded tobacco
tubbaks-	tobacco(t.d.growing; leaf; pipe, plant; worker)
tubbaksakur	tobacco field
tubbaksavgjald	tobacco duty
tubbaksblikk	tobacco tin; (úr viði, grótio.tíl.)tobacco jar
tubbaksbos	tobacco dust
tubbaksbóndi	tobacco grower
tubbaksbrell	craving for tobacco
tubbakseitran	nicotine poisoning
tubbaksframleiðsla	tobacco production
tubbakshandil	tobacco trade; (smásøla) tobacconist's (shop)
tubbakshandilsmaður	(heilsøla) tobacco merchant; (smásøla) tobacconist
tubbakshosti	smoker's cough
tubbaksídnaður	tobacco industry
tubbaksklingra	(stb.)smoke ring;blása tubbaksklingrurblow smoke rings
tubbaksklukka	(dýr.)cigarette beetle, tobacco beetle(Lasioderma serricorne)
tubbaksmaður	smoker
tubbaksneyð	1shortage of tobacco2(eis.)craving for tobacco
tubbakspípa	pipe
tubbaksplanta	(plfr.)tobacco plant(Nicotiana tabacum)© Joachim Müllerchen
tubbaksplantasja	tobacco plantation
tubbakspungur	tobacco pouch
tubbaksroykur	tobacco smoke
tubbaksrull	a twist of chewing tobacco
tubbakssevja	tobacco juice
tubbaksskatting	taxation of tobacco
tubbakstilvirking	tobacco manufacture
tubbakstugga	1(verður) plug, quid2chewing tobacco
tubbaksvindil	cigar;ein kassi av tubbaksvindlum/sigaruma box of cigars;veikur vindilmild cigar;rulla vindlar/sigarirmake cigars;sterkur vindil/sterk sigarstrong cigar; sísigar
tubbaksvirki	tobacco factory
tubbaksøska	tobacco ash(es)
tubbur	(tlm., gl.)tuberculosis
tuberkla-	(smst.)tubercle(t.d.bacillus); tuberculosis(t.d.patient)
tuberkladeild	tuberculosis ward
tuberklaígerð	tuberculosis infection
tuberklakanning	examination for tuberculosis
tuberklakopping	inoculation against tuberculosis
tuberklalækni	tuberculosis specialist
tuberklar	(lækn.)tuberculosis;(st.TB)
tuberklasjúka	tuberculosis infection
tuberklasjúklingur	tuberculosis patient
tuberklasjúkrahús	tuberculosis hospital
tuberklasmitta	tuberculosis infection
tuberklasmittaður	infected with tuberculosis
tuberklastøð	tuberculosis clinic, chest clinic; tuberculosis sanatorium
tuberkulin	(lækn.)tuberculin
tuberkulinnegativur	tuberculin-negative;vera tuberkulinnegativur (eis.)be a non-reactor, be non-reactive
tuberkulinpositivur	tuberculin-positive;vera tuberkulinpositivur (eis.)be a reactor, react
tubuspælari	tuba player
tuff	(jarðfr.)tuff
tufla1	1wooden shoe, patten(t.d.a pair of pattens); (leðurskógvur við træsóla) clog;einar tuflura pair of clogs;(skemt.) dansa frítt á tuflumdo whatever one likes;vera undir tuflunibe henpecked2(spei.)old unsound sailing ship, coffin ship;stormur var uttanfyri, og tá fingu vit ikki roynt við okkara gomlu tufluthere was a storm so we could not go fishing in our coffin ship;tað skal vera ein tufla til at siglait has a reputation for being a coffin ship
tufla2	walk unsteadily;fara tuflandiwalk unsteadily;hann kom tuflandi niðaneftirhe was walking unsteadily uphill
tuflu-	(smst.)clog(t.d.maker)
tuflublóma	(plfr.)slipperwort(Calceolaria)
tufludýr	(dýr.)slipper animalcule(Paramaecium)
tufluklárar	einar tufluklárar a pair of old, worn clogs
tufluknívur	gouge
tufluleður	leather for uppers
tuflusmiðja	clog maker's workshop
tuflusmiður	clog maker
tuflusóli	clog sole
tuflutræ	1(gl.)[wood set aside for making wooden shoesorclogs]2(fl.m., skemt.)bulky book
tuflutur	clumsy;tuflut gongulagunsteadyorclumsy walking
tugdi	sítyggja,tiggja
tugdur	(fl.m.)commonplace, trite, banal, hackneyed; cheap
tugga	1morsel of bread(etc);tuggaav breyðia morsel of bread2chewed food;gev barninum tuggu3a bite, a snack;ikki eiga tuggu at leggja í munninhave no food at all4plug, quid (of tobacco);tíðindini vórðu vend og vend eins og ein tugga (fl.m.)the piece of news was turned over and over (again) like a plug (of tobacco)5talk, gossip, scandal
tuggumatur	1food to be chewed2(fl.m.)someoneorsomething of whom/of which people always speak ill; object of mockeryorrebuke;tey eru til tuggumat (t.d.of public persons who are targets of criticism)
tuggutablett	(lækn.)tablet to be chewed
tugl	avarice, stinginess, meanness
tugla	make food go further; tuglamatin út, so øll fáa ein bita/eina tuggu; hann tuglaði tøðini út á teiginhe spread the manure as thinly as possible over the strip of land
tuglari	miser, skinflint
tugna	(óregl.)sítígna
tuka	1íosb. tuka burtur úr (e-m)thrash sby soundly, twack sby;tuka (e-n) afturmake haste to catch up with sby2(stb.)suckle;kópahvølpurin liggur og tukar buppunathe baby seal is suckling;nú var eingin buppa at tukabe forced to shift/fend for oneself
tukan	(sj.)stifforstrenous rowing;tað var ein tukan um fjørðinthe rowing across the fiord was strenous
tukt	1discipline2upbringing;læra/kunna tukt og sinni (kvæð.)learn good manners
tukta	(sj.)chastise, castigate, punish
tukthús	(gl.)gaol, prison, house of correction
tulipán	(plfr.)tulip(Tulipa)
tulipánur	(plfr.)sítulipán
tulka	1interpret2interpret(t.d.a difficult text//a dream//an inscription), explain(t.d. she explained her plan to us), expound(t.d.a theory; she expounded her views on education); tulkalóginainterpret the law;tulka skriftinainterpret the (Holy) Scripture//the handwriting;tulka bókmentirinterpret literature3understand, perceive;talan varð tulkað sum stuðul til uppskotiðthe speech was understood as a support for the proposal
tulking	interpretation
tulkingaruppgáva	paper of interpretation; essay
tulkur	interpreter
tulpa	(skaldsk.)sítulipán
tumark	(gl.)two-mark pieceorcoin
tumbla	1make a noise(t.d.what a noise you make!);hurðin brast upp, og eitt tumblaði innthe door flew open and somebody came barging into the room;koma tumblandicome tumbling, come staggering; make a noise2tumble over, crash to the floor
tumbul	tumult, noise, hullabaloo(t.d.the boys made an awful hullabaloo), row(t.d.stop that row!);húsfólkið vaknaði av tumblinumthe family woke up by the noise
tumla1	move heavily and noisily;hann tumlar við einum ankari av brennivínihe is struggling with a cask of schnapps;hann fór skerflatur og tumlaði líka út í túnhe fell (flat) on his face and crashed out through the front door;teir tumlaðu seg niðanthey groped their way up the mountain in the dark
tumla2	1press or knead with the fingers or thumbs;har verður gníggjað og tumlað2hitchhike
tumlafattur	[with thumb(s) bent backwards]
tumlafavnur	length calculated from thumbtip to thumbtip (with arms outstretched);longdin á neytabási var ein tumlafavnur
tumlaketta	[cat with thumblike toes (on its forelegs)]
tumlari	(skemt.)hitchhiker
tumlasterkur	with strong thumbs
tumma	loosen a sheep's skin by using the hand(espthe thumb);gimburlombini eru moyr at tummait is easy to loosen the skins of ewe lambs;veðragjólingur er tiltikin at vera seigur at tummait is notoriously difficult to loosen the skin of a male lamb; síveðragjólingur
tummaborð	inch-thick board
tummafjøl	inch-thick boardorplank
tummagarn	net for catchingtummasild
tummalangur	inch-long, an inch long
tummaseymur	one-inch nail
tummasild	(fisk.)herring one inch thick;tú kundi fáa full gørnini av góðari tummasildyou could fill the nets with good one-inch thick herring
tummasmessa	
tummastokkur	(handv.)inch rule, foot rule; (at leggja saman) folding rule
tummatjúkkur	inch-thick, an inch thick
tummaviður	inch-thick boards
tummi	(mál, measure) 2, 615 cm(st.t);hann veik ikki ein tumma fyri honum (fl.m.)he did not yield an inch to him
tummil	1(likam.)thumb2thumb of a (woollen) mitten
tummilfingur	sítummil
tummilskrúva	thumbscrew(t.d.apply thumbscrews to sby;serst. fl.m.put the thumbscrews on sby)
tummilsregla	rule-of-thumb
tumming	the skinning of a sheep
tumor	(lækn.)tumour
tundra	(jarðfr.)tundra; síeis.frostmýri
tundur	1cork2(gl.)tinder, touchwood
tundurbjálving	cork insulation
tundureik	(plfr.)cork oak(Quercus suber)
tundurflís	cork tile
tundurflot	(fisk.)cork float
tundurgólv	cork-tiled floor
tundurlinoleum	cork carpet
tundurproppur	cork (stopper made of cork)
tundursmakkur	a taste of cork;ein remma av tundursmakki gekk at víninumthe wine is corked
tundurtøppur	cork (stopper made of cork);skipbáturin hoppaði upp og niður sum ein tundurtøppurthe ship's boat was being tossed about like a cockleshell
Tunesia	(sern., landafr.)Tunisia
tunesi el.tunesari	Tunisian
tunesiskur	Tunisian
tunfiskur	(fisk.)tunny, (sum liva við strendur Kalifornia og Florida) tuna(Thunnus thynnus)© Wikimedia Commons
tunga1	1(likam.)tongue;sleikja við tungunilick with one's tongue;væta tungunawet one's whistle;leggja tunguna átaste sth(t.d.taste this coffee and see if you like it);ikki hava teir lagt tunguna á brennivínthey have not so much as tasted a drop of schnapps;hann beyð teimum at væta tunguna við vínihe offered them wine;lata av tungu fallasay, express;tað lá honum á tunguni at spyrjahe almost burst out with it;(fólkatr.) hav nú góða tungu!don't mention it (in case mentioning it spoils it; touch wood);tað er undarligt av tær, at tú fert at trúgva hvørjari tungu, áðrenn tú hevur hoyrt megI find it strange that you believe everybody (malicious rumour) before even asking me;illar tungur vilja vera viða malicious rumour has it that;taka (e-t) upp á tungunamention, speak of;hann vil eg ikki taka upp á tungunaI won't demean myself to mention him;hon hevði hvassa tungu, og nógv at tí, hon spáddi og hevði orðið á, skuldi ganga útshe was sharp-tongued and much of what she predicted came to pass;eg vildi havt tunguna á hann, áðrenn hann ferI want to speak to him before he leaves;tala í tungum1(bíbl.)speak with/in tongues2(fl.m.)be equivocalorambiguous;hava tvær tungur í einum heysispeak with two voices;eg síggi fyri tungu(said to guard oneself against an evil tongue)2language;føroysk tungaFaroese;(gl.) donsk tungaOld Norse3tension adjuster (on a saw); síeis.pitil4(á skógvi, of shoe) tongue5narrow tongue-shaped strip of land spit (between two converging brooks);tungan millum Fossá og Mylláthe strip of land between the Fossá and the Myllá (between two rivers)
tunga2	(fisk.)smear dab, (søluvøran) lemon sole(Microstomus kitt)© Wikimedia Commons
tunga3	(um eld, of fire) lick (tongue of fire);aftur og aftur tungaði eldurin seg upp eftir veggjunumagain and again the flames were licking the walls
