r	h (málfr.)consonant,/ær:/
reinsa	1clean(t.d.one's nails; a pipe; seed; a stable; one's clothes; one's ears); cleanse(t.d.a wound); (ífl.m.)cleanse(t.d.the priest cleanses the sacred vessels; a Brahmin must cleanse himself after he has met a low-caste person); (við at skola) rinse(t.d.a saucepan); (skola) scale(t.d.teeth); (í hagtølum, statistics) adjust(t.d.for seasonal fluctuations);fyri brúdleypi varð øll bygdin reinsað, sum siður var til slíkar hátíðirthe village was cleaned before the wedding in accordance with the tradition at the time;reinsa vatntreat water;reinsa sárcleanse a wound;reinsa klæðirclean clothes;reinsa hvørja gørnvomit violently2(serst.um evni, løg og luftvorðin evni) purify(t.d.the air; alcohol); (við filtrum) filter; (um frárensluvatneis.)treat; (fyri dálking) depollute3(fría) rid, clear (of)(t.d.a country of enemies)4(moralskt) purify, purge, cleanse(t.d.cleanse the soul from sin; they fasted in order to purify themselves)5(viðv.skuldsetingum); reinsaseg við illgitingclear oneself (of), clear one's character(GG:he left the court without a stain on his character)6reinsa útweed out(t.d.undesirable elements); purge(t.d.a political party);reinsa út millum starvsfólkiniweed out a staff, purge a staff of undesirable elements
reinsan	cleaning, cleansing, rinsing; purifying, purification; treatment(t.d.waste water treatment)
reinsanareldur	(átr.)purgatory;sálirnar í reinsanareldinumthe souls in purgatory
reinsanarvatn	(átr.)holy water;sletta reinsanarvatn á e-nsprinkle sby with holy water; sívígsluvatn
reinsarí	(tlm.)(dry-)cleaning establishmentel.firm;senda klæðir á reinsaríiðsend the clothes to the (dry-)cleaner's, send the clothes to be (dry-)cleaned
reinsemi	cleanliness; reinsemiskygdi ikki av honumcleanliness wasn't one of his greatest virtues
reinsibrunnur	cesspool
reinsikrem	cleansing cream
reinsing	(oljuv.)refinement; síeis.reinsan
reinsingareldur	(átr.)síreinsanareldur
reinsingarrættarmál	(stjm., løgfr.)purge trial
reinsiskipan	(sigl.)purifying arrangement
reinsiverk	1water purifying plant2sewage works, sewage disposal plant3(oljuv.)refinery
reinsivirki	síreinsiverk
reinska1	síreinføri,reinsemi
reinska2	1síreinsa;hann reinskaði hvørja gørnhe vomited violently2remove;drongurin er gingin eftir eini lomvigarók at reinska øll nátaeggini útavthe boy has walked along a guillemot rock ledge in order to remove all the fulmars' eggs (because fulmars drive away guillemots)3íosb. reinska e-n fyri e-tcompletely deprive someone of sth
reinskan	síreinsan;roynslan er júst tann reinskan, sum okkum tørvarthe trial is precisely the cleansing we need
reinskera	remove bones from the fillet
reinskerari	[person who removes the bones from fish fillets]
reinskering	[removing of bones from fish fillets]
reinskolaður	washed clean;reinskolað fjøraa foreshore washed clean (by surf)
reinskrift	1(the) making (of) a fair copy2fair copy
reinskriva	make a fair copy of, write out
reinskriving	(the) making (of) a fair copy
reinskúraður	well-scrubbed;gáttin er reinskúraðthe threshold is well-scrubbed
reintarvur	(dýr.)buck reindeer
reintonktur	with good will, well-intentioned(t.d.person)
reintvigin	clean, shining with soap and water,(tlm.)spick and span;(fl.m.)whitewashed
reinur	1(óblandaður), pure(t.d.air; food; water); unadulterated(t.d.milk; food; wine); (um metal) pure(t.d.gold); unalloyed; (ótyntur: um drykk) neat(t.d.drink the whisky neat; a glass of neat whisky);(serst. am.)straight(t.d.have a straight Scotch); (sum bara fatar um eitt ávist slag) all(t.d.an all-boys class);brynjan var gjørd av reinum stálithe coat of mail was made of pure steel;av reyðargulli reinaof pure (red) gold;drekka tann mjøðin reinadrink unadulterated mead2(øvut skitin) clean(t.d.face; linen; wound; put on a clean shirt; scrub the floor clean; surgically clean);hon syrgdi fyri, at húsini vóru bæði rein og ruddaðshe saw to it that the house was clean and tidied up3(slætt og rætt) pure(t.d.I did it out of pure kindness; pure nonsense); pure and simple(t.d.it is laziness, pure and simple); simple(t.d.simple pointer balance); sheer(t.d.I did it out of sheer pity; it is sheer folly//ignorance//madness//waste of time; a sheer impossibility; it was sheer bad luck); regular(t.d.a regular scoundrel); absolute(t.d.an absolute fool//genius; this place is an absolute madhouse); complete(t.d.fool; mistake); perfect(t.d.he is a perfect fool; a perfect Hercules); veritable(t.d.we had a veritable deluge; this hotel is a veritable palace); real, true(t.d.he is a real/true artist; she is a real beauty); quite a(t.d.he has quite a passion for detective stories); (baraniðr.)downright, out-and-out(t.d.scoundrel; swindler), rank(t.d.rank lunacy//treason; these mushrooms are rank poison); (bara ein) mere(t.d.a mere boy; a mere pretext; she is a mere child)4(moralskt reinur) pure(t.d.life; motives; thoughts); blameless, innocent5(siðiligur) clean(t.d.life; literature); chaste(t.d.life; religious order); pure6(við ongum kvistum) clean(t.d.timber; wood), free from knots7(um umhvarv) clean-cut(t.d.profile), clear-cut, sharply defined(t.d.outlines), clear(t.d.contours)8(sigl.við ongum flúrum, boðumel.ísfríur) clear(t.d.water);Leirvíksfjørður er reinur, har eru eingir boðar Leirvíksfjørðuris clear, there are no skerries there9(ástøðiligt) pure(t.d.mathematics; science)10(um mál, lýtaleyst) pure, faultless(t.d.language; style)11(um tónahædd, of pitch) true, in tune12(netto) net(t.d.profit)13(øvut torskilt) simple14gera reint1clean, tidy up2winnowel.clean grain3(sigl.)cleanel.gut fish;snørini vóru inndrigin, og menn skuldu fara at gera reintthe men had pulled up the handlines and were then going to clean the fish15[sumhj]reint; completely, quite;teir høvdu mist hann reint burturthey had lost all track of him
reinvaskaður	síreintvigin
reion	síraion
reip	rope;gera upp reipcoil up a rope;slíta reipiðbe victorious, carry the day;tveir dreingir vilja hava somu gentu, tann, ið fekk hana, sleit reipiðtwo boys courted the same girl, the one who got her carried the day
reipa	1coil a rope2íosb. sum hatta reipar uttan um seghe//she makes himself//herself noticed;tað eru einar reipingar av hasumhe wants to be noticed
reipatari	(plfr.) thongweed, sea thong, sea spaghetti (Himanthalia elongata)© Wikimedia Commons
reipdveylur	rope mop
reiping	(sj.)íosb. tað eru einar reipingar av hasum;síreipa
reipsband	cordel.thin rope of horsehair
reipsendi	end of a rope;hon bant ein stein upp í reipsendanshe tied a stone to the end of the rope
reipslongd	a rope's length(app8 fathoms),tað er reipslongd millum húsinithe distance between the houses is a rope's length
reipstól	rope machine
reis1	1course (of time);eina reisonce;(kvæð.) tríggjar reisirthree times,(gl.)thrice;níggju reisirnine times; (nú oftast, now mostcomin phrase)tvær reisirtwo times/twice2(í vissumosb.)birth;hon hevur so ringar reisirnarshe has difficulty giving birth;hitta reismiscarry, have an abortion/a miscarriage3(stb.) liggja á reisumnot be able to stand up without being assisted;kúgvin liggur á reisumthe cow is too weak to get on its feet unassisted4íosb. liggja á reisplan to do sth;eg havi ligið á reis at ringja um hattaI have intended to call you concerning that issue
reis2	sírísa
reisa1	1síreis11;tvær reisurtwice2(tlm.)journey, voyage;ynskja e-m góða reisuwish sby a safe journey
reisa2	[three newly-cut pieces of peat put up to dry]
reisa3	1raise, lift; erect(t.d.barricades; a building; a monument); set up(t.d.a fence; a monument); raise(t.d.barricades; a wall); reisauppset up, erect;reisa torvset (three) sods of peat together (for drying purposes);reisa sjógvmake the sea rough;streymurin gekk nú í ættina og reisti sjógvthe current now ran against the wind and made the sea rough;reisa seg (upp) get up(t.d.get up when I address you!), rise, rise to one's feet(t.d.when he appeared we rose to our feet); get on one's feet(t.d.the boxer got on his feet again); stand up(t.d.the whole class stood up); (knappliga) start up;strongurin er um at reisa segthe race is going to make surf;reisa hárygginbristle, show fight;reisa høvurprotest;kirkjan reisti høvur móti kongi fyri tað ræði, ið hann vildi taka sær yvir hennithe church opposed the King in his attempt to assume control over it;fjøllini reisa seg ímóti himli høgtthe mountains tower up against the sky;reisastsíreisa seg(upp);teir reistust ímóti teimum útlendsku valdsharrunumthey rose in rebellion against the foreign masters/rulers2make, do;reisa bátlay the keel and erect the stem and stern;reisa búgvsettle, take up residence, set up house;summir settust í Føroyum og reistu búgv harsome settled in the Faroes and set up houses there;(húsasm.) reisa (hús)put up the rafters3begin, start, set going4(tlm.)travel(t.d.on the Continent), go(t.d.go to England);hann reisti uttanlands nógv árhe travelled abroad for many years
reisigildi	(uml.)topping-out ceremony;halda reisigildi (eis.)put up the roof tree
reising	1(húsasm.)pitch, rise, slope;húsini hava høga reisingthe pitch of the house is steep2(bát.)sheer;báturin hevði lágar reisingarthe sheer of the boat is flat3(ným.)(andlig) revival(t.d.a national revival; a spiritual revival);tjóðskaparliga reisingin í Føroyumthe Faroese national revival
-reisn	síendur-;upp-
reistla	(fisk., stb.)sírostla,roðsla
reistur	development, advance, progress;tjóðskaparligur reisturnational development
reita	1irritate, provoke; reita(e-n) uppmake sby furious, infuriate sby, enrage sby, madden sby, drive sby to frenzy;reitastget/become angry;ei undur í, at ein onkuntíð reitist uppno wonder that one is sometimes infuriated2(sj.)wound(t.d.sby's pride), hurt(t.d.sby's feelings; pride), offend
reitingarsamur	teasing; mischievous; mocking; waggish;hann er so reitingarsamur (eis.)he is a tease/a leg-puller
reiv1	1swaddling clothes(flt),(lítið teppi) shawl2(plfr.)involucre; (á soppi) velum; (við hattin) annulus; (við fótin) volva3(dýr.)pupa case; cocoon;3-4 vikur seinni krýpur firvaldurin út úr reivinumlater the butterfly creeps out of its cocoon
reiv2	síríva
reiva	swaddle; reivabarnswaddle a child
reivabarn	(gl.)baby in long clothes, (tíðum) infant in arms;vera sum eitt reivabarnbe in one's dotage, be in one's second childhood,Sbe gaga
reivblað	(plfr.)sepal, petal
reivlingur	síreivabarn
reivvera	(dýr.)pupa(fltpupae), chrysalis; (spunahylki) cocoon
rek	(stb.)sírák
reka	1drive; rekagrinddrive a school of pilot whales;reka seyðdrive sheep;reka seyð í rættdrive sheep into a sheepfold;væl rakst, og teir komu í rættthe driving was successful and the sheep were driven into the fold;reka smáumdrive the sheep to accustom them to being driven into the sheepfold;reka av garðithrow/chuck sby out, kick sby out;hann hevur rikið meg á dyrhe has kicked me out;reka (e-n) á gáttthrow/chuck out, kick out;(bíbl.) hann rak út andarnarhe drove out/expelled the evil spirits;reka úr starvidischarge, give notice(t.d.they gave him notice), dismiss2be carried with the current;seiður er ikki vandin, tá hann er í tí góða lagnum, tekur hann alt, sum í kjaftin rekura coalfish is not particularly fastidious, it swallows everthing which comes its way;reka í fiskcome upon fish;reka eftir kalvalet the boat drift with the current while fishing for halibut;koma rikinhave been drifted;annar báturin kom rikin í Sjeyndumone of the two boats drifted into the bay ofSjeyndir; Heini Havreki kom rikin henda veginHeini Havreki (a man) came drifting to the Faroes;reka av kósdrift off one's course;motorurin steðgaði, og vit lógu og róku í fleiri dagarwe had engine failure and we drifted along for several days;seta seg at rekafish while the boat drifts with the current;hann dugdi væl at skemta og taka skemt, visti altíð, hvussu rak (fl.m.)he was a good entertainer and could take a joke, and he had a flair for atmosphere;hon visti, hvussu rak, og hon var ørg (fl.m.)she knew what the attitude was and she was angry;ælið rak av útsynningithe shower came from southwest;hann/tað rekur av norðrithe clouds are scudding before the north wind;reka við akkerinum útidrag the anchor3(um streym, of current) run, flow, set;har rekur nakað hartthe current is rather strong there;tað rak við mígandi ferðthe current was extremely strong;tað rekur ikkithere is no current;tað rekur norð(ur)the current is running towards north, the current sets towards the north4punch, strike, hit; rekanevan á nasarnar á e-mpunch sby on the nose5carry on, conduct, run(t.d.a firm; a business); rekahandilrun a business;bóndin var lagdur undir at reka loynihandil (sø.)the farmer was accused of running illicit traffic;felagið rekur ídnaðthe firm carries on a business of manufacturing industry;reka fiskiskaprun a fishing business6do sth; get sth off one's hands, get sth done, get sth finished, dispatch sth; rekapolitikkengage, go in for politics;reka valstríðelectioneer;reka ørindido an errand;hundar reka annars/annans) ørindi, (orðt.)síhundur7(ítr.)dribble;hann rak bóltin inn um málmannin og legði hann í máliðhe dribbled (the ball) past the goalie to score8(um løg, of water) be in the verge of boiling;tað rekur í pottinumthe water in the pot is just coming to the boil;hann gjørdi mjølið útá, so skjótt tað var farið at reka í pottinumhe mixed flour in meat gruel the moment the water in the pot was coming to the boil9reka spott á (e-n)/reka (e-n) á spottridicule/sneer at someone;øll reka meg á spotteverybody ridicules me10(gl.)decorate, ornament; coat;nú skal taka tann dýra dúk, allan í gulli rekaI'll go and fetch the expensive cloth coated in gold11[ísamb.viðfs//hj]rekaaftur 1deny;stjórnin rak øll leysatíðindi um kvettroynd afturthe government denied all reports/rumours of a coup attempt2refuse(t.d.a suitor, a gift), reject(t.d.an offer, a gift);áheitanin um eykajáttan varð afturrikinthe application for a supplementary grant was refused3(gl.)discharge, give notice(t.d.they gave him notice); dismiss;hann varð afturrikinhe was dismissed;rekaavdrift(el.get) off course;rekaburtur 1kill, put to death, put down2(um dýr) frighten away, (um fólk) push away3drift (get) off course; rekaburtur av leiðget off course;rekaframundir/uppundir: reka framundir/uppundirhint, make insinuations, refer (to);reka framundir við e-nmake insinuations about sby;rekafrá(sø.)not be allowed to go up for confirmation because of lack of knowledge;hann varð frárikin (sø.)he was not allowed to go up for confirmation;rekafyri:reka e-m e-t fyrireproach sby sth:reka e-t fram fyri e-nderisively reproach sby with/for sth;rekainn: reka nagla/seym innnail;rekaígjøgnumdrive sheep through the fold in order to make them familiar with it;rekaniðurdrift down the current;báturin rekur niður á miðið, og teir fyrstu menninir fara at kennathe boat drifts down to the fishing ground and some of the men begin to feel fish bite (rise to the bait);rekasaman(um seyð, of sheep) drive together, round up;rekaundan(tilt.) tað rekur ikki undan okkumwe have plenty of time;rekaupp 1drift up on the shore;líkið rak uppthe body washed ashore2pápi rak eitt longumið upp eina ferðby drifting along my father once found a small fishing-ground where catch ling can be caught3varðhundar vórðu tí havdir til at akta við og reka upp seyð viðwatchdogs were therefore used for driving sheep away from the infield and driving them up into the mountains;rekauppundirsíreka framundir; rekaút 1throw/chuck sby out, kick sby out;hann varð rikin úthe was thrown out2drive away; rekarottur út við roykidrive away rats by means of smoke3drift out to sea //rekast 1lie about, be in a mess; clutter up the room//the tableo.tíl.;(um stovu: vera óruddilig) be all in a mess, be all cluttered up;órudd liggur og rekst allastaðnirubbish/trash lies about everywhere2be neglected;børnini ganga úti og rekastthe children are neglected;ódnarveður kom á, og teir rókust á havinuma storm broke and they drifted about at the mercy of wind and waves (of ship with engine failure);rókust úti á miðjum havi (kvæð.)drifted about at the mercy of wind and waves;rekast um: eitt sovorðið biddaravætti, sum rakst umhe was a good-for-nothing who never did a hand's turn
