u	(málfr.)vowel, /u:/
urðarlendi	terrain with many boulders, terrain with many screes
urðarseiður	(kvæð., kenn.)dragon, wivern, wyvern
urðarseyður	(dýr.)[sheep which graze in a scree]
urðarskrápur	(fugl.)scopoli's shearwater(Calonectris diomedea)(Scopoli, 1769)© Wikimedia Commons
urðarsmog	narrow passage in a scree
urðarsteinur	large boulder in a scree
urðartrøstur	(fugl.)common rock thrush(Monticola saxatilis)(Linnaeus, 1766)Monticola saxatilis ©iStock
urðarveðrur	(dýr.)ram which grazes in a scree
urðnakona	1(fugl.)one-year-old puffin;(tilt.) hatta sær út sum ein urðnakona(of a big and clumsy woman)2(stb.)young razor-bill in its first year3(stb.)young guillemot
urðut	(stb.)(terrain) with many screes
urga	1(tónl.)organ;spæla á urguplay the organ;spæla á urguniplay on the organ;urga við 4 manualumfour-manual organ2(niðr.)organ;DagblaðiðurgaFólkafloksinsthe Dagblaðið the organ of the Faroese People's Party (the Fólkaflokkur)
urgan	(kvæð.)síurga
urgansleikari	síurguleikari
urgansleikur	síurguspæl
urganspípa	(kvæð.)síurgupípa
urgansspæl	síurguspæl
urgubrús	(organ) peal, pealing, swell
urgukorall	(tónl.)voluntary, choral prelude
urguleikari	organ player, organist
urguleikur	organ playing
urguljóð	organ tone
urgupípa	(tónl.)organ pipe;opin//afturlatin urgupípaopen//closed organ pipe
urgurødd	organ stop
urgusmiður	organ builder
urguspæl	(á urgu) organ playing; (tónsett til urgu) organ music
urguspælari	organ player, organist
urgutal	(sj.)íosb. í urgutaliinnumerable, numberless, countless(t.d.books; people; times); without number(t.d.times without number); untold(t.d.during untold centuries)
urketa	watch chain
urn	(sj.)low humming or buzzing noise(t.d.frá æðum, from eider ducks)
urna	1(um kettu, of cat) purr;kettan urnarthe cat is purring2hum;mamman urnar yvir barninum3urnast1(um smábarn, of baby) be restless, whimper, cry;barnið liggur og urnastthe baby is whimpering2(stb.)be busy3(stb.)live, settle, try to hold one's own
urni	(fisk., sj.)small halibut
urnikvæði	growling, muttering(expr.of bad moodorhumour)
urniljómari	(fugl.)common grasshopper warbler(Locustella naevia)(Boldaert, 1783)©Sergey Yeliseev
urnisongur	síurnikvæði
urpt	(dýr.)brood; (um akurhønu) covey; (um egg) clutch;fyrra//seinna urptthe first//the second brood;tá var loyvt at taka fyrru urpt av eggjumat the time it was allowed to pick the first brood;missa urptina(um hønu, of hen) stop laying eggs;tapa urpt(umt.d.gás, of goose due to cold weather) stop laying eggs;rapla urpt,sírapla; síeis.løga
urreim	watch strap
urs	(said to a bull when a cow is being served),urs, urs!
ursa	1(stb.,um tarv, of bull) serving a cow;tarvurin ursaði kúnnithe cow was served by the bull2(stb.)fidget(t.d.sit still and don't fidget!); wriggle(t.d.the little boy wriggled in his seat);ursastwork in a clumsy manner
ursi	1old bull2tall, stout and clumsy man
urskiva	dial, face of a clockora watch
ursmiður	watchmaker, clockmaker
ursur	(stb.)bull
urt1	(plfr.)plant, herb, growth (not ligneous);grøðandi urtirmedicinal plants, herbal remedies,(gl.)simples
urt2	wort, infusion of malt
urt3	síurpt
urtaføði	(sj.)sígrønmeti
urtagarðabýur	garden city;urtagarðaforstaðurgarden suburb
urtagarðafelag	1association of allotment owners; (garðsetursfelag, kolonihavafelag) allotment garden society2horticultural society
urtagarðsamboð	gardenel.gardening implement, garden tool
urtagarðsarbeiði	gardening, garden work
urtagarðsblóma	garden flower
urtagarðsbonkur	garden seat
urtagarðsbrúk	gardening, horticulture
urtagarðsfrøði	horticultural science
urtagarðsfrøðingur	horticultural graduate
urtagarðsgarður	garden wall; garden fence
urtagarðsgøta	garden walk, garden path
urtagarðshús	(stuttleikahús) summer-house; garden shed
urtagarðslið	garden gate
urtagarðslæra	síurtagarðsfrøði
urtagarðsmaður	gardener
urtagarðsmøplar	garden furniture
urtagarðsplanta	(plfr.)garden plant
urtagarðsportur	garden gate
urtagarðsskúli	horticultural school
urtagarðsslanga	garden hose
urtagarðsveitsla	garden party
urtagarðsvinna	horticulture, gardening
urtagarðsyrki	gardening, horticulture
urtagarður	garden; (til kryddurtir) herb garden; (til grønmeti) kitchen garden; (lítil) vegetable patch
urtagóður	lush;her er so urtagottanything will grow in this soil;tann bøurin er urtabetrithe soil of that field is better
urtakervil	(plfr.) søtur urtakervilsweet cicely(M. odorata)
urtapílur	(plfr.)dwarf willow(Salix herbacea)©Richard Droker
urtapottafjalari	flowerpot bowl, ornamental flowerpot, cache-pot, planter
urtapottaskál	flowerpot saucer
urtapottur	flowerpot, pot;seta í urtapottpot(t.d.a plant);taka upp úr urtapottiunpot
urtasuppa	vegetable soup
urtate	herbal tea
Uruguai	(sern., landafr.)Uruguay
uruguaibúgvi	Uruguayan
uruguaiskur	Uruguayan
Uruguei	síUruguai
USA	(st.) (sern. landafr.)the USA, the US
usbeki el.usbekari	Uzbek
usbekiskur	Uzbek
Usbekistan	(sern., landafr.)Uzbekistan
utopiskur framtíðarskaldskapur	utopian fiction [sum lýsir umstøðurnar hjá fólki í hugsaðari eydnugóðari samfelagsskipan, soleiðis sum rithøvundurin kanska kundi hugsað sær hana]; sídystopiskur framtíðarskaldskapur
uttan1	1from outside (inwards); uttanav havifrom the open sea;uttan úr heimifrom abroad2from, from the outer side of sth; on the outside, externally;bæði uttan og innanboth without and within3(gl.)what else, except;hvat er uttan stórur kalvi!what else but a large halibut!4[ísamb.viðfs]uttanáon the outside of, over(t.d.he wore two shirts, one over the other); uttaná klæðunumover one's clothes;hon kastar eitt bundnaturriklæði uttan á segshe throws a woollen shawl across her shoulders;uttanfyri/(el. gl.)fyriuttanoutside;uttan fyri húsinioutside the house;búgva uttan fyri býinlive outside the town;eiga barn uttan fyri hjúnalaghave an illegitimate child;vera uttan fyri ESnot be a member of the EU;uttanumaround, round;krákan vappar uttan um ungarnarthe crow walks round its young;teir trunkaðust uttan um hannthey crowded(el.pressed) round him;uttanyvir:hon tók eitt sjal uttan yvir segshe put a woollen shawl across her shoulders5[sumfs]1on the other side;uttan duraoutside the house;(stn.) uttan Á(on the other side of the river)2without; uttanmat og klæðiwithout food and clothes;uttan ivano doubt;uttan vitunconscious;eingin uttan egI only;eg sá ongan uttan tegI saw no one but you;øll vóru har uttan egthey were all there except I/me
uttan2	1unless;eg fari ikki, uttan at tú kemur viðI'm not going unless you come with me;eg fái einki gjørt, uttan (at) tú hjálpir mærI can do nothing unless you help me;eg komi ikki, uttan so er, at ...I won't come unless...2but;hann kom ikki higar, uttan fór beina leið heimhe did not come here but went straight home;uttan eg sigibut then I say
uttanat	by heart(t.d.I know it by heart; learn sth by heart); (heldurniðr.)by rote(t.d.learn//say sth by rote; he knows it by rote)
uttanatlæra	cramming, gettingel.learning by rote; rote learning;(tlm.)parrot-learning, learning parrot-fashion
uttanav	remove from the outside (of);hann koyrdi pappírið uttanav pakkanumhe removed the paper from the parcel
uttaná	outside, on the outside;teirra góðska var mest uttanátheir friendliness was mostly pretence
uttanáskrift	(t.d. á brævi, on a letter)address
uttanbíggjar-	from another village, extra-parochial; non-resident(t.d.voters); non-local(t.d.mail; members)
uttanbíggjarfólk	people from another village
uttanbíggjargenta	girl from another village
uttanbíggjarjørð	[land which is not owned by the people of the village]
uttanbíggjarmaður	man from another village
uttanborða	síuttanborðs
uttanborðaður	síuttanborðs1
uttanborðs	1(sigl.,uttan fyri skips-el.bátssíðu) outboard, outside the ship, on her outside;skipsbáturin hongur uttanborðsthe ship's boat is hanging on her outside2(fyri borð) overboard(t.d.fall overboard; throw sth overboard);hann fór uttanborðshe fell overboard3(sigl.;út fyri lúnningo.tíl.)overside(t.d.haul sth overside);fríholtslisti uttanborðsrubbing strake
uttanbredda	(jarðfr.)extramarginal
uttanbygdar-	síuttanbíggjar-
uttandura	1out-of-door, outdoor(t.dgames, life, work)2[sumhj] outdoors(t.d.live//sit//sleep outdoors); out-of-doors; out(t.d.sleep out);barnið skuldi ikki uttandura, áðrenn tað var doyptthe child was not allowed to be out-of-doors until it had been christened
uttanduraður	outdoor, out-of-door, out, outside;so títt og knapt útklykt var, var hann uttanduraðurthe church bell had hardly struck the last stroke before he was out
uttanduraklæði	t h24outdoor clothes(flt),outdoor things(flt)
uttanduraupptøka	(lmynd.)outdoor shot; (um filmeis.)exterior shot
uttaneftir	from withoutoroutside, from abroad, from places further out along a fiord;tíðindi uttaneftirforeign news
uttanfelagsmaður	non-member;blaðið kostar 15 kr. fyri limir og 20 kr. fyri uttanfelagsmennthe newspaper costs 15 kroner for members and 20 kroners for non-members
uttanflokka	(stjm.)outside the parties;(stjm. eis.)be an Independent;hann stillaði upp uttanflokkahe ran (for election) as an Independent, he stood for Parliament as an Independent
uttanflokkamaður	(stjm.)independent, outside the parties;(serst. am.)mugwump
uttanfóta	(r)hj on the outer side of the foot;jarkin er uttanfótathejarkiis the outer side of the foot
uttanfyri	outside;hann stóð uttanfyri og bíðaðihe was waiting outside (the house)
uttangarða	síuttangarðs
uttangarðaður	(stb.)outsid the infield, in the outfield
uttangarðs	in the outfield;tað, ið er innangarðs kalla vit bø, tað, sum er uttangarðs, kalla vit hagathe infield is calledbøur,the outfield is calledhagi
uttangarðsjørð	outfield
uttangarðsmørk	(stb., gl.)sheep marks
uttangátta	(r)hj(sj.)out of the house, outside
uttanhanda	íosb. tað er so uttanhandait is inconvenient/awkward;tað var so uttanhanda onga mjólk at hava í húsinumit was awkward that we never had any milk in the house(i.e.that we had no cow);tað var so uttanhanda fyri lærararnar, at teir ongar orðabøkur høvdu at halda seg tilthe teachers felt it awkward that they had no dictionaries at their disposal
uttanheimur	abroad, foreign countries or parts (the World outside the Faroes)
uttanhjarta	(tøkn.)eccentric
uttanhjartaður	(tøkn.)eccentric(t.d.bearing; bush(ing); motion; press; shaft)
uttanhýsis	outside the door; externally
uttanhýsisarbeiði	outdoor work
uttanhýsisfólk	[perons who are not part of the householdorthe family]
uttanhýsismeting	external evaluation
uttanhýsispróvdómari	(skúlam.) external examiner
uttanífrá	from outside, from abroad, from another village;ein maður uttanífráa stranger;ljóðið kom uttanífráthe noise came from the outside;vit mugu fáa hjálp uttanífráwe must ask for help from outsiders (from another village//from abroad)
uttankirkjufólk	nonconformist
uttanklædna	regarding outer garments
uttanklæða	síuttanklædna
uttanlands	abroad; foreign, overseas;ferðast uttanlandstravel abroad
uttanlandsferð	journey abroad;uttanlandsferðir (eis.)travel abroad, foreign travel;júst heimkomin av uttanlandsferðjust back from abroad
uttanlandshandil	foreign trade
uttanlandsmál	foreign affairs
uttanlandsnevnd	(stjm.) uttanlandsnevndinthe Foreign Affairs Committee
uttanlandspostur	post from abroad
uttanlandssigling	foreign trade;skip i uttanlandssiglingship (engaged) in foreign trade, foreign-going vessel
uttanlandsskuld	(bú.)foreignel.external debt
uttanlandstíðindi	foreign news
uttanleggja	[on the outer side of the calforlower leg]
uttanleiðarbrunnur	(oljuv.)step-out well, outstep well
uttanlendis	síuttanlands
uttanliða	íosb. tað liggur uttanliðathe cow has a prolapsed uterus
uttanlíkindi	external condition
uttanlæra	(sj.)síuttanlærs
uttanlærs	[on the outer side of the thigh]
uttanmaður	1stranger, man from another village2man from a village further out along a fiord
uttanoyggja	1goingorsailing round an island;fórt tú ikki uttanoyggja, so varð farið gjøgnum Sundalagiðif one did not sail round the island one sailed through theSundalag(the sound between Streymoy and Eysturoy)2abroad;hann eygleiddi alt, sum fór fram uttanoyggjahe kept himself well-informed as to what happened abroad
uttanpartastøða	neutrality
uttanríkis	foreign
uttanríkisfarstøð	(flogm.)international air terminalel.air station
uttanríkishandil	(bú.)foreign trade
uttanríkismál	(stjm.)foreignel.external affairs
uttanríkismálaráð	(stjm.)síuttanríkisráð
uttanríkispolitikkur	1foreignel.external politics (, policy); (tíðum) foreign affairs(t.d.interested in foreign affairs)2policy;ein nýggj støða í bretskum uttanríkispolitikkia new situation in British foreign policy
uttanríkispolitiskur	(stjm.)relating to foreignel.external politics, policy; foreign-policy(t.d.adviser; decisions); (tíðum) foreign(t.d.affairs); external(t.d.the external situation);uttanríkispolitiskt tíðindafólka writer on foreign affairs
uttanríkisráð	(stjm.)Ministry for/of Foreign/External Affairs; Foreign Ministry; (í Bretlandi) Foreign and Commonwealth Office; (í USA) State Department(GG:tíðum verður staðarnavnið nýtt, t.d.the Quai d'Orsay, París;(sø.)(the) Wilhelmstrasse, Berlin)
uttanríkisráðharri	(stjm.)Minister for/of Foreign/External Affairs, Foreign Minister; (í Bretlandi) Secretary of State for Foreign and Commonwealth Affairs; Foreign Secretary; (í USA) Secretary of State
uttanríkisruta	international route
uttanríkistíðindafólk	foreign correspondent
uttanríkistænasta	foreign service
uttanroyndarligur	metaphysical
uttanroyndarvísindi	metaphysics
uttanrætta	íosb.sumtaka seyð uttanrættacatch sheep without driving them into a sheepfold by overtaking them and rounding them up with the help of a dog
uttanrættar-	1(løgfr.)(done) out of court, extrajudicial2[sumhj] out of court, extrajudicially
uttanrættarbót	(løgfr.)out-of-court fine, extrajudicial fine
uttansníkur	(dý.) ectoparasite
uttansóknar	extra-parochial
uttanstokka	(bát.)síuttanborðs1
uttanstrok	(nýy.)outsider; síeis.outsiderí ensk-føroysku orðabókini
uttansyndis	outside the fiords and sounds, outside the islands
uttantil	externally, on the outside; uttantilá húsunumon the outside of the house
uttantings	(stjm.)extraparliamentary, extraparliamentarian
uttanum	round
uttanumtos	irrelevant talk;latið okkum tosa um málið, og latið alt uttanumtos liggjalet's talk about the case in hand and stop beating about the bush
uttanumvik	(løgfr.)evasion
uttanvegaakfar	off-road vehicle, off-roader; eis.lendisakfar
uttanveggja	out, outside, out of the house
uttanvelta-	neutral
uttanveltaður	1neutral;Svøríki er uttanveltað landSweden is neutral,(stjm. eis.)uninvolved; non-aligned(t.d.states)2impartial, unprejudiced, unbiassed, disinterested, detached(t.d.a detached observer)
uttanveltapolitikkur	policy of neutrality
uttanveltastøða	policy of neutrality, neutralism;brot á uttanveltastøðuinfringement/violation of sby's neutrality;yvirlýsing um uttanveltastøðudeclaration of neutrality; proclamation of neutrality
uttanvert	right on the outside of;teir vóru uttanvert við hannthey were (situated) right on the outside of him;teir halda seg uttanvert við streingin suðureftiron the way south they kept right on the outside of the narrow, strong tide race
uttanvirknaður	(handilsm.) externality; smb.innanvirknaður
uttanyvir	over;hann hevði frakka uttanyvirhe was wearing coat;ert tú í ongum uttanyvir?you are not wearing any outer garments?; are you in your shirt sleeves?
uttar	farther out (seen from the centre of the house); uttarí dyrout in the entrance;far uttar í forstovunago out into the hall;deknurin fer uttar eftir gólvinumthe parish clerk walks along the (centre) aisle towards the entrance
uttareftir	farther out (in the building);hann hevði reist seg og fór uttareftirhe had got up and was walking in the direction of the(t.d.entrance)
uttari	1[l]which is farther out or away;Uttara Dalsáthe Outer Dalsá2[sumhj] farther out or away;uttari við dyrnar(out) in the entrance;uttari í durunum(out) in the doorway;konan stákaðist uttari í stovunihis wife was busy preparing(t.d.for a party) in the drawing room
uttarlaga	1fairly far outordistant;grindin lá uttarlaga áthe school of pilot whales was farily far out at sea;teir vóru uttarlaga staddirthey were fairly far out at sea2near the entrance
uttarumegin	on the outside of something
uttastur	1farthest outoraway, most distant2[sumhj]uttast,uttast við vaks vælon the fringe the vegetation was lush;hann mátti skifta øll klæðini frá uttast til innasthe had to change all his clothes
-utur	(eftirfesti), sít.d.át-, bekl-, berskøll-, blik-, bøll-, fesj-, flekk-, fræn-, gjørð-, gróm-, grugg-, kløtr-, krill-, lubb-, omm-, pesj-, pink-, pokn-, rond-, skrøgg-, skør ð-, sokk-, túgv-, vingl-, vørm-, ørg-
