М1	I1.(skelti) метро́ metro2.«для мужчи́н» (á toiletthurð) M menn (надпись на туалете)
меди́чка	plurмеди́ч|ки, ~ек, ~камftlm.læknalesandiмприл; medicinari {medisinari} [-Ꞌsiː-]мгл-ariнеформ.(lesandi,konufólk)
ме́дленно	advspakuliga, seint; seinført; ме́дленно де́латьчто-л.vera seinurum o-t; рабо́тать ме́дленно arbeiða seint; ме́дленно, но ве́рноoftaspott.seint, men sikkurtннк
ме́дленный	stfме́дленogме́дленен, ме́дленн|а, ~о, ~ыadjspakuligurглigur, seinurсогл; ме́дленный ход spakulig ferð, lág ferð; ме́дленный рост seinur vøkstur; идти́ ме́дленным ша́гом ganga spakuliga; на ме́дленном огне́ við makum eldi
медли́тельность	fseinføriсгл-i, drálс0о
медли́тельный	stfмедли́телен, медли́тельн|а, ~о, ~ыadjseinurсогл, seinførurсогл; dráluturсогл(тратящий много времени на что-л.), dølluturсоглнеодобр.(мешкотный)
ме́длить	ме́дл|ю, ~ишь, ~ятipf(чем-л.) +inf, drálaaði(við o-m), drálaaðivið at+ инф.; не ме́для uttan drál
ме́дник	mkoparsmiðurмсогл-s,-ir
медно-...	í samanskopar-
ме́дно-кра́сный	adjkoparreyðurгл
меднолите́йный	adj: меднолите́йный заво́д koparverk
ме́дный	adj1.(кмедь 1) kopar-2.(цвета меди) koparreyðurгл3.(о звуке) hvøllur [-tl-]согл, gellandi [-tl-]глandi@ме́дный векkoparøld;ме́дный лобtlm.greytheiliмгл-iпренебр.=>вса́дник@,грош@,ого́нь@
медо́вый	adj1.(кмёд 1) honning-ннк, hunangs-нп2.fl.(слащавый) smikursøturсогл@медо́вый ме́сяцhunangsmánaðurпубл.,ред., hveitbreyðsdagarмсогл-ar{a/ø/e}мнпубл.,ред.
медо́к	Genмедка́; plurмедк|и́, -о́в, ~а́мm dim, kel. tilмёд
медоно́с	mnektarplantaжгл-a
медоно́сный	stfмедоно́с|ен, ~на, ~но, ~ныadj1.(вырабатывающий мёд) honning-ннк, hunangs-нп; медоно́сные пчёлы honningbiirннк, hunangsbýflugurнп2.(о растениях) nektar-, hunangs-нп; медоно́сные расте́ния nektarplantur, hunangsplanturнп
медосбо́р	mtað at samla hunang (um býflugur)
медосвиде́тельствование	nмедици́нское освиде́тельствование læknakanning; медосвиде́тельствование води́теля на состоя́ние алкого́льного опьяне́ния kanning av bilførara fyri rúsdrekka
медосмо́тр	mмедици́нский осмо́тр læknakanning
медоточи́вый	stfмедоточи́в, ~а, ~о, ~ыadjsmikursøturсогл, søtorðaðurглaður
медпу́нкт	mмедици́нский пункт ≈ móttøkaжгл-ahjá [tʃʰ-] vakthavandi lækna o.tíl.
медресе́	n indeclmuslimskur [-Ꞌliː-] skúliмгл-i
медсанба́т	mме́дико-санита́рный батальо́н medisinsk [-ˑsiː-] bataljón [patʰaꞋʎjɔun] og sjúkrabataljón
медсестра́	plurмесёстры, медсестёр, медсёстрамfsjúkrarøktarfrøðingurмсогл-ar, sjúkrasystirж0род
Меду́за1	Ifmyt.Medusa [-Ꞌtuː-]жгл-a
меду́за2	IIf djór.(класс Mеdusозоа) hvalspýggja [kʰval̥-]жгл-a
медуни́ца	f(Pulmonaria) lungaurtж0-ir
медь	f1.(химический элемент,металл) koparс0о2.kolltlm.(медяки) koparmyntirмсогл-s,-ir;согл-ar3.koll(медные инструменты) messingblásararмгл-ariмн(instrument)
медя́к	Genмедяк|а́; plur~и́, ~о́в, ~а́мmtlm.koparpengiмгл-i, koparmynturмсогл-s,-ir;согл-ar
медяни́ца	f(Anguis fragilis) stálormurмсогл-ar
медя́нка	plurмедя́н|ки, ~ок, ~камf1.(Coronella austriaca)slanga av snákaættini(en.grass-snake; da.glatsnog)2.óvkm.(гадюка)síгадю́ка3.óvkm.(медяница)síмедяни́ца4.(краска) spanskgrøntсприл
медя́шка	plurмедя́ш|ки, ~ек, ~камftlm.1.(монета) koparpengiмгл-i2.(предмет из меди) kopartingс0о; koparskeltiсгл-i(бляха с обозначением имени,номера и т.п.); koparplátaжгл-a(пластинка)
меж	prep + Ins, Gengml., síме́жду
меж...	í samansmillum- [-tl-]
межа́	plurмеж|и́, ~е́й, ~а́мogме́ж|и, ~, ~амf1.(граница) markс0o(;0o{a/ø}(millum jarðir)2.(полоса между полями) teigurмсогл-ar(millum akrar)
межба́нк	m gjaldoyramarknaður millum bankar
межба́нковский	adj(sum er) millum bankar [paŋ̊k-]
межбиблиоте́чный	adj: межбиблиоте́чный обме́н lán millum [-tl-] bókasøvn
межбюдже́тный	adj sum verður framt millum ríkisfíggjarlóg og fíggjarlógir hjá lokalari umsiting
межвидово́й	adj(sum er) millum [-tl-] sløg; межвидово́е скре́щивание blanding av sløgum, kynblandingлп
межгосуда́рственный	adjmillumstata- [mɪtlʊnstaː-], millumlanda- [mɪtlʊn-]
междоме́тие	nmiðalvarpingж0-ar
междоусо́бие	n síмеждоусо́бица
междоусо́бица	finnanhýsisнескл.stríðс0о{0<>i}; innanlands [-lan̊s]нескл.kríggjс0о{0<>i}(война)
междоусо́бный	adjinnanhýsisнескл.; innanlands [-lan̊s]нескл.
ме́жду	prep + Ins(gml.+Gen) millum [mɪtlʊn]+ Вин(Родуст., кн., выс.;но тж встречается в некоторых сочетаниях); ме́жду дома́ми a) millum húsini; b) (тж из одного дома в другой) húsanna millum; ме́жду реко́й и холмо́м millum ánna og heyggin; ме́жду Москво́й и Санкт-Петербу́ргом millum Moskva og Sankta Pætursborg; ме́жду госуда́рствами millum statir [sta-]; ме́жду шестью́ и семью́ (часа́ми) millum (klokkan) seks og sjey; договори́ться ме́жду собо́й avtala sínámillum [sʊina-]; ме́жду друзе́й millum vinir@ме́жду на́ми (говоря́)millum okkum (sagt);ме́жду темímeðan [-Ꞌmeː-], meðan;а ме́жду темí roynd og veru, í virkuligheitiniннк;ме́жду тем какmeðan, men, (har)afturímóti [-tː-] =>де́ло@,жизнь@,ого́нь@,про́чее@,строка́@,стул@
между...	í samansmillum [-tl-], sum er millum [-tl-]
междуве́домственный	adj(sum er) millum [-tl-] stjórnardeildir [-tn-], sum er millum [-tl-] aðalráð (на Фар. о-вах); междуве́домственная коми́ссия felagsnevnd (millum stjórnardeuildir)
междугоро́дний	adj síмеждугоро́дный
междугоро́дный	adj(sum er) millum [-tl-] býir; uttanbíggja-; междугоро́дный телефо́н uttanbíggja telefon [-Ꞌfoːn]; междугоро́дный разгово́р uttanbíggja samtala; междугоро́дный авто́бус bussur millum [-tl-] býir, rutubilur (millum býir)
междунаро́дник	muttanríkispolitiskur serfrøðingurмсогл-ar
междунаро́дный	adjmillumtjóða(-), altjóða(-), millumlanda(-), internationalur [-naːʃonaː-]ннксогл; междунаро́дное положе́ние {междунаро́дная обстано́вка} altjóða støðan ; междунаро́дный конгре́сс altjóða ráðstevna; междунаро́дный матч landsdystur [lan̊s-]; междунаро́дное пра́во altjóða rættur, fólkarættur =>аре́на,деньI,ИСО,китобо́йный@,МАГАТЭ,МВФ,МКК,ММО,МСИМ,МТБЮ,СОЛАС,связь4,телефо́н
междупу́тье	plurмеждупу́тья, междупу́тий, междупу́тьямnjarnb.strekki millum tvær jarnbreytir
междуре́чье	plurмеждуре́чья, междуре́чий, междуре́чьямnlendiсгл-imillum [mɪtlʊn] tvær áir
междуря́дный	adj:междуря́дные культу́рыplantur, sáddar í strekkinum millum leingjur
междуря́дье	plurмеждуря́дья, междуря́дий, междуря́дьямиnstrekkiсгл-imillum [mɪtlʊn] tvær sáddar leingjur
междусобо́й	m tlm.samkomulagс0о{a/ø}{0<>}(millum vinir); veitsla [vai̯sla]жгл-a(um kvøldið), ballс0онеформ.
междусобо́йчик	mtlm.,skemt.ballс0о(við fáum,kendum fólkum)
междуца́рствие	n1.(период между царствованиями) stjórnarloysi [-tn-]сгл-i, kongsloysi [kʰɔŋ̊ks-]сгл-i; interregnum [-Ꞌreːknʊm]интс0oспец.2.skemt.(в коллективе и т.п.) leiðsluloysiсгл-i
межева́льный	adjlandmátingar- [lanm-], uppmálingar,síмежева́ние
межева́ние	nlandmáling [lanm-]ж0-ar, uppmátingж0-ar(til at seta mark)
межева́ть	межу́|ю, ~ешь, ~ютipf что-л.setaur(t);ir(t)markum o-t
межево́й	adj1.(кмежа́) markna-; межева́я кана́ва marknaveit2.(кмежева́ние, межева́ть) landmátingar- [lanm-], uppmálingar- =>столб1
меже́нь	flægsti vatnsmáli [van̊s-]мгл-i(í á ella vatni)
межеу́мок	Gen, Accмежеу́мк|а;plur~и, ~ов, ~камmóvkm.neytс0о(fólk), dólgurмсогл-ar
межеу́мочный	stfмежеу́мочen, межеу́мочн|а, ~о, ~ыadjbýttisligurглigur, tápuligurглigur
межзвёздный	adjmillum [mɪtlʊn] stjørnur [stjœtn-]
межкле́точный	stfмежкле́точен, межкле́точн|а, ~о, ~ыadj (sum er) millum [-tl-] kyknur
межконтинента́льный	adj1.(действующий между континентами) millum [mɪtlʊn] fleiri heimspartar2.(о ракетах и т.п.) interkontinentalur [-tʰaː-]согл; межконтинента́льная баллисти́ческая раке́та interkontinental ballistisk [-Ꞌlɪ-] rakett [-Ꞌkʰεʰtː]
межконфессиона́льный	stfмежконфессиона́лен, межконфессиона́льн|а, ~о, ~ыadj sum er millum (ymiskar) religiónir, sum viðvíkur (ymiskum) religiónum; interkonfessionellur [-fεʃːo-]соглспец.
межмуниципа́льный	stfмежмуниципа́|лен, ~льна, ~льно, ~льныadjinterkommunalur [-naː-]согл, millumkommunalur [mɪtl- -naː-]согл
межнациона́льный	stfмежнациона́|лен, ~льна, ~льно, ~льныadj(sum er) millum [-tl-] (fleiri) tjóðir; (sum er) millum [-tl-] (fleiri) folkasløg
межотраслево́й	adj sum er millum (vinnu)greinar, sum er millum øki(sbr. о́trasl');tvørgeiraligurлпглigur
межпарла́ментский	adjmillum [mɪtlʊn] ting
межплане́тный	adjmillum [mɪtlʊn] gongustjørnur [-stjœtn-], interplanetariskur [-Ꞌtʰaː-]ннксогл
межпозвонко́вый	adj: =>гры́жа,диск2
межпозвоно́чный	adj: =>гры́жа,диск2
межправи́тельственный	adj: Межправи́тельственная морска́я консультати́вная организа́ция ИМКО (англ.Intergovernmental Maritime Consultative Organization) Altjóða ráðgevandi sjóvinnufelagsskapurin, IMCO [im̊kʰoː]
межрёберный	stfмежрёберен, межрёберн|а, ~о, ~ыadj(sum er millum [-tl-] ) rivjabeinini
межрегиона́льный	stfмежрегиона́лен,межрегиона́льн|а, ~о, ~ыadjsum er millum regiónir, sum er millum øki
межре́йсовый	adjskip.millum [mɪtlʊn] túrarnar (hjá skipi)
межреспублика́нский	adj sovjet.millum [mɪtlʊn] (samveldis)lýðveldiniофиц.
межросси́йский	adjinterrussiskurсоглsk, millumrussiskur [-tl-]соглsk
межсезо́нье	plurмежсезо́нья, межсезо́ний, межсезо́ньямntlm.millum [mɪtlʊn] tíðirnar (fiskitíð o.tíl.), millum [mɪtlʊn] sesongirnar [-Ꞌsɔ-]ннкпроф.
межсетево́й	adj: межсетево́й экра́н  firewall [faijεɹvɔˑl]м нескл комп.
мезалья́нс	mósambæriligt [-Ꞌpεa-] hjúnalag [tʃʰ-]с0о{a/ø}{0<>i}; hjúnalag [tʃʰ-]с0о{a/ø}{0<>i}viðo-nundir einum í sosialari [-iꞋaː-] støðu
мездра́	fholdroð [hɔlroː]с0о{0<>i}
мезозо́й	mmiðøldж0-ir{ø/ajarðarгеол.
мезозо́йский	adj: мезозо́йская э́ра miðøld (hjá jørðini)геол.
мезоне́т	m(smærri) húsс0одистр; íbúðж0-ir(við egnari inngongd í húsi)
мезони́н	mkvisturмсогл-ar(á húsum)
мезотерапи́я	fmesoterapiж0-irспец.
мезофи́льный	stfмезофи́|лен, ~льна, ~льно, ~льныadj biol.mesofilur [-ˈfiː-]соглбиол., спец.
мейде́й	m síмэйдэ́й
мейка́п	[мэ-]mmake-up {makeup} [mεikˈɔʰpː]с0о{0<>i}
мейл	[мэ-]mjarg.telduposturмсогл-ar, mail [mεil]с0о{0<>i], e-mail [iːmεil]с0о {0<>i}; посла́тьчто-л.по ме́йлу sendao-tvið telduposti, sendao-tvið mail; посла́тьчто-л.ме́йлом sendao-tsum teldupost, sendao-tsum mail
мейнстри́м	[мэ-]mhøvuðsrákс0о;(serl. innan fyri list o.tíl.). mainstream [mεinstriːm]ннкс нескл. публ.
ме́йнстрим	[мэ́-]msíмейнстри́м
ме́канье	n tlm.jarmanж0-ir, jarmс0о
ме́кать	ipf(pfме́кнутьме́кн|у, ~ешь, ~ут)tlm.1.(об овцах,козах) jarmaaði2.(говорить неясно) balla [-tla]aði, bulla [-tla]aði
Ме́кка	f1.(город) Mekkaм нескл.(býur)2.fl.,bókl.(центр чего-л.) Mekkaс нескл.
ме́кнуть	pf síме́кать
Меко́нг	mMekong [-Ꞌkʰɔŋk]ж нескл.
Ме́ксика	fMexico {Meksiko} [mεʰksikʰoː]с нескл.
мексика́нец	Gen, Accмексика́нц|а; plur~ы, ~ев, ~амmmexikanari {meksikanari} [mεʰksiꞋkʰaː-]мгл-ari
мексика́нка;	plur~мексика́н|ки, ~ок, ~камfmexikanari {meksikanari} [mεʰksiꞋkʰaː-]мгл-ari(konufólk)
мексика́нский	adjmexikanskur {meksikanskur} [mεʰksiꞋkʰaː-]соглnsk
Мексика́нский зали́в	Mexikanski [mεʰksiꞋkʰaː-]ннкgolfurinмсогл-arопр.проф., Meksikoflógviлп
мел	Genме́ла, ме́лу,Prpо ме́ле, в мелу́mkritс0о; kálkс0о(для побелки); бели́ть потоло́к ме́лом hvítta loftið; бе́лый, как мел kritahvítur
мёл	m pret avмести́
мел...	1.мелю́, ме́лешьo.s.fr. pres avмоло́ть2.мела́o.s.fr. pret avмести́3.мели́, мели́теimper avмоло́ть
меланези́ец	Gen, Accмеланези́йц|а; plur~ы, ~ев, ~амmmelanesiari [-Ꞌneː-]мгл-ari
меланези́йка	plurмеланез|и́йки, ~и́ек, ~и́йкамfmelanesiari [-Ꞌneː-]мгл-ari(konufólk)
меланези́йский	adjmelanesiskur [-Ꞌneː-]соглsk
Мелане́зия	fMelanesien [-Ꞌneː-]ннкс0{дат.0}, Melanesia [-Ꞌneː-]нпс нескл.
мела́нж	m1.fakm.(пряж) melange [meꞋlaŋ̊ʃ]с0о(tógv)2.(яичница) eggjakakaжгл-a
мела́нжевый	adjmelange- [meꞋlaŋ̊ʃ-]
меланхо́лик	mtunglynt fólkс0о, melankolikari [-Ꞌkʰoː-]ннкмгл-ari
меланхоли́ческий	adjtunglyndurсогл, melankolskur [-Ꞌkʰoː-]ннксоглsk
меланхоли́чный	stfмеланхоли́чен, меланхоли́чн|а,~ о, ~ыadj síмеланхоли́ческий
