Р	рентге́н röntgen {røntgen} [rœŋ̊kɪn]
разде́лать	pf(ipfразде́лывать)1.Acc(обработать) virkaaðiВин; flensaaðio-n(больших китов); разде́лать креве́ток pilkaaðirækjur; разде́лать селёдку kryvjaur(d){y/u}{+}sild; разде́лать ры́бу sløgair(d){+}fisk, reinsaaðifisk; разде́лывать на пласт flekjair(t){e/a}o-n(рыбу,ос. со спины); разде́лать на ту́шку avhøvda [-høtːa]aðiog sløgao-n(о рыбе); разде́лать на филе́ flakaskeraслнa-ó-oo-n; разде́лать гря́дки anleggjaнепрbetннк2.что-л. подо что-л.(отделать) geraнепрo-t(so tað líkist o-m), málaaðio-t(so tað líkist o-m); разде́латьчто-л.под мра́мор marmorera [-Ꞌreː-]aðio-t; áraaðio-t(б.ч. о дереве); разде́лать дверь под дуб eikimálaaðihurð3.Accóvkm.(учинить расправу) smyrjaнепрo-nav (избить кого-л.); gevаслнa-ó-io-mav grovfílini [kɹɔf-] (выругать); skaðaar(d);aðio-t(повредить) =>оре́х@,ту́ша1
разде́латься	pf(ipfразде́лываться)с Ins1.(развязаться) sleppaслнa-u-osær Ꞌ avvið Вин, geraнепрseg Ꞌ leysanvið Дат; kvittaaðivið Вин2. (расправиться) lataслнæ-ó-ao-nfáa Ꞌ av at vita; lønair(t)o-mtað aftur [aʰtː-] (оплатить кому-л. за обиду и др.); я с ним разде́лаюсь hann skal fáa tað afturlønt [aʰtː-]; eg skal nokk orðnaнеформ.hann
разделе́ние	nsundurbýtingж0-ar; разделе́ние труда́ arbeiðsbýtiсгл-i
раздели́тельный	adjskilji-; раздели́тельная черта́ markс0о{a/ø}, markaskjalс0о{a/ø}; раздели́тельный знак markatekn [-tʰεkn]кн.,лингв., skiljitekn [-tʰεkn]ннкпроф.@раздели́тельный сою́зskiljandiглandisambindingarorðлингв.
раздели́ть	разделю́, разде́л|ишь, ~ятpfAsíдели́тьBsíразделя́ть1.Acc(разобщать) skiljaur(d){+}Вин; толпа́ раздели́ла их mannamúgvan skildi tey frá hvørjum øðrum; их разделя́ет про́пасть tað er ein gjógv millum [-tl-] teir; уще́лье раздели́ло го́ры fjøllini [-tl-] vóru skild av einum dali2.(участь,мнение): раздели́тьчьё-л.мне́ние vera samdurсоглvið o-n, vera á einum málivið o-n; раздели́тьчьи-л.взгля́ды havaнепрsomu áskoðan sumo-r; мы разделя́ем ва́ше го́ре vit taka lut í sorg tykkara, vit syrgja saman við tykkum; раздели́тьчью-л.ра́дость gleðastir(d)samanvið o-m; раздели́тьчью-л.судьбу́ veraслнa-ó-efyri somu lagnu sumo-r3.Acc(внести раздоры) loypair(t)split í millum [-tl-]Вин, elvair(d){+}til illstøðu millumВин=>ту́ша1
раздели́ться	разделю́сь, разде́л|ишьсь, ~ятсяpfAsíдели́ться1.-2.Bipfразделя́ться1.(расстаться) skiljastur(d);ur(t){+}2.bert 3. pers brúktur(разойтись во мнениях и др.) ikki vera á einum máli, vera ójavnirсогл{a/ø}мнá máli; мне́ния раздели́лись teir vóru ójavnir á máli; голоса́ раздели́лись ≈ har var ikki semja (atkvøðurnar fóru ymsan veg)
разде́лка	f1.(обработка) virkingж0-ar; разде́лка креве́ток pilkingж0-arav rækjum; разде́лка ры́бы sløgingж0-ar; разде́лка ту́ши stykkingж0-arav krovi; flensingж0-ar(больших китов)2.(отделка): разде́лка под мра́мор marmorering [-Ꞌreː-]ж0-ar; áringж0-ar; разде́лка под дуб eikimálingж0-ar3.skip.(разборка судна) upphøggingж0-ar(av skipi)
разде́лочный	adj1.(кразде́лка 1) reinsi-, skeri-,síразде́лать1; разде́лочный нож kryvjingarknívur2.(кразде́лка 2) ári-, marmorerings-,síразде́лать23.(кразде́лка 3) upphøggingar-
разде́лывать	ipf síразде́лать
разде́лываться	ipf síразде́латься
разде́льно	adv1.(отдельно) hvør sær2.(чётко) skilliga, týðiliga
раздельнопо́лый	adjeinkynjaðurглaður
разде́льный	stfразде́лен, разде́льн|а, ~о, ~ыadj1.(отдельный) sum er fyri seg; разде́льное написа́ние слов skriving av orðum hvør sær, skriving av orðum í tveimum; разде́льное обуче́ние undirvísing fyri gentur og dreingir hvør sær; разде́льная убо́рка heysting í tveimum (sláing og turking-henting og tresking)2.(отчётливый) skilligurглigur, týðiligurглigur=>сбор1
разделя́ть	1.síраздели́тьB; их разделя́ет про́пасть tað er ein gjógv ímillum teir [-Ꞌmɪtl-]; мы разделя́ем ва́ше го́ре vit taka lut í sorg tykkara, vit syrgjair(d){+}saman við tykkum2.síдели́ть1@разделя́й и вла́ствуй!být sundur og ráð! (иногда цитируется по-латыниdivide et impera)
разделя́ться	ipf1.síраздели́тьсяA2.síдели́ться1
раздер...	1.раздеру́o.s.fr. fut avразодра́ть2.раздеру́сьo.s.fr. fut avразодра́ться3.раздери́, раздери́теimper avразодра́ть4.раздери́сь, раздери́тесьimper avразодра́ться
раздёргивать	ipf síраздёрнуть
раздёрнуть	раздёрн|у, ~ешь, ~утpf(ipfраздёргивать) что-л. tlm. dragaслнo-ó-io-tfrá, koyrair(d)o-tfrá (við at rykkja, skrykkja i tað) (раздвинуть): koyrair(d)o-tsundur, takaслнo-ó-i o-tsundur (við at rykkja, skrykkja i tað) (разнять)
разде́тый	Ipartic avразде́тьIIstfразде́т, ~а, ~о, ~ыadj1.(неодетый) í ongum klæðum, óílatinсоглосн, ikki ílatinсоглосн; úrlatinсоглосн(со снятой одеждой); разде́тый до по́яса nakinсоглоснoman belti2.(без пальто) í ongum frakka3.bert stf(не обеспеченный одеждой) illa [ɪtla] klæddurсогл{æ/ø}
разде́ть	разде́н|у, ~ешь, ~утpf(ipfраздева́ть)кого-л.1.(снять одежду с кого-л.) lataслнæ-ó-ao-nꞋ úr; разде́ть глаза́микого-л.lataслнæ-ó-ao-núr við eygunum2. (помочь кому-л. снять одежду) hjálpa [jɔ-]ir(t){+}o-mat lata seg úr (yvirklæðunum,frakkanum); hjálpa[jɔ-]ir(t){+}o-múr frakkanum3.tlm.(ограбить) stjala [stj-]слнó-o-o{+}klæðiniav o-m(ræna)4.(обобрать) fláaaðio-nнеформ.(taka pengar o.a.), púrgaaðio-n
разде́ться	разде́н|усь, ~ешься, ~утсяpf(ipfраздева́ться)1.(снять с себя одежду) lataслнæ-ó-aseg Ꞌ úr; faraслнó-ó-aúr klæðunum; разде́ться до по́яса lata seg úr oman belti2. (снять пальто) lataслнæ-ó-aseg Ꞌ úr; faraслнó-ó-aúr klæðunum (yvirklæðir)
раздира́ть	ipf1.síразодра́ть2.: раздира́тькому-л.ду́шу {се́рдце} nítaслнei-i-io-mí hjartað [j-], nítaслнei-i-io-mat hjarta(num) [j-]
раздира́ться	ipf síразодра́ться; я раздира́юсь ме́жду ... ≈ eg dragi á bæði
раздира́ющий	Iparticраздира́тьIIadjsum nítur í hjartað [ja-], ønskriligurглigur
раздобре́ть	pf síдобре́ть
раздо́брить	раздо́бр|ю, ~ишь, ~ятpf(ipfразда́бривать)кого-л.blíðkaaðio-n; geraнепрo-ngávumildan (расположить к щедрости)
раздо́бриться	раздо́бр|юсь, ~ишься, ~ятсяpf(ipfразда́бриваться)spott.blíva gávumildurсогл, blíva generøsur [ʃeːnɪꞋrøː-]ннксогл
раздобыва́ть	ipf síраздобы́ть
раздобы́ть	раздобу́д|у, ~ешь, ~ут; imperраздобу́дь(те)pf(ipfраздобыва́ть)Acctlm.fáaслнe-i-ifaturá Дат, skaffaaðiВиннеформ.; fáaслнe-i-iВинtil vega, útvegaaðiВин
раздолба́истый	adj óvkm.(беспечный) tankaleysur [tʰaŋ̊ka-]согл; býttisligurглigur, tollluturсогл(придурковатый); óskettinсоглосн, forsømiligur [-ˈsøː-]ннкглigur(нерадивый)
раздолба́йство	n óvkm.. atf.(нерядивость) ósketniсгл-i, forsømiligheit [-ˈsøː-]ннкж0-ir; óansni сгл-i, gáloysniсгл-i(небрежность); óvandaskapur (разгильдяйство); tankaloysi [tʰaŋ̊ka-]сгл-i(беспечность); óryggiliheit [-rɪ-]ннкж0-ir, óryggjuskapurссогл-ir(беспорядочность)
раздолба́ть	ipf Accóvkm.1.(разбить,разгромить) knúsaar(t)Вин, geraнепрꞋ avvið Вин2.(испортить) oyðileggja [-Ꞌlε-]непрВин; smildraaðiВинsundur (изломать)3.(разругать,раскритиковать) sáplaaðiВинniður, lastaaðiВинí sand og øskuидиом.
раздолби́ть	раздолблю́, раздолб|и́шь, ~я́тpf(ipfразда́лбивать)что-л.tlm.1.(расширить) víðkaaðio-t(við at høgga innanúr o.tíl.)2.(испортить,разрушить) oyðileggja [-Ꞌlε-]непрo-t, brótaслнey-u-oo-tsundur
раздо́лье	plurраздо́лья, раздо́лий, раздо́льямn1.(простор) víddж0-ir(víðlendi o.tíl.)2.fl.(свобода) rásarúmс0о; тебе́ здесь раздо́лье her kanst tú gera, sum tær lystir; ле́том ребя́там раздо́лье um summarið kunnu børnini [-tn-] liva og láta, sum tey sjálvi vilja
раздо́льный	stfраздо́лен, раздо́льн|а, ~о, ~ыadj1.(широко раскувшийся) víðurгл(rúmur), víðlendurсогл(тк о суше)2.(свободный) frælsurсогл, fríurгл; раздо́льная жизнь eitt frítt lív; раздо́льная беготня́ дете́й tað ótálmaða tuskið hjá [tʃʰ-] børnunum [-tn-]
раздо́р	mstríðс0о{0<>i}, klandurс0осн; tvídrátturм0осн-ar,-ir;согл-ir, ósemjaжгл-a; дома́шние раздо́ры innanhýsis klandur@я́блоко раздо́раbókl.trætumálс0о; trætusúrepliсгл-iред.=>се́ять2
раздоса́довать	раздоса́ду|ю, ~ешь, ~ютpf Acctlm.ergraннкaðiВин
раздоса́доваться	раздоса́ду|юсь, ~ешься, ~ютсяpf Acctlm.forsyndast [-Ꞌsɪ-]aði, ergraннкaðiseg
раздра́бливать	ipf síраздроби́ть
раздража́ть	ipf síраздражи́ть
раздража́ться	ipf síраздражи́ться
раздража́ющий	Ipartic avраздража́тьIIadjsum irriterar [-Ꞌtʰeː-]ннк, irriterandi [-Ꞌtʰeː-]ннкглandi; раздража́ющее ОВ irriterandi gass
раздраже́ние	n1.(действие) irritatión [-Ꞌʃɔun]ннкж0-ir, irriterilsi [-Ꞌtʰeː-]ннксгл-i2.(состояние) irritatión [-Ꞌʃɔun]ннкж0-ir3.(участок кожи и т.п.) irritatión [-Ꞌʃɔun]ннкж0-irпроф.
