б	part síбы
безопа́сный	stfбезопа́с|ен, ~на, ~но, ~ныadj1.(не угрожающий опасностью) tryggurсогл, sikkurннксоглосн(vandaleysur,tryggur); безопа́сное ме́сто trygt stað; безопа́сная я́корная стоя́нка {безопа́сное я́корное ме́сто} trygt akkerspláss; на безопа́снном расстоя́нии ivaleysa langt frá, í sikkrumннкavstandi [εav-]ннк; безопа́сный секс trygt sex [sεʰks] , sikkurtннкsex [sεʰks]2.(безвредный) óskaðiligur [-Ꞌskεa-]глigur, sikkurннксоглосн; vandaleysurсогл, ófarligurннкглigur(не опасный); безопа́снное сре́дство óskaðiligt evni, ófarligtннкstoffннк=>бри́тва
безору́жный	stfбезору́ж|ен, ~на, ~но, ~ныadj1.(без оружия) óvápnaðurглaður, vápnaleysurсогл2.fl.(беззащитный) verjuleysurсогл, verndarleysurсоглкн.
безоско́лочный	adjsplintsikkurсоглоснпроф.; безоско́лочное стекло́ splintsikkurt glas
безоснова́тельно	advógrundað, grundleyst [kɹʊnl-]
безоснова́тельный	stfбезоснова́телен, безоснова́тельн|а, ~о, ~ыadjógrundaðurглaður, grundleysur [kɹʊnl-]согл
безостано́вочный	stfбезостано́воч|ен, ~на, ~но, ~ныadjuttan slit, uttan íhald; uttan steðg [stεkː] (без остановки); gjøgnumfarandiглandi(um tok o.a.) (о поезде и т.п.)
безо́стый	adj: безо́стая пшени́ца hveiti við ongari øgn
безотве́тность	fbókl.spaklyndi [spak-]сгл-i, spakføri [spak-]сгл-i
безотве́тный	stfбезотве́т|ен, ~на, ~но, ~ныadj1.(кроткий) spaklyntur [spakl-]согл, spakførur [spakf-]согл, spakligur [spakl-]глigur; у него́ безотве́тный хара́ктер hann er spakligur av lyndi2.(о чувстве) ikki afturløntur [aʰtː-]согл; безотве́тная любо́вь ósvaraðurглaðurкн.kærleiki; kærleiki, sum ikki verður afturløntur3.(не дающий ответа) sum ikki svarar
безотве́тственно	advábyrgdarleyst [-pɪɹt-], andsvarsleyst [an̊s-]ннк, óandsvarligt [-anꞋsva-]ннк, óandsvarliga [-anꞋsva-]ннк; поступа́ть безотвве́тственно bera seg ábyrgdarleyst at, bera seg andsvarsleystннкat, bera seg óandsvarligtннкat, bera seg óandsvarligaннкat
безотве́тственность	fábyrgdarloysi [-pɪɹt-]сгл-i
безотве́тственный	stfбезотве́тствен, ~на, ~но, ~ныadj1.(не несущий ответственности) sum er uttan ábyrgd [-pɪɹt-],sum ikki hevur ábyrgd [-pɪɹt-], sum ikki hevur andsvar [an̊s-]ннк, sum ikki kann ábyrgjastофиц., andsvarsfríur [an̊s-]ннкгл2.(не сознающий ответственности) ábyrgdarleysur [-pɪɹt-]согл, andsvarsleysur [an̊s-]ннксогл, óandsvarligur [-anꞋsva-]ннкглigur
безотгово́рочно	[-шн-]adv síбеспрекосло́вно
безотгово́рочный	[-шн-]adj síбеспрекосло́вный
безотка́зно	adv1.(кбезотка́зный 1) stútt, álítandi; мото́р рабо́тает безотка́знотжmotorurin [-Ꞌtʰoː-] gongur sum smurtнеформ.2.(кбезотка́зный 2) uttan at bera seg undan
безотка́зный	stfбезотка́з|ен, ~на, ~но, ~ныadj1.(происходящий без перебоев) stútturсогл(um motorar o.tíl.); álítandiглandi(надёжный); lýtaleysurсогл(безукоризненный), sikkurннксоглосн(верный)2.tlm.(не отказывающийся от поручения) sum ikki noktaro-meina bøn, sum ikki ber seg undan
безотлага́тельно	advbeinanvegin, alt fyri eitt, umgangandi [-ˈkε-]энкнеформ.
безотлага́тельный	stfбезотлага́телен, безотлага́тельн|а, ~о, ~ыadjátrokandiглandi(sum hevur skund), bráðneyðugurглugur
безотлу́чно	advalla [atla] tíðina, støðugt; она́ находи́лась при больно́м безотлу́чнотжhon veik ikki frá tí sjúka
безотлу́чный	stfбезотлу́ч|ен, ~на, ~но, ~ныadjaltíð hjástaddur [tʃʰ-], sum er allastaðni [atl-]; sum er uttan slit (непрерывный)
безотноси́тельно	advbókl.:безотноси́тельнок Datuttan mun tilВин, sama hvatВин...
безотноси́тельный	stfбезотноси́телен, безотноси́тельн|а, ~о, ~ыadjabsoluttur [aʰpsoꞋlʊ-]интсогл, ikki relativurинтсогл, algildurлпсогл
безотра́дность	fbókl.ógleðiжгл-iкн., tristheitннкж0-ir
безотра́дный	stfбезотра́д|ен, ~на, ~но, ~ныadjgleðileysurсогл; tristurннксогл; dapurсогл{a/ø}(мрачный); troystarleysurсогл; безотра́дный пейза́ж eitt troystarleyst landslag; безотра́дные перспекти́вы døpur útlit
безотцо́вщина	f1.tlm.(отсутствие отца) tað at vera faðirleysur2.óvkm., atf.(ребёнок без отца) faðirloysingurмсогл-ar
безотчётно	adv1.(помимо воли) av sær sjálvum; óavvitandi (бессознательно); uttan at vita (tað) (невольно); instinktivt (инстинктивно)2.(без контроля) uttan eftirlit [εʰtː-]
безотчётность	f1.(бессознательность) tað at vera ómedvitandi; tað at vera instinktivur (инстинктивность)2.(отсутствие контроля) manglandi [-aŋk-]ннкeftirlit [εʰtː-]с0о, tvørrandi eftirlit [εʰtː-]с0о
безотчётный	stfбезотчёт|ен, ~на, ~но, ~ныadj1.(бессознательный) ómedvitandiглandi, ótilvitandiглandiкн.; instinktivurсогл(инстинктивный)2.(бесконтрольный) ókontrolleraður [-oleː-]ннк, sum ikki er undir eftirliti [εʰtː-]
безоши́бочность	f(правильность) rættleikiнпмгл-i; noyaktigheit [-Ꞌa-]ннкж-ir, neyvleikiнпмгл-i(точность)
безоши́бочный	stfбезоши́боч|ен, ~на, ~но, ~ныadj1.bert lf(не совершающий ошибок) sum ikki tekur feil, sum ikki ger mistøk2.(не содержащий ошибок) feilfríurннкгл; beinurсогл(rættur), rætturсогл{æ/ø}, korrektur [-Ꞌrε-]ннксогл(правильный) ; noyaktigur [-Ꞌa-]ннкглigur, neyvurсогл(точный); безоши́бочный расчёт røtt útrokning, feilfríннкútrokning; безоши́бочная дога́дка røtt giting
безрабо́тица	farbeiðsloysiсгл-i
безрабо́тный	IadjarbeiðsleysurсоглIImarbeiðsleyst fólkс0о
безра́достный	stfбезра́дост|ен, ~на, ~но, ~ныadjgleðileysurсогл
безразде́льно	adv1.(неограниченно) óskert; безразде́льно госпо́дствоватьнад Inshava óskert yvirvaldyvir Дат2.(беззаветно) heilhugað, av fullum [-tl-] huga, av heilum huga
безразде́льный	stfбезразде́лен, безразде́льн|о, ~а, ~ыadjbókl.1.(не разделённый) óbýtturсогл; безразде́льное госпо́дствонад Insóskert yvirvaldyvir Дат2.(беззаветный) heilhugaðurглaður
безразли́чие	n(к Dat - móti Дат) líkasælaжгл-a
безразли́чно	Iadvvið líkasælu, líkasælt; безразли́чно относи́тьсяк Datvera líkaglaðurvið Дат, ikki leggja lagí ВинII 1.stf avбезразли́чный2.predtað ger tað sama, tað ger ongan mun; ей бы́ло безразли́чно henni gjørdi tað tað sama, tað gjørdi henni ongan mun, hon var líkaglað, líka legði [lεijɪ] hon í; э́то безразли́чно tað er líka mikið, tað ger tað sama, sama ger; tað liggur vertin áпренебр., tað liggur sektin áпренебр.; всё ей ста́ло безразли́чно hon legði [lεijɪ] einki í nakað, tað gjørdi henni alt tað sama@безразли́чно ктоsama hvør; hvør tað so er ; líka mikið hvør; безразли́чно где sama hvar; hvar tað so er; líka mikið hvar
безразли́чный	stfбезразли́ч|ен, ~на, ~но, ~ныadj(безучастный) (к Dat) líkaglaðurгл{+}(við Дат); líkasælurнпсогл; безразли́чный тон líkasælurнпtóni; он был безразли́чен ко всему́ honum gjørdi alt tað sama, hann legði [lεijɪ] ikki lag í nakað, hann brýggjaði seg ikki um nakað
безразме́рный	stfбезразме́р|ен, ~на, ~но, ~ноadjtlm.toyggiligurглigur, sum kan strekkjast, elastiskur [-Ꞌla-]ннксоглsk(um tilfar)
безрассу́дно	Istf avбезрассу́дныйIIadvóumhugsað, ótonkt; óskynsamt
безрассу́дный	stfбезрассу́д|ен, ~на, ~но, ~ныadjskilaleysurсогл; forsinсоглосн(отчаянный); busuturсогл(опрометчивый); óskynsamurсогл{a/o}кн., óhygginсоглоснкн., tankaleysur [-aŋ̊k-]согл(неблагоразумный); безрассу́дный посту́пок skilaleys gerð, óráðс0омн; безрассу́дная сме́лостьтжovurdirvi
безрассу́дство	n1.(отсутствие здравого смысла) skilaloysiсгл-i; óskynsemiсгл-i;жгл-iкн., óhyggjaжгл-aкн.(неблагоразумие),sbr.безрассу́дный2.(поступок) óráðс0омн; óðamannaverkс0о(безумное дело,рискованное дело); бы́ло бы безрассу́дством (предложи́тьo. tíl.) tað hevði [hεijɪ] verið býtt (at skotið uppи т.п.)
безрезульта́тно	advúrslitaleyst [ʏʂ-] (реже[ʉuɹ-]), við ongum úrsliti [ʏʂ-] (реже[ʉuɹ-]), resultatleyst [-Ꞌtʰaː-]ннк; til fánýtis (напрасно)
безрезульта́тный	stfбезрезульта́т|ен, ~на, ~но, ~ныadjúrslitaleysur [ʏʂ-] (реже[ʉuɹ-]) , við ongum úrsliti [ʏʂ-] (реже[ʉuɹ-]), resultatleysur [-Ꞌtʰaː-]ннк; sum er til fánýtis (напрасный)
безре́льсовый	adjuttan skinnarar (um flutning o.a.,sum ikki er við jarnbreyt)
безро́гий	adjkollutur [-tl-]согл(við ongum hornum)
безро́дный	stfбезро́д|ен, ~на, ~но, ~ныadj1.(не имеющих родных) sum ikki eigur skyldfólk [ʃɪl̥f-], sum ikki eigur ættfólk, sum ikki eigur næstingar, frændaleysurсоглкн., ættarleysurсоглред.; он безро́дныйтжhann eigur ongan góðan2.(утративший связь со своим народом) uttan føðiland; uttan samband við fólkið3.gml.(неродовитый) ikki av aðalsætt, ikki háborinсоглосн
безро́потно	advundirgivið; uttan at muta ímóti [-Ꞌmɔu-] (без возражений)
безро́потный	stfбезро́пот|ен, ~на, ~но, ~ныadj(покорный) sum gevur seg undir, undirgivinсоглосн; sum ikki mutar ímóti [-Ꞌmɔu-] (не возражающий)
безрука́вка	plurбезрука́в|ки, ~ок, ~камftroyggjaжгл-avið ongum ermum, pullover [pʰʊlːoːvεɹ]м0-ar, pullovariмгл-ari; vesturмсолг-ar(plagg við ongum ermum og knappum)
безру́кий	stfбезру́к, ~а, ~о, ~иadj1.(без рук) við ongum ørmum; við ongum hondum (без кистей); einarmaðurглaður(однорукий); við einari hond, einhenturсогл(без кисти)2.(неловкий) klossuturсогл, klombruturсогл; handaleysurсогл, óhandaligur [-Ꞌha-]глigur(неумелый в работе)
безры́бье	nfiskaloysiсгл-i@на безры́бье и рак ры́баorðt.≈ mangt er í neyðini brúktпог.
безубы́точный	stfбезубы́точ|ен, ~на, ~но, ~ныadjsum stendur seg; sum stendur upp og niður; sum gongur runtнеформ.(fíggjarliga); безубы́точное предприя́тие fyritøka, sum stendur seg; fyritøka, sum gongur runtнефомр.
