Л	talvладья́ R, rókur
лечь	ля́гу, ля́жешь, ля́гут; pretлёг, легл|а́, ~о́, ~и́; imperля́г, ля́гтеpf(ipfложи́тьсялож|у́сь, ~и́шься, ~а́тся)1.(принять лежачее положение) leggjaнепрseg (niður), leggjastнепр; лечь на дива́н leggja seg á divanina [-Ꞌvaː-]; лечь на спи́ну leggja seg á ryggin; лечь на бортskip.leggjast á liðina; лечь на грунтskip.takaслнa-ó-iꞋ botn2.(расположиться спать) faraслнó-ó-aí song (leggjast at sova); leggjastнепр, leggjaнепрseg at sova; faraслнó-ó-aniðurуст.; tørnaaðiꞋ innб.ч.мор.,тжшутл.,неформ.; лечь спать fara í song, leggjast (at sova); де́ти уже́ легли́ børnini [-tn-] er longu farin í song; børnini [-tn-] eru longu løgst3.: лечь в больни́цу faraслнó-ó-aá sjúkrahúsið, verða innlagdurсогл{a/ø}; лечь на опера́цию leggja seg undir skurðнп4.skip., flog.:лечь на курс leggjaнепрseg á eina kós5.bert 3. pers brúktur(распространяться,покрыть) leggjastнепр(um kava,mjørka o.a.); на по́ле лёг тума́н mjørki seig niður yvir akurin; mjørki legðist [lεi-] á akurin6.: на неё легла́ отве́тственностьза Acchon hevur fingið ábyrgdina [-pɪɹt-]fyri Вин@лечь костьми́a) (умереть) falla [-tla]слнa-u-a(láta lív), liggjaслнá-ó-ieftirá [εʰtːɪɹꞋɔa]; falla [-tla]слнa-u-aá valiвысок.; b)skemt.(стараться) kýtair(t)seg, leggjaнепрꞋ nógv fyri =>дрейф2,заса́да,осно́ва@
ле́ший	mmyt.skógarskrímslс0о, skógarpúkiмгл-i(í russiskari mytologi)@како́го ле́шего...?illb.hvat fanin...?; hvat fjandin ...?бран.;ле́ший его́ зна́ет!illb.fanin viti!бран.;ну тебя́ к ле́шему!illb.far at [ɔa] fananum til við tær!бран.; far at [ɔa] fjandanum til við tær!бран.; иди́ ты к ле́шему!illb.far at [ɔa] fananum til við tær!бран.; far at [ɔa] fjandanum til við tær!бран.
лещ	Gen, Accлещ|а́;plur~и́, ~е́й, ~а́мm1.djór.(пресноводная рыба) (Abramis brama)fiskur av karpuslag(en.common bream; da.brasen)2.djór.(морская рыба): атланти́ческий морско́й лещ (Brama rai) bramafiskur [pɹaː-]мсогл-ar@дать {отве́сить} леща́кому-л.óvkm.gevao-mein frammaná [-Ꞌɔa], gevao-mein kjaftfisk [tʃaffɪ-]грубо, gevao-mein bakkaloara [-Ꞌloː-]неформ.
лещи́на	f síоре́шник
ле́я	fleu [lεu]м0-ar{дат.0}(gjaldoyra í Rumenia)
лж...	лжёшь, лжётpres avлгать
лже...	í samansfals-, falskurсоглsk{a/ø}, rang-, rangurсогл{a/o}, pseudo- [sœuto-]инт; lygi-
лжедемокра́тия	ffalskt [fal̥st] demokrati [-Ꞌtʰiː], pseudodemokrati [sœuto-]инт
лженау́ка	fpseudovísindi [sœuto-]интсгл-iмн, vísindiсгл-iмнav navni
лженау́чный	adjpseudovísindaligur [sœuto-]интглigur, vísindaligurглigurav navni
лжеприся́га	frangur eiðurмсогл-ir
лжепроро́к	mfalskur profetur [-Ꞌfeː-]мсогл-ar, svikaprofeturмсогл-arбибл., lygiprofeturмсогл-arбибл.
лжесвиде́тель	mfalskt [fal̥st] vitniсгл-i, falsvitniсгл-iкн., lygivitniсгл-iбибл.
лжесвиде́тельство	nfalskur vitnisburðurмсогл-ir
лжесвиде́тельствовать	лжесвиде́тельству|ю, ~ешь, ~ютipfvitnaaðifalskt [fal̥st]
лжеуче́ние	nfølsk læraжгл-a, rong læraжгл-a
лжец	Gen, Accлжец|а́; plur~ы́, ~о́в, ~а́мmlygnariмгл-ari, lygivættiсгл-i
лжи	Gen, Dat, Prp avложь
лжи́вость	f1.(склонность к обману) lygnaktigheit [-Ꞌa-]ннкж0-ir; falskheitннкж0-ir(неискренность)2.(ложность) ósannindiсгл-iмн
лжи́вый	stfлжив, ~а, ~о, ~ыadj1.(склонный к обману) ósannurсогл{a/o}; falskurсоглsk{a/ø}(неискренний)2. (ложный) ósannurсогл{a/o}; falskurсоглsk{a/ø}
ли	Ipart interrog передаётся вопросительной конструкциейпридёт ли он за́втра? kemur hann í morgin?; man hann fara at koma í morgin?; придёшь ли ты за́втра? kemur tú í morgin?; пришёл ли он? er hann komin?; man hann vera komin?; здоро́в ли он? er hann frískur?; возмо́жно ли? ber tað til?; man tað bera til?; не пойти́ ли нам... skulu vit ikki fara...; skuldu vit ikki farið ...; не пойдём ли мы? skulu vit ikki fara...; skuldu vit ikki farið ...; не пока́жете ли вы мне, как пройти́ к магази́ну? høvdu [hœtːʊ] tygum viljað gjørt so væl at víst mær vegin til handilin?; ikki høvdu [hœtːʊ] tygum viljað gjørt so væl at víst mær vegin til handilin?IIconjum; не зна́ю, придёт ли он eg veit ikki, um hann kemur; я не зна́ю, пришёл ли он eg veit ikki, um hann er komin; я не знал, пришёл ли он eg visti ikki, um hann var komin; я не зна́л, придёт ли он eg visti ikki, um hann kom; eg visti ikki, um hann fór at koma; я бою́сь, по мои́м ли си́лам eg ivist eitt sindur í, um eg eri mentur at gera tað@ли ... ли ...um ... ella [εtla]; .... ella [εtla];ой ли?tlm.neyvan =>многоI 5,тоII 2
лиа́на	flian [-Ꞌaːn]ж0-ir
Либа́ва	m indecl.søg.Libau [liːpau]м нескл.ист.,síЛие́пая
либера́л	m1.(сторонник либерализма1) liberalur [-Ꞌraː-]мприл(o-r,ið tekur undir við liberalismu ella er limur av liberalum flokki)2.(либеральничающий)o-r, sum er ov eftirlátligur [εʰtː-]глigur;o-r, sum er ov lagaligurглigur; liberalur [-Ꞌraː-]мприл
либера́л-демокра́т	m1.(член партии либерально-демократического типа) liberaldemokratur [liːpɪˈraːlteːmokʰɹa-]мсогл-ar2.(член ЛДПР)limur í tí russ. pol. flokkinum Либерально-демократическая партия России (ЛДПР))
либерализа́ция	fliberalisering [-raːliꞋseː-]ж0-ar
либерализи́ровать	либерализи́ру|ю, ~ешь, ~ютipf/pf что-л. bókl.liberalisera [-raːliˈseː-]aðio-t
либерали́зм	m1.polit., búskp.(политическое,идеологическое течение) liberalisma [-Ꞌlɪ-]жгл-a2.(попустительство) (ov stórt) eftirlæti [εʰtː-]сгл-i, (ov stór) lagaligheitж0-ir
либерализова́ть	либерализу́|ю, ~ешь, ~ютipf/pf что-л. bókl.liberalisera [-raːliꞋseː-]aðio-t
либера́льничать	ipf с кем-л.tlm.vera ov [o], [ɔ] lagaligurглigurvið o-n
либера́льность	f(ov stórt) eftirlæti [εʰtː-]сгл-i, (ov stór) lagaligheitж0-ir, liberalitetur [-raːliꞋtʰeː-]мсогл-s,-ir
либера́льный	stfлибера́лен, либера́льн|а, ~о, ~ыadj1.bert lfpolit.,búsk.(относящийся к либерализму1) liberalur [-Ꞌraː-]согл2.(слишком терпимый) ov eftirlátin [εʰtː-]соглосн, ov lagaligurглigur; ov liberalur [-Ꞌraː-]согл
либера́льно-демократи́ческий	adjliberaldemokratiskur [liːpɪˈraːlteːmokʰɹaː-]соглsk
либери́ец	Gen, Accлибери́йц|а;plur~ы, ~ев, ~амmliberiari [-Ꞌpeː-]мгл-ari
либери́йский	adjliberiskur [-Ꞌpeː-]соглsk
Либе́рия	fLiberia [-Ꞌpeː-]с нескл.
либи́до	n indecl(kynslig) girndж0-ir, greðiжгл-iвульг., gessurмсогл-arвульг-; libido [liːpito]с0гл(-inum)спец.
ли́бо	disella [εtla]; ли́бо ... ли́бо ... antin ... ella ...
либретти́ст	mlibrettistur [-Ꞌtʰɪ-]мсогл-ar, høvundurмсогл-arat libretto [-Ꞌpɹε-]
либре́тто	n indecllibretto [-Ꞌpɹε-]ж0-ir
Лива́н	mLibanonс0{дат.0}
лива́нец	Gen, Accлива́нц|а; plur~ы, ~ев, ~амmlibanesari [-Ꞌneː-]мгл-ari
лива́нка	plurлива́н|ки, ~ок, ~камflibanesari [-Ꞌneː-]мгл-ari(konufólk)
лива́нский	adjlibanesiskur [-Ꞌneː-]соглsk
ли́вень	Genли́вн|я; plur~и, ~ей, ~ямm1.(проливной дождь) oysregnс0о, áarføriсгл-i(nógv regn), glopraregnс0о, grimdarregnс0о; (regn)ælс0о(кратковременный сильный дождь); stoytingurмсогл-ar, (regn)skúrurмсогл-ar(кратковременный очень сильный дождь)2.fl.(большое количество) regnс0о; ли́вень пуль kúluregn
ли́вер	minnvølurмсогл-a,-ir(sum matur), slamburс0осн(потроха овцы,кишки,желудок,почки и др.); вы́нуть вну́тренности taka innvølin úr; sløgair(d){+}(у рыбы)
ли́верный	adj: ли́верная колбаса́pylsa úr ym. imvøum(síли́вер)
Ли́верпул	mLiverpool [lɪvːεɹpʰuːl]м0{дат.0}
Ливерпу́ль	m síЛи́верпул
ливи́ец	Gen, Accливи́йц|а; plur~ы, ~ев, ~амmlibyari [liːpiaɹɪ]мгл-ari
ливи́йский	adjlibyskur [liːpɪsk-]соглsk
Ли́вия	fLibya [liːpia]с нескл., Libyen [liːpi-]ннкс0{дат0}
ливмя́	advtlm.:дождь ливмя́ льёт tað oysir niður
ли́вневый	adjæla-, regn-; ли́вневый дождь (regn)ælс0о; groft ælс0о, (regn)skúrurмсогл-ar(сильный дождь)
ливре́йный	adjlivré- [-Ꞌreː-]; ливре́йный лаке́й livrétænari [-Ꞌreː-]
ливре́я	flivré- [-Ꞌreː-]с0о
ли́га	f1.(союз) sambandс0о{a/o}, samgongaжгл-a, liga [liːka]жгл-a(;0-ir); Ли́га На́цийsøg.Fólkasambandiðист.2.ítr.(группа команд) deildж0-ir, división [-Ꞌʃɔun]ннкж0-irпроф.=>ЛАГ,ЛАС
лигату́ра	f1.kem.(примесь) legering [-Ꞌkeː-]ж0-ar(av gulli el. silvuri og øðrum metalli)2.lækn.(перевязка) undirbindingж0-ar3.mál.(знак) ligaturur [liːkaꞋtʰuːɹ]мсогл-ar, samanskrivað tekn [tʰεkn]с0о
лигни́н	mkem.lignin [-Ꞌniːn]с0о({0<>i})
лигни́т	mbrúnkolс0о, lignitt [-Ꞌnɪʰtː]с0о({0<>i})проф.
Лигури́йское мо́ре	Liguriska [-Ꞌkuː-] haviðс0о{a/ø}опр., Liguriahav [-Ꞌkuː-]лпс0о{a/ø}
лида́р	mlidarм0-ar
ли́дер	m1.(глава) leiðariмгл-ari, oddamaðurмнепр2.ítr.(спортсмен) ítróttarfólkс0оá odda (í kapping); oddaliðс0о(команда)3.(о занимающем первенствующее положение в какой л. сфере)o-r, sum liggur á odda; oddamaðurмнепр(человек); oddafyritøkaжгл-a(предприятие)4.herm.(военный корабль)oddaskipс0о
ли́дер-гита́ра	flead guitar [liːtkɪʰtː-] ж0-arмуз.
ли́дер-гитари́ст	mlead guitaristur [liːtkɪʰtːarɪ-]мсогл-ar
ли́дерство	n1. (руководство)leiðslaжгл-a2. ítr. (в соревнованиях)oddastøðaжгл-a, leiðslaжгл-aспорт.
лиди́ровать	лиди́ру|ю, ~ешь, ~ютipfveraслнa-ó-eá odda, leiðair(d)(í kapping)
Лие́пая	f indeclLiepaja [liːepʰaija]м нескл.(inntil 1917Либа́ва)
лиж ...	лижу́,ли́жешьo.s.fr.síлиза́ть
лиза́ть	лижу́, ли́ж|ешь, ~утipf(momentлизну́тьлизн|у́, ~ёшь, ~у́т)Accsleikjair(t)o-t(неживое), sleikjair(t)o-m(живое), slikkaннкaðio-t(неживое), slikkaннкaðio-m(живое)@лиза́ть пя́ткикому-л.tlm.,vanv.krúpaслнey-u-ofyri o-m
лиза́ться	лижу́сь, ли́ж|ешься, ~утсяipf1.(лизать себя) sleikjair(t)sær, slikkaннккaðisær2. (лизать друг друга) sleikjair(t)hvør ˈ øðrumкн.{hvørjum ˈ øðrum}, slikkaннккaðihvørjumˈ øðrum3.tlm., niðr. (целоваться) mussastaði
