З	за́пад V, vestur
заволо́чь	заволоку́, заволочёт, заволоку́т;pretзаволо́к, заволокл|а́,~о́, ~и́pf(ipfзавола́кивать)1.bert 3. pers brúkturчто-л.(закрыть, застлать) hyljaur(d){y/u}o-t; не́бо заволокло́ ту́чамиóphann skýggjaðiaðiluftina, hann settiur(t);ir(t)skýggj á luftina, hann bøklaðiaðiluftina; tað er samdrigið (пасмурно); ту́ча заволокла́ со́лнце skýggj dróслнó-ó-ifyri sólina; глаза́ заволокло́ слеза́миópeyguni fyltustir(t)við tárum2.что-л. óvkm.(затащить) dragaслнó-ó-io-t, sleipaaðio-t, dragsa  [tɹasːa]aðio-t, toga [tʰuːwa] (редко[tʰoːa])aðio-t
заволо́чься	заволочётся, заволоку́тся;pretзаволо́кся, заволокл|а́сь, ~ло́сь, ~ли́сьpf(ipfзавола́киваться) (чем-л.) verða huldurсогл(av o-m, í o-m); заволо́чься ды́мом verða huldur í royki; заволо́чься тума́ном verða køvdurсоглav í mjørka; не́бо заволокло́сь hann skýggjaðiaðiluftina, hann settiur(t);ir(t)skýggj á luftina, hann bøklaðiaðiluftina; глаза́ заволокли́сь слеза́ми eyguni fyltustir(t)við tárum
завопи́ть	завоплю́, завоп|и́шь, ~я́тpftlm.faraслнó-ó-aat geyla, begynna [-Ꞌtʃɪ-]ннкir(t)at geyla, byrjaaðiat geyla; faraслнó-ó-aat skríggja, byrjaaðiat skríggja, begynna [-Ꞌtʃɪ-]ннкir(t)at skríggja; skeraслнa-ó-oí róp
завора́живать	ipf síзаворожи́ть
завора́чивать	ipf1.síзаверну́ть2.чем-л.óvkm.(заправлять) faraслнó-ó-aviðo-m, sum einum lystir
завора́чиваться	ipf síзаверну́ться
заворожи́ть	заворож|у́, ~и́шь, ~а́тpf(ipfзавора́живать)Acc1.(окалдовать ворожбой) gandaaðiВин; стоя́ть как заворожённый vera hamskiftur [ham-], [han-]согл(sum runnin í stein)2.fl.(очаровать) rúnabindaслнa-u-uкн. Вин, bergtakaслнó-ó-iВин
за́ворот	m:за́ворот кишо́к tarmslyng [-slʏŋk]ннкс0о, tarmakastлпс0о{a/ø}
заворо́т	mtlm.1.(действие) svingннкс0осде́лать заворо́т geraнепрeitt svingннк, sneiðair(d)2.(изгиб) sneiðingж0-ar(á vegi), svingннкс0о(á vegi)
завороти́ть	заворочу́, заворо́т|ишь, ~ятpf1.síзавора́чивать2.síзаверну́ть
заворо́чаться	pffaraслнó-ó-aat kvaklast, faraслнó-ó-aat røra upp á seg,síворо́чаться
заворо́шка	plurзаворо́ш|ки, ~ек, ~камfóvkm.fløkjaжгл-a, hurlivasiмгл-i
заворча́ть	заворч|у́, ~ишь, ~а́тpf1.(о собаках и др.) faraслнó-ó-aat knurra, begynna [-Ꞌtʃɪ-]ннкir(t)at knurra, byrjaaðiat knurra (hundar o.tíl.)2.(о людяк) faraслнó-ó-aat knarra, begynna [-Ꞌtʃɪ-]ннкir(t)at knarra, byrjaaðiat knarra, faraслнó-ó-aat mjarra, begynna [-Ꞌtʃɪ-]ннкir(t)at mjarra, byrjaaðiat mjarra
завра́ться	завр|у́сь, ~ёшься, ~у́тся;pretзавра́лся, заврала́сьogзавра́лась, заврало́сьogзавра́лось, завра́лисьogзарвали́сьpf(ipfзавира́ться)tlm.lúgvaслнey-u-oilla [ɪtla]; он соверше́нно завра́лся hann lýgur, so langur hann erидиом.
завсегда́	advóvkm.síвсегда́
завсегда́тай	mfasturсогл{a/ø}gesturмсогл-s,-ir, tíðurглgesturмсогл-s,-ir; fasturсогл{a/ø}fúsurмсогл-ir(в доме и т.п.); stammgesturннкмсогл-s,-ir(в кафе и т.п.)
за́втра	Iadví morgin; за́втра у́тром í morgin ári; за́втра днём í morgin; за́втра ве́чером í annaðkvøldIIn indeclmorgindagur(in)мсогл-ar{a/e/ø}, dagurinмсогл-ar{a/e/ø}í morgin (будущее); (подожда́ть) до за́втра (bíða) til í morgin; уро́ки на за́втра skúlating til í morgin; что принесёт нам за́втра? hvat fer dagurin í morgin at bera okkum?; hvat fer morgindagurin at bera okkum?; не ду́мать о за́втра ikki hugsaaðium morgindagin; lataслнæ-ó-ahvønn dag hava nóg mikið í síni pláguпог.@до за́втра!vit síggjast í morgin!;не сего́дня {не ны́нче} - за́втраí næstum, fyrsta [fɪst-] dagin
за́втрак	m1.(утренняя еда) morgundrekkaсгл-a; morgunmaturмсогл-ir, frokostннкж0-irспец, frokosturннкмсогл-arспец.(еда с бутербродами и др. в полдень,тж ланч); døgurði [tøːvɹɪ] (еда с горячим блюдом и др.); что у нас на за́втрак? hvat fáa vit til morgundrekka, hvat fáa vit til morgunmat; за за́втраком við morgundrekkað; við morgunmatarborðið; второ́й за́втрак morgunmatur, frokostннк; ра́нний за́втрак morgunmatur; дать за́втрак в честького-л.havaнепрmorgunmat til (heiðurs) fyrio-m2.(еда с собой) matpakkiмгл-i@корми́ть за́втракамиtlm.,atf.gevaслнa-ó-itóm lyftir; ≈ lova runt, men halda tuntпог.
за́втракать	ipf(pfпоза́втракать) fáaслнe-i-især morgundrekka; etaслнá-ó-emorgunmat; etaслнá-ó-edøgurða [tøːvɹa],síза́втрак1
за́втрашний	adjsum verður í morgin; за́втрашний день dagurin í morgin, morgindagurin; framtíðж0-ir(будущее); с за́втрашнего дня frá í morgin; за́втрашнее собра́ние fundurin í morgin@не забо́титься о за́втрашнем днеikki hugsa um morgindagin, lata hvønn dag hava nóg mikið í síni pláguпог.
завуали́рованный	Ipartic avзавуали́роватьIIstfзавуали́рован, ~на, ~но, ~ныadjkámurсогл, ógreiðurгл
завуали́ровать	pf síвуали́ровать
завулканизи́ровать	ipf síвулканизи́ровать
за́вуч	mtlm.заве́дующий уче́бной ча́стью undirvísingarleiðariмгл-ari(á skúla,undirvísingarstovni)
завхо́з	mtlm.заве́дующий хозя́йством umsjónarmaðurмнепр(sum hevur umsjón við bygningi o.ø.); skúlatænariмгл-ari, pedellur [-Ꞌtεlː-]ннкмсогл-ar(в школе); húsavørðurмсогл-ir{ø/a}(в учреждениях,клубах,школах и т.д.)
завши́веть	ipfóvkm.verða fongdurсоглvið lýs, fáaслнe-i-ilýs
завыва́ние	nýlс0о
завыва́ть	ipfýlair(d)
завы́сить	завы́шу, завы́си|шь, ~ятpf(ipfзавыша́ть)что-л.setaur(t);ir(t)o-tov [oː] høgt, setaur(t);ir(t)o-tfor [fɔɹː]ннкhøgt; ætlaaðiov [oː] høgtum o-t, ætlaaðiov {for [fɔɹː]ннк} høgtum o-t; завы́сить отме́тку gevaслнa-ó-iforннкhøgan karakter [kʰaːɹaʰkꞋtʰeːɹ]ннк, gevaслнa-ó-iov høgt próvtalнп; завы́сить расхо́ды setaur(t);ir(t)útreiðslurnar ov høgt; завы́сить це́ны skrúvaaðiprísirnar upp, trýstair(t)prísirnar upp
завы́ть	заво́|ю, ~ешь, ~ютpfskeraсоглa-ó-oí ýl, skeraсоглa-ó-oí geyl, skeraсоглa-ó-oí brøl; faraслнó-ó-aat ýla, begynna [-Ꞌtʃɪ-]ннкir(t)at ýla , byrjaaðiat ýla; faraслнó-ó-aat geyla, begynna [-Ꞌtʃɪ-]ннкir(t)at geyla, byrjaaðiat geyla; faraслнó-ó-aat brøla, begynna [-Ꞌtʃɪ-]ннкir(t)at brøla, byrjaaðiat brøla,sbr.выть
завыша́ть	ipf síзавы́сить
завыше́ние	ntað at setao-tov [oː] høgt, tað at setao-tfor [fɔɹː]ннкhøgt; tað at ætla ov [oː] høgtum o-t, tað at ætla for [fɔɹː]ннкhøgtum o-t
завы́шенный	Ipartic avзавы́ситьIIadjov høgurгл, for [fɔɹː]ннкhøgurгл, ov høgt settur, for [fɔɹː]ннкhøgt settur; uppskrúvaðurглaður(um prís) (о цене)
завь...	завью́o.s.fr. fut avзави́ть
завяда́ть	ipf síзавя́нуть
завяза́ть1	Iзавяжу́, завя́ж|ешь, ~утpf(ipfзавя́зывать)1.что-л.knýtair(t)o-t, bindaслнa-u-uo-t;завяза́ть у́зел binda knút, knýta knút; завя́занный в у́зел knýttur saman; завяза́тьчто-л.узло́м knýtao-tsaman; завяза́ть га́лстук binda slips; завяза́ть го́лову платко́м binda eitt turriklæði (б.ч.[tʰʊɹkʰleɑ]) um høvdið [hœtːɪ]; завяза́ть глаза́кому-л.binda fyri eyguniá o-m; с завя́занными глаза́ми við bindi fyri eyguni; завяза́ть паке́т binda (band) um ein pakka; завяза́ть ра́ну binda um eitt sár2.что-л.(начать) byrjaaði(upp á)o-t, begynna [-Ꞌtʃɪ-]ннкir(t)(upp á)o-t, faraслнó-ó-aundir o-t; завяза́ть дру́жбус кем-л.blívaслнei-i-ivinurvið o-n; завяза́ть дра́ку byrja slagsmál [slaʰks-]ннк; завяза́ть бой byrja bardaga3.óvkm.(прекратить) haldaслнe-i-iuppat [ʊꞋpʰεat]; я завяза́л eg havi lagt Ꞌ av (at roykja,drekka o.a.) =>знако́мство1,разгово́р1,шнуро́к
завяза́ть2	IIipf síзавя́знуть
завяза́ться	завя́ж|ется, ~утсяpf(ipfзавя́зываться)1.(об узле) verða bundinсоглосн; га́лстук пло́хо завяза́лся slipsið er illa [ɪtla] bundið2.(начаться) byrjaaði, begynna [-Ꞌtʃɪ-]ннкir(t), takaслнó-ó-iseg upp; ме́жду ни́ми завяза́лась перепи́ска brævaskifti tók seg upp millum [-tl-] teirra; ме́жду ни́ми завяза́лась бесе́да ein samtala tók seg upp millum [-tl-] teirra3.(о плодах) beraслнa-ó-ofrukt
завязи́ть	завяз|и́шь, ~я́тpf 1. pers sing ikki brúktur что-л.tlm.komaслнo-o-ofasturí o-m; завязи́ть но́гу в глине́ havaнепрannað beinið fast í rununi
завя́зка	plurзавя́з|ки, ~ок, ~камf1.(лента) bandс0о; bendilм0осн(тесьма)2.(начало действия) byrjanж0-ir, begynningur [-Ꞌtʃɪ-]ннкмсогл-ar, inngangurмсогл-a,-ir,sí eis.завяза́тьзавяза́ться (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)3.bókm.(в художественном произведении) inngangurмсогл-ir, plottс0опроф.(í skaldsøgu o.tíl.)@по {под} завя́зкуtlm.stappandi fullur [-tl-]; stappandi mettur, mettur upp undir angarnarидиом.(сытый)
завя́знуть	pf síвя́знуть
завя́зывать	ipf síзавяза́тьI
завя́зываться	ipf síзавяза́ться
за́вязь	fplant.egglega [-leːva]жгл-a
завя́нуть	pf síвя́нуть
загада́ть	pf(ipfзага́дывать)1.что-л.(загадку,ребус и т.п.) leggjaнепрo-tfram, beraслнa-ó-oo-tfram, komaслнo-o-oviðo-m(gátur o.a.); загада́тькому-л.зага́дку bera upp eina gátufyri o-m2.что-л.(гадая,задумать) hugsaaðiumо-t, spáaaði;ar(d)o-t; загада́ть число́ teinkjair(t)upp á eitt tal; загада́ть на ка́ртах spáa í kortum3.tlm.(замыслить) ætlaaðio-t, hugsaaðisærо-t, geraнепрætlanir umo-t
зага́дить	зага́|жу, ~дишь, ~ятpf(ipfзага́живать)что-л.tlm.,atf.1.(запачкать) dálkaaðio-tút, svínaaðio-ttil2.fl.(осквернить) spilla [-tla]ir(t)o-tút, dálkaaðio-tút, svínaaðio-ttil
зага́дка	plurзага́д|ки, ~ок, ~камfgátaжгл-a(иносказательное описание;тайна); отгада́ть зага́дку gita gátu, loysair(t)gátu, ráðaur(d){á/æ}{+}gátu; говори́ть зага́дками tala í gátum; э́то для меня́ зага́дка tað er mær ein gáta
зага́дочность	fgátuføriсгл-i
зага́дочный	stfзага́доч|ен, ~на, ~но, ~ныadjgátuførurсогл, loyndarfullur [-tl-]согл; mystiskur [mʏst-]ннксоглsk(таинственный); óskiljandiглandi(непонятный), torskildurсогл(труднопонятный)
зага́дывать	ipf síзагада́ть; не бу́дем зага́дывать! lat okkum ikki spilla [-tla] tíðina upp á at spáa um framtíðina; я так далеко́ не зага́дываю eg hugsi ikki so langt fram í tíðina
зага́живать	ipf síзага́дить
загазо́ванность	fgassdálkingж0-ar
загазо́ванный	stfзагазо́ван, ~а, ~о, ~ыpartgassdálkaðurглaður
загалде́ть	загалд|и́шь, ~я́тpf 1. pers ikki brúkturóvkm.faraслнó-ó-aat haldaслнe-i-igang, begynna [-Ꞌtʃɪ-]ннкir(t)at haldaслнe-i-igang, byrjaaðiat haldaслнe-i-igang; faraслнó-ó-aat haldaслнe-i-ispektakkul [spɪꞋtʰaʰkː-], begynna [-Ꞌtʃɪ-]ннкir(t)at haldaслнe-i-ispektakkul [spɪꞋtʰaʰkː-], byrjaaðiat haldaслнe-i-ispektakkul [spɪꞋtʰaʰkː-]; faraслнó-ó-aat lammitera [-Ꞌtʰeː-]aði, begynna [-Ꞌtʃɪ-]ннкir(t)at lammitera [-Ꞌtʰeː-]aði, byrjaaðiat lammitera [-Ꞌtʰeː-]aði; faraслнó-ó-aat gartera [-Ꞌtʰeː-], begynna [-Ꞌtʃɪ-]ннкir(t)at gartera [-Ꞌtʰeː-], byrjaaðiat gartera [-Ꞌtʰeː-] (шумно),sbr.галде́ть
