о.	Iо́бластьIIо́стров
объедине́ние	n1.(действие) sameiningж0-ar; samanrenningж0-ar, samanleggingж0-ar(слияние)2.(союз) felagс0о{a/ø}{0<>i}, felagsskapurмсогл-ir; sameiningж0-ar(группы людей и т.п.); fylkingж0-ar(с общей целью и т.д.); samtøkaжгл-a, sambandс0о{a/o}, samskipanж0-ir(союз) =>тво́рческий
Объединённые Ара́бские Эмира́ты	Sameindu arabisku [-Ꞌraː-] emirríkini [-Ꞌmiːɹ-]мн опр.офиц., Sameindu arabisku [-Ꞌraː-] emiratini [-Ꞌraː-]мн опр.
объединённый	adjsameindurсогл; объединёнными уси́лиями við samlaðum kreftum@Организа́ция Объединённых На́ций(styttООН) Sameindu Tjóðir (сокр.ST) =>про́ба2
объедини́тельный	adjsameiningar-
объедини́ть	объедин|ю́, ~и́шь, ~я́тpf(ipfобъединя́ть)1.Acc(образовать единство) leggjaнепрВинsaman; sameinair(t)Вин, samlaaðiВин, savnaaðiВин2.Acc(сплотить) fylkjair(t){+}Вин, sameinair(t)Вин3.что-л.skip.(о грузе) konsolidera [-Ꞌteː-]o-tмор.(um farm)
объедини́ться	объедин|ю́сь, ~и́шься, ~я́тсяpf(ipfобъединя́ться)1.(соединиться,создав единую организацию и др.) verða lagdurсогл{a/ø}saman, verða sliginсоглоснgsaman, rennaслнa-u-usaman; verða sameinturсогл(территории и т.п.); verða savnaðurглaður, verða samlaðurглaður; сосе́дние хозя́йства соедини́лись grannagarðarnir vóru lagdir saman2.(сплотиться) fylkjastir(t)кн., gangaслнe-i-isaman
объединя́ть	ipf síобъедини́ть
объединя́ться	ipf síобъедини́ться
объе́дки	m plurtlm.leivdirж0-ir(av mati)
объе́зд	m1.(действие) umkoyringж0-arж0-ar; rundaжгл-a, rundferðж0-ir(с целью посещения,доставки и т.п.);ср.объе́здить, объе́хать (русскому отглагольному сущ. в переводе часто или предпочтительно соответствует глагольная форма)2.(место) umkoyringж0-ar(stað)@в объе́здvið at koyra uttanum
объе́здить	объе́зжу, объе́зд|ишь, ~ятpf(ipfобъезжа́ть)1.síобъе́хать2.кого-л.(приучить к езде) tilríðaслнei-i-io-n, ríðaслнei-i-io-ntil3.что-л.tlm.(сделать удобным для езды) koyrair(d)o-ttil
объе́здка	plurобъе́зд|ки, ~ок, ~камftilríðingж0-ar
объездно́й	adjобъездно́й путь {объездна́я доро́га} umkoyringarvegur
объе́здчик	m1.(сторож) vaktarmaðurнепр; skógarvørðurмсогл-ir{ø/a}(лесной)2.(лошадей) rossatemjariмгл-ari;o-r, sum ríður ross til
объезжа́ть	ipf síобъе́хать,síобъе́здить
объе́кт	m1.filos.(то,что существует вне нас) objekt [-Ꞌjε-]с0о(;0-ir)спец.2.(явление,предмет) evniсгл-i, fyrimálс0окн.,ред., objekt [-Ꞌjε-]с0о(;0-ir)кн.,ред.; объе́кт изуче́ния rannsóknarevniсгл-i, fyrimálкн.,ред. fyri kanning; объе́кт пита́ния {пищево́й объе́кт} føðievni; объе́кт про́мысла djór, sum verður veitt (животное); fiskur, sum verður fiskaður (рыба); стать объе́ктом насме́шки verða hildin fyri spott, verða hildin fyri gjøldur3.(предприятие,учреждение) fyritøkaжгл-a; stovnurмсогл-ar4.máll.(дополнение) ávirkiсгл-i(прямой); atvikiсгл-i(непрямой) =>НЛО
объекти́в	mobjektivс0о(;0-ir)
объективи́зм	mobjektivisma [-Ꞌvɪ-]жгл-a
объекти́вка	plurобъекти́в|ки, ~ок, ~камftlm.upplýsingarskemaс0гл-a; ≈ CV [seː Ꞌveː]с0о{0<>i}
объекти́вность	fobjektivitetur [-Ꞌtʰeː-]мсогл-s,-ir, partloysiлпсгл-i, lutloysiлпсгл-i
объекти́вный	stfобъекти́в|ен, ~на, ~но, ~ныadj1.filos.(существующий вне нас) objektivurсоглспец.(sum er til staðar uttan fyri okkum); объекти́вная действи́тельность tann objektivi veruleikin2.(связанный с внешними условиями) objektivurсогл(ið hevur samband við ytru umstøður); объекти́вные обстоя́тельства objektivar umstøður3.(непредвзятый) objektivurсогл, partleysurлпсогл
объе́м	1. pers sing fut avобъе́сть
объём	m1.(величина в длину, высоту и ширину) rúmfangннкпроф.с0о, rúmdнпж0-ir; kubikkinnihald [-Ꞌpɪ-]с0о, kubikk [-Ꞌpɪ-]с0онеформ.(кубатура), volumen [-Ꞌluː-]с0о({0<>i})спец.; kapasitetur {kapacitetur} [ˌkʰapʰaːsiꞋtʰeː-]ннкмсогл-s,-irпроф.,спец.(ёмкость); уде́льный погру́зочный объём stúvningsrúmfangмор., stúvningsfaktorurмсогл-arмор.2.(величина,количество) umfangннкс0о; volumen [-Ꞌluː-]с0о({0<>i})проф.; støddж0-ir; mongdж0-ir(количество); объём зна́ний umfangiðннкav vitan; объём его́ по́мощи umfangiðннкav hjálpini [j-] hjá [tʃʰ-] honum; насле́дие писа́теля велико́ по объёму tað, sum liggur eftir [εʰtː-] rithøvundin, er stórt í vavi; брошю́ра объёмом в три печа́тных листа́ bókurin er trý prentørk til støddar, bóklingurin er trý prentørk í vavi; по своему́ объёму í vavi; в по́лном объёме heilt, fullkomiliga [-Ꞌkʰoː-]; púra, púrasta (совсем); в како́м объёме? í hvønn mun?
объёмистый	stfобъёмист, ~а, ~о, ~ыadjtlm.stórurсогл{+}í vavi; tjúkkurсогл(толстый,о томах и т.п.); rúgvismikilсоглосн(занимающий много места)
объёмный	stfобъём|ен, ~на, ~но, ~ныadj1.(кобъём 1) rúmmáls-, rúm-; объёмный вес rúmvekt2.tlm.(объёмистый) stórurсогл{+}í vavi, rúgvismikilсоглосн
объе́сть	объ|е́м, ~е́шь, ~е́ст; ~еди́м, ~еди́те, ~едя́т;pretобъ|е́л, ~е́ла, ~е́ло, ~е́ли;imperобъе́шь, объе́шьтеpf(ipfобъеда́ть)1.что-л.(съесть с краёв,обглодать) etaслнá-ó-euttan av o-m, gnagaaðiuttan av o-m2.кого-л.óvkm.(причинить ущерб,съев много) etaслнá-ó-eo-nút á ørmundarhúsпог., etaслнá-ó-eo-nút av ørmundarhúsiпог.
объе́сться	объ|е́мся, ~е́шься, ~е́стся; ~еди́мся, ~еди́тесь, ~едя́тся;pretобъ|е́лся, ~е́лась, ~е́лось, ~е́лись;imperобъе́шься, объе́шьтесьpf(ipfобъеда́ться)чем-л.oveta [oːeː-]слнá-ó-esegav o-m, etaслнá-ó-eseg yvir ryggav o-mидиом.
объе́хать	объе́д|у, ~ешь, ~утpf(ipfобъезжа́ть)Acc1.(проехать стороной) koyrair(d)uttan um Вин2.(обогнать) yvirhálaaðiВин3.(ездя,побывать во многих местах) ferðastaði(nógvastaðni, allastaðni [atl-]); объе́хать всю страну́ ferðast um alt landið =>коза́@
объе́шь	2. pers sing fut avобъе́сть
объяви́ть	объявлю́, объя́в|ишь, ~ятpf(ipfобъявля́ть)1.что-л. о чём-л. (сообщить,заявить) boðaaðifrá o-m, sigaнепрfrá o-m; deklarera [-Ꞌreː-]aðio-tспец.,мор.; объяви́ть о своём реше́нии boða frá sínari avgerð; объяви́ть о своём согла́сии játtaaði, sigaнепрseg vera samdan; takaслнó-ó-iundir við o-m(поддержать); объя́вленный груз deklarerað góðs [kœsː]мор.2.что-л.(огласить) kunngeraнепрo-t, upplýsair(t)um o-t, geraнепрo-tkunnigt; объяви́ть результа́ты вы́боров kunngera úrslitini av valinum3.Acc Ins(официально признать) lýsair(t)Вин(at vera)o-t; объяви́тького-л.вино́вным sigaнепрo-nsekan at veraюр., офиц.; объяви́ть собра́ние откры́тым lýsa fundin at vera opnan; объяви́ли докуме́нт недействи́тельным skjalið varð lýst ógildigt4.что-л.,о чём-л.(заявить о начале чего-л.) lýsair(t)o-t; объяви́ть войну́кому-л.bjóðaaðio-mav í kríggj; объяви́ть ко́нкурс útskrivaaðieina kapping@объяви́ть благода́рностькому-л.alm.sýnair(t)o-mtøkkнпкн.,офиц.=>бу́бныI,забасто́вка,зако́н@,закры́ть6
объяви́ться	объявлю́сь, объя́в|ишься, ~ятсяpf(ipfобъявля́ться)tlm.vísair(t)seg, stingaнепрseg upp (возникнуть); komaслнo-o-o(явиться)
объявле́ние	n1.(действие) kunngeringж0-ar, lýsingж0-ar; враги́ напа́ли без объявле́ния войны́ fíggindarnir lupu á uttan at bjóða av til kríggj2.(извещение) kunngerðж0-ar; lýsingж0-ar; объявле́ние о сме́рти deyðalýsing; объявле́ние войны́ krígsavbjóðing [kʰɹʊi̯ʰks-], [kʰɹʊʰks-]=>доска́2,помести́ть5
объявля́ть	ipf síобъяви́ть
объявля́ться	ipf síобъяви́ться
объягни́ться	pf síягни́ться
объясне́ние	n1.(кобъясни́ть) frágreiðingж0-ar, forkláring [-Ꞌkʰlɔa-]ннкж0-ar2.с Ins(выяснение отношений) uppgerðж0-ir(samanbrestur)3.oftast plur(изложение причин и т.п.) frágreiðingж0-ar, forkláring [-Ꞌkʰlɔa-]ннкж0-ar; объясне́ние по по́воду опозда́ния ein frágreiðing viðvíkjandi seinkingini, ein forkláringннкupp á seinkingina4.(то,что объясняет,помогает понять) frágreiðingж0-ar, forkláring [-Ꞌkʰlɔa-]ннкж0-ar; дать объясне́ние свое́й гипо́тезе geva ein frágreiðing um hypotesuna [hyːpoꞋtʰeː-]интhjá [tʃʰ-] sær, forklára [-Ꞌkʰlɔa-]ннкhypotesuna [hyːpoꞋtʰeː-]интhjá [tʃʰ-] sær; так вот где объясне́ние! (so) tað er forkláringinннк!@объясне́ние в любви́kærleiksjáttanж0-irкн.=>пусти́ться2
объясни́мый	stfобъясни́м, ~а, ~о, ~ыadjbókl.sum kann forklárast [-Ꞌkʰlɔa-]ннк, sum kann greinastкн.
объясни́тельный	adjforklárandi [-Ꞌkʰlɔa-]ннкглandi, við frágreiðing, við forkláring [-Ꞌkʰlɔa-]ннк=>запи́ска2
объясни́ть	объясн|ю́, ~и́шь, ~я́тpf(ipfобъясня́ть)1.что-л.(кому-л.) (растолковав,сделать ясным) forklára [-Ꞌkʰlɔa-]ннкaði(o-m)o-t, greiðair(d)(o-m)frá o-m; объясни́ть пра́вила forkláraннкreglurnar, greiða frá reglunum2.что-л. чем-л.(истолковать,раскрыть причину) forklára [-Ꞌkʰlɔa-]ннкaðio-t við o-m; geraнепрgrein fyrio-m við o-mкн.(истолковать); чем объясни́ть его́ поведе́ние? hvаt er forkláringin [-Ꞌkʰlɔa-]ннкupp á atburðin [ap-] hjá [tʃʰ-] honum?; hvussu skal atburðurin [ap-] hjá [tʃʰ-] honum forklárast [-Ꞌkʰlɔa-]ннк?
объясни́ться	объясн|ю́сь, ~и́шься, ~я́тсяpf(ipfобъясня́ться)1.с кем-л.(выяснить отношения,уладить недоразумения и т.д.) forklára [-Ꞌkʰlɔa-]ннкaðisegfyri o-m, fáaслнe-i-iskil áo-m(viðurskiftum millum fólk o.a.)2.bert 3. pers brúktur(стать ясным) verða greiðurгл3.: объясни́ться в любви́ fortelja [-Ꞌtʰε-]ur(d){e/a}{+}o-ri, at mann er góður við hana; fortelja [-Ꞌtʰε-]ur(d){e/a}{+}o-m, at mann er góð við hann; játtaaðio-mkærleika sínкн.,высок
объясня́ть	ipf síобъясни́ть
объясня́ться	ipf1.síобъясни́ться2.(разговаривать) tosaaði, dugair(d){+}(о языке); geraнепрseg forstáiligan [-Ꞌstɔa-]ннк; объясня́ться по-ру́сски gera seg forstáiligan á russiskum; свобо́дно объясня́ться на фаре́рском языке́ duga føroyskt [føːɹɪst] raðið3.bert 3. pers brúktur чем-л.(находить себе объяснение) forklárast [-Ꞌkʰlɔa-]ннкaðivið o-m; havaнепрsum grund (иметь причиной); komastслнo-o-oav o-m(быть вызванным чем-л.)
