п.1	I паде́ж
по3	III (óherd uttan í teimum førunum, har herðingin verður flutt av navnorðinum yvir á fyrisetingar orðið, t.d. по́ лесу, по́ носу, по́ полю, по у́ши)prepA+ Dat1.(на поверхности) eftir [εʰtː-] +Дат; идти́по у́лице ganga eftir vegnum [veːnʊn]; ползти́ по́ полу grulva eftir gólvinum, fara grulvandi eftir gólvinum; подня́ться по скло́ну fara niðan gjøgnum brekkuna; подня́ться по ле́стнице fara upp gjøgnum trappurnar; спусти́ться по ле́стнице fara oman gjøgnum trappurnar; кора́бль плыл вниз по реке́ skipið sigldi [sɪltɪ] oman eftir ánni; по во́здуху (путешествовать и т.п.) loftvegis, við flogfari; по су́ше, по воде́ и по во́здуху á landi, á sjógvi og í luftini; спусти́ться по верёвке lesa seg niður eftir einari línu; лете́ть по во́здуху flúgva í luftini; идти́ пря́мо по лу́жам fara beint tvørtur um hyljarnar; плыть по мо́рю sigla á sjónum; fara sjóleiðis; пла́вать по моря́м sigla um høvini; идти́ по края́м ganga fram við jaðaranum; е́хать по берега́м Оки́ koyra fram við ánni Oka; ро́спись по фарфо́ру porselensmáling [-Ꞌleː-]2.(в пределах) um +Вин; ходи́ть по ко́мнате ganga aftur [aʰtː-] og fram í verilsinum; ходи́ть по у́лицам ganga um gøturnar; по́лзать по́ полу grulva um gólvið; по го́роду um býin; путеше́ствие по Ура́лу ein ferð um Ural; по всей стране́ um alt landið; е́здить по ра́зным стра́нам ferðast í ymsum londum, ferðast um ymisk lond; распространя́ться по всему́ ми́ру breiða seg út um alla [atla] verðina; бума́ги разбро́саны по всему́ столу́ pappírini [-Ꞌpʰʊi-] eru breidd út um alt borðið; наступле́ние по всему́ фро́нту eitt álop um alt hermótiðнп3.(обозначает объект действия) í +Вин; á +Вин; уда́рить по́ столу sláa nevan í borðið; связа́ть по рука́м и нога́м binda hendur og føtur; стреля́ть покому-л. skjóta eftir [εʰtː-]o-m; хло́патького-л.по плечу́ sláao-nniður á herðarnar4.(при указании на ряд мест): расста́вить кни́ги по по́лкам seta bøkurnar upp á hillarnar [-tl-]; бе́гать по магази́нам renna úr einum handli [hanlɪ] í annan, renna um handlarnar [hanl-]; рассади́ть всех по места́м fáa øllum [œtl-] sess, fáa øll [œtl] upp á pláss; ходи́ть по знако́мым vitjaaðinógvar kunningar, støkkaслнa-u-oinn á gólvið hjá [tʃʰ-] nógvum kunningum; ходи́ть по кинотеа́трам ganga í ymiskar biografar [-Ꞌkɹaː-]5.(в области чего-л.) í +Дат; зна́ния по матема́тике vitan í matematikk [maːtɪmaꞋtʰɪʰkː]; уче́бник по исто́рии lærubók í søgu, søgubók; рабо́та по словарю́ orðabókaarebiði, arbeiði við einari orðabók, arbeiði upp á eina orðabók; ле́кция по филосо́фии fyrilestur um filosofi [-Ꞌfiː]; кни́га по филосо́фии bók um filosofi [-Ꞌfiː]; иссле́дования по фи́зике kanningar í fysikk [fyꞋsɪʰkː]; чемпио́н по ша́хматам talvmeistari; специали́ст по серде́чным боле́зням serfrøðingur í hjartasjúkum [j-]6.(на основании каких-л. признаков) av +Дат; до́брый по приро́де fittur av natúr [-Ꞌtʰʉuɹ]; по профе́ссии av starvi, av yrki; по происхожде́нию av uppruna; не́мец по происхожде́нию týskari av ætt; знать всех по и́мени kenna øll [œtl] av navni; kenna fornavnið hjá [tʃʰ-] øllum [œtl-]; знатького-л.то́лько по фами́лии bara kenna eftirnavnið [εʰtː-]hjá[tʃʰ-]o-m; отли́чный по ка́честву av frálíkari góðsku [kœskʊ]; това́рищ по ору́жию vápnabróðir; дя́дя по отцу́ pápabeiggi, farbróðir [faɹp-]; ро́дственник по ма́тери skyldmaður [ʃɪlm-] í móðurætt; ста́рший по во́зрасту tann elsti, второ́й по величине́ tann næststørsti7.(с целью) til at +инф.; коми́ссия по борьбе́ с ... nevndin móti ...; ме́ры по улучше́ниючего-л.tiltøk fyri at bøta umo-t8.(с обозначением отрезков времени) um+ Вин; по утра́м um morgunin, um morgnarnar [mɔtn-]; по вечера́м um kvøldarnar, um kvøldið; по сре́дам mikudag, mikudagar, hvønn mikudag; по пра́здникам um høgtíðirnar [hœʰkt-]; по це́лым дням heilar dagar; по месяца́м í mánaðir (б.ч.[mɔanaɹ]); по весне́ um várið9.(в соответствии с чем-л.) eftir [εʰtː-] +Дат, sambært +Дат; по после́дней мо́де eftir síðsta móta; по ве́су eftir vekt; по догово́ру sambært sáttmála; - Кото́рый час? - - По мои́м часа́м семь -Hvat er klokkan? - Á mínum uri er hon sjey; в де́сять часо́в по ме́стному вре́мени klokkan tíggju lokala [-Ꞌkʰaː-] tíð; по сове́ту врача́ eftir ráðum hjá [tʃʰ-] læknanum, eftir ráðum frá læknanum; по её мне́нию eftir hennara meining; по моско́вскому вре́мени moskvatíð; по и́мени at fornavni; við fornavninum; по фами́лии at eftirnavni [εʰtː-]; við eftirnavninum [εʰtː-]; по приглаше́ниюкого-л.eftir innbjóðingfrá o-m; по со́бственному жела́нию eftir egnum ynski; по пра́вилам eftir reglunum, sambært reglunum; по па́мяти eftir minninum; по Ма́рксу sambært Marx [maɹ̥ks]; е́хать по зелёному сигна́лу (светофора) koyra fram fyri grønt ljós10.(вследствие) vegna +Вин, orsakað av +Дат; по боле́зни vegna sjúku, orsakað av sjúku; по мо́лодости лет vegna ungan aldur, orsakað av ungum aldri; по небре́жности av ósketni; по оши́бке av misgáu [-kɔavʊ], óvart; по э́той причи́не av hesi orsøk; по со́бственному о́пыту av egnum royndum; я говорю́ тебе́ э́то по дру́жбе hetta sigi eg tær sum vinur; случи́лось не по твое́й вине́ tað var ikki tín skyld, at tað hendi11.(посредством) við +Дат; по желе́зной доро́ге við jarnbana [janpaː-]ннк; говори́ть по телефо́ну tosa í telefon [-Ꞌfoːn]; по ра́дио í útvarpinum (о радиовещании); говори́ть по ра́дио tosa í radio [raː-]; посла́ть по по́чте senda við posti, senda gjøgnum post; по знако́мству vegna kennskap; по каки́м кана́лам? eftir [εʰtː-] hvørjum kanalum [-Ꞌnaː-]?; по специа́льному разреше́нию við serstøkum loyvi12.(руководствуясь чем-л.,на основании чего-л.) eftir [εʰtː-] +Дат; по но́там eftir nótum; су́дя по всему́ eftir øllum [-tl-] at døma; по на́шим масшта́бам eftir okkara mátistokki, eftir okkara viðurskiftum; по вне́шнему ви́ду eftir útsjóndini [ʏʰt-] (at døma); назва́тького-л.Ива́ном по отцу́ kalla [-tl-]o-nIvan eftir pápanum; расста́витьчто-л.по величине́ setao-tupp eftir stødd13.(при обозначении способа,вида): по прямо́й í beinari linju; по спира́ли í spiral [-Ꞌraːl]14.(в направлении чего-л.) við +Дат; по ве́тру undan vindinum, við vindinum; по тече́нию við streyminum; идти́ по сле́ду elta eina slóð; у нас земля́ по пра́вому бо́рту vit hava land í stýriborðB+ Acc1.(до) upp á+ Вин; вода́ была́ ему́ по грудь hann stóð upp undir hendur í vatninum, vatnið rakk upp á bringuna; по по́яс в воде́ upp undir miðju í vatni; по коле́ни upp undir knøini, upp til kníggja, upp á knøini; по́ уши upp um bæði oyrur; брат ему́ по плечо́ beiggin gongur honum upp á herðarnar2.(включительно) til+ Вин; по сей день til dagin í dag, til henda dag; с пе́рвого по пя́тое ию́ля frá fyrsta [fɪsta] til fimta juli; прочита́ть с пе́рвой по деся́тую главу́ lesa frá fyrsta til tíggjunda kapittul3.: по э́ту сто́рону hesumegin; по ту сто́рону hasumegin; hinumegin; по другу́ю сто́рону у́лицы hinumegin vegin; по ле́вую ру́ку от неё vinstrumegin hana4.óvkm.(за чем-л.) eftir [εʰtː-] +Дат; пойти́ по́ воду fara eftir [εʰtː-] vatni; ходи́ть по я́годы hentaaðiberC+ Prp1.(после) по оконча́нии экза́менов tá próvtøkurnarофиц.vóru lidnar; по оконча́нии рабо́ты tá arbeiðið var liðugt, tá liðugt var at arbeiða, aftan [aʰtː-] á arbeiðið; по возраще́нии домо́й tá hann var komin heim aftur [aʰtː-]; tá hann var komin til hús aftur [aʰtː-]; по истече́нии сро́ка tá freistin var úti2.(по чьему-л. вкусу): э́то по мне hetta dámar mær væl; чай не по нём - сла́бый hetta teið [tʰeːjɪ] líkist ikki honum, so veikt tað erD+ Dat, Acc1.(при распределении чего-л.) ... hvør; получи́ть по паке́ту fáa ein pakka hvør; получи́ть по два {по́ два} паке́та fáa tveir pakkar hvør; они́ взя́ли себе́ по лопа́те teir tóku hvør sín spaka; teir tóku ein spaka hvør; принима́ть по ча́йной ло́жке три ра́за в день taka eina teskeið tríggjar ferðir um dagin2.(при указании цены) pr. [pʰεɹː]Винторг.(с указанием количества веса и др.); à [aː]Винторг.(с указанием цены); по три́ста рубле́й за килограмм trý hundrað rublar pr. kilo; trý hundrað rublar kiloið; ма́рки по три́дцать рубле́й frímerkir à tretivu rublar; по рублю́ шту́ка ein rubil stykkið; ру́чки сто́ят по до́ллару pennarnir kosta ein dollara stykkið; тогда́ бы́ли биле́ты ещё по рублю́ tá fingust billettir [-Ꞌlε-] enn fyri ein rubil; пять биле́тов по три́ста рубле́й, пожа́луйста ger so væl at geva mær fimm billettir [-Ꞌlε-] fyri trý hundrað rublar3.(при числительном без существительного): по одному́ ein og ein; ein í senn; стоя́ть по два standa saman tveir og tveir; идти́ по дво́е ganga tvey og tvey; по одному́ ein í senn; два ра́за по́ три tvær ferðir og tríggjar hvørja ferð; разобра́ть избу́ по брёвнам taka húsini sundur bjálka fyri bjálkaE+ Datoggml.Prpeftir [εʰtː-] +Дат; тоскова́ть покому-л.leingjast eftiro-m; saknao-n(по причине отсутствия кого-л.); тоска́ покому-л. longsul eftiro-m; saknur (по причине отсутствия кого-л.); пла́кать покому-л. gráta eftiro-m@по мнеtlm.hvat mær viðvíkir =>а́дрес2,@,бортI 1,бракI,вероя́тность@,ви́димость@,го́рло@,зака́з,и́мя1,мо́лодость@,направле́ние1,путь5,@,слу́чай@,сре́дство4
поале́ть	pf síале́ть
по-англи́йски	advá enskum, á eingilskum
побагрове́ть	pf síбагрове́ть
побаза́рить	побаза́р|ю, ~ишь, ~ятipfóvkm.prátaaði, fáaслнe-i-ieitt prát
поба́иваться	ipf Gen, + infræðastir(d)Винeitt sindur, ræðastir(d)eitt sindur at +инф.
побалде́ть	ipftlm.fáaслнe-i-itíðina at ganga, fordríva [-Ꞌtɹʊi-]ннкслнei-i-itíðina
поба́ливать	ipf bert 3. pers brúkturhavaнепрeitt sindur ilt ío-m; у неё поба́ливает голова́ hon hevur eitt sindur ilt í høvdinum [hœtː-]
побалова́ть	pf síбалова́ть2
побасёнка	plurпобасён|ки, ~ок, ~камftlm.skemtisøgaжгл-a, krønikaжгл-a; skrøggsøgaжгл-a(небылица)
побег...	побегу́, побегу́т1. pers sing, 3. pers plur fut avпобежа́ть
побе́г1	Im(бегство) flýggjanж0-ir, rýmingж0-ar
побе́г2	IIm(росток) sprotiмгл-i
побе́гать	pfrennaслнa-u-ueitt sindur; rennaслнa-u-ueina løtu
побегу́шки	f plur tlm.,atf.: быть {состоя́ть} на побегу́шкаху кого-л.a) (оказывать мелкие услуги) gangaслнe-i-isneisaørindifyri o-n; b)fl.(исполнять чьи-л. прихоти и др.) rekaслнa-ó-iørindifyri o-n
побе́да	f над Inssigurм0осн-s,-ará Дат=>доби́ться,одержа́ть,пи́рров
победи́т	mpobedit [-Ꞌtɪʰtː]с0о({0<>i})(hørð wolframlegering)
победи́тель	msigurharriмгл-i(б.ч. в войне и т.п.); vinnariмгл-ari(в соревнованиях и др.); вы́йти победи́телем vinnaслнa-u-u, verðaслнa-ó-ovið yvirlutan@победи́телей не су́дятorðt.≈ tann sterki hevur altíð rætt
победи́тельница	msigurharriмгл-i(б.ч. в войне и т.п.); vinnariмгл-ari(в соревнованиях и др.) (konufólk)
победи́ть	1. pers sing ikki brúkturпобед|и́шь, ~я́тpf(ipfпобежда́ть)1.(Acc) (в бою) sigraaði(áДат), vinnaслнa-u-usigur (áДат), vinnaслнa-u-u(áДат) (í kríggi, bardaga)2.(прeoдолеть) vinnaслнa-u-uá Дат; fáaслнe-i-ibilbugt [pɪl-]við Дат3.(в состязаниях) vinnaслнa-u-u(í kappingum o.tíl.)
побе́дный	adj1.(кпобе́да) sigurs-; побе́дный клич sigursróp2.(победоносный) sigursælurсогл@до побе́дного конца́til sigur er vunnin
победоно́сность	fsigursælaжгл-a
победоно́сный	stfпобедоно́с|ен, ~на, ~но, ~ныadj1.(завершающийся полной победой) sigursælurсогл; sigrandiглandi(одержавший победу)2.tlm.(выражающий торжество) triumferandi [-Ꞌfeː-]ннкглandi
Побе́дыпик	Pik Pobedy [-Ꞌpeːty]м нескл.(í Tian-shan;var næsthægsti tindur í Sovjetsamveldinum)
побежа́ть	побегу́, побежи́шь, побегу́тpffaraслнó-ó-aat renna (начать бежать); leypaслнey-u-oavstað [aꞋstεa], rennaслнa-u-uavstað [aꞋstεa]
побежда́ть	ipf síпобеди́ть
побе́жка	frenningarlagс0о{a/ø}{0<>i}(hjá djóri)
побе́й...	побе́й, побе́йтеimper avпоби́ть
побеле́ть	pf síбеле́ть1
побели́ть	pf síбели́ть1
побе́лка	f1.(действие) hvíttingж0-ar; kálkingж0-ar(ивестью)2.tlm.(краска) kálkvatnс0оуст.
поберёг	pret m avпобере́чь
поберег...	1.поберегу́, поберегу́т1. pers sing,3. pers plur fut avпобере́чь2.поберегу́сь, поберегу́тся1. pers sing,3. pers plur fut avпобере́чься3.поберегла́o.s.fr. pret avпобере́чь4.поберегла́сьo.s.fr. pret avпобере́чься5.побереги́, побереги́теimper avпобере́чь6.побереги́сь, побереги́тесьimper avпобере́чься
побереж...	1.побережёшьo.s.fr. fut avпобере́чь2.побережёшьсяo.s.fr. fut avпобере́чься
побере́жье	plurпобере́жья, побере́жий, побере́жьямnstrondж0-ur{o/a/e}; bakkiмгл-i((мелкого)озера,реки)
побере́чь	поберегу́, побережёшь, поберегу́т;pretпоберёг, поберегл|а́, ~о́, ~и́;imperпобереги́, побереги́теpf Acc1.(не допустить утраты) sparair(d)upp á Вин; побере́чь си́лы spara kreftir, lívair(d)sær2.(проявить заботливость) ansaaðieftir[εʰtː-]Дат; побереги́ себя́ far (tú) væl við tær sjálvum, ansa væl eftir tær sjálvum
побере́чься	поберегу́сь, побережёшься, поберегу́тся;pretпоберёгся, поберегл|а́сь, ~о́сь, ~и́сь;imperпобереги́сь, побереги́тесьpf1.чего-л.(проявить заботу в отношении к себе) ansaaðisærfyri o-m; побереги́сь! ansa eftir [εʰtː-]!2.+ inf(проявить осторожность) ansaaðieftir [εʰtː-] ikki at+ инф.
побери...	побери́, побери́теimper avпобра́ть
побесе́довать	побесе́ду|ю, ~ешь, ~ютpfprátaaðieitt sindur; fáaслнe-i-ieitt prát (поболтать)
побеспоко́ить	побеспоко́|ю, ~ишь, ~ятpf кого-л.ómakaaðio-n; forstýra [-Ꞌstʊi-]ннкaðio-n(помешать); прости́те, побеспоко́ю вас orsaka at eg ómaki tygum (fólkaligur fyrspurningur)
побеспоко́иться	pf síбеспоко́иться
побива́ть	ipf síпоби́ть
побира́ться	ipftlm.1.(просить милостыню) biddaaði; livair(d)(að)av at bidda (жить нищенством)2.skemt.(просить,брать в долг) biðjaслнa-ó-ilæna sær, bummaaðiнеформ.
побиру́шка	plurпоби́руш|ки, ~ек, ~камm/ftlm.1.(нищий) biddariмгл-ari2.atf.(тот,кто просит)o-r, ið neyrar umo-t(at fáa o-t)
поби́ть	побью́, побьёшь, побью́т;imperпобе́й, побе́йтеpf1.síбить2.кого-л.(убить) drepaслнa-u-io-n (nógv,øll)3.ipfпобива́тьAcctlm.(победить) vinnaслнa-u-uá Дат(í kappingum o.tíl.)4.что-л.(разбив,уничтожить) sorlaaðio-t, soraaðio-t5.1. persónur ikki brúktur что-л.(повредить,уничтожить - посевы,растения) oyðileggja [-Ꞌlε-]непрo-t, forkoma [-Ꞌkʰoː-]слнo-o-oo-m(um frost,glopraregn o.a.); гра́дом поби́ло хлебópheglingurin hevur sligið kornið [-tnɪ] niður =>реко́рд
поби́ться	побьётся, побью́тсяpf1.(оказаться повреждённым) verða spilturсогл(av stoytum o.tíl.), verða oyðilagdur [-Ꞌla-]согл{a/ø}(av stoytum o.tíl.)2.tlm.(разбиться) brotnaaði=>закла́д@
