Н	нью́тонmnewton [ɲjʉutʰɔn]ж0-ir
на́добность	f1.(необходимость) tørvurмсогл-s,-ir, behov [-Ꞌhɔu]ннкс0о; neyðsynж0-ar{+}кн.; в слу́чае на́добности um neyðugt er; по ме́ре на́добности eftir [εʰtː-] tørvi; в э́том нет на́добности hetta er ikki neyðugt; без (вся́кой) на́добности uttan at tørvur er á tí; тебе́ нет на́добности де́лать э́то tú behøvist [-Ꞌhøː-] (тж[pʰjøːv-])ннкikki at gera tað, tær nýtist ikki gera taðкн.2.oftast plurtlm.(нужды, дела) ørindirсгл-iмн@есте́ственная на́добность: отпра́вить есте́ственную на́добность hjálpa [j-]ir(t){+}sær Ꞌ sjálvum
на́добный	stfна́доб|ен, ~на, ~но, ~ныadjgml., óvkm.neyðugurглugur
надое́да	m,ftlm.plága [pʰlɔava]жгл-a, marraжгл-a(который пристаёт)
надоеда́ла	f,mtlm.síнадое́да
надоеда́ть	ipf síнадое́сть
надое́дливый	stfнадое́длив, ~а, ~о, ~ыadjtroyttandiглandi(keðiligur), leiðiligurглigur(скучный); надое́дливый челове́к plága [pʰlɔava]жгл-a, plágari [pʰlɔav-]мгл-ari
надое́дный	stfнадое́д|ен, ~на, ~но, ~ныadjtlm.síнадое́дливый
надое́сть	надо|е́м, ~е́шь, ~е́ст; надоед|и́м, ~и́те, ~я́т;pretнадое́л, ~а, ~о, ~иpf(ipfнадоеда́ть)Dat, + infvera móðurглav o-m, keðair(d)Вин; э́то мне надое́ло eg eri móður av hesum; надое́сть до́ смерти keða til avlívs, keða til deyðis
надои́ть	надою́, надо́|ишь, ~ятogнадо|и́шь, ~я́тpf(ipfнада́ивать)что-л., чего-л.mjólkaaðio-t(í so og so stórari nøgd)
надо́й	m(количество молока при дойке) málс0о(nøgd av mjólk); nøgdж0-irav mjólk (ið kúgv gevur)
на́долба	f1.(тумба) stólpiмгл-i2.oftast plur(противотанковые) tanksforðing [-aŋ̊k-]ж0-ar
надо́лго	adví langa tíð (komandi); leingi; надо́лго уе́хать fara (og verða burtur leingi); э́то надо́лго hetta fer at vara leingi; ты сюда́ надо́лго? verður tú leingi?; мы надо́лго запо́мним э́то vit fara at minnast tað leingi
надо́мник	m o-r,ið arbeiðir heima (fyri fyritøku,fabrikk o.a.)
надо́мница	m o-r,ið arbeiðir heima (fyri fyritøku,fabrikk o.a.) (konufólk); швея́-надо́мница seymigenta, ið arbeiðir heima (fyri fabrikk o.a.)
надорва́ть	надорв|у́, ~ёшь, ~у́т;pretнадорва́л, надорвала́, надорва́л|о, ~иpf(ipfнадрыва́ть)что-л.1.(немного разорвать) skræðair(d)o-t(eitt sindur)2.(повредить): надорва́ть здоро́вье oyðileggja [-Ꞌlε-]непрheilsuna; надорва́ть си́лы leggjaнепрꞋ ov [ɔ] nógv fyri, overva [oːε-]aðiseg; надорва́ть го́лос overva [oːε-]aðirøddina; надорва́ть се́рдцекому-л.valdaaðio-msorg@надорва́ть живо́т {живо́тики} со́ смехуveraслнe-a-óum at skrædna í látri
надорва́ться	надорв|у́сь, ~ёшься, ~у́тся;pretнадорва́лся, надорвала́сь, надорва́л|ось, ~исьpf(ipfнадрыва́ться)1.bert 3. pers brúktur(немного разорваться) skrædnaaði(eitt sindur)2.(повредить что-л.) ovtaka [ɔʰt-], [oːtʰ-]слнó-ó-iseg (при поднятии тяжестей); overva [oːε-]aðiseg, spreingjair(d)seg
надоу́мить	надоу́млю, надоу́м|ишь, ~ятpf(ipfнадоу́мливать)кого-л.tlm.leggjaнепрo-mráð (подать совет); skjótaслнey-u-oo-tuppfyri o-m(hugskot o.tíl.) (дать идею и т.п.)
надоу́мливать	ipf síнадоу́мить
надпа́лубный	adj(sum er) yvir dekki; надпа́лубные постро́йки yvirbygningurмсогл-ar
надпа́рывать	ipf síнадпоро́ть
надпи́ливать	ipf síнадпили́ть
надпили́ть	надпилю́, надпи́л|ишь, ~ятpf(ipfнадпи́ливать)что-л.sagaaðiupp í[ʊꞋpʰʊi]o-t
надписа́ть	надпишу́, надпи́ш|ешь, ~утpf(ipfнадпи́сывать)что-л.1.(сделать надпись) skrivaaðio-táo-t; надписа́ть а́дрес на письме skriva adressu á brævið; надписа́ть тетра́дь skriva navnið hjá sær á eitt hefti; надписа́ть кни́гу signera [-Ꞌneː-]aðieina bók, skriva tilognan í bók2.(написать что-л. выше чего-л.) skrivaaðio-tuppi yviro-m
надпи́сывать	ipf síнадписа́ть
на́дпись	fáskriftж0-ir; innskriftж0-ir(ос. на памятниках и т.п.); adressa [-Ꞌtɹε-]жгл-a, uttanáskriftж0-irофиц.(адрес на конверете и т.п.);
надпоро́ть	надпорю́, надпо́решь, ~ютpf(ipfнадпа́рывать)что-л.sprettair(t)o-t(eitt sindur) upp
надпо́чечники	m plur(sing надпо́чечник) hjánýrur [tʃʰ-]сгл-aмн
надпо́чечный	adj: надпо́чечные же́лезыsíнадпо́чечники
надра́ить	pf síдра́ить
надра́ть	надер|у́, ~ёшь, ~у́т;pretнадра́л, надрала́, надра́л|о, ~иpf(ipfнадира́ть)что-л., чего-л.flæsair(t)o-tuttan avo-m@надра́тькому-л.у́шиtlm.toga [tʰuːwa]aðií oyruniá o-m(fyri at harta o-n)
надра́ться	надер|у́сь, ~ёшься, ~у́тся;pretнадра́лся, надрала́сь, надра́л|ось, ~исьpf(ipfнадира́ться)óvkm.drekkaслнa-u-useg Ꞌ etandi skítгрубо
надре́з	mskoraжгл-a, skarðс0о{a/ø}(grunnur skurður)
надре́зать	надре́ж|у, ~ешь, ~утpf(ipfнадреза́ть, надре́зывать)что-л.geraнепрeina skoruí o-t, skeraслнa-ó-oinní o-t
надреза́ть	ipf síнадре́зать
надре́зывать	ipf síнадре́зать
надруга́тельство	n над Insbókmlháðanж0-irav Дат(глумление,издевательство); misboðс0о{0<>i}av Даткн., misbjóðingж0-arav Даткн.(оскорбление); vanhalganж0-irav Дат(осквернение)
надруга́ться	pf над Insbókl.háðaaðiВин(глумиться,издеваться); misbjóðaaðiДаткн.(оскорбить); vanhalgaaðiВин(осквернить)
надры́в	m1.(порванное место) skrædlс0о(skrætt,rivið hol)2.(чрезмерное усилие) overving [oːε-]ж0-ar; ка́шлять с надры́вом spreingjair(d)seg at hosta, vera sprongdurсоглav hosta; рабо́тать с надры́вом leggjaнепрnógv fyri (í arbeiði), overva [oːε-]aðiseg3.(резкое ослабление) veikleikiмгл-i; maktarloysiсгл-i(от усилия,быстрой ходьбы и т.п.), útlúgvingж0-ar(сильное утомление); tað at vera niðurnívdur; душе́вный надры́в sálarlig niðurnívingж0-ir4.(болезненная возбуждённость) tað at vera yvirspenturннк; говори́ть с надры́вом ≈ vera uppi á gosi, tá ein tosar
надрыва́ть	ipf(pfнадорва́ть)@надрыва́ть гло́тку {го́рло}óvkm.geylaaði(кричать); vera harðmæltur [haɹm-]согл(говорить громко)
надрыва́ться	ipf1.síнадорва́ться1-22.tlm.(делать что-л. с большим напряжением сил) stríðastir(d), leggjaнепрꞋ nógv Ꞌ fyri; baksaaði, knossaaði; надрыва́ться на рабо́те leggja nógv fyri á arbeiðinum, stríðast á arbeiðinum; надрыва́ясь, он тащи́л в го́ру тяжёлые са́ни hann knossaði ta tungu sletuni niðan gjøgnum brekkuna3.tlm.(кричать) geylaaði; ребёнок надрыва́лся от пла́ча barnið stórgræt4.от чего-л.(страдать) pínastir(d)av o-m@се́рдце {душа́} надрыва́етсяу кого-л. o-mtykist hjartaliga [j-] syndí o-m; tað níturo-mí hjartað [j-]кн.
надры́вистый	stfнадры́вист, ~а, ~о, ~ыadjkrampa-; надры́вистый го́лос mál, sum er á gosi; надры́вистый ка́шель sprongdur hosti; надры́вистый плач krampagrátur (судорожный плач), sjóðheitur grátur
надры́вный	stfнадры́в|ен, ~на, ~но, ~ныadj(истерический) hysteriskur [hʏꞋsteː-]соглsk; sum níturслнei-i-ií hjartað [ja-] (душераздирающий)
надры́згать	pf síдры́згать
надры́згаться	pf óvkm.drekkaслнa-u-useg skítрубо
надса́да	f1.óvkm.(чрезмерное напряжение) kýtingж0-ar; overving [oːε-]ж0-ar, sprongdж0-ir(чрезмерное усилие); ка́шлять с надса́дой kýtair(t)seg at hosta; рабо́тать с надса́дой leggjaнепрꞋ nógv Ꞌ fyri (í arbeiði), overva [oːε-]aðiseg,тжdrívaслнei-i-iá at arbeiða, koyrair(d)á at arbeiða; крича́ть до надса́ды geylaaði2.óvkm.(повреждение) overving [oːε-]ж0-ar, sprongdж0-ir
надсади́ть	надсажу́, надса́д|ишь, ~ятpf(ipfнадса́живать)что-л.óvkm.spreingjair(d)o-t(leggja ov nógv á), overva [oːε-]aðio-t; надсади́ть спи́ну fáaслнe-i-islysni (í rygginum); надсади́ть гло́тку overva røddina; надсади́ть ду́шу {се́рдце}fl.valdaur(d){a/e/o}o-msorg
надсади́ться	надсажу́сь, надса́д|ишься, ~ятсяpf(ipfнадса́живаться)óvkm.ovtaka [ɔʰtʰ-]слнó-ó-iseg (при поднятии тяжестей); overva [oːε-]aðiseg, spreingjair(d)seg
надса́дный	stfнадса́д|ен, ~на, ~но, ~ныadjtlm.1.(напряжённый,с надсадой) tógvinсоглоснgv; надса́дный смех anspenturннксоглlátur; надса́дный ка́шель ringurсоглhosti2.(требующий напряжения сил) strevinсоглосн, strígginсоглоснgg, tungurсогл(о работе)
надса́живать	ipf síнадсади́ть
надса́живаться	ipf síнадсади́ться
надсма́тривать	ipf над Ins, за Instlm.havaнепрumsjónvið Дат, havaнепрeftirlit [εʰtː-]við Дат
надсмо́тр	mumsjónж0-ir, eftirlit [εʰtː-]с0о
надсмо́трщик	mumsjónarmaðurмнепр, eftirlitsmaður [εʰtː-]мнепр
надста́вить	надста́влю, надста́в|ишь, ~ятpf(ipfнадставля́ть)что-л.leggjaнепрo-tniður; seymaaðio-tuppí o-t, skoytair(t)o-t(seta uppá fyri at gera longri)
надста́вка	plurнадста́в|ки, ~ок, ~камf1.(действие) niðurleggingж0-ar(av klæðum)2.tlm.(надставленная часть) bordiмгл-i
надставля́ть	ipf síнадста́вить
надстра́ивать	ipf síнадстро́ить
надстро́ечный	adjfilos.yvirbygnings-
надстро́ить	надстро́|ю, ~и́шь, ~ятpf(ipfнадстра́ивать)что-л.1.(увеличить в высоту пристройкой) byggjair(d)omaná o-t; надстро́ить дом byggja oman á húsini2.(пристроить сверху чего-л.) byggjair(d)o-tomaná [-Ꞌɔa]; надстро́ить эта́ж byggja eina hædd omaná
надстро́йка	plurнадстро́йки, надстро́ек, надстро́йкамf1.(то,что надстроено) hæddж0-ir(bygd omaná); yvirbygningurжсогл-arмор.(á skipi) (на судне)2.filos.(совокупность общественных идей) yvirbygningurжсогл-arфилос.=>ба́зис,па́лубный
надстро́чный	adj(sum er) yvir reglu; надстро́чный знак diakritiskt [-Ꞌkʰɹɪʰtː-] tekn [tʰεkn]спец.
надтре́снутый	stfнадтре́снут, ~а, ~о, ~ыadj1.(с трещиной) rivnaðurглaður, sprekkaðurннкглaður2.bert lffl.(о голосе и др.) darrandiглandi, skelvandiглandi(um mál o.a.)
надтре́снуть	надтре́сн|ет, ~утpfrivnaaði(eitt sindur)
надува́ла	m/f óvkm. (обманщик) snýtariмгл-ariнеодобр.; svindlari [svɪnla-]энкмгл-ariнеодобр., kúllurмсогл-arнеодобр.(мошенник
надува́ние	nuppblásingж0-ar(av bjargingarflaka o.tíl.)
надува́тельский	adjtlm.svindil-неодобр.
надува́тельство	ntlm.svindilм0осн-s,-arнеодобр., snýtarí [-Ꞌrʊi]ннкс0о{0<>i}
