к1	I коньtalvriddari
кинорежиссёр	mfilminstruktørurннкмсогл-ar, filmsleikstjóriнп[-stj-]мгл-i
киносеа́нс	mfilmsýningж0-ar
киносту́дия	ffilmstudioннкс0гл(-num)проф., upptøkurúmс0о(для съёмок)
киносцена́рий	mfilmshandrit [-hanr-]с0о
киносъёмка	plurкиносъём|ки, ~ок, ~камffilmsupptøkaжгл-a, upptøkaжгл-aav filmi
кинотеа́тр	mbiografur [-Ꞌkɹaː-]мсогл-ar, biografsalur [-Ꞌkɹaː-]мсогл-s,-ir(помещение)
кинофестива́ль	mfilmsfestivalur [-vaː-]мсогл-ar
кинофика́ция	f1.(организация кинотеатров и т.п.) byggingж0-arav biografum [-Ꞌkɹaː-]2.(установление оборудования для показа кинофильмов) uppsetingж0-arav filmapparati [-raː-]
кинофи́льм	mfilmurмсогл-s,-ir;согл-ar(kykmynd)
кинофици́ровать	кинофици́ру|ю, ~ешь, ~ютipf/pf что-л.1.(организовать кинотеатри и т.п.) byggjair(d)biografar [-Ꞌkɹaː-]2.(устанавливать оборудование для показа кинофильмов) setaur(t);ir(t)filmapparat [-raːt] upp
кинохи́т	m tlm.filmhit [-hɪtː]с0онеформ.
кинохро́ника	f1.(журнал) tíðindafilmurмсогл-s,-ir;согл-ar2.(жанр киноискусства) reportasjufilmur [-Ꞌtʰaː-]мсогл-s,-ir;согл-ar
кино́шка	plurкино́ш|ки, ~ек, ~камftlm.,skemt.biografur [-Ꞌkɹaː-]мсогл-ar
кино́шник	móvkm.1.(работник кинематографии) filmmaðurмнепр2.(любитель ходить в кино) íðin biografgangari [-Ꞌkɹaː-]мгл-ari
кино́шный	adjóvkm.biograf- [-kɹaː-]; films-
киноэкра́н	mfilmslørift [-løːɹɪt]с0о
ки́нуть	moment1.síкида́ть1.-6.2.Acctlm.(бросить,покинуть) faraслнó-ó-afrá Дат, rýmair(d)frá Дат=>клин@
ки́нуться	moment síкида́ться2-3
Кинша́са	fKinshasa [kʰɪnꞋʃaː-]м нескл.
кио́ск	mkiosk [kʰiꞋɔsk]ж0-ir{+}
киоскёр	mekspedientur [εʰkspʰeꞋʃεn̊t-]ннкí kiosk [kʰiˈɔsk]
кио́т	mkirk.ikonskáp [-Ꞌkʰoː-]с0о
Кио́то	m indeclKyoto [kiꞋoː-]м нескл.
ки́па	f1.(пачка) buntннкс0о, stakkurмсогл-ar; pakkiмгл-i(пакет)2.(мера) balliмгл-i
кипари́с	m(Cupressus) cypress [syꞋpʰɹεsː]ннкж0-ir, sypristræнпс0о{æ/ø}
кипари́сный	adj síкипари́совый
кипари́совый	adjcypress- [syꞋpʰɹεs-]ннк, sypris-нп
кипе́ние	nkókingж0-ar; то́чка кипе́ния kókipunkt
ки́пенный	adj gml.hjomhvítur [tʃʰ-]rсогл, skyggjamdi hvíturсогл
ки́пень	fgml.froðaжгл-a, hjóm [tʃʰ-]с0о
кипе́ть	киплю́, кип|и́т, ~я́тipf(pfвскипе́тьвскиплю́, вскип|и́т, ~я́т)1.bert 3. pers brúktur(клокотать,пениться) kókaaði; bulla [-tla]aði(слегка); вода́ кипе́ла vatnið kókar; чайни́к кипи́т ketilin kókar2.bert 3. pers brúktur(бурлить) brúsaaði, sjóðaaði; froðaaði, froyðair(d)(пениться)3.(о чувствах) brúsaaði, bralaaði, sjóðaaði; она кипи́т от зло́бы hon er so spinnandi óð; все кипе́ли øll [œtl] vóru á gosi4.bert 3. pers brúktur(о работе и т.п.) veraслнa-ó-eí gongd; gangaслнe-i-iskjótt frá hondini (спориться); рабо́та кипи́т arbeiðið gongur í fullari [-tl-] ferð, arbeiðið er í full svingэнк; бои́ кипя́т bardagin leikar á av tí harðasta; всё кипе́ло жи́знью alt uddi í lívi
ки́повый	adj síпла́нка
Кипр	m1.(остров) Kypern [kʰyː-]ннкж нескл., Kypros [kʰiː-], [kʰyː-]нпж0-ar(oyggj)2.(государство) Kypern [kʰyː-]ннкс0{дат.0}, Kypros [kʰiː-], [kʰyː-]нпс нескл.(land)
кипре́й	m(Epilobium) dúnurtж0-ir
киприо́т	mkypriotur [kʰyːpʰɹiꞋoː-]мсогл-ar
киприо́тка	plurкиприо́т|ки, ~ок, ~камfkypriotur [kʰyːpʰɹiꞋoː-]мсогл-ar(konufólk)
ки́прский	adjkypriotiskur [kʰyːpʰɹiꞋoː-]соглsk
кипу́чий	stfкипу́ч, ~а, ~е, ~иadj1.(бурлящий,пенящий) kókandiглandi; sjóðandiглandi, bralandiглandi2.fl.(напряжённый,бурный) rokmikilсоглосн; кипу́чая рабо́та rokanж0-ir; кипу́чая жизнь yðjandi lív
кипяти́льник	mkókariмгл-ari; dyppikókariмгл-ari(погружной)
кипяти́льный	adjkóki-; кипяти́льный бак ketilм0осн-s,-ar
кипяти́ть	кипячу́, кипят|и́шь, ~я́тipf(pfвскипяти́тьвскипячу́, всипят|и́шь, ~я́т)что-л.kókaaðio-t
кипяти́ться	кипячу́сь, кипят|и́тся, ~я́тсяipf(pfвскипяти́тьсявскипячу́сь, всипят|и́тся, ~я́тся)1.bert 3. pers brúktur(нагреваться до кипения) verða kókaðurглaður2.fl.,tlm.(горячиться) øsair(t)seg upp
кипято́к	Genкипятка́m1.(о воде) kókandi vatnс0о, heitt vatnс0о(nýliga kókað)2.fl.,tlm.(вспыльчивый человек) illsinnavættiсгл-i=>круто́й@
кипяче́ние	nkókingж0-ar
кипячёный	adjkókaðurглaður
кира́са	жsøg.bróst- og ryggbrynjaжгл-a
кираси́р	plur Genкираси́рí koll týdn.,кираси́ровum einstakar persónarmsøg.kyrasserur [kʰyɹaꞋseː-]мсогл-ar
кирги́з	mkirgisari [kʰɪɹꞋkiː-]мгл-ari, kirgisi [kʰɪɹꞋkiː-]мгл-i
Киргизиста́н	m síКиргизста́н
Кирги́зия	fKirgisien [kʰɪɹꞋkiː-]ннкс0{дат.0}, Kirgisia [kʰɪɹꞋkiː-]нпс нескл.
кирги́зка	plurкирги́з|ки, ~ок, ~камfkirgisari [kʰɪɹꞋkiː-]мгл-ari, kirgisi [kʰɪɹꞋkiː-]мгл-i(konufólk)
Кирги́зская Сове́тская Социлисти́ческая Респу́блика	(КиргССР)sovjet.Kirgisiska [kʰɪɹꞋkiː-] sovjetska [sɔujεska] sosialistiska [-Ꞌlɪ-] lýðveldið
кирги́зский	adjkirgisiskur [kʰɪɹꞋkiː-]соглsk;кирги́зский язы́к kirgisisktсприлskt
Киргизста́н	mKirgisistan [kʰɪɹꞋkiːsistaːn]с0{дат.0}
ки́рза	f grovt impregnerað bummulsstoff
кирза́	ftlm.síки́рза
ки́рзовый	adj úr grovum impregneraðum bummulsstoffi, síки́рза
кирзо́вый	adjtlm.síки́рзовый
Кириба́ти	n indeclKiribati [kʰiːɹiꞋpaːti]с нескл.
Кири́лл	msøg.Kyrillus [kʰyꞋrɪlː-]м0-ar{0<>i}; Кири́лл и Мефо́дий Kyrillus og Methodius [-Ꞌtʰoː-]м0-ar{0<>i}
кири́ллица	ftað kyrilliska [kʰyꞋrɪlː-] alfabetið [-Ꞌpeː-]
ки́рка	plurки́р|ки, ~ок, ~камf(церковь) luthersk [lʊʰtː-] kirkjaжгл-a
кирка́	plurкирки́, киро́к, кирка́мogки́р|ки, ~ок, ~камf(орудие) hakkariмгл-ari, eyrhøggariмгл-ari
Ки́ркенес	[-нэс]mKirkenes [kʰɪɹ̥k-]м0{дат.0}
Киркене́с	[-нэ́с]m vanlig úttala millum sjómenn o.o. síКи́ркенес
кирну́ть	кирн|у́, ~ёшь, ~у́тmomentóvkm.fáaслнe-i-især ein lítlanнеформ.
Ки́ров	mKirov [kʰiːɹɔf]м0{дат.0}(-1457;1781-1934Вя́тка;1457-1781Хлы́нов)
кирпи́ч	Genкирпич|а́;plur~и́, ~е́й, ~а́мm1.(брусок) múrsteinur [mʏʂ-]мсогл-ar;дом из кирпича́ múrsteinshús; стена́ в 2 кирпича́ dupultlaðaðurглaðurmúrur; класть кирпичи́ múraaði; стена́ из облицо́вочного кирпича́ skalmúraður [skεal-], [skal-]глaðurveggur2.tlm.(толстая книга) múrsteinur [mʏʂ-]мсогл-arшутл.,tuflutræс0o{æ/ø}шутл.(tjúkk bók)3.tlm.(дорожный знак) ferðsluskeltið «Eingin innkoyring» =>жечь5
кирпи́чный	adj1.múrsteins- [mʏʂ-]2.(о цвете) tigulreyðurгл@кирпи́чный чайte pressað í blokkum
киря́ть	ipf(momentкирну́ть)óvkm.drekkaслнa-u-useg fullan [-tl-], drekkaслнa-u-useg skítгрубо
ки́са	ftlm.,kel.síки́ска
кисе́йный	adjmusselin- [mʊsːɪꞋliːn-]@кисе́йная ба́рышняtlm.skaput og smáborgaralig gentaжгл-a
кисе́ль	Genкиселя́, киселю́m1.(кушание) ≈ reyðgreyturмсогл-ar(из ягод,сока и т.п.); моло́чный кисе́ль mjólkargreytur (við kartoffilmjøli)2.fl.(полужидкая масса) evjaжгл-a; krapiмгл-i(тающий снег)3.fl.,atf.(о человеке) bløkaжгл-aпренебр., tvøga [tʰvøːva]жгл-aпренебр.(viljaleyst fólk)@он мнеседьма́я {деся́тая} вода́ на киселе́tlm.,skemt.vit eru skyldir langt úti; vit eru pumpuringarшутл.;за семь вёрст киселя́ хлеба́тьorðt.,atf.faraслнó-ó-asneisaørindi
кисе́льный	adj: моло́чные ре́ки, кисе́льные берега́oftastspott.landið, ið flýtur í mjólk og hunangi
кисе́т	mtubbakspungurмсогл-ar
кисея́	fmusselin [mʊsːɪꞋliːn]с0о
ки́ска	plurки́с|ки, ~ок, ~камf1.tlm.,kel.(кошка) kiska [kʰɪ-]детск.,ласк., kisa [kʰiː-]детск.,ласк.(ketta)2.óvkm.(женщина) konufólkс0о3.jarg.(женский половой орган) lallс0овульг., табу, pillс0овульг., табу,grollaжгл-aвульг.,табу
кис-ки́с	interkisk kisk [Ꞌkʰɪ-], kis kis [Ꞌkʰɪsˌkʰɪsː]
кисли́нка	f: с кисли́нкойtlm.súrligur [sʏɹ-]глigur, nakað súrurсогл
кисли́ть	кисл|и́т, ~я́тipftlm.smakkaaðisúrur
кисли́ца	f(Oxalis) sýrusmæraжгл-a
ки́сло	advsúrt, súrliga; ки́сло улыбну́ться smílast súrliga
кислова́тый	stfкислова́т, ~а, ~о, ~ыadjheldur súrurсогл
Кислово́дск	mKislovodsk [-Ꞌvɔ-]м нескл.
кислоро́д	miltс0о, súrevniнпсгл-i
кислоро́дный	adjilt-, súrevnis-нп; кислоро́дная ма́ска iltmaska, súrevmismaksaнп; кислоро́дное голода́ние iltmangul [-aŋk-]ннкм0осн-s,-arпроф., súrevnistrotнпс0о; кислоро́дный аппара́т iltapparat [-raːt]ннкс0опроф., súrevnistólнпс0о=>поду́шка@
ки́сло-сла́дкий	stfки́сло-сла́д|ок, ~ка, ~ко, ~киadj1.(сладкий с кисловатым привкусом) súrsøturсогл2.bert lffl.,tlm.(о тоне и др.) súrligurглigur
кислота́	plurкисло́т|ы, ~, ~амf1.(вещество) syra [syː-]ннкжгл-aпроф., sýraнпжгл-a2.(свойство) súrheitннкж0-ir, súrleikiнпмгл-i, súrgaлпжгл-a3. jarg. (ЛСД) LSD [εlː εsː ˈteː]с0о{0<>i}
кисло́тность	fsúrheitsgrad [-kɹaː-]ннкж0-irпроф., súrleikaastigнпс0о, súrgaлпжгл-a; повы́шенная кисло́тностьlækn.ov [ɔ] nógv magasyra [-syː-], súrur magi
кисло́тный	adj1.(связанный с кислотой) syru- [syː-]ннкпроф., sýru-нп, súrurсогл; кисло́тный дождь súrt regn2. jarg.(относящийся к ЛСД) LSDE- [εlː εsː ˈte-]
кислотоупо́рный	adjsyrufastur [syː-]ннксогл{a/ø}проф., sýrudyggurлпсогл
кислоусто́йчивый	adjsyrufastur [syː-]ннксогл{a/ø}проф., sýrudyggurлпсогл
ки́слый	stfки́сел, кисла́, ки́сло, ки́слыogкислы́adj1.(о вкусе) súrurсогл; ки́слый вкус súrur smakkur; ки́слый на вкус við súrum smakki2.bert lf(в результате брожения) súrurсогл; súrgaðurглaður; ки́слoe молоко́ súr mjólk (прокисшее); súrgað mjólk3.fl.(унылый) súrurсогл; ки́слая ми́на {ки́слое лицо́} súrt yvirbragdс0o{a/ø}, gronж0-irгрубо(ringur hýrur); у неё ки́слое настрое́ние hon er so gronut; у него́ ки́слый вид hann hevur gron@ки́слые во́ды {исто́чники, ключи́}mineralvatnskeldur [-Ꞌraː-] við kolsyru [-syː-] í vatninum =>капу́ста1,те́сто1,щи
кисля́тина	ftlm.1.(что-л. очень кислое)o-tsúrt2.fl.,atf.(о человеке) deydaжгл-a
ки́снуть	ки́сн|у, ~ешь, ~ут; ки́снулo.s.fr. ogкис, ки́сл|а, ~о, ~иipf1.pfпроки́снутьпроки́сн|у, ~ешь, ~ут; pret проки́с, ~ла, ~ло, ~ли, ски́снутьски́сн|у, ~ешь, ~ут; pret скис, ски́сл|а, ~о, ~иsúrna [-ɹn-]aði, verða súrurсогл2.fl.(быть унылым) veraслнa-ó-eí ringum lag; gronastaði
киста́	flækn.cyst [sʏst]ж0-irмед.
кистево́й	adj: кистево́й суста́в handliður [hanl-]мсогл-s,-ir
кисте́нь	Genкистн|я́;plur~и́, ~е́й, ~я́мmsøg.slag av vápni, reim við tungari kúlu
ки́сточка	plurки́сточ|ки, ~ек, ~камf1.(для нанесения краски и т.п.) pensilмсогл-s,-ir; ки́сточка для бритья́ rakikusturмсогл-ar2.(украшение) duskurмсогл-ar; skúvurмсогл-ar{+}3.síкисть4
кисть	plurки́сти, кист|е́й, ~я́мf1.(руки) hondж0-ur{o/e}2.(для краски) pensilм0осн-s,-ar; kusturмсогл-ar(большая,грубая); маля́рная кисть málingarpensil3.(искусство живописи) málningalistж0-ir; málingarlagс0o{a/ø}(манера письма); владе́ть ки́стью duga at mála (sum list); писа́ть широ́кой ки́стью mála við breiðum pensli; карти́на ки́сти неизве́стного худо́жника ein málningur eftir [εʰtː-] ókendan listamann4.plant.(соцветие) klasiмгл-iтжбот.; tyssiмгл-i; кисть виногра́да drúvuklasi, drúvutyssi5.síки́сточка2
кит	Gen, Accкит|а́; plur~ы́, ~о́в, ~а́мm1.(отряд Cetacea) hvalurмсогл-s,-ir; большо́й кит stórhvalur [stœɹ̥-]; гла́дкие {настоя́щие} киты́ (сем. Balaenidae) rætthvalirмнзоол.; голубо́й китsíси́нийкит; гренла́ндский {поля́рный} кит (Balaеna mysticetus) grønlandsslættibøka [-lan̊s-]жгл-a; остроры́лый кит (Balaenoptera acutorostrata) sildreki [sɪlr-]мгл-i,sí eis.полоса́тик; сайдяно́й кит (Balaenoptera borealis) seiðhvalur,sí eis.сейва́л; се́верный гла́дкий кит (Eubalaena glacialis)slættibøka жгл-a. slættubøka;жгл-a; сельдяно́й кит (Balaenoptera physalуs) nebbafiskurмсогл-ar,sí eis.финва́л; се́рый кит (Eschrichtius robustus) gráhvalur; си́ний кит (Balaenoptera musculus) royðurж0осн, bláhvalur2.oftast plurfl.(о человеке) skorðaжгл-a, stuðulм0осн-s,-ar(um fólk)@три кита́bókl.,gml.sterkt grundstøði [kɹʊns-]сгл-i=>биска́йский,зуба́тый,Со́верби,спермаце́товый,уса́тый3
китаеве́д	m síкитаи́ст
китаеве́дение	n síкитаи́стика
кита́ец	Gen, Accкита́йц|а; plur~ы, ~ев, ~амmkinesari [kʰiꞋneː-]мгл-ari, kinverji [tʃʰiː-]мгл-iкн., ред.
китаи́ст	msinologur [-Ꞌloːk-]мсогл-arспец.
китаи́стика	fsinologi [-Ꞌkiː]ж0-irспец.
Кита́й	mKina [kʰiː-]с нескл.; Респу́блика Кита́й Lýðveldiðопр.Kinaофиц.(Taiwan)
Кита́йская Наро́дная Респу́блика	(КНР) Fólkalýðveldiðсгл-iопр.Kina [kʰiː-]офиц.
кита́йский	adjkinesiskur [kʰiꞋneː-]соглsk, kinverskur [tʃʰiː-]соглskкн., ред.; кита́йский язы́к kinesisktсприлskt@э́то для меня́кита́йская гра́мотаtlm.hetta er sum latín [-Ꞌtʰʊin] hjá [tʃʰ-] mærпог.; hetta er krákumál fyri megпог; eg skilji ikki petti av hesum =>стена́@
