д.	1.день2.дере́вня3.долгота́4.домsíдом; ул. Панфёрова, д. 11 Panfjorovs [-Ꞌfjoː-] gøta 11
дича́ть	ipf(pfодича́ть)1.(о растениях) villast [-tla]ir(d)út; faraслнó-ó-aí forna [-tna] (о полях); gerast styggurсогл(о животных и др.); leggjastнепрꞋ út (ос. о кошках); gerastнепрvargur (об овцах)2.(становиться нелюдимым) gerastнепрfólkaskýgginсоглоснgg3.(становиться грубым,некультурным) gerastнепрófólkaligur [-Ꞌfœ-]глigur, gerastнепрósiðaðurглaðurкн.
дичи́на	f tlm.1.(животное) veiðidýrс0о, fuglurмсогл-ar(at veiða) (птицы)2.(мясо) kjøtс0о(av veiðidýri), fuglurмсогл-ar(av villum fugli) (от птицы)
дичи́ться	дич|у́сь, ~и́шься, ~а́тсяipf(Gen) skýggjaaðiВин, vera fólkaskýgginсоглоснgg
дичо́к	Genдичк|а́;plur~и́, ~о́в, ~а́мm1.(дерево) sjálvsátt træс0о{æ/ø}{0<>i}, vilt træс0о{æ/ø}{0<>i}2.fl.(о человеке) smæðið fólkс0о, fólkaskýggið fólkс0о
дичь	f1.(животное) veiðidýrс0о, fuglurмсогл-ar(at veiða) (птицы)2.(мясо) kjøtс0о(av veiðidýri), fuglurмсогл-ar(av villum fugli) (от птицы); villibráð [-tl-]ж0-irвыс., ред., villinibráð [-tl-]ж0-irвыс., уст.(мясо)3.tlm.(вздор) møsnс0о, svassс0о, vrøvlэнкс0о; поро́ть дичь møsnaaði, svassaaði, vrøvlaэнкaði4.Prpв дичи́tlm.(глушь) ólendiсгл-i, oyðaжгл-a(пустынное место)
диэле́ктрик	mdielektrikum [ti:eˈlε-]с0о({0<>i)спец.
ДК	[дэ-ка́],Д/к [дэ-ка́]m indeclДворе́ц культу́ры mentunarborg; Дом культу́ры mentunarhús
длина́	plurдли́н|ы, ~, ~амflongdж0-ir(longdarmát); síddж0-ir(тк о платье,волосах) два ме́тра в длину́ tveir metrar langur; три ме́тра длины́ tríggjar metrar langur, tríggjar metrar til longdar; длино́й в два ме́тра tveir metrar langur; длина́ волны́ a) (морских волн) aldulongd; b) (радиоволн и др.) bylgjulongd; в длину́ eftir [εʰtː-] longdini; упа́сть во всю длину́ detta endalangur; изме́рить длину́чего-л.mála longdinaá o-m; длина́ пла́тья longd á kjóla, sídd á kjóla =>ме́ра1,пры́гать2,прыжо́к2
длинне́е	comp avдли́нный; сде́латьчто-л.длинне́е leingjair(d)o-t; geraнепрo-tsíðari, leggjaнепрo-tniður (платье и т.п.); стать длинне́е leingjastir(d), gerastнепрsíðari (платье и т.п.)
длинно-	samans-langur
длинноборо́дый	adjsíðskeggjuturсогл
длинноволно́вый	adjlangbylgju-
длинноволо́сый	adjsíðhærdurсогл
длинноли́цый	adjlangleitturсогл
длинномо́рдый	adj: длинномо́рдый тюле́нь (sí)
длинноно́гий	adjlangbeinturсогл, beinlangurсоглng{a/o}
длинноно́сый	adjvið langari nøs
длинноство́льный	adjherm.við langum løpi, við langari pípu
длинно́ты	f plur(в тексте и т.п.) langrøkiðсоглоснpetti (í teksti), roksutсоглpetti (í teksti)
длиннохво́ст	m(сем. Macrouridae) langasporlс0о; се́верный длиннохво́ст (Macrurus berglax) rísna langasporl; тупоры́лый длиннoхво́ст (Coryphaenoides rupestris) (kubbuta) langasporl
длиннохво́стый	adjhalalangurсоглng{a/o}; sum hevur langt vel (о птицах)
длинношёрстный	adjsíðhærdurсогл; síðullaður [-tl-]глaður(б.ч. об овцах)
длинношёрстый	adj síдлинношёрстный
дли́нный	stfдли́нен, длинна́, дли́нноogдлинно́, дли́нныogдлинны́adj1.(имеющий большую длину) langurсоглng{a/o}; síðurгл(б.ч. об одежде,тж о бороде и т.п.); høgurгл, stórurсогл(высокий)2.bert stf(слишком длинный) ov [ɔ] langurсоглng{a/o}, for [fɔɹː]ннкlangurсоглng{a/o}, ov [ɔ] síðurгл, for [fɔɹː]ннкsíðurгл@у неё язы́к дли́нныйhon brúkar seg, hon skræðir seg; hon mýkir geilatíkinaидиом., неодобр.=>рубль@
дли́тельность	flongdж0-ir,sí eis.дли́ться; дли́тельность рабо́чего дня longdin á arbeiðisdegnum [-teːn-]; дли́тельнось жи́зни lívstíð
дли́тельный	stfдли́телен, дли́тельн|а, ~о, ~ыadjlangurсоглng{a/o}, drúgvurсоглgv; дли́тельная боле́знь drúgv sjúka; дли́тельный о́тпуск long feria; он отсу́тствовал дли́тельное вре́мя hann var burtur í langa tíð; в тече́ние дли́тельного вре́мени í langa tíð
дли́ться	дли́тся, для́тсяipf(pfпродли́тьсяпроли́тся, продля́тся) varair(d), standaслнó-ó-aꞋ við (ос. о погоде и т.п.); война́ дли́лась 4 го́да kríggið vardi í 4 ár; боле́знь дли́тся тре́тий ме́сяц sjúkan hevur (skjótt) vart í tríggjar mánaðir; хоро́шая пого́да дли́лась два дня tað góða veðrið [vεkɹɪ] stóð við í tveir dagar, tað góða veðrið [vεkɹɪ] vardi í tveir dagar
для	prep + Gen1.(в пользу) fyri +Вин; til +Вин(Род с личн. мест. и нек. геогр. назв.,иначекн.,уст.); сде́лай э́то для меня́ ger hetta fyri meg; купи́тьчто-л.для дете́й keypao-ttil børnini [-tn-]; я купи́л журна́л для него́ eg keypti eitt blað til hansara; eg keypti eitt blað fyri hann (по его просьбе); сде́латьчто-л.для здоро́вья gerao-tfyri heilsuna; необходи́мый дляGenneyðugur fyriВин2.(с целью) til at +инф., fyri at +инф.; для реше́ния вопро́са til at loysa málið; он прие́хал для изуче́ния языка́ hann kom fyri at lesa mál; для чего́? hví?; til hvat?; для того́, что́бы…síчто́бы; длячего-л.til at+ инф.; для сме́ха til at grína at3.(указывает на назначение) til +Вин(Род с личн. мест. и нек. геогр. назв.,иначекн.,уст.); fyriВин; назна́ченный дляGenætlaðurДат; о́вцы для убо́я drápsseyður; уче́бник для студе́нтов lærubók til studentar [-Ꞌtε-], lærubók fyri studentar [-Ꞌtε-]; игру́шки для дете́й leikutoy [-tʰœi] (реже[-tʰɔi]) til børn [-tn]; дуэ́т для скри́пки и виолонче́ли duett [tuꞋεʰtː] fyri violin [viːoꞋliːn] og cello [sεlːo]; сосу́д для воды́ ílat til vatn; альбо́м для рисова́ния teknihefti [tʰεknɪ-], tekniblokkur [tʰεknɪ-]; я́щик для пи́сем brævskuffa, skuffa til brøv4.(по отношению к;сравнительно с ожидаемым) fyri +Вин; вре́мя для меня́ до́рого tíðin er dýr fyri meg; вре́дный для здоро́вья ringur fyri heilsuna; э́то не подхо́дит для него́ hetta egnar seg ikki til hansara, hetta hóskar ikki honum; э́то ничего́ для него́ hetta er einki fyri hjá [tʃʰ-] honum, hetta er lítið fyri hjá [tʃʰ-] honum; для меня́ э́то име́ет большо́е значе́ние fyri meg hevur tað nógv at siga; э́то был большо́й уда́р для неё hetta var ein dyggur smeitur fyri hana, tað var henni eitt dygt kneyk; о́чень жа́рко для Москвы́ ógvuliga heitt fyri Moskva; для иностра́нки она́ хорошо́ говори́т по-ру́сски hon tosar gott russiskt av einum útlendingi at vera; (он о́пытен) для свои́х лет (hann er royndur) av sínum aldri,sí eis.типи́чно, характе́рный 1@не́ для чего́+inf(излишне) tað nyttar einki at +инф.=>видI @,защи́та1,кра́ткость,по́льза,разнообра́зие@,уве́ренность
дм	дециме́тр
дн...1	I дня…o.s.fr. síдень
дн...2	II дню́юo.s.fr. síднева́ть
дн...3	III днаo.s.fr. síдно
ДНД	[дэ-эн-дэ́]f indeclДоброво́льная наро́дная дружи́наsíдружи́на
днева́лить	днева́л|ю, ~ишь, ~ятipftlm.havaнепрvakt (síднева́льный)
днева́льный	mvakthavandiмприл
днева́ть	дню́|ю, ~ешь, ~ютipf: днева́ть и ночева́тьгде-л.veraслнa-ó-eonkustaðnialtíð og stund, veraслнa-ó-eonkustaðnitíðliga [tʰʊʎja] og síðla
дневни́к	Genдневник|а́;plur~и́, ~о́в, ~а́мm1.(для ежедневной записи) dagbók [tak-] (реже[tεa-])ж0-ur{ó/ø}(записи б.ч. личного характера и т.п.); journalur [ʃʊɹꞋnaː-]мсогл-arспец., проф.(записи о текущих событиях); вести́ дневни́к føra dagbók, skrivaaðidagbók2.(ученический) ≈ lektiubók [lεʰkʃʊ-]ж0-ur{ó/ø}, boð- og setningsbókж0-ur{ó/ø}
дневно́й	adj1.(кдень) dag-; дневна́я сме́на dagvaktin; дневно́е обуче́ние undirvísing um dagin; дневно́й свет dagsljós [taʰks-]; дневно́й спекта́кль {дневно́е представле́ние} sýning um dagin (fyrrapart ella seinnapart); matiné [maːtʰiꞋneː]ж0-ir(музыкальное и др. представление днём); ла́мпа дневно́го све́та dagsljóslampa [taʰks-]; в дневно́е вре́мя um dagin2.(за день) um dagin (ein dag); дневно́й за́работок dagløn [tak-]3.(о животных,насекомых) dag- [tεa-]; дневна́я ба́бочка dagfirvaldur, dagsummarfuglur
днём	advum dagin; á degi; днём и но́чью nátt og dag@иска́тьAccднём с огнёмleita eftir [εʰtː-]Датundir hvørjum steiniпог.; днём с огнём не найти́Acc Имfinst ikki, hvussu so verður leitað
Днепр1	IGenДнепра́m(á) Dneprж нескл., Dnjeprж нескл
Днепр2	IIGenДнепра́m(býur) Dneprм0{дат.0}, Dnipro [tnɪˈpʰɹoː]м нескл(1776-1797;1802-1926Екатериносла́в;1797-1802Новоросси́йск;1926-2016Днепропетро́вск
Днепропетро́вск	mDnepropetrovsk [-ˈtʰɹɔfsk], [-ˈtʰɹɔusk]м0{дат.0} síДнепрII
Днестр	GenДнестра́mDnestrж нескл., Dnjestrж нескл.
дни́ще	nbotnurмсогл-ar(á tunnu, flatbotnaðum báti o.ø.)
ДНК	[дэ-эн-ка́]f indeclдезоксирибонуклеи́новая [дэ-] кислота́ DNA [teːεnːꞋaː]с0о, desoxyribonukleinsyra [ˌteːsɔʰksyriːponʊʰkleꞋiːnsyːɹa]: экологи́ческая ДНК umhvørvis-DNA [-ˌteːεnːaː]
ДНК-ана́лиз	[дэ-эн-кa-]mDNA-kanning [te: εnˑ ˈaˑ-]ж0-ar
днк-диагно́стика	[дэ-эн-ка́-]fDNA-diagnostikkur [teː εnː ˈaːtiːjaknɔstɪʰkː-]мсогл-arспец.
ДНК-те́ст	[дэ-эн-ка-тэ́ст]mDNA-roynd [teː εnː ˈaː-]ж0-ir, DNA-test   [teː εnːж0-irпроф.
дно	n1.bert sing(морское,углублений) botnur (havbotnur o.a)мсогл-ar; морско́е дно havbotnur, sjóbotnur; на дне овра́га á botninum á gilinum; на са́мом дне heilt niðri [nɪɹːɪ] á botni; доста́вить (нога́ми) до дна (идя в воде) grynna2.plurдо́н|ья, ~ьев, ~ьям(сосуда,вместилища,лодки) botnurмсогл-ar(á ílati,báti o.ø.); с двойны́м дном við dupultum botni; вы́бить дно у бо́чки sláa botnin úr tunni; вста́вить дно вочто-л.seta botn ío-t; на дне сундука́ á kistubotninum3.bert sing(головного убора) kollur [-tl-]мсогл-ar(á høgum hatti o.tíl.)4.bert sing(низший общественный слой) útskotс0о, útskotspakkс0о; дно о́бщества botnurin í samfelagnum [-feːlanʊn]@до днаtil síðsta [sʊʃta], [sʊi̯sta] dropa, til fulnar;пить до днаtømair(d)í botn;идти́ ко дну{на дно} faraслнó-ó-atil botns [pɔn̊s], søkkaслнa-u-o;пусти́тьAccна дно{ко дну}søkkjair(t)Вин; skjótaслнey-u-oВинí kav (выстрелом);золото́е дноfl.gullnám (тж[kʊtl-])перен.,кн. =>вверх3,двойно́й1,@,заде́ть1
дноочисти́тельный	adjbotnreinsingar- [pɔnɹ-], [pɔʰtnɹ-]
дноуглуби́тельный	adj: дноуглуби́тельное су́дно dýpingarskip; иду́т дноуглуби́тельные рабо́ты arbeitt verður við at dýpa, dýpingararbeiði fer fram
ДНП	[дэ-эн-пэ́]m indeclДепарта́мент нало́говой поли́ции Росси́йской Федера́ции Tann russiska skattaløgreglan
ДНР	[дэ-эн-э́р]f indeclДоне́цкая Наро́дная Респу́блика Fólkalýðveldið Donetsk [-ˈnεʰtsk] (ikki viðurkent land í Eystureuropa)
дня́ми	advtlm.fyrsta [fɪsta] dagin, í næstum
до...	forskoytiAmerkir við sagnorðum1)at gerðin er fullførd ella ætlanin er nádd: допе́ть syngja liðugt, syngja á enda; доплы́ть sigla fram til 2)at o-t er fylt,ella o-t er lagt afturat: докупи́ть keypa afturat (o-m sum longu er keypt) 3) (við eftirskoytanum-ся)at eitt positivt ella negativt úrslit er rokkið: добуди́тьсякого-л.fáa vakto-n; доигра́ться vera komin illa [ɪtla] fyriBmerkir við lýsingarorðumfor-, fyri-: доистори́ческий forsøguligurCger hjáorð av stuttformum av lýsingarorðum:разде́ться догола́ lata seg úr spilnaknan
до1	Iprep + Gen1.(указывает на границу,sbr.за 6) til +Вин(в идиомах тж Род, til Род с личн. мест. и нек. геогр. назв.,иначекн.,уст.); от Москвы́ до Ми́нска frá Moskva til Minsk; дойти́ до реки́ fara til ánna, koma til ánna; до го́рода два киломе́тра tað eru tveir kilometrar [kʰiːloꞋmeː-] til býin; до са́мой шко́лы heilt til skúlan, allan [atl-] vegin til skúlan; я дошла́ до угла́ eg kom til hjørnið [jœ-]ннк; счита́ть до десяти́ telja upp í tíggju; от Пу́шкина до Че́хова frá Pusjkin til Tjekhov [tʃʰεʰkːɔf]; до после́дней ка́пли til síðsta [sʊʃta], [sʊi̯sta] dropa2.(указывает на временной предел) til +Вин(в идиомах тж Род;til Род с личн. мест. и нек. геогр. назв.,иначекн.,уст.}; отложи́ть до ве́чера útseta til í kvøld, útseta til um kvøldið, útseta til kvølds [kʰvœl̥s]; до после́днего вре́мени til fyri stuttum; до на́ших дней (fram) til okkara dagar; до вчера́шнего дня til í gjár; до про́шлого го́да til í fjør; до по́здней но́чи til langt út á náttina ; до полу́ночи til midnátt,sbr.3; до са́мого ве́чера líka til kvølds [kʰvœl̥s]; он ждал до девяти́ (часо́в) hann bíðaði til klokkan níggju; до тех пор, пока́… so leingi sum...; до тех пор, пока́… не… til..., inntil...; с утра́ до ве́чера frá morgni [mɔtnɪ] til kvølds [kʰvœl̥s], frá morgni [mɔtnɪ] til myrkurs,sbr. eis.с B 33.(раньше,прежде) innan +Вин, (framman) undan +Дат, áðrenn +Вин; встать до восьми́ fara upp áðrenn klokkan átta; до полу́ночи innan midnátt,sbr.2; до э́того frammanundan; до того́, как… áðrenn...; до тех пор, пока́… áðrenn...; до тех пор, пока́ он не жени́лся, он ча́сто быва́л у нас áðrenn hann giftist, plagdi [pʰlatːɪ] hann ofta at vitja okkum; всё бу́дет гото́во до ве́чера alt verður liðugt áðrenn í kvøld; они́ должны́ прие́хать до пятна́дцатого tey skulu koma innan fimtanda; до войны́ áðrenn kríggið, undan krígnum [kʰɹʊinʊn]; до откры́тия Аме́рики innan Amerika varð uppdagað [-Ꞌteː-]; до побе́ды револю́ции áðrenn kollveltingin sigraði; за полчаса́ до конце́рта ein hálvan tíma áðrenn konsertina [-sε-], ein hálvan tíma framman undan konsertini [-sε-]4.(при указании результaта,степени,предела) so at...; набе́гаться до уста́лости renna seg móðan; начи́ститьчто-л.до бле́ска pussao-t, so tað skínur; до того…, что… so... at...; он до того слаб, что… hann er so ússaligur, at...5.(при указании количественного предела) upp til; зал вмеща́ет до ты́сячи челове́к salurin rúmar upp móti túsund fólkum; ве́сом до трёх килогра́ммов upp til trý kilo í vekt; мы мо́жем потра́тить до 5000 рубле́й vit kunnu brúka upp til 5000 rublar; бы́ло до тридцати́ гра́дусов моро́за tað var niður til 30 kuldastig; их бы́ло до ста челове́к teir vóru upp ímóti [-Ꞌmɔu] hundrað monnum; teir vóru einir hundrað mans (около)6.(меньше) undir; де́ти до шести́ лет børn [-tn] undir seks ár, børn [-tn] yngri enn seks ár, børn [-tn] upp til seks ár@до чего́…!so...! до чего́ жаль! tað er so stór synd!; до чего́ вку́сно! tað smakkar so væl!;кому-л.не доGena) (настроения нет)o-rhevur ikki hug tilo-t; b) (нет времени)o-rhevur ikki tíð tilВин(Род с личн. мест.,иначекн.,уст.); мне не до того́ {э́того} eg havi annað um at vera; eg havi ikki hugsku [hʊskʊ] til tað; мне не до сме́ху mær er ikki látur í huga; ей не до разгово́ров hon hevur ikki hugsku [hʊskʊ] til at práta; мне не до тебя́ eg havi ikki stundir at fáast við teg;что до...hvat viðvíkir...Дат; что до меня́ hvat mær viðvíkir =>за5,кровь1,неузнава́емость,пора́@,сте́пень2,тошнота́,хрипота́
