U1	(bókstavurin) u
untutored	1óskúlaður, ómentaður, ólærdur, óupplýstur2ikki uppgjørdurel.tilgjørdur, ikki skaputur
untwine	loysa upp, greiða (eitt) sundur, rekja (eitt) upp (ið er samantvinnað)
untwist	loysa(t.d.bind)
untypable	sum kann ikki flokkast undir ávíst slag
unusable	ónýtiligur, óbrúkiligur
unused1	ónýttur, óbrúktur, sum stendur tómur (t.d.unused room)
unused2	óvanur(tovið at)
unusual	óvanligur, sjáldsamur
unutterable	ósigandi, sum kann ikki lýsast (t.d.joy; anguish); sum ber ikki til at siga (t.d.an unutterable foreign word)
unuttered	ikki sagt, ósagt, ikki munnborið (t.d.wish)
unvalidated	ikki váttaður ella prógvaður at vera sannur
unvaried	støðugur, óbroytiligur; fábroyttur
unvarnished	1ólakkaður, óferniseraður2(um framsøgn/útsøgn) einfaldur, sum eitt í royndum er, sum ikki er hampaðurel.snøggaður, sagdur bart út (t.d.unvarnished truth)
unveil	1(standmynd, ætlanir) avdúka (t.d.unveil a statute; u- a secret)2(óáv,fl.m.)avdúka seg, vísa sítt rætta andlit (t.d.unveil oneself)
unventilated	1ikki útluftaður, ringur, tungur, kvalin, køvandi2(t.d.um ætlan) ikki borin fram (t.d.plan), ikki umrødd, ikki umtalað, ikki skift orð um (t.d.grievances)
unverifiable	óváttaður, sum kann ikki váttast, sannastel.staðfestast (t.d.newsóváttað tíðindi); sum kann ikki sannprógvast (t.d.theories)
unverified	óváttaður, leysa- (t.d.leysasøgur, leysatíðindi)
unversed	ókønur (iní), sum ongar royndir hevur (iní)
unviable	ikki lívførur, ikki førur fyri at fóta sær, ikki førur fyri at vinna á (t.d.trupulleikunum) ((t.d.commercially unviable firms)
unvitiated	ódálkaður, reinur (t.d.air); óspiltur; ósmittaður
unvoice	(ljóðfr.) avradda (t.d.consonant,hjáljóð)
unvoiced	1ósagdur, ikki framborin, sum ikki er borin fram (t.d.criticism)2(ljóðfr.)óraddaður (t.d.an unvoiced consonant)
unvote	1broyta við nýggjari atkvøðugreiðslu2taka atkvøðurættin frá
unwaged	1(um arbeiði) óløntur2(um fólk) sum ikki er løntur, sum ikki fær løn; arbeiðsleysur
unwanted	óynsktur
unwarrantable	1skilaleysur, ikki ráðiligur, ábyrgdarleysur, sum líkist ongum,(tlm.)óforsvarligur (t.d.conduct; negligence)2ógrundaður, við ongum rætti, av órøttum (t.d.criticism)
unwarranted	1óbiðin, óneyðugur; heimildarleysur, óheimilaður (t.d.unwarranted supposition),við ongari heimild (t.d.unwarranted interference)2veðhaldsleysur, við ongum veðhaldi
unwary	óhyggin, óskettin, óvarin, ótonktur, sum fer fram eftir fummum, óráðtøkin, busutur, fummisligur, sum er lopin framav, sum hevur ikki fyrilit, gáloysin
unwashed	óvaskaður, ótvigin, óskolaður; grovur, óhøviligur;the great unwashed (tlm., skemt.)fjøldin
unwatched	mannleysur, við ongum eftirliti, eftirlitsleysur (t.d.lightviti)
unwatered	1við ongum vatni, vatnleysur, turrur (t.d.desert)2óblandaður, ótyntur3ikki vatnaður, sum ikki hevur fingið vatn (t.d.lawn)
unwavering	har var einki hink í, uttan himpr, støðufastur, fastur; blindur, treytaleysur, óvikandi (t.d.unwavering loyalty)
unwearied	áhaldin, áhaldandi, ótroyttiligur, ótroyttandi
unwearying	áhaldin, áhaldandi, ótroyttiligur, ótroyttandi
unweave	rekja upp
unwed	ógiftur, ikki giftur (t.d.unwed mothers)
unweight	taka tyngslunael(tlm.) vektina burtur
unweighty	ikki tungur, sum vigar lítið
unwelcome	1óynsktur, ikki fyrikomandi, óbeinasamur, ólagaligur, óviðeiriligur, ikki lýddur (t.d.truth)2(um gest) ikki vælkomin
unwelcoming	1óblíður2(um pláss) óhugaligur, óheimligur, óunniligur
unwell	1illa til passar, illa hirsin, illhirsin2be unwell(serst. tlm.) hava mánasjúkuel.tíðir, (gl. skemt.) hava gøtumenn
unwept	ósyrgdur, sum eingin harmast um
unwhetted	óbrýndur, óhvestur
unwhipped	an unwhipped cubein lítil kúllur
unwholesome	ikki heilsusamur, heilsuskaðiligur (t.d.food; air)
unwieldy	1illtungur, knossasligur, óhandigur, ófimsligur, óviðførligur, óskotligur, klombrutur2ófriðarligur (t.d.crowdmannamúgva, mannfjøld)
unwilling	treyður, óvilligur, trekur, lítið hugaður, ófúsur, jánka(s)ligur, tvitin
unwillingly	treyðugt, trekliga, við ringum tannabiti, av lítlum huga
unwillingness	óvilji, óvild, at vera tvørurel.ófúsur, at vera lítið hugaður
unwind	1vinda burtur av; greiða (fløkju); rulla út2(um fólk) taka sær av løttum,(tlm.)slappa av
unwinnable	sum ikki kann vinnast (t.d.war)
unwise	óklókur, óhyggin, óskynsamur, óvitigur, óvitskutur, óskilaligur
unwitting	óavvitandi, uttan at vita av einum, sum ikki veit//visti av tí, ótilvitandi
unwittingly	av óvart, av tilvild, í gáloysni, uttan at vita av, óavvitandi, ótilvitandi, ikki við vilja
unwonted	(forml.)óvanur; óvanligur
unworkable	1ógjørligur, sum ber ikki til (t.d.unworkable plan)2ónýtandi (t.d.unworkable method),ónýtiligur, ónýtur, ógegniligur, óhandigur3(til tilfar) sum kann ikki evnast til el. smíðast, ósmíðiligur4ikki virkisførur, sum virkar ikki, sum riggar ikki, nýtiligur; sum kann ikki fáast at virka, riggael.ganga
unworkmanlike	krotusmíðkendur, sum gjørt av krotusmiði; klombrutur, sum gjørt av leikmanni
unworldly	1ójarðligur, óveraldligur, yvirnatúrligur (t.d.beauty)2(um fólk) góðvarin, góðtrúgvin, naivur; burtur í øðrum heimi, sum livir í øðrum heimi(el.í aðrari verð)3(ognumviðv.)ikki verðsligur, ósjálvsøkin, hugsjónarligur, hugsjónar-
unworthy	1óverdigur, óverdugur, ikki verdur; skammiligur, ósømiligur (t.d.behaviour unworthy of a gentleman), sum hevur ikki uppiborið..., óuppborin (t.d.praise)2(gl.) virðisleysur
unwrap	pakka upp, lata upp
unwrapped	óinnpakkaður, ikki innpakkaður
unwritten	óskrivaður (t.d.unwritten law);sum er ikki skrivað á (t.d.unwritten postcard);ikki skrivligur (t.d.an unwritten order); the book remained unwrittenbókin varð ongantíð skrivað
unyielding	1óvikandi (t.d.determination)2(lyndiseyðkenni) stívrendur, sum slakar ikkiel.gevur eftir, sum ikki firnast fyri nøkrum, treiskur, tvørur
unyoke	spenna frá, loysa ein frá einum
unzip	1draga snarlásiðel. (tlm.)lýnlásið niður, lata upp2(við ongum ávirki) sum kann latast/dragast upp
unzipped	(am.)við ongum postnummari
U. of S. Afr.	(st.)Union of South Africa
U. P.	Sit’s all U.P.nú er liðugt; so er hatta liðugt, so er hatta ikki eftir
up1	1góðar tíðir, uppgongutíðir2bratti, brekka (niðan brekku)3(am.,S)gott lag, frøi; (sí eis.uppersumn)4[íyms. samb.]on the uphækkandi;on the up and up,síup-and-up; ups and downsskiftingar(viðv.eydnu og óeydnu), umskifti, góðar og ringar tíðir, eitt ið er í støðugari broyting
up2	1(tlm.)lyfta2(tlm.,um upphædd) taka út3(tlm.)hækka (t.d.up the price; taxes);økja (t.d.the capacity)4(tlm.)leypa á føturel.springa upp og knappliga fara (t.d.he -ped and left); he ups and says (uml.)hann játtar, áðrenn hálvtalað er orðið;up anchordragael.taka akkerið upp
up3	1uppi(they are not up yet);frammi, yviri2(um hending, tilburð) á vási, í umbúna, (hvat er) áfatt3(um tíð) farin, liðin, úti, lokin, at enda komin (t.d.time is up)4(um málúrtøku) frammanfyri (t.d.were one goal up)5(um maskinu) í lagi6(um lyftuo.tíl.)á veg uppeftir (t.d.an up escalator)7(um veg) uppgrivin, sum verður umvældur, stongdur8[íyms. samb.]be up 1(um prísiro.tíl.)uppfarnir, hækkaðir (t.d.burglaries were up 7 per cent; prices are up by(við)7 per cent2vera uppi, vera frammi(o.tíl.)3vera í umbúna(o.tíl.)4vera liðugur(o.tíl.);be up against/before/foro.tíl.síup4;be up andaboutvera afturfyrisegkomin (eftir sjúku);be up and doingstanda hondum fastur, hava úr at gera;his blood/temper is uphann leikar í (sum eitt ótt), hann øsir seg upp; hann er frá sær sjálvum, hann er óður í høvdinum;what’s up1hvat er á vási, hvat er títt, hvat er áfatt (í gerðel.í umbúna)2hvat bagir tær, bagir tær nakað
up4	1upp, uppi, niðan (á) (t.d.up to the top);norður (t.d.up to Scotland)2fara yvir til (t.d.I stepped up to a policeman to ask him the way)3(taka seg) fram (t.d.move up into the lead)4vera uppi (t.d.stay up all night);burtur, yviri5(sum herðing, fullkomiliga)shut uptig;button upkneppael.knappa upp;freeze upfrysta; (leggja) saman (t.d.fold up);minka burtur;shrivel upminka burtur í einki; (torna) upp (t.d.dry up);(kolast) upp (t.d.burn up);eta upp (t.d.eat up);gera liðugt (t.d.finish upgera (eitt) burtur av sær, verða liðugur við); smildra sundur (t.d.smash up);petta sundur (t.d.tear up a letter)6[íyms. samb.]up and downaftur og fram; upp og niður (t.d.walk up and down)7[ísamb. viðfs]be upagainststanda andlit til andlits við (t.d.be up against a formidable enemy); be up against it (tlm.)andøva móti broddinum, ganga seg fastan, vera tjóðraður, nú er knýtt og fyri bundið;the case isup beforethe courtmálið er fyri (í rættinum);beup forauctionselja á uppboðssølu;be up for electionstanda fyri vali;be up for salevera til sølu;he is up for (løgfr.)hann kann vænta sær dóm//bót fyri (t.d.he is up for speeding again); beup in 1(fl.m.)vera meinkunnigur í2duga væl (t.d.mathematics); beup inarmsvera fúkandi óður;be well up in/on (fl.m.)vita nógv um; duga væl (t.d.mathematics); beup on 1vera frammanfyri/undan (t.d.the others)2hava vunnið (t.d.be £10 up on the transaction)3vita av einum, vera meinkunnigur í4(um prísir) vera hækkaðir samanborið við/í mun til;beup to 1liggja á (einum), vera (eins) skylda,(tlm.)standa á (t.d.it is up to me to do it),ráða (t.d.it is up to youtú ræður tær2kunna sammetast við, duga eins væl og (t.d.he is not up to you as a man of science)3vera førur fyri at røkja, duga til (t.d.he is not up to his job)4hava í hyggju, hava í kvittanum, ætla at gera (t.d.what is he up to now?)5havast at, fáast við (t.d.what have you been up to?); not up to muchlítið verdur;he is up to no goodhann hevur okkurt ilt í kvittanum;up to nowhigartil;it is up to him to (eis.)hann eigur (næsta leik) (t.d.make the next move); it is all upwithhimhann er fokin
up5	1(um rørslu) niðaneftir (t.d.walk up a mountain, up the street);upp í (t.d.climb up a tree);inn í (t.d.travel up (the) country);niðan eftir (t.d.row up the stream)2(um verðan á staðnum) uppi (t.d.further up the street//river);uppi í (t.d.be up a tree//ladder;inni í3[íyms. samb.]he walked up and down the pavementhann gekk oman og niðan eftir gongubreytini;up and down his bodyum allan kroppin;up yours (óvand.)renn meg (eitt vist stað)!
up and about	uppi (t.d.I've been up and about since six o´clock), frammi
up-and-coming	sum gevur góðar vónir; evnaligur, sum hevur framgongd
up and doing	(altíð) liggja framvið
up-and-down	1sum gongur upp og niður2(am.)steyrrættur, brattur3[sumhj] upp og niður; aftur og fram
up-and-downer	(tlm.)klandur, deiling, deila, kegl, ófriður, skersla
up-and-over door	bilhúshurð (sum fer upp undir loftið)
up-and-up	on the up-and-up1(am.)rættiligur, ærligur, reiðiligur2sum gongur framá, sum mennist í hvørjum, sum gongur alsamt betur, í støðugari menningel.í støðugum vøkstri;be on the up-and-up (eis.)sum batnar í hvørjum
upas	(plfr.)upastræ(Antiaris toxicaria)
upbeat1	1(tónl.)uppslag, upptakt2herðingartungt stavilsi3(am.S)kentel.afturvendandi tema
upbeat2	1(am.S)undirhaldandi, skemtiligur, stuttligur (t.d.movie; book)2(am.S)bjartskygdur, vóngóður, hugaligur (t.d.upbeat news about a boom)
upborne	borin uppi, lyftur
up-bow	(tónl.)uppstrok
upbraid	brigda (einum eitt), kasta (einum eitt) fyri, geva (einum) ábreiðslu;upbraid sby with/for sthkasta einum eitt fyri
upbringing	uppaling, uppfostran
upcast1	luftræsi (í kolanámi)
upcast2	sum vendir uppeftir
upchuck1	(tlm.) spýggja
uphuck2	spýggja
upcoming	(serst. am.)fyri hondum, sum er í hondum, sum er í koming, komandi, sum verður, sum stendur fyri durum, sum er fyri stavn, sum er fyri hond
upcountry1	øki inni í landi
upcountry2	1innlands- (t.d.an upcoutry farm)2(niðr.) bygdarligur, ómentaður
upcountry3	langt inni í landinum, inni í miðjum landi (t.d.we travelled upland for a hundred miles)
up-current	(um vind) uppburður
up-current	ímóti streyminum
upcycle	nýnýta; síupcycling
upcycling	nýnýtsla (at nýta burturkast uttan fyrst at skilja tað sundur í smálutir. Tað er meira orkusparandi enn endurnýtsla/recycling, har burturkast verður syndrað smátt)
update1	1dagføring2at gera tíðarhóskandi, nútímansgering3dagførd útgáva
update2	(tlm.)dagføra, gera tíðarhóskandi, nútímansgera;(teld.)dagføra
updoming	(oljuv.)kúpugerð
updrift	í gulborð;the updrift sidegulborð
upend	1seta upp eftir enda (t.d.upend a barrel)2holva (eitt) (t.d.she upended the chessboard halfway through the game because she was losing)3(fl.m.)kløkka, skelka4(tlm.,um mótleikara) koyra um koll
upfield	(ítr.)økið framman fyri miðlinjuna, niðan á økið hjá mótstøðuliðnum
upfront	1(serst. am.)sum einki hávasták/hóvasták ger burturúr, ærligur, reiðiligur; týdningarmikil, millum tey fremstu2(um pening) forskots-, sum verður goldin frammanundan
upgrade1	1ábót, betring;on the upgradeí vøkstri, í menning, sum hækkar, í betringo.tíl.)2(teld.)uppstiging3(am.)brekka, bratti (niðan brekku)
upgrade2	1bøta, betra, hækka; geva forrætt, raðfesta fremri, seta (mál) fremstel.frammarlaga2(teld.)uppstiga3(um fólk) flyta fram (t.d.upgrade an employee)4(um starv) flyta upp í hægri lønarflokk5(um vøru) góðska6(um neyt) kynbøta
upgrading	umskúling (av ófaklærdum verkafólki)
upgrowth	vøkstur; menning
upheaval	1ógvislig broyting, stórbroyting (t.d.major upheavals in the financial markets)2ófriður, rumbul (t.d.times of political upheaval);órógv, gøla, gos3(jarðfr.)landuppgonga (t.d.the first upheaval produced a hill which was called Roof Mountain)
Up Helly Aa	(í Hetlandi) síðsti hósdagur í januar (tá ið sjálvboðin fyrireika næstu býarveitslu/festival)
uphill1	1sum gongur niðaneftir, uppeftir, niðaná,el.uppá; sum gongur niðan brekku2(fl.m.)møðsamur, strævin, striltin, tógvin, stríggin, tungur (t.d.an uphill struggle)
uphill2	niðaneftir, uppeftir, niðan brekku
uphold	1halda uppi, styrkja, styðja (t.d.uphold their morale; her faith//pride upheld her)2halda upp á (t.d.uphold a tradition),verja (t.d.uphold the honour of one’s country),hava (t.d.uphold disciplineaga)3(løgfr.)standa við, staðfesta (t.d.uphold a decisionavgerðin stendur við)4geva einum viðhald, halda við einum;his claim was upheld by the courtrætturin tók sakarkrav hansara til eftirtektar
upholster	1bólstra, polstra, klæða, leggja (uttanum)2innrætta (t.d. (t.d.rúm við teppum, gardinumo.m.)3arbeiða sum bólstrariel.polstrari
upholsterer	møplabólstrari, møplapolstrari
upholstery	1møplabólstring, møplapolstring; polstraðar/bólstraðar vørur2(tilfar) klæði,(tlm.)betrekk, møplatilfar, (í bili) klæðing,(tlm.)betrekk
UPI	United Press International
Upick	(am.)at henta sjálvur(t.d.jarðber hjá bónda)
upkeep	1umsiting, viðlíkahald2umsitingarútreiðslur3(hjá fólki) uppihald
upland1	hálendi, uppland
upland2	hálendis-, upplendis-
uplift1	1menning, framgongd (t.d.in the economy),vøkstur, hækking (t.d.in the value of shares)2(viðv.siðastandi, mentan) andlig uppbygging, andlig kveiking3(um kenslur) at kenna seg upplyftan, eldhugi4(jarðfr.)uppgonga5(oljuv.)upptøka
uplift2	1hevja, lyfta2(fl.m.)hækka, menna, bøta um(viðv.siðastandi, mentan); styrkja; kveikja (hug, alsk tilo.tíl.)
uplifted	1(forml.)upplyftur, upprættur, hevjaður (t.d.with uplifted arms);við upplyftum (t.d.face)2(forml.,um kenslur) upplyftur, kveiktur
uplifting	(forml.)upplyftandi
uplighter	ljós (ljóskelda), sum lýsir uppeftir
upload1	(teld) uppsending
upload2	(teld) flyta til meginteldu
upmarket	sum er ætlaður teim múgvandi; fínur, dýrur, ikki fyri ein og hvønn
upon	(forml.)síon
upper1	1yvirleður2(tlm.:um rúsevni, rúseitur) stimbrandi evni, lívgandi evni3(am., tlm.)yvirkoyggja4[íyms. samb.]be (down) on one’s -s (fl.m.,S)aka á knøunum, vera komin á grúgvu, ikki eiga sýru í vegg, vera blóðfátækur
upper2	1ovari, ovastur, evstur; hægri, hægstur; yvir;have the upper hand ofhava tamarhald á einum; hava ráð á einum; (um øki) sum liggur høgt, háfjalla-;get/gain/take the upper hand ofvera við yvirlutan2(landafr.)ovari
upper air	høg luftløg
upper arm	armur oman fyri alboga, (tlm.) yvirarmur
upper-bridge deck	(sigl.)ovasta brúgvadekk
upper bunk	yvirkoyggja
upper case	(prent.) stórir stavir
upper-case letter	(prent.)stórur stavur
upper circle	(sjónl., samsvarar við)fyrsta hædd (ikki gólvhæddin)
upper class	(tlm.)yvirstætt
upper classes	the upper classeshægru stættirnar, yvirstættin
upperclassman,upperclasswoman	(am.)[næmingur/studentur tey síðstu tvey árini]
upper crust	1skorpa (t.d.the upper crust of a loaf)2(tlm.)yvirstætt (t.d.a specialty clothing store for the upper crust)3(flm.)leiðarar (t.d.the conference was a gathering of the upper crust of the computer programming industry)
uppercut	(í nevaleiki) høguslag, kjálkaslag (høggel.slag ið er sligið við kreptum armi á høkunael.kjálkabeinið)
upper hand	síupper2
upper house	(stjm.)yvirhús, ovara deild (t.d.the Senate is the Upper House of the U. S. Congress); the Upper Houseyvirhúsið (í Bretlandi)
upper jaw	(likam.)yvirmunnur, munnbein; (dý.) yvirkjaftur
upper lip	(likam.)yvirvørr; (sí eis.stiff1)
upper mandible	(á fugli) yvirnev
uppermost1	ovastur, hægstur, (av tveimum) ovari, hægri;it is uppermost in our mind/thoughtsvit hugsa nógv um tað, tað stendur fremst í huga okkara
uppermost2	ovast, evst, hægst;whatever comes uppermost in one’s mindtað sum fyrst dettur einum í huga
upper part	(tónl.) yvirrødd
upper school	[teir eldru flokkarnir, til teirra ið eru millum
upper storey	(tlm.)ovasta hædd(t.e.høvdið)
upper ten thousand	[tey tíggju túsund ríkastu fólkini (í ávísum landi), yvirstætt, oddafiskarnir]
upper works	(sigl.)[tað sum sæst, tá ið skip er fullfermt]
uppish	(tlm.)nasadjarvur, braneggjaður; frekur, framligur, ósmæðin
uppity	1(gl. tlm.)sum heldur seg vera, nasadjarvur, braneggjaður; frekur, framligur, ósmæðin2yvirstættar- (t.d.girls)
upplands	háland, uppland
uppland sandpiper	(dý.)lágarstelkur(Bartramia longicauda)
up platform	(jarnbr.)jarnbreytarpallurel.perrong, haðan tokið fer til London(el.næsta stórbý)
uppraised	lyftir upp, hækkaður
upper wind	(flogm.) hæddarvindur
upraised	hevjaður, lyftur, lyftur upp
uprate	geva meira mátt, økja um orkuna (t.d. á maskinu)
upright1	1steyrur, steyri, stólpi2vanligt klaver (klaver við loddrættum streingjum)3-s flt(í fótbóltsmáli)-s fltmálstengur;(sigl.)styttur til deksfarm
upright2	1upprættur, beinur, steyrrættur; sum stendur upp og niður;upright pianovanligt klaver (við loddrættum streingjum)2(um fólk) rættur, fattur, upprættur3(øvut liggjandi) sum stendur beint upp og niður4[‘uprait] (moraliviðv.)reiðiligur, heiðurligur, dygdar-, hampa-, skila-5[íyms.samb.]upright chairstívur stólur (við stólabaki/baksmekku/stólaryggi sum er beint upp og niður);upright freezerkuldaskáp;upright positionat sita beint upp og niður
upright3	1beint upp og niður2[íyms.samb.]draw/pull oneself uprightfetta sær á, rætta ryggin;sit bolt uprightrætta ryggin;stand bolt uprightfetta sær á, rætta ryggin
uprising	1at stíga fram, a koma fram2at hækka, hækking3uppreistur (t.d.the uprising was easily supressed)
upriver	síupstream
uproar	gangur, ófriður, larmur, levind, rok;the town was in uproarófriður var í býnum, býurin var á gosi;cause an uproarfáa alt at ýla
uproarious	1larmandi, sum heldur gang, rokmikil, buldrandi2ómetaliga stuttligur;uproarious laughterat flenna í kíki
uproot	1taka, rykkjael.skrykkja upp við rót;-ing of treesat rudda trø burtur, at beina fyri trøum2(fl.m.)slítael.skræða leysan3beina fyri, oyða
uprush	at vella fram; (sálfr.) at stinga seg upp, at koma í ljósmála (í tilvitinum)
ups-a-daisy	(við barn) ups(h)ey!
upscale	síupmarket
upset1	1ólag, órógv2(um kenslur) at vera órógvaður, skelkaðurel.ørkymlaður3(ítr.)óvæntaður ósigur (t.d.the hockey team suffered an upset)4(sjúka) sístomachupset
upset2	1hvølva, koppa, holva (t.d.upset the boat)2(fl.m.)órógva, kollvelta (t.d.upset their plans)3(um fólk) ørkymla (t.d.she is easily upset);kløkka, skelka, skaka; vera ovfarin4gera sjúkan;it -s my stomacheg toli tað ikki5vinna (óvæntað) á (t.d.the independent candidate upset the mayor)6(tøkn.í málmsmíð) stúgva saman, stúgva upp
upset3	1keddur, tungur í huga, ringur (um eitt)2uppskakaður, skelkaður, ørkymlaður, ovfarin, illa við
upset price	(am.)lágmarksprísur, minstiprísur; metingarupphædd
upshot	úrslit, at eitt hepnastel.hilnast væl//illa;in the upshottá ið av tornar, tá ið saman um kemur
upside	1ovara síða, uppsíða2the upside (of it) istað góða við tí er
upside-down	upp og niður, øvigur, á høvdinum (t.d.he held the book upside-down);øvutur (t.d.upside-down logic); turn upside-down1venda (einum) upp og niður, venda á høvdið2órudda, vinda alt upp í ein ellubita
upsides	(skotsktel. tlm.)be upsides with him1vit eru leysir hvør við annan, eg eri leysur av honum2eins góður og hann, javngóður við hann, á sama stigi sum hann; ájavnur við hann
upsizing	(handilsm.)vøkstur; starvsfólkaøking
upstage1	(eis. sjónl.)stjala myndina frá einum, seta (ein) í skuggan
upstage2	1(á leikpalli) har afturi, í bakgrundini, í bakstøði2(gl. fl.m.um fólk) snobbutur, innbilskur, erpin, ansaligur, brasin, hástórur, hugstórur, dramblátur
upstage3	(á leikpalli) í bakgrundini, har afturi
upstairs1	uppi á loftinum, upp á loftið;the upstairsovara hædd; ovastu hæddirnar
upstairs2	uppel.niðan gjøgnum trappurnar; uppiá, uppá (t.d.go upstairs)
up stakes	Srýma, sleppa sær burtur (t.d.They just upped stakes and left without saying good-bye)
upstanding	1sum stendur beint upp og niður2(forml.)dygdar-, heiðurligur, reiðiligur3(um vakstrarlag) væl limaður; rættur, fattur;be upstanding (forml.)fólk verða biðin um at reisast4(am.) framvegis í góðum standi, heilur5(am. tlm.) frálíkur, makaleysur
upstart1	(sum ber dám av nógvum peningi og vánaligum smakki) nýlingur, nýríkt fólk
upstart2	nýlingakendur; síuppstart1
upstate1	[partur av landi, ið er longst burtur frá stórbýiel.er norðastur]
upstate2	(am.)[viðv.parti av stakríki,serst.umNew York state,ið er longst burtur frá stórbýiel.er norðastur]
up sticks	Sstinga seg burtur, rýma (t.d.he suddenly upped sticks)
upstream	1móti streyminum; niðan eftir ánni2uppi í ánni, ovarlaga í ánni
upstroke	1uppstrika (in writing)2(tøkn.)uppslag (um stempul)
upsurge	1knappligur vøkstur, knapplig framgongd, knappligur framburður2eitt sum kemur skolandi inn yvir ein (t.d.an upsurge of joy)3uppreistur (t.d.a national upsurge)
upsweep	1(hársnið)upswept hairuppsettel.uppgreitt hár2hækkandi strikumynd/kurva
upswing	1 uppgongutíðir, vøkstur, framgongd, framburður
upsy-daisy	síups-a-daisy
uptake	1(um føðslu) at taka viðel.upp, upptøka2(til skeið) tilgongd3[íyms. samb.]quick//slow on the uptakegløggur//seinur/dølskur; viðbragdsskjótur, skjótur//seinur í vendi
uptight	1(tlm.)fjálturstungin, bangafullur, strongdur, nervøsur (t.d.so what's to be uptight about, so long as we have peace?)2trútin, grenjutur, knarrutur, gronutur, ilskligur, ilskur, argur, ilskur, illur, óður(aboutum)3(um atburð) vanabundin, stívur4krymputur, piparsligur, sum ger seg góðan, trongskygdur (t.d.impersonate an uptight Calvinist parson)5í (fíggjarligum) trupulleikum, sum er í trongum skóm
uptime	(teld.)nýtslutíð, gagntíð (t.d.we need to maximize network uptime)
up-to-date	1tíðarhóskandi, nýtíðar-, nýggjur, nýmótans2dagførdur
up-to-the-minute	1spildurnýggjur, sum er tað nýggjasta nýggja2dagførdur
uptown1	(am.)útjaðara-, útryðju-, sum er í bústaðabýlingunum; (í New York) norður
uptown2	(am.)í útjaðaranum, í útryðjuni; (í New York) norðarliga
up-train	tok til Londonel.næsta stórbý
uptrend	(handilsm.)uppgangandi rákgongd, hækkandi gongd, hækking, framgongd
upturn1	1stórbroyting, ógvislig broyting2bati, vøkstur, framgongd (t.d.upturn in the economy)
upturn2	venda uppeftir; venda einum upp og niður
upturned	1sum vendir upp (t.d.upturned face)2(um kraga) sum er brettur upp/uppbrettur3sum vendir upp og niður, sum stendur á høvdinum, holvdur (t.d.bucket; boat); upturned noseupprend nøs
upvaluate	(handilsm.) uppskriva (gjaldoyra)
upvaluation	(handilsm.) uppskriving
upvalue	uppskriva (t.d.gjaldoyra)
upward	upp, sum vendir upp, sum fer uppeftirel.niðaneftir, sum stendur upp eftir enda
upwardly mobile	sum roynir at koma sær fram í samfelagnum
upward mobility	[stremban eftir at koma sær fram í samfelagnum]
upwards	1niðaneftir, uppeftir, upptil2meira, reiðiliga, ruddiliga, stívliga;upwards ofmeira enn, reiðiliga, stívliga (t.d.upwards of three years); three years and upwardstrý ár og meira
upwind	(sigl.)upp í ættina
uraemia	(lækn.) landeitran
Ural	(sern., landafr.)the Ural Mountains el.the UralsUralfjøll (í Russlandi)
Urania	(gudal.)Urania
uranism	(sj.) samkynd
uranium	(frumevni) uran
uranous	(evnafr.) uranhavin
Uranus	1(gudal.)Uranos, Uranus (faðir Kronosar, sum var faðir Zeusar)2(stjfr.)Uranus (gongustjørna)
urb	(am.) býar-el.høvuðsstaðarøki
urban	1bý-, býar-; býarligur, býarkendur; fjølbygdur, fjølbýlis-, tættbýlis-2[íyms. samb.]urban clearway(gøta har steðgforboð er í háferðslutíðini);urban district(partur av einumcounty); urban guerillabýarguerilla;urban legendósonn søga, lygisøga, skrøgg
urbane	fólkaligur, blídligur, fryntligur, høviskur, høviskligur, bæriligur, mentaður
urbanite	býarfólk, býarmenniskja
urbanity	at vera fólkaligur, fryntligur, blídligur, høviskurel.mentaður(o.tíl.)
urbanization	býargerð; at geva býardám
urbanize	1geva býardám2gera til bý
urbanized	við býardámi, sum hevur býardám
urban-minded	be urban-mindedvera býarfólk, vera býarmenniskja
urban renewal	býarendurnýggjan (við at taka gomul hús niður og byggja nýggj ístaðin)
urban sprawl	[tilvildarligur/ótálmaður býarvøkstur; býur, sum veksur, sum best ber til]
urceolate	(plfr.)krukkuvaksin
urchin	1(gl.)ungur drongur2(dý.)igulker(Echinoidea)3(gl.í sambandi við pátrúgv) vættur(kv)
Urdu	urdu (ríkismál í Pakistan, mál í India)
urea	(evnafr.)landevni
uredon	(lækn.) notusótt (urticaria)
uremia	(lækn.) landeitran
ureter	(likam.) landræsi (ræsi úr nýrunum til (land)bløðruna)
ureteritis	(lækn.) bruni í landræsi, landræsisbruni
urethra	(likam.) vatnræsi; (sum landið tømist ígjøgnum); síureter
uretic1	vatn-el.landdrívandi evni
uretic2	1land-, vatn-2landdrívandi, vatndrívandi
urge1	1eggjan, áeggjan, elvan, tilstuðling, at stuðla, haldael.eggja einum til2innantrongd, trongd, hugur (t.d.sexual urge; to steal; revenge)
