w.	(st.)1weight2with
well4	1væl (t.d.sleep well, treat sby well, shake the bottle well);væl-, sum stendurel.standa væl fyri (t.d.a well-situated house)2(um fráleikao.tíl.)langt, frammarliga, aftarliga;well backaftarlaga; langt (t.d.well below the Equator)3[íyms. samb.]that’s all well and goodtað er alt í lagi við tí, (men); sí eis.very4[ísamb. viðas]aswell1eisini, harumframt, harafturat2eins væl, (tú kanst) tað sama (t.d.you may as well go and hang yourself); as well he//she//it mighttað var at vænta, tað var einki løgið í tí;aswellasbæði ... og; eins (væl) ... og;just aswelleins væl;it was just as well thattað var heppið at;it would be just as well for you totú átti heldur; tað hevði verið betri fyri teg um;it isaswelltotað er eitt gott hugskot at5[ísamb. viðdo]dowell gangast væl;he is doing well (eis.)tað gongst honum væl;do sby wellvera blíður við ein (bjóða einum okkurt);do oneself wellvera oyðslutur, liva væl;it would do me very welltað hevði dámað mær væl, tað hevði komið væl við;do well by sby (tlm.)gera væl við ein, vísa einum gestablídni; fara væl við einum;do well toráðiligast hevði verið;you would do well totað hevði ikki verið býtt av tær, um tú;well done!frálíkt!;they do one very wellmaturin hjá teimum er góður, tey borðreiða við góðum mati; ;do well out ofhava fíggjarligan fyrimun av;he did well out of the warhann vann nógvan pening í krígnum6[ísamb. viðhj]doaway(tlm.)1hava fingið gongd/glið á2í fasta svøvni3(fullur) í góðum lag;he was well away on his favourite subjecthann var (honum líkt) farin at tosa um sítt yndisevni;be wellin withvera væl í øgn við; vera (teir eru) sum lív og ein sál;wellonin lifevæl við aldur;welloff, sístavr.; be wellout ofitsloppin snikkaleysur burtur úr einum;you are well out of ittú skalt vera glaður, at tú ert sloppin snikka-leysur burtur úr hasum;wellup induga væl, vera kønur í, vera væl at sær í (t.d.well up in history); well up in the list(vera/standa) høgt á listanum
well5	1(málbering ið ber prógv um ávísan spenning) hvat nú, hvat so (t.d.well, what next?); well, wellá ja; nú, nú; nú so!, hygga síggj!2(kvetta/bróta av) hvussu er og ikki, íðan (t.d.well, we’d better get on with it; well, that can wait)3(sum dregur á, drálandi, hugsanarsamur) ja, tja (t.d.well, I’ll see what I can do; well I don’t know)4(ísamb.við frágreiðing) jú veitst/sært tú, jú skilur/skilir tú, jú vita/skilja tygum (t.d. (t.d.well, it was like this)5(kløkkur) tað má eg siga; nei, nú lýgur tú (t.d.well, that was a surprise);íðan, sig mær (t.d.well, if it isn’t James!)6[íyms. samb.]well, well1ja, ja2(kløkkur) hygga síggj;oh well (tlm.)skítur veri við/liggur á tí;well now, well thenná men (t.d.well now, who is coming with me?)
welladay	(gl.)eg meini tað!, á!, eya meg!, vei mær!
well-adjusted	sum er væl tillagaður, sum dugir væl at laga seg eftir umstøðunum
well-advised	skilagóður, skynsamur, gætin
well-aimed	beinrakin, meinur (t.d.blow; action)
well-appointed	væl útgjørdur, væl innrættaður (t.d.house);sum hevur alt tað, sum krevst
well-attended	nógv vitjaður, fjølmentur (t.d.meeting)
well-attested	vitnisfastur; sannførandi váttað (t.d.upplýsingar um...)
well-balanced	1væl settur samanel.samansettur, í rættum lutfalli, í rættari vøgu2(um kostel.matuml.)fjølbroyttur3(um fólk) sinniligur, hóvligur, róligur, skilagóður, skynsamur, hyggin
well barrier	(oljuv.)brunnbyrging
well-behaved	fólkaligur, skikkiligur, væl vandur, væl uppdrigin, siðaður, sum dugir væl at bera seg
well-being	1vælvera, hugnaður, vælferð, trivnaður;human well-beinggóð mannakor2at vera væl fyri til likams og sálar
well-beloved	elskaður
well-born	sum er av góðum fólki
well box	dammur, fiskakassi (kassi at goyma livandi fisk í)
well-bred	1fólkaligur, væl vandur, væl uppdrigin, siðaður, sum dugir væl at bera seg at2(um dýr) av góðum slag
well-brought-up	vælvandur, fólkaligur, væl uppdrigin, siðaður
well-built	væl smíðaður, væl bygdur
well casing	borirør
well-chosen	væl valdur, væl lagdur (at leggja sær orðini væl)
well-conditioned	1feitur og fregin, frískur og ferðugur, sum fyrsta dagin2siðaður, væl vandur, væl uppdrigin3fryntligur, blíður, týður, blíður og týður, fólkaligur
well-conducted	1(um virki) sum hevur góða leiðslu2sum skikkar sær væl
well-connected	1av góðum fólki2sum hevur góð sambond (gott samband)
well-covered	(um fólk) væl í holdum, hyldligur, rundleittur
well-cut	(um klæðir) sum siturel.sita væl, sum passarel.passa væl (t.d.well-cut clothes)
well deck	(sigl.)brunndekk
well-defined	greidliga sundurbýttur, greiniligur, skilligael.greidliga avmarkaður
well design	(oljuv.)brunnskap
well-digested	1væl sodnaður2(flm.) væl umhugsaður
well-directed	síwell-aimed
well-disposed	blíður (við), sum er hugaður at, vælviljandi, góðviljaður, beinasamur, hjálpsamur,(tlm.)fyrikomandi
well-doer	dygdarfólk, ein ið fer væl við fólki
well-doing	ærligel.reiðilig framferð, atferð, atburðurel.medferð
well-done	nógv steikturel.kókaður, gjøgnumsteiktur, gjøgnumkókaður, sum hevur kókaðel.steikt leingi, sum er tvingaður(t.d.kjøtið er tvingað, breyðið er tvingað)
well-dressed	væl klæddur, væl ílatin (í vøkrum og dýrum klæðum)
well-earned	sum ein (so ruddiliga) hevur uppiborið
well-educated	væl skúlaður, sum hevur góða/holla skúling
well-endowed	væl útgjørdur, væl útbúgvin; (pengumviðv.)múgvandi
well-established	1sum gott hald er í, væl grundaður, sum hevur gott grundarlag, sum stendur á hollum støði (t.d.the law of nature; principles); sum góð prógv eru fyri (t.d.case)2góður, tryggur, viðurkendur (t.d.position; shop, firm)3well-established artviðurkend list
well-favoured	(gl. el. skaldsk.)vakur, fríður
well-fed	1sum er væl í holdum, førur, hyldligur2væl gøddur
well-fitting	sum situr/sita væl, sum passar/passa væl (t.d.clothes)
well-found	væl útgjørdur; síeiswell-appointed
well-founded	sum góðar grundir eru fyri, væl grundaður, ítøkiligur
well-graced	dámligur, fittur, fryntligur
well-groomed	nossligur, væl røktur, vandaliga ílatin
well-grounded	1kønur, sum dugir væl, sum hevur dyggael.holla vitan, royndur, væl at sær komin (t.d.well-grounded in physics)2(um próvgrund, grundgeving) væl grundaður
wellhead	1kelda; uppkoma (staðið har áel.kelda tekur seg uppel.vellir fram)2brunnhús3(oljuv.)brunnhøvd
well-heeled	(tlm.)ríkur; múgvandi, múgvin, sum er væl fyri, sum er væl staddur, fíggjaður, rúmligur, væl niðurfyrikomin
well-hung	1(um kjøt) sum hevur hingið nóg leingi2(S, viðv.mannfólki) væl útgjørdur
wellie	1(tlm.)gummistivli2[íyms.samb.]give it some wellie!legg//leggið alla orku í!
well-informed	sum veit væl, sum hevur holla vitan um, vitandi, kunnigur, væl kunnaður, væl upplýstur, fróður, væl at sær, kønur
Wellingtons	knæsíðir stivlar, langir stivlar (upp til kníggja)
wellington,wellington boot	gummistivli
well-intentioned	1góðviljaður, vælmeintur, sum ætlarel.meinar væl, sum vil øllum væl2(um gerð) ið var væl ætlað
well-judged	væl umhugsaður, væl ætlaður
well-kept	væl hildin, væl varðveittur, væl umsitin, væl røktur (t.d.well-kept garden); well-kept secretloyndarmál, sum eingin hevur fingið frænir av, væl varðveitt loyndarmál
well kick	(oljuv.)brunnspark
well-knit	1tættbygdur, samanrikin, samanstungin, stimaligur2(fl.m.)væl samansettur, væl gjørdurel.smíðaður, fastur
well-known	kendur, gitin
well-liked	væl dámdurel.lýddur, umhildin, umtóktur,(skaldsk.)væl toknaður
well-lined	sum stendur á tambi, sum stendur at bresta, rokafullur, stúvstappaður (t.d.pursepungur;note-casepengamappa)
well logging	boriholamáling(jarðfr.máling og skráseting av boriholum)
well-made	1vælvaksin, væl limaður; sterkt bygdur2(um filmo.tíl)væl gjørdur, væl samansettur
well-mannered	væl vandur, fólkaligur, væl uppdrigin, siðaður, sum dugir fólkaskikk
well-marked	greiður, greiniligur, týðiligur, væl merktur, væl ýtaður
well-matched	1sum hóska væl saman2(ítr.:um ítróttarlið) javngóður
well-meaning	1(um fólk) góðviljaður, vælmeintur2(um gerð) sum er væl ætlað
well-meant	góðviljaður, vælmeintur, sum ætlar væl, men... (t.d.those missions were well-meant but ill-adivsed)
wellness	(am.)vælvera; góð heilsa, at vera frískur til likams og sálar
well-nigh	næstan, nærum, at kalla
well-off	1múgvandi, múgvin, ríkur2væl staddur, væl fyri3[íyms.samb.]he does not know when he is well-offhann hevur ikki gjørt sær greitt, hvussu gott hann hevur tað;talk well-off (tlm.)tala á ein skúlaðan hátt;well-offforsum hevur nóg mikið av;be well-off for tea (eis.)hava nógmikið av tei
well-oiled	1vælsmurdur2(flm.,um fólk)Sfullur, drukkin3(flm.) smikrandi, lifrandi, sleiskandi4(tlm.:um virki) væl skipaður, sum gongur væl
well-ordered	regluligur; væl skipaður
well-padded	1yvirpolstraður, yvirbólstraður2væl í holdum, prúður3(um bókmentir) við nógvari ífyllu
well-paid	væl løntur, sum fær góða løn
well path	(oljuv.)brunnrás
well-preserved	1væl varðveittur, sum er hildin væl2(um fólk) sum ber aldurin væl, sum aldur sæst ikki á
well proportioned	væl vaksin, væl skapaður, væl limaður, har hvørt er eftir øðrum
well-provided	1væl útgjørdur, væl búgvin (t.d.ship; army)2múgvandi, sum er fíggjarliga væl fyri, fíggjaður
well-read	lisin, lærdur, fróður, víðlisin, bókakønur;he is well readhann er lisin maður, hann er bókakønur;she is well-read in the subjecthon dugir hatta evnið til lítar/út í æsir
well-regarded	væl umtóktur, væl dámdur, væl lýddur, nógv umhildinel.avhildin, sum fólk hava virðing fyri, sum hevur gott orð á sær
well-regulated	vælskipaður (t.d.household),skilagóður, hampiligur, hampa- (t.d.life)
well-reputed	væl umtóktur, væl lýddurel.líddur, væl umhildin, sum hevur gott orð á sær
well room	kursalur
well-rooted	(plfr.) rótfastur, við góðari rót
well-rounded	1væl rundaður2(um fólk, útbúgving) fjølbroyttur3(um fólk) prúður, hyldligur4(um stíl) væl úr hondum greiddur, fullfíggjaður
well-seasoned	goymdur, (tlm.) lagraður;well-seasoned timbertimbur ið leingi hevur verið goymt á goymslu
well-set,well-set-up	tættvaksin, samanrikin, samanstungin, stimaligur, har sum hvørt er eftir øðrum
well sinker	brunngravari
well-spent	(um tíð, pengar) sum er væl nýttur
well-spoken	1(um fólk) fólkaligur í talu, sum er siðiligur í orð og tal; sum dugir at orðføra seg2(um orð) væl valdur, beinrakin, rámandi3(am.)orðkringur, orðhagur
wellspring	(skaldsk.)kelda
well-stacked	(skemt.: um konufólk)sum er vøkur upp á kropp, har hvørt er eftir øðrum, stórbróstað
well-stocked	fjølbroyttur (í úrvali), sum hevur nógv niðurfyri; evnismikil, innihaldsmikil, stórur, væl útgjørdur (t.d.well-stocked library)
well-tailored	væl klæddur, í snøggum klæðum, væl ílatin
well-thought-of	væl umtóktur, væl umhildin, væl lýddurel.líddur
well-thought-out	sum er væl umhugsaður
well-thumbed	(um bók) slitin av at verða nógv havd á hondum
well-timbered	skógvaksin, avvaksin við skógi, skógmikil;well-timbered countryskógarland, skóglendi
well-timed	sum hevur valtel.sum dugir at velja røttu løtu(na), sum hevur lagað tíðina væl; í tøkum tíma, rættstundis
well-to-do	múgvandi, múgvin, væl fyri fíggjarliga, (væl) fíggjaður
well-travelled	1víðfarin, ferðavanur, sum hevur ferðast nógv, sum hevur verið víða2(um leið, rutu) nógv nýttur
well-tried	sum er royndur, sum hevur royndst væl
well-trodden	1niðurtraðkaður (t.d.path)2sum ein kennir út í æsir/til fulnar;walk on well-trodden pathsganga á kendum gøtum/leiðum
well-turned	1sum dugir væl at svara aftur, sum er rittin í svari, sum er hittinorðaðurel.rittinorðaður2(um legg, bein) vakur
well-turned-out	væl klæddur, væl ílatin
well-versed	well-versed in sum er kønur í, sum hevur holla vitan um (t.d.French literature)
well-wisher	vælvildarfólk, góðvildafólk, hollur vinur, ein ið vil einum væl
well-wooded	skógvaksin, avvaksin við skógi, skógmikil
well-worn	1slitin (t.d.clothing)2(fl.m.)tugdur, tanlaður , sum er fótatraðk, gamal og slitin (t.d.excuse)
welly	síwellie
Welsh1	1walisiskur, kymriskur;the Welshwalisar2walisiskt (mál)
welsh2	welsh on1sleppa/skáka sær undan skyldu, ið liggur á einum; svíkja lyfti, ikki halda orð; sleppa sær undan at gjalda skuld (t.d.a debt; a promise)2(fólk) svika, snýta
welsher	svikari
Welshman	walisi, walisari, walesbúgvi
Welsh onion	(plfr.)pípuleykur(Allium fistulosum)
Welsh rarebit	[rættur við snerktum hvítabreyði og osti]
welt1	1(á húðini, eftir slag) rípa2(á skógvi) rond, randseymur3(á klæðum) seymur eftir kantinum, bregdað band, skódúkur4(ísamb.við bólstringel.polstring) snórur
welt2	1randseyma2(tlm.)hølva/buka/lemja av; koyrilsfleingja (við koyrlio.tíl.)
welter1	1ófriður, gangur, rok, vasi2(um sjógv)the welter of the wavesdriftingar vóru í sjónum, driftingur, tað var óslætt, sjógvurin rísnaði; sjógvurin reis, sjógvurin var rísin3(um veður)the welter of the tempestódnin leikar/leikaði (sum harðast)4hurlivasi (t.d.welter of conflicting emotions); ørgrynna, ørgrynni (h) (t.d.welter of detail)
welter2	(skaldsk.)welter in veltast, velta sær, svimja í (t.d.one’s blood)
welterweight	[nevaleikari ið vigar frá 61 til 67 kg]
wen	troti, kýli, vøkstur (á húð);(eis. fl.m.um stóran bý);the great wen (t.e.London)
wench1	(gl. el. skemt.)genta, ungt konufólk, bygdargenta
wench2	go wenchingfara eftir konufólki
Wend1	(sø.)vendi
wend2	(gl.)wend one’s way halda, stevna, fara
Wendish1	(sø.)vendiskt (mál)
Wendish2	(sø.)vendiskur, vendskur
Wendy	gentunavn
Wendy house	lítið spælihús til smábørn (eini tvey teirra fáa verið inni í senn)
went	tát avgo
wept	tát oglh tátavweep
were	tátfltavbe
we’re	(st.)we are
werewolf,werwolf	(fólkatr.) varúlvur
wergild	(sø.)mansbót (bót fyri at hava dripið mann)
wert	var(gl. tátavbe)
Wesley	
Wesleyan1	wesley(viðhalds)fólk
Wesleyan2	viðvíkjandiel.um Wesley, wesleyskur
Wesleyanism	wesleysk metodisma
West1	1the West1Vestuheimurin, vestanlond2vestari partur av USA;the Far WestFjarvestur(t.e.vestasti partur av USA)2[íyms.samb.]in the West of EnglandVesturongland, vestari partur av Onglandi;in the Westí vestri;on the Westá vestursíðuni, vestarumegin, har vestri;to the Westí ein vestan
west2	vestur
west3	vesturhallur, vestan, vestur-;the west windvesturættin
west4	í vestan, í vestri, vestureftir;go westfara vestureftir;(tlm., fl.m.)falla, verða dripin, doyggja; (um lut) hvørva; brotna;to the west ofvestanfyri
westbound	sum fer vestureftir; á vesturleið, sum stevnir í ein vestan
West Country	the West Country Útsynningsongland
West End	the West End [vestari (ríkari) parturin av London]
westering	(skaldsk., um sólina)lækkandi
westerlies	(sigl.)vesturættir, vestanvindar
westerly	vesturhallur, vestligur, vestur-, vestan-, vestan
western1	western, kovboyfilmur, cowboyfilmur, wild-west filmur
western2	vestur, vestan, vestur-, vesturlendskur
Western Church	the Western Church rómverskkatólska kirkjan
Western Empire	the Western Empire Vesturrómverska ríki
westerner	1vestanmaður, vestanfólk, vesturlendingur2vesturevropei, vesturevropeari3(am.)vesturamerikani, vesturamerikanari
Western Hemisphere	the Western Hemispherevestara heimshálva (nýggi heimurin, Norður-, Mið- og Suðuramerika)
western house mouse	(dý.)vestanmús(Mus domesticus)
Western Islands	the Western Islands1Suðuroyggjar/Hebridur2Asoroyggjar/Asorurnar
westernize	laga siðir, hættir og mentan til vesturlendsku siðmenningina, evropeisera
westernmost	vestastur, (av tveimum) vestari
Western Sahara	(landafr.)Vestursahara (land á útsynningsstrondini á Vesturafrika)
Western Saharan1	vestursaharabúgvi, vestursahari
Western Saharan2	vestursaharskur
Western Samoa	(sern., landafr.)Vestursámoa
Western Samoan1	vestursámoi, vestursámoari
Western Samoan2	vestursámoskur
western sandpiper	(dý.)vesturgrælingur(Calidris mauri)
West German1	vesturtýskari
West German2	vesturtýskur
West Indies	(landafr.)the West IndiesVesturindia
westing	1(sigl.)sigling vestureftir2(sigl.)broytt vesturlongd
Westminster	1(sern.)[partur av London har parlamentshúsið stendur]2(sern.)[bretska parlamentið]
westmost	vestastur, (av tveimum) vestari
Westphalia	(sern., landafr.)Vesturfalia, Westfalen
westward1	vesturhallur, vestur-, vestan-, vestan
westward2	síwestwards
westwards	móti vestri, vestureftir, í ein vestan
wet1	1væta, slag,(tlm.)fukt2(tlm.,ókvæmisorð) kloddi, tvøga; mammudrongur, mammureyv3hóvligur politikari, politikari ið er ímóti at fara fram við hørðum (t.d.a Tory wet)4(am., sø.)bannfólk (sum er ímóti rúsdrekkasølu)5(avstr.)regntíð (í Mið- og Norðuravstralia)6[íyms.samb.]the wetregn (t.d.come in out of the wet)
wet2	1væta; slaga,(tlm.)fukta2gera vátan; pissael.míga í (t.d.one’s bed; one’s trousers, one’s pants)3[íyms.samb.]wet oneselfmíga undir segel.pissa í song, mígael.pissa í buksurnar (t.d.one’s bed; one’s trousers, one’s pants); wet oneselfgera seg vátan;wet one’s whistle (gl., tlm.)fáa sær ein lítlan, drekka
wet3	1vátur, dossutur, pøðutur, slagin, slavin, ráligur, bleytur, regnmikil2(tlm.,um fólk) ódugnaligur, linligur, bleytur, ræddur; keðiligur3(um politikara) hóvligur4(um øki) sum ikki er turrlagt (rúsdrekkaviðv.)5[íyms. samb.]all wet (am.)1tú fara púra skeivur2púra burturvið;wet behind the ears (fl.m.)óroyndur, grønur;wet throughdýggjvátur
wetback	(am., niðr.)[meksikani sum fer ólógliga um mark inn í USA]
wet blanket	(gl.um fólk) gleðidrepari, gleðispillari, ljósasløkkjari (T.d.don't be a wet blanket; he was such a wet blanket that they never invited him again); síkilljoy
