E.	(st.)East India(n); East Indies
end line	(ítr.)baklinja, mállinja (t.s.sgoal line)
endmost	fjarastur, ytstur, aftastur, handastur, seinastur
endnote	endaviðmerking
endocarp	(plfr.)innara lag á fruktveggi
endocrine	lokaður (um kertil haðani flotið fer í blóðið)
end of line	(teld.)regluendi
endogamy	gifta innan fyri ættarbólk; inngifta
endogeneous	(sum stavar frá ella hevur uppruna í innanorsøkum) innari, innan-; (jarðfr.)endogeneous forcesinnari máttur;exogenous forcesytri máttur;endogeneous processinnari tilgongd
endoparasite	(dý.)innansníkur, innvortissnultari
endorse	1ábekja (t.d.a cheque; thecheque should beendorsed andsent to thethird party);seta navn (el. viðmerking) á (t.d.endorse a document;the speed and accuracy achieved will be endorsed on the certificate)2(fl.m.)góðkenna, viðurkenna3taka undir við (t.d.I endorse everything you said),stuðla (t.d.their decision has been endorsed by the managers)4(í Suðurafrika undir apartheidskipanini) vísa burtur (t.d.a further 500,000 blacks had been endorsed out of urban areas under the pass laws)5(um koyrikort) klippa; (t.d.his licence was endorsed with five points);she's had her licence endorsedhon fekk klipp í koyrikortið
endorsee	ábekjari
endorsement	1ábeking (t.d.several cheques required endorsement)2góðkenning, samtykki, undirtøka (t.d.the Prime Minister has received political endorsement to initiate negotiations for membership in EFTA;the campaign hasn't received any political endorsements)3stuðul, váttan (t.d.products that carry an endorsementfroma celebrity)4(trygg.)ískoytistrygging;the terms contained in the endorsementtreytirnar í ískoytistryggingini5(í koyrikort) klipp(t.d.he's got a couple of endorsementsonhis licence already)
endorser	ábekjari
endosperm	(plfr.)fræhvíti
endotrophic	símycorrhiza
endow	1búgva út, gera út (t.d.endowed with great talents);fáa í gávu2veita peningastuðul; geva gávu (mest til stovnar)
endowment	1gáva; lestrarstuðul, legat; grunnur, stovnspeningur, gávufæ, peningur2endowments flt (fl.m.)evni, gávur
endowment assurance	lívtreytað lívstrygging (lívstrygging ið verður goldin út, meðan tryggingartakarin er á lívi); eis.endowmentinsurance
endowment insurance	lívtreytað lívstrygging (lívstrygging ið verður goldin út meðan tryggingartakarin er á lívi)
endozoochory	(plfr.)innvortis djóraspjaðing
end paper	(í bók) oddablað
end product	endalig framleiðsla;(fl.m.)endaligt úrslit
end rhyme	endarím
end-shrink	styttast (um timbur)
end table	(am.)sofaborð
endue	1endue withveita, gera út, búgva til; klæða2endue with lifeblása lív í
endurable	tolandi
endurance	1treysti, áhaldni;power of enduranceseiggi, treysti2longd, varan3líðing;beyond (el. past) enduranceótolandi, ikki til at bera;endurances fltlíðingar
endure	1halda á, tola (t.d.pain);finna seg í, líða2vera mentur, bera, halda út (t.d.endure till help arrives)3vara (t.d.as long as her love endures),liva, vera standandi (t.d.his name will endure as the founder of the club; his work will endure
enduring	1varandi (t.d.peace);verandi2miskunnsamur, tolinmóður
end-user	(teld.)endanýtari
endways	á enda, uppreistur; við endanum fram; enda í enda; eftir longdini
Endymion	
ENE	(st.)east-north-east
ENEA	(st.)European Nuclear Energy Agency
enechelon	stigvísur
enema	(lækn.)tarmskol
enemy	1nfíggindi,he is nobody’s enemy but his ownhann er ringastur við seg sjálvan2lillviljaður, fígginda-, (t.d.enemy ships; enemy property); make enemiesfáa sær óvinirel.fíggindar;he is his own worst enemyhann er ringast við seg sjálvan
energetic(al)	ágrýtin, nærlagdur, virkisfúsur, virkin; dúgligur
energize	fylla við orku, styrkja, veita megi
energy	orka, megi; ágrýtni; virkisorka, virkishugur;energies fltorka,devote all one’s energies to the causeleggja alla sína orku í ...
energy auditor	orkuráðgevi
energy consumption	orkunýtsla
energy crisis	orkukreppa
energy drink	orkudrykkur
energy level	orkustig
energy loss	orkumissur
energy secretary	orkumálaráðharri
energy transfer	orkuflyting
enervate	veikja, avmergja, lúgva, mergsúgva (t.d.enervatingheat;the scorching sunenervatedher)
enervation	viknan, ómegd, mók, mergsúgvan
enfant terrible	forherðingur, óargadýr, bartrog, ótýggi
enfeeble	veikja, avmergja
enfeeblement	viknan, avmergjan
enfeoff	(sø.)lata í len
enfeoffment	(sø.)lensbræv
enfetter	leggja í leinkjur
enfilade	1n (herm.)síðuskotríð2s (herm.)beina skotríð eftir longdarlinju; enfiladefire (herm.)=enfilade n
enfold	1sveipa, hylja, bjarva2fata um; fevna um
enforce	1tvinga (t.d.obedience); enforce a judgmenttvingsilsfulnaður av dómi; enforceit on themnoyða upp á (ein)2trygda, útinna, fremja (t.d.they have power to enforce their decisions)3halda uppi (t.d.a law; discipline);(um grundgevingosfr.)stuðla4enforcednoyddur, tvingaður, kravdur (t.d.idleness, silence, work);ósjálvboðin5innheinta
enforcement	tvingsil; útinning, fremjing; uppihald
enfranchise	1geva borgararættindi, geva atkvøðurætt (t.d.women were enfranchised many years ago)2geva keypstaðarrættindi3veita frælsi, loysa (t.d.slaves)4(løgfr.)(um jørð) gera til óðal, gera til sjálvsogn
enfranchisement	veiting av atkvøðurætti; veiting av keypstaðarrætti; loysing, loysn
eng.1	(st.)engine; engineer(ing); engraved, engraver, engraving
Eng.2	(st.)England; English
engage	1binda (seg),hefta2seta í starv (t.d.a servant, sby as a guide)3bíleggja (t.d.a seat in the theatre);leiga (t.d.a taxi)4(fl.m.)taka upp; taka (t.d.his attention);draga inní5(herm.)leypa á (t.d.we engaged the enemy at once)6(tøkn.)grípa; (um tannhjól) grípa inn, grípa saman, (um kopling) taka;engage his sympathyfáa hansara samkenslu7[ísamb. viðfs/hj]engageforborga fyri;engageinfara undir, fara í holt við (t.d.engage in writing),taka lut í, blanda seg uppí; ditta sær at;engage oneselftosbyforlovael.trúlova seg við einum;engage (oneself) to do sthbinda seg til at gera eitthvørt, átaka sær eitt starv;engagewithgrípa, grípa saman, tengjast (um tannhjól);(herm.)fara í bardaga við;engage oneself with a firmtaka við starvi í virki
engaged	1bundin, heftur, upptikin (t.d.I cannot come, because I am engaged; is this seat engaged ?); he was busily engaged (in) writing lettershann hevði úr at gera við at skriva brøv;number engaged(telefon) upptikið, bundið2forlovaður, trúlovaður (t.d.she was engaged to John)3uppi í (einum máli);be engaged in tradevera uppi í handli, fáast við handilsvinnu;engaged in a life-and-death struggleí einum dysti um lív ella deyð
engagement	1skylda;engagements fltfíggjarligar skyldur (t.d.he was unable to meet his engagements);avtala, sáttmáli2avtala (t.d.he had another engagement)3lyfti;he had another engagement (eis.:)hann hevði lovað seg til annað;without engagementóbindandi4arbeiði, starv, setan, starvsetan, tilnevning5áhugi, hugbinding, “sál”;we miss some kind of engagement in his playsleikunum vantar sál6forlovilsi, trúlovilsi (t.d.break off the engagement)7(herm.)bardagi, álop, samanbrestur, vápnaskifti, ráðagerð;angle of engagementálopshorn8(tøkn.)tengsl
engagement diary	avtalubók
engagement ring	trúlovilsisringur
engaging	dámligur, áhugaverdur
engender	ala, skapa, kalla fram, kveikja, valda, hava við sær;it engenders confidencetað vekur álit
engine	1maskina; motorur; tok2brandbilur3útbúnaður;engine of powervaldsmiðal4(tele.)tól
enginedriver	tokførari
engineer1	1maskinmaður, mekanikari2teknikari3konstruktørur, maskinbyggjari4verkfrøðingur;chemical engineerevnaverkfrøðingur5(sigl.)maskinmeistari; maskinistur;chief engineerfyrsti (maskin)meistari6(am.)tokførari7(fl.m.)upphavsfólk, skapari8the Engineersverkfrøðinga (her)deild
engineer2	1standa fyri byggiarbeiði, hava eftirlit við, seta saman, byggja2starvast við verkfrøði3(fl.m.)stýra4fáa í rættlag, skipa fyri, stjórna5fáa ígjøgnum (við at lumpa og lirka)
engineering	1n(maskin)tøkni; verkfrøði, verkfrøðivirksemi2nstýring, stjórn3lverkfrøðinga-
enginefitter	montørur
engineframe	maskinfundament; botnramma
enginehouse	(jarnb.)tokhús; brandstøð
engineman	maskinistur; maskinmaður
engineroom	(sigl.)maskinrúm
engineshaft	motoraksil
engineshop	maskinverkstaður
enginewarmer	bilhitari
England	Ongland [GG:fatar ikki um Skotland og Wales]
English1	1the Englishonglendingar, enska tjóðin;Englishman/Englishwomanonglendingur/onglendingur, ensk kona2enskt (mál);what is the English for ‘stólur’hvussu eitur „stólur” á enskum
English2	enskur, (tlm) eingilskur
English basement	kjallari við høgum lofti, háloftaður kjallari
English bond	(byggl.)ensk binding í múrveggi
English Channel	Ermarsund
English holly	(plfr.)jólaviður; kristtyrnir(Ilex aquifolium)
English horn	(tónl.)enskt horn, altobo
Englishism	1enskur siðurel.skikkur, ensk siðvenja, enskur hátturel.mátio.s.fr.2orðel.máliska sum bara finst í brestkenskum máli; anglisisma3høg virðing fyri enskum lívshátti, enskum stovnumo.s.fr.
Englishman	onglendingur
English oak	(plfr.)eikislag(Quercus robur)
Englishry	bretskir ríkisborgarar (serliga í Írlandi); bretskt hjáland
Englishwoman	ensk kvinna
engorge	slúka, gloypa, skræða í seg;engorge (oneself)oveta seg, eta heming á seg; ovurfóðra (t.d.engorge a horse)
engr.	(st.)engineer; engraver, engraved, engraving
engraft	gróðurseta (kvist á annað træ); rótfesta;engraft intoskoyta uppí, leggja afturat
engrain	lita ullint
engrained	inngrógvin, rótgrógvin, sum ikki stendur til bata
engram,engramme	(sálfr.) minnisrás, minnisspor, minnisslóð
engrandize	størka, gera størri; økjael.styrkja munandi
engrave	1rista (í metal), prunka, grava, skava, høgga (t.d.a name on a tombstone)2(fl.m.)trútta niður í, prenta niður í, festa(oní,t.d. it remains engraved on my memory)
engraver	myndristari
engraving	rista, prunk; skavmynd, koparristuprent
engross	1taka, leggja hald á2binda, hugbinda3(løgfr.)skriva skjal til fullgerð dóma, skriva (av) við týðiligum stavum, reinskriva; greiða skjøl til undirskrivingar4(gl.)keypa upp vøru5engrossed insokkin í (t.d.one’s work; a novel)
engrossing	sum leggur hald á(el.fer við) allari tíðini og øllum áhuganum, sum „gloypir“ einum; skemtiligur, spennandi
engrossment	1tað at verða sokkin í eitthvørt2(løgfr.)reinskrift, reinskrivað skjal3(gl.)uppkeyp
engulf	1gloypa, svølgja (t.d.snakes engulf their food whole),taka (t.d.engulfed by the waves)2jarða, grava (t.d.engulfed with[undir]snow)3yvirtaka (t.d.engulfed by fear)
enhance	hækka (um), seta upp, vaksa um, nøra um, økja (um), bøta (um) (t.d.her beauty; their prestige);styrkja
enhancement	hækkan, nøran, vøkstur; ábót, styrking
enigma	gáta
enigmatic(al)	gátuførur
enjambment	(bókm.)yvirstig
enjoin	1bjóða, krevja (t.d.enjoin silence; enjoin that it should be done);leggja á (t.d.a duty on sby)2leggja eina við (t.d.enjoin him to be careful)3skerpa;(am. eis.)banna,he was enjoined from doing ithonum varð bannað at gera tað
enjoy	1njóta (t.d.one’s dinner); enjoy the fruits of one’s laboursnjóta fruktina av stríðnum; gleðast(el.frøast) um, dáma væl (t.d.did you enjoy the sermon?)2stuttleika sær við;enjoy oneselfstuttleika sær, hava tað gott, kenna seg væl3havaenjoy a good salaryhava góða inntøku; hava, eiga, kunna gleðast um,enjoy good healthkunna fegnast um góða heilsu
enjoyable	gleðiligur, stuttligur, hugnaligur (t.d.we had an enjoyable afternoon)
enjoyment	njóting, fragd, stuttleiki, gaman, gleði;take enjoyment inhava fragd í, gleðast um;be in the enjoyment ofhava, kunna gleðast um (t.d.he is in the enjoyment of good health
enkindle	1festa í (t.d.see if you can enkindle some paper in the fireplace while I look for logs)2kveikja, tendra, vekja (t.d.fresh remembrance of vexation must still enkindle rage)
enlace	vevja um, vinda rundan um; flætta saman, bregda
enlarge	1økja(st), vaksa um, víðka(st)2byggja út; kunna økja, kunna vaksa um;enlarge (up) onfara nærri inn á, greiða gjøllari frá, greina út í æsir, gorra um
enlargement	(lmynd.)øking, vøkstur, víðkan
enlarger	(lmynd.)størkingartól, eykitól
enlighten	upplýsa, veita upplýsing; (t.d.an enlightened people; enlightened despotismupplýst einaveldi
enlightenment	upplýsing;the (Age of) Enlightenmentupplýsingartíðin;(átr.)innlit
enlist	1útvega2(fl.m.)fáa; vissa sær, tryggja sær (t.d.his aid)3(óáv.)skriva seg inn í herin, fara í hertænastu;enlisted menvanligir hermenn4boða frá undirtøku(el.stuðli); tryggja sær (t.d.his aid; his service);enlisthim in a good causefáa hann at stuðla einum góðum endamáli
enlistment	útvegan, innskriving til herin
enliven	líva upp, lívga upp
enmesh	fløkja (uppí);enmeshed in a disputefløktur upp í eina trætu
enmity	fíggindskapur, illvilji;be at enmity withvera óvinur við
ennead	níggjumannabólkur, bólkur ið telur níggju
ennoble	veita aðalstign; upphevja, veita virðing; bøta um
ennui	lívsleiði; leiði
ENO	(st.)English National Opera
Enoch	
enormity	andstygd, ógvuleiki, brotsverk, níðingsverk, ódáð, illgerð; ómetaligt ummál, ómetalig stødd
enormous	ómetaligur, ómetaliga stórur, øgiligur
enough	1nóg mikil, nóg nógvur, ivaleysur2rættiliga (t.d.jauntily enoughrættiliga djarvt)3[íyms.samb.]enough and to sparemeira enn nóg mikið;be good enough to tell usgerið so væl og sigið okkum;that is not good enough (eis.)hatta kanst tú ikki loyva tær;little enoughikki nógv;a nice enough fellowein heilt fittur jassur;enough of that!nóg mikið við hasum! gevist!he knows well enough thathann veit fullvæl at;she sings well enoughhon syngur jú væl; (síeis.feast); I have had enougheg eri mettur; nú er mær ovboðið;that is enough from younú havi eg fingið nóg mikið av tær
enounce	, síenunciate
enow	(gl. og skaldsk.)nóg mikið
enquire,enquiry,	síinquire, inquiry
enrage	fáa ilt í, seta øði í, øsa
enrapture	hugtaka, hugfanga, bergtaka, rúnabinda; frøa, gleða (t.d.Ruth was enraptured by the child who was sleeping in her arms so peacefully)
enraptured,enrapt	hugtikin, hugfangaður, púra burtur í e-m; (t.d.a violinist's enrapt audience)
enregister	skráseta
enrich	1ríka, ríka upp (t.d.enrich oneself at the expense of others; enrich one’s mind; enrich the language with new words)2prýða, skrýða, fríðka3evnisbøta(flour enriched with vitamins);ríka,enriched uraniumríkað uran; taða
enrichment	1ríkan, tað at ríka nakað upp2prýðkan, fríðkan3taðing
enrobe	klæða; smyrja við (sjokulátu)
enrol(l)	skriva seg inn (t.d.as a member; the university has 17, 000 enrol(l)ed students);tekna seg til (t.d.for a coursetil eitt skeið); skráseta seg, lata seg skráseta;(herm.)skriva seg inn í herin;(gl.)lata seg rita í hermannatal
enrolment	innriting (til hertænastu),innmelding,enrol(l)ment formtilmeldingarskjal, tekning, skráseting, tilgongd; limaskapur (t.d.achieve one’s full enrol(l)ment in Blue Cross)
en route	á veg, á leiðini
ENSA	(st.)Entertainments National Service Association (skemtiliga tulkað:)Every Night Something Awful
ensanguined	blóðugur
ensconce	víggirða, verja, skýla;ensconce oneselffjala seg (t.d.behind a newspaper);seta seg til rættis
ensemble	(franskt)1heild (t.d. um kjóla og frakka úr sama klæði)2heildarmynd3(tónl.)ljómlið, orkestur4samanspæl (t.d.their ensemble was perfect);framførsla
enshrine	leggja í skrín; varðveita (halgilut); hjúkla um, varðveita (t.d.his memory)
enshroud	sveipa, bjarva, hylja
ensiform	(plfr.)svørðvaksin
ensign	1flagg, fáni, merki;red ensignbretska handilsflaggið;white ensignbretska herflotaflaggið2tekin, merki3(am., uml.)sjóloytnantur
ensilage1	súrhoyggj, súrløga
ensilage2	gera til súrhoyggj
