d-	(st.)damn
den	(dýra) hola, dýrahelli, bøli; kurpali, klivi, „hola“(t.e.kamar); búr til villdýr; denof robbersránsmannabøli
denary	tíggjufaldur; tíggjutals-
denatality	lækkandi burðartíttleiki
denationalize	avhenda tjóðartikna ogn
denaturalize	taka heimarætt frá, tjóðborgaraloysa
denatured	denatured alchoholódrekkandi brennivín
denazify	reinsa fyri nasistaávirkan
dendroid	(plfr.)trækendur
dendrology	læran um trø, træfrøði
dene	1sandlendi, sandøki; lágir mølheyggjar2(staðb.) (skógvaksin) dalur
dengue	(lækn.)denguefepur (hitalandasjúka)
deniable	it is not deniabletað kann ikki noktast fyri
denial	noktan, sýting, synjan, avnoktan, avsannan; (eitt) nei
denier	sýtari, noktari (t.d.there are plenty of Holocaust deniers out there)
denigrate	1sverta, spilla út (t.d.her story denigrates him as a person and as a teacher)2lítilsvirða, lítilsmeta (t.d.no one is trying to denigrate the importance of a good education)
denim	denim (tjúkt bummullarklæði); cowboyklæði (t.d.persons with untidy hair wearing crumpled denims)
denizen	útlendingur sum hevur fingið uppihaldsloyvi við ávísum rættindumel.heimarætt við ávísum avmarkingum;(serst. skaldsk.)búgvi, fólk (t.d.denizens of our city slums)
Denmark	Danmark, Danmørk, Flatlond
Denmark Strait	(landafr.) Grønlandsfjørður (Íslands og Grønlands millum)
denominate	nevna, kalla
denomination	1heiti (t.d.liar is the right denomination for him)2flokkur; bólkur;(átr.)trúarbólkur (t.d.a meeting for all sects and denominations)3(á peningaseðiliosfr.)áljóðandi virði,the denomination(s) of the sharesstøddin á partabrøvunum;large denominationsstórir pengaseðlar
denominational	hoyrandi til trúarbólk
denominator	nevnari (í talbroti);common denominatorfelagsnevnari
denotation	(orða)merking, týdningur; hugtak(móts. connotationeykatýdningur)
denote	merkja (t.d.X denotes an unknown quantity),týða, benda á
denouement	avdúking; loysn (á fløkjuel.gátu) (í sjónleikiosfr.)
denounce	1siga vera (t.d.denounce him as a liar; denounce this statement as a lie)2ákæra (t.d.he denounced the Government as corrupt)3klaga, (for)døma4siga upp (t.d.a treaty)5(til løgregluosfr.)melda (t.d.denounce him to the police)
denouncement	sídenunciation
de novo	(lat.)av nýggjum, frá grundini;consider the problem de novotaka spurningin upp av nýggjum
dense	1tættur, tjúkkur (t.d.fog)2fastur (t.d.mass; dense volcanic rock)3óglærur, óskyggin4tornæmur; denseignorancedjúp fákunna5dense negative (lmynd.)tætt negativ
densely	1tætt (t.d.populated; a densely populated country)2torskilt (t.d.densely plotted historical fiction)
density	1tættleiki (t.d.density of population)2tjúkd3tornæmi4(íteld.)tætti5(alisfr.) evnisnøgd
dent	1nhakk, skarð; kulla; bukla2(áv.)=make a dent on (el. in)gera skarð í, skara, bukla;(fl.m.)virka á, veikja, minka, tæra; gera hol í (t.d.his savings); dent his pridesæra hansara stoltleika3sbukla; skarða; verða buklað
dental	1ltann-; tanna-;dental school serviceskúlatannlæknarøkt; tannlækna- (t.d.chair; collegeháskúli)2n (ljóðl.)tannaljóð
dental care	tannrøkt
dental clinic	tannlæknastova
dental floss	tanntráður
dental hygienist	tannrøktari
dental nurse	tannlæknahjálpari
dental plate	síplate1
dental surgeon	tannlækni
dental technician	tannsmiður, tannteknikari
dental treatment	tannviðgerð, tannlæknaviðgerð
dental visit	tannlæknavitjan
dentate	(plfr., dý.)tentur;doubly dentatetvítentur
denticare	(am.)barnatannrøkt
denticulate	(plfr.)smátentur
dentifrice	tannkrem; tannpulvur
dentist	tannlækni
dentistry	tannlæknafrøði;school of dentistrytannlæknaháskúli
dentition	tannskipan; tannstøða; tenning;deciduousdentition barnatenn;secondary dentitiontannskifti
denture	leysatenn, handilstenn, gjørdar tenn
denuclearized	kjarnorkuvápnafríur
denudation	1nektan, nakni, úrlating, vísing2(jarðfr.)berkan
denude	1nekta, lata úr, gera baran(of);denudeof (eis.)taka frá2(jarðfr.) berka
denunciation	(smb. denounce)(ógvuslig) ákæra, kæra, klaga; fordøming; uppsøgn (t.d.of a treaty);melding
denunciator	fordømari; meldari
denunciatory	ákærandi, fordømandi; hóttandi
deny	1nokta (fyri), avsanna (t.d.the truth of his statement), avnokta; reka aftur, kasta aftur2avnokta (t.d.deny one’s faith);sleppa3(herm.)forða í at nýta4nokta, ikki unna; denyoneselfnokta sær sjálvum;deny oneself wine and cigarsikki unna sær vín og sigarir;deny oneself any fun in lifeikki unna sær nakran stuttleika í lívinum;deny oneself to callerssiga seg ikki vera heima;that happiness was denied himta eydnuna untist honum ikki
deodar	(plfr.) (Cedrus deodara)
deodorant	deodorantur, luktdoyvi, lukttøkuevni
deodorization	lukttøka, deymdoyving
deodorize	takael.doyva lukt
deorbit	koma (, taka) úr ringrás
DE P	(st.)Department of Employment and Productivity(uml.)vinnumálaráð
dep	(st.)departs, departure (um tokosfr.); department; deposit; depot; deputy
depart	1fara avstað(fortil) (t.d.the train departs for Dover at 10:30)2doyggja, andast, fara (yvirum); departthis lifeandast;the departed (eis.)tann farni, deyði, sáli3departfromvíkja frá; sleppa (t.d.depart from a tradition);ganga frá (t.d.depart from one’s word (, promise))
departee	1fólk sum er loyst úr starvi. fólk sum fer fráel.fólk sum fer úr starvi2fólk sum er burturflutt
department	1(handilsm.) deild (t.d.a big firm having many departments)2vinnugrein3øki, yrkisøki (t.d.the translation of such articles is his special department)4yrkisgrein, yrkisbólkur,(t.e.á universiteti) institutt5ráð, stýrisdeild, stjórnardeild, stjórnarskrivstova; ráðharraráð (t.d.the Department of Education and Scienceundirvísingarmálaráðið
departmental	deildar- (t.d.manager; sistersjúkrarøktarfrøðingur),stjórnarskrivstovu-, ráðharradeildar-
departmental library	stovnsbókasavn
Department of Environment	(íBretl.) umhvørvismálaráð; sí eis.Ministry of Environment, Environment Ministry
Department of Foreign Affairs	Uttanlandsdeildin
Department of Social Services	Almannastovan
department store	stórhandil, vøruhús
departure	1fráferð,next departurenæsta fráferð;list of departureslisti yvir fráferðir;departures flt (eis.)farandi tok (, skip, flogfør); avstaðferð, burturferð2frávik (t.d.departures from normal; a departure from official procedure)3deyði4a new departurenakað heilt nýtt, hending ið setur mark5(fl.m.) point of departureútgangspunkt, útgangsstøði
departure lounge	fráferðarhøll
departure platform	fráferðarpallur
depauperate	(plfr.)skerdur
depeche1	senda
depeche2	boð;the dispatch of a messageboðsending
depend	1(løgfr.)vera óavgjørt;(gl.)hanga;it all dependstað veldst um;that depends whether the Ministry decides to…2dependonvera treytaður av, vera eftir (t.d.it all depends on how you look at it);vera bundin av (t.d.we depend on foreign countries for our oil supplies);líta á, hava álit á (t.d.he is not a man to be depended on); I depend on him to do iteg líti á at hann ger tað; rokna við (t.d.don’t depend on his help); he depends on his pen (for a living)hann hevur pennin sum álit;depend upon it!tað kanst tú líta á!the school does not depend on himskúlin er ikki treytaður av honum
dependable	álítandi, treystur, rakstrartryggur
dependant	persónur sum er bundin at øðrum; persónur ein hevur uppihaldsskyldu mótvegis
dependence	bundinskapur(onav:t.d. one’s parents);álit(in, oná)put dependence onhava álit á; líta á
dependency	1atland, tegnland (t.d.a British dependency)2ósjálvbjargni, ósjálvstøða3(am. eis.)bundin at almennari hjálp
dependent	1treytaður(onav), bundin(onat//av) (t.d.one’s parents; the weather)2ósjálvbjargin, ósjálvstøðugur; dependentchildren (uml.)børn ið ongan verja hava3(máll.)dependentclauseeykasetningur
depict	mála,it was depicted in his facetað stóð málað í andlitinum á honum; mynda; lýsa (t.d.historic scenes)
depiction	avmyndan; mynd; lýsing
depilate	taka hár burtur, hæra (húð)
depilatory	1nhártøkuevni2lhártøku-
deplane	fara (, taka) út úr flogfari
deplete	1tøma (t.d.the stocksgoymslurnar; reservoirs have been depleted by years of drought)2troyta, trároyna (t.d.deplete a lake),minka um (t.d.supplies are depleting fast)3pøsa (t.d.deplete his strength)
depletion	tøming, troyting, minking;(lækn.)máttloysi, møði(serst.av blóðmissi)
deplorable	(sera) harmiligur, syrgiligur, syndarligur; ússaligur (t.d.food),neyðarsligur
deplore	harma (sáran),vera harmur um, harmast um; iðra seg um(el.eftir),dáma illa
deploy	1(herm.)spjaða; skipa í stríðsstøðu, bólka (t.d.forces were deployed at strategic locations)2brúka, nýta, taka í nýtslu (t.d.resources; they are not always able to deploy this skill),seta upp (t.d.missiles)3veita (t.d.aid)
deployment	1(herm.)spjaðing; bólking2nýtsla (t.d.the deployment of water power involves elaborate preparations)3uppseting (avof)(t.d.missiles)
depoliticization	avpolitisering
depollute	reinsa
depone	(løgfr.)vitna um [undir eiði]
deponent	deponent sagnorð;(løgfr.)vitni
depopulate	avfólka, avdanka
depopulation	avfólking, avdanking
deport	flyta burtur, sendael.rekael.vísa av landi, koyra í útlegd;deport oneselfbera seg at (t.d.with dignity; teach him how to deport himself in public)
deportation	útlegd, burturvísing í útlegd
deportment	kropsburður; framferð, atferð, atburður (t.d.train the girls in deportment and manners)
depose	seta frá(serst.kong),koyra(el.reka) úr embæti;(løgfr.)at vitna undir eiði; depose(to)vitna
deposit1	1(jarðfr.)setløg, botnfall; lind (t.d.iron ore deposits)2(evnafr. osfr.)avevni, botnseting, drøgg, berskaki3(handilsm.)veð(ur), pant, trygdarfæ; innskot;deposits/witdrawalinnskot/úttøka;pay a depositlata pening í trygd (t.d.furnish a deposit for books borrowed from the library); fixed term depositsavtaluinnskot4útgjald (tá keypt verður)5(í banka)bank depositáogn í banka, innskot, innlán;deposit at notice, on a fixed-term depositinnlán upp á uppsøgn;deposits on handinnistandandi6(tøkn.)sjóðimetal, sveisimetal7(á forngripagoymslu, bókasavni) goymslu-, depotlán
deposit2	1seta pening í, seta inn (í banka)2lata til varðveitslu (t.d.deposit one’s jewels in the bank),líta upp í hendur;‘Deposited by X Museum’Lænt frá listasavninum X3seta sum veðhald; gjalda inn (t.d.they deposited 5, 000 dollars on the house)4seta, leggja, seta frá sær5handa, avhenda, lata, geva (t.d.not until the last voter had deposited his ballot)6(um ferðafólk) seta av7(evnafr.)botnseta8(jarðfr.)seta, leggjast (t.d.a thick layer of mud)9verpa (t.d.the insect deposits its eggs on leaves)
deposit account	1innlánskonta, bankabókskonta; eis.bank deposit2(í handli) kundakonta
depositary	vørslumaður, ein ið fær fæ í varðveitslu
deposit copy	(bókasavn) skyldueintak
deposition	1burturvísing úr embæti, uppsøgn úr starvi2botnseting3(løgfr.)vitnisfrágreiðing (skrivlig, sannað við eiði)4the Deposition(í list) niðurtøkan av krossinum
depositor	sparari (í banka)
depository	goymslustaður
deposit rate	innlánsrenta
deposit slip	inngjaldsseðil
depot	1goymsla, goymsluhús, pakkhús2herdeildarhøvuðsstøð3(til bussar) garasja4(am.)jarnbreytarstøð, bilstøð
depravation	spilla, siðspilla
deprave	spilla, siðspilla
depravity	siðspilla (t.d....the absolute depravity that can exist in war;...the righteous struggle between decency and depravity)
deprecate	1dáma illa2biðja seg undan einum, sleppa sær undan einum3seta seg ímóti, mæla ímóti; deprecatehasty actionseta seg ímóti skundi; deprecatepanicforða ræðslu4forða við bøn
deprecating	
deprecation	misnøgd, ónøgd, mislík, mistykki; bøn um at eira einum
deprecatory	misnøgdur/ónøgdur við (eitt), mislíkandi; forðandi, umberandi
depreciable	sum loyvt er at avskriva
depreciate	1halda lítið um, undirmeta, tala niðrandi um, gera verri2(handilsm.)minka í virði3niðurskriva4avskriva5(um gjaldoyra) geingissíga, niðurskriva, devaluera;(óáv.)falla í virði
depreciation	1undirmeting2(handilsm.)virðislækking, virðisfall, virðisminking3niðurskriving, avskriving (av ogn)4(av gjaldoyra) geingissig, niðurskriving, devaluering
depreciation account	avskrivingarkonta
depreciation reserve	avskrivingargrunnur
depreciative	niðrandi; versnandi
depredations	rán, herjan
depredator	ránsmaður
depress	1trýsta niður á (t.d.the keys of a piano),halda niðri2(um prís) trýsta niður3lækka (t.d.depress its freezing point from 0° to -1.86°)4(fl.m.)kúga; gera dapran í huga, gera keddan, hugtyngja5veikja6darva
depressant	1nsissandi evni2lhugtyngjandi
depressed	1 (um fólk) nívdur, hugtungur, dapur/tungur í huga, illa hýrdur2(bú.)kreppuraktur (t.d.area)3(handilsm.)viknandi, í afturgongd, versnandi4(plfr.)flaknaður5 (um øki) lægdutur
depressedareas	kreppuraktir landslutir
depressedclasses	kúgaðir fólkabólkar
depression	1fall, lækking, lækkan (t.d.of the freezing point; of a roadway)2lægd3ringt lag, hugtyngsla, tunglyndi (t.d.in a state of great depression)4(veðurfr.)lágtrýst, lágtrýstøki5(handilsm.)lágkonjunkturur, vinnukreppa, fíggjarkreppa, kreppa, krepputíð
depressurize	taka trýst av
deprivation	1frátøka2missur3skortur4neyð5(um prest) burturvísing úr embæti
deprive	1(um prest) seta frá2ræna; deprivehim of ittaka tað frá honum3hindra
deprived	sum kennir sakn av, illa staddur, við lítlum rættindum; neyðstaddur;culturally deprivedmentanarfátækur
dept	(st.)department; deponent; deputy
depth	1dýpd; tjúkd; breidd (t.d. á eini hill)2dýpi (t.d.thedepthof the water is thirty feet)3(fl.m.) sound thedepth fara í dýpdina;sound the depths oflodda dýpdina av (t.d.his feelings); the depths of miserystørsta armóð;in the depths of the countrylangt inni í landinum; depthof field (lmynd.)dýpdarklárleiki;in the depth(s) of wintermitt á vetri;in the depth of nightmitt á nátt4bebeyond(el.out of) one’s depth (eis. fl.m.)vaða longri út enn ein grynnir;indepth í dýpdini, djúptøkin, greiniligur, nágreiniligur (t.d.an interview indepth); defence indepth(herm.)alverja (av øllum landinum)
depth bomb	1(herm.) søkkbumba, djúpvatnsbumba2(tlm.) whisky við øli
depth charge	(herm.) søkkbumba, djúpvatnsbumba
depth contour line	dýpdarlinja
depth gauge	dýpdarmátari
depth interview	dýpdarviðtal
depthless	1botnleysur (t.d.misery)2á skræðuni, við ongari dýpd
depth psychology	dýpdarsálafrøði
depurant1	(lækn.) blóðreinskandiel.blóðreinsandi miðal
depurant2	(lækn.) blóðreinskandiel.blóðreinsandi
deputation	umboðsnevnd, sendinevnd; fulltrúarsending
depute	veita fulltrú; lata øðrum upp í hendur;they were deputed toteimum varð litið upp í hendur
deputize	virka sum varamaðurel.tiltaksmaður;deputize for himkoma í hansara stað, virka fyri hann
deputy	umboð, fulltrúi; varamaður, tiltaksfólk, staðgongufólk; vara-;deputy chairmannæstformaður;deputy superintendentdeildarlækni
De Quincey	
der.	derivation; derivative; derived
deracinate	skræða upp við rót, týna
deracinated	syndraður (t.d.the deracinated culture of the 21st century)
derail	1fara av sporunum2(fl.m.) forða, hindra, loypa brongl í (t.d.derail his plans)
derailment	1(um tok) avsporing, at verða farin av sporinum2síderail2
derange	ørkymla, órógva; loypa ólag í; gera heilavillan
deranged	ørkymlaður, órógvaður; heilavillur; sinnissjúkur
derangement	ørkymlan, órógv; ólag; sinnisørska
derate	lækka kommunuskatt (t.d.a house)
deration	taka skamtan av (t.d.petrol has been derationed)
deratization	rottutýning
derby1	1bowlarahattur2(ítr.)grannauppgerð,grannadystur(t.s.s.local derby)
Derby2	(býur í Miðonglandi);the Derbyderbykappríðingin
