O.	(st.)1Officer2Order
once-over	(tlm.) give something the once-overkanna eitt leysliga, kveita at e-m;before buying the car I gave it the once-overeg kannaði bilin leysliga, áðrenn eg keypti hann;the carpet needs a quick once-over with the hooverteppinum tørvar at fáa ein umgang við dustsúgvaranum;give somebody a once-over (eis.)buka ein av
oncologist	(lækn.)krabbameinsfrøðingur
oncology	(lækn.)krabbameinsfrøði
on-coming	1mótkoyrandi (t.d.on-coming traffic; blinded by an on-coming car)2sum nærkast í hvørjum, sum er í umbúna, sum nærkar seg, sum hóttir (t.d.the on-coming danger);fyri hond, í hondum (t.d.the on-coming winter);vera í koming, komandi3Sfryntligur, vinaligur, beinasamur4naskur, átroðkandi
one-	(ísmst.)ein- (t.d.one-celledeinkyknaður)
one1	1ein, eitt2(í borðspølum og terningaspølum) eittari3(am.)eindollaraseðil4[íyms. samb.]you are a onetú ert ein stavnur (, ert tú), tú ert ein verri ein
one2	1(av tveimum) annar, onnur, annað (t.d.carrying his head on one side; from one end to the otherúr enda í enda)2(av øllum) einasti, einasta (t.d.the one way to do it); my one regret)3(um fólk) ein ávísur, ein (t.d.one Mr Brown)
one3	1ein2fólk, tey, ein, man, mann3(tá iðoneverður nýtt sum stuðulsorð, verður tað ikki týtt) (t.d.a big house and a small oneeini stór og eini smá hús;my career has been one of difficultiesyrkisleið mín hevur verið tvørlig4[íyms. samb.]one and all (gl.)allir saman, sum ein maður, allir sum ein5[ísamb. viðfn og kenniorð]that onehasin, handa, hatta har;the onehann//hon//tað (t.d.he is the one I mean; the one in the glass; the one with the black hair); the one and onlytann einasti; hann sum ber av øllum, úrmælingurin... (t.d.the one and only Elton John); the little -stey smáu, børnini;this onehesin, henda, hetta6[ísamb. viðfs]beatone with1vera samdur við (ein)2vera í samljóði við (t.d.be at one with nature); onebyoneein í senn, ein fyri og annar eftir;Iforoneeg sigi fyri meg, mína vegna;inoneí senn;you got it in onetú kollgitti;in -s and twosein og tveir í senn7[ísamb. viðeftirsett fs]he is oneforhann er púra burtur í, hann er púra býttur av;he is not much of a one forhann leggur lítið lag í;that’s oneonyou (am.um glósu) so fekst tú hatta;oneup forsínðf.: one up to; be oneup onsbyvera heldur stinnari enn ein, hava munin á einum;one up to youeitt stig til tín;onewith anotherí miðal, tá ið samanum kemur, tá ið av tornar
one4	ein//eitt;one or twoeinir tveir//einar tvær//eini tvey
one-act play	sjónleikur í einum parti, einpartari
one another	hvør annan, hvør aðra, hvørt annað
one-armed	einermdur, einarmaður, sum bara hevur annan armin/ein arm
one-armed bandit	einarmaður tjóvur, spæliautomat
one-eyed	1einoygdur2(fl.m., tlm.)trongskygdur, heimføðisligur; síone-horse
one-family	one-family housesethús, støk hús, einfamiljuhús
one-horse race	it was a one-horse race eingin ivi var um, hvør (teirra) fór at vinna
one-horse town	(niðr.)lítil og týdningarleysur býur, avbygd
oneiric	dreymakendur
one-legged	1einbeintur, einføttur, sum bara hevur annað beinið, við einum beini2(fl.m.)eintáttaður, ikki nóg góður, sum ikki røkkur
one-liner	stutt skemtilig søga, stutt skemtiligt og hittinorðað aftursvar (í leikiel.skemtisending) (t.d.deliver some good -s)
one-man	einsmans- (t.d.bus; band; tent)
oneness	at kenna samljóð,el.samlag og samleika við okkurt, at vera sum eitt við okkurt;a sense of oneness with natureat kenna seg í samljóði við náttúruna
one-night stand	1stakframførsla, stakframsýning2(tlm.)eitt lítið, stakfríggj (kynsligt samband);I was hoping for a lasting affair, not only a one-night stand)
one-off1	einsinnishending, staktilburður, stakframsýning (t.d.his novel is a one-off); he is a one-offhann er eitt eindømi, hann ber av øllum
one-off2	einstakur, sum er einsinnishending, einkultur, sum bara kemur fyri eina ferð, á einum sinni;a one-off paymentgjald einaferð med alla; (handilsm.)one-off chargeseinsinnisgjøld, gjøld eina ferð
one-on-one	síone-to-one
one parent family	familja sum hevur bara eitt foreldur, ein foreldursfamilja (har børnini eru/búgva hjá øðrum av foreldrunum); eis. single parent familyel.lone parent family
one-piece	í einum (t.d.swimsuit)
one-price store	eindarpríshandil, handil við eindarprísum
oner	1Sfrálíkur maður, stásmaður, knassi(attil)2dygtel.meint slag3kolsvørt lygn
onerous	tvørligur, torførur, trupul, tungur, møðsamur (t.d.onerous duties//tasks)
one’s	eins, síns sjálvs
oneself	seg, sær, sín, sjálvur, seg sjálvan, sær sjálvum, ein sjálvur;by oneself1einsamallur, fyri seg sjálvan2gera eitt sjálvur, gera eitt einsamllur
one-shot	(am.S)eina ferð med alla, ta eini ferðina
one-sided	1(serst. viðv.áskoðan) sum heldur við øðrum partinum, parthallur, sum ger mannamun, partískur (t.d.a one-sided argumet; the press was accused of being very one-sidedfjølmiðlarnir vórðu skuldsettir fyri at gera mannamun2har annar parturin er nógv stinnariel.ræður einsamallur (t.d.it was a very one-sided game - we won easily; their relationship is very one-sided)
one-step1	onestep (slag av dansi)
one-step2	dansa onestep
one-stop	[har einum nýtist bara at snúgva sær til eitt stað]
one-time	1fyrr, áður; sum var, fyrrverandi2einsinnis-, stak-
one-to-one	eitt-til-eitt (har ein í bólki hevursamb.við annan í øðrum bólki);a one-to-one relationshippersónligt samband millum tvey;teaching on a one-to-one basiseinatími
one-to-one correspondence	1(stfr.)eintýtt samsvar2(fl.m.)fullkomið samsvar
one-track	trongskygdur, einsporaður, einsháttaður
one-track mind	trongskygdur hugsanarháttur
one up	síone
one-upmanship	at duga at fáa høvdið fyri seg
one-way	1(um veg) einvegis-;one-way streeteinvegisvegur;one-way trafficeinvegis ferðsla2(um spegil, samskifti) einvegis-
one-way ticket	einvegis ferðaseðil
one-woman	sum eitt konufólk einsamalt hevur avrikað (t.d.show)
ongoing	1sum fer fram (beint nú), sum eru í gongd, sum verður hildið (beint nú) (t.d.ongoing negotiations)2støðugur, framhaldandi, áhaldandi, alsamur, varandi (t.d.ongoing struggle);(handilsm.)ongoing chargesgjøld so hvørt
onion	1leykur; reyðleykur2[íyms. samb.]know one’s -sduga tað ein eigur at duga; vera dugnaligur í sínum arbeiði; hava gott skil á (einum);off one’s onionSvindandi óður í høvdinum
onion dome	(t.d.russiskar kirkjur) hválv í leyksniði, leykdánað hválv
onion set	setleykur
oniony	leyk- (t.d.oniony tasteleyksmakkur)
on-licence	skeinkiloyvi (vertshúseigari við loyvi at skeinkja sterkan løg)
on-line	1við beinleiðis sambandi (við skipi, tokio.tíl.)2(teld.)álinju-, netborin
online backup	(teld.)fjartrygdarrit
online banking	netbanki, heimagreiðsla; á enskum eis.netbankingel.internet banking
online dictionary	netorðabók
online TV	(teld.)netsjónvarp
onlooker	áskoðari
only1	einastur, einasti;an only childeinabarn, einasta barn;God’s only begotten SonGuds einborni sonur;she is the only woman for the jobbara hon er skikkað til starvið
only2	1bara, bert, einans, ikki meira enn2(um tíð) síðan, ikki fyrr enn, longu (t.d.only latelynústani; ikki fyrr enn nýliga;she came only yesterday/she only came yesterdayhon kom ikki fyrr enn í gjár (t.d.I saw him only this morningeg sá hann í morgun3[íyms. samb.]it was only last weektað er ikki longri síðan(i) enn í farnu viku, tað var í síðstu viku;if onlygævi; síif; onlyjust 1tað var so at…(t.d.he only just managed to lift it)2nústani, nýliga (t.d.she only just bought it)3beint nú;it was onlytootruetað var bara alt ov satt;only you can guessbara tú kansta gita tað;you can only guesstú kanst gita tær til tað (annað kanst tú ikki gera);I shall be only too pleasedeg hevði fegnast um tað
only3	men...;he is a nice chap only he talks too muchhann er fitt fólk, men hann tosar(el.sussar) ov nógv;this book’s is well written, only it’s rather depressingbókin er væl skrivað, men hon er nakað svartskygd;he is always making promises, only he never keeps themhann lovar nógv, men hann heldur ongantíð tað hann lovar; hann lovar runt, men heldur tunt
o.n.o.	(st.)(í lýsing)or near(est) offer
on-off valve	stongdarventilur
onomatopoeia	1ljóðmálandi orð, ljóðlýsandi orð2at nýta ljóðmálandi/ljóðlýsandi orð
onomatopoeic	ljóðmyndaligur, ljóðmálandi, ljóðlýsandi
onomatopoetic	ljóðmyndaligur
onrush	tysjan, rusan, rúsan; atsókn, álop
on screen	síscreen1
onset	1byrjan (til okkurt ódámligt); at (eitt) tekur seg upp (t.d.of the disease)2[íyms. samb.]before the onset of winteráðrenn veturin kemur
onshore1	1á strondini, á landi, sum stendur á landi2(um ætt) hav-, álands-(t.d.havætt, álandsvindur)
onshore2	1á strondini, á landi2(um ætt) inn at landi
onside	(ítr.)rættstaddur(smb.rangstaddur)
onside	(ítr.)rættstøða
on-site inspection	kanning á staðnum
onslaught	hart álop, hørð atsókn, árend
onstage	á palli (t.d.she walked slowly onstage)
onto	upp, niður, niðan, yvir, út, inn, á; (sí eis.on (to)(t.d.she climbed onto the roof)
ontogenesis	1[lívverumenning hjá einstaklingi frá tí eggið verður gitið til tess, lívveran er vorðin vaksin]2[eis.lívverugransking frá byrjan til lívveran doyr]
ontogeny	[lívfrøðigrein ið granskar lívverumenning hjá einstaklingi]
ontological	tilverufrøðiligur, tilverufrøði-
ontology	tilverufrøði
onus	byrði, byrða, skylda, plikt, ábyrgd;the onus of proofpróvbyrðin/próvbyrðan;onus probandipróvskylda;the onus is on/lies with the landlord to…tað liggur á útleigaranum at…
onward1	1fram, framá, frameftir (t.d.an onward journeygonga frameftir2longur fram (t.d.travel onward to another destination)
onward2	síonwards
onwards	1fram, framá, frameftir2[íyms. samb.]from 2004 onwardsfrá 2004 og frameftir;from today onwardsfrá hesum degi (og frameftir)
onyx	oniksur (k), onyks (kv) (skreytsteinur)
oodles	(tlm.)oodles of ørgrynni av
oof	(tlm.)pengar
oofy	(tlm.)ríkur, múgvandi
oogamy	(lívfr.) egggiting
ooh	1o dekan!, dekan fari!2(sum tekin um misnøgd) uff!, tví vorðið!3(av pínu) avv!
ook	oljukent svans
ooky	kleimin, kleiggjutur
oomph	(tlm.)plúmm (t.d.there is more oomph in that car);lív, krút,(tlm.)futtur;we need someone with a bit of oomphokkum nýtist onkran, sum tað er eitt sindur av futti í
oops	ups!
ooze1	1runa, evja, móra, marra2(at barka við) barkløgur3at leka, leki, at seyra, seyran, at dæla, dælan, úrseting, at dríva
ooze2	1seyra, seta úr, dæla, dríva;ooze withtorna2(við ávirki) lata úr sær, skilja úr3(fl.m.)lýsa av (t.d.confidence; talent),ikki fáa gingið fyri(t.d.errinskapi), fullur av (t.d.charm)4[íyms. samb.]oozeaway 1lekael.seyra burtur2(fl.m.)hvørva smátt um smáttel.líðandi;oozefromspríkja fram (t.d.happiness -d from every pore); oozeout 1vella fram2(fl.m.)leka út;the secret -d outloyndarmálið lak út;oozewith 1torna, vatnrenna2(fl.m.)sí3
oozy	gruggutur, sum marra, marrukendur, runutur, evjutur; slevjutur
Op.	(st.)tónl.) opus
op1	1(tlm., herm)tiltak2(tlm., lækn.)skurðviðgerð3(am.: opportunity)høvi, møguleiki (t.d.shop opskeypsmøguleikar)
OP2	(st.)1opposite prompt2(prent.) out of printuppseldur
opacity	1óskygni, at vera óskygdur, óklárurel.gruggutur2at vera torskiltur, fløkturel.ógreiður (t.d.the opacity of his arguments)
opah	(dý.)laksastyrja(Lampris guttatus)
opal	opalur (gimsteinur);fire opaleldopalur
opalescence	litaleikur, litspæl; opalskin
opalescent	sum skyggir í øllum litum; opallittur
opal glass	opalglas
opaline	sum skyggir í øllum litum; opallittur; t.s.s.opalescent
opaline green	opalgrønur
opal lamp	opallampa
opaque1	(lmynd.)myrkingarlitur
opaque2	(lmynd.)myrkja partar av filmi
opaque3	1kámur, óglærur, óskyggin, sum ikki kann lýsast ígjøgnum2(fl.m.)óskilligur, torskiltur, ringur at skilja
op-art	[optisk list/sjónarlist; listarstevna sum nýtir sterkar litir og mótvirknað/kontrastvirknað]
OPC	outpatient clinicútstova, ambulatorium
ope1	(skaldsk.)lata upp
ope2	opin
OPEC,Opec	(st.)the Organization of Petroleum Exporting Countries
op-ed page	blaðsíða yvir av oddagrein (har viðmerkingar eru)
open1	1lata upp,(tlm.)opna;open an accountopna kontu;open one’s eyeslata eyguni upp2(armar, veingir) breiða út, rætta (armarnar) fram móti(t.d.barninum)3fara undir, byrja, seta á gongd, taka stig til, seta í verk, leggja fyri (t.d.open a debate; an investigation);seta(t.d.fundin) (t.d.the debate; the case);(um fallskíggja) lata seg upp;open the casefara undir málið;open firebyrja at skjóta4koma í ljósmála, opinbera5(við ongum ávirki) lata seg upp, opnast, spretta (t.d.the flower -ed)6(fl.m.)byrja (t.d.the book -s with a description of ..)7[íyms. samb.]the window opens easilyvindeygað er lætt at lata upp;opens one’s heart toleggja hjartað opið fyri8[ísamb. viðfs]openintoganga inn//út til; hava hurð ið gongur inn//út til;two rooms -ing into each othertvey kømur við hurð ímillum;openon to/ontovendael.horva ímóti; ganga út til;openout 1(um blómu, blað) lata seg upp2(um útsýni) liggja opin (t.d.the view -edoutbefore us)3(um veg, áo.tíl.)breiðka4(um fólk) lata seg upp(tofyri)5(við ávirki, um korto.tíl.)breiða út (t.d.open a map); openout intosíopeninto; the path -ed out into a roadgøtan gjørdist vegur;openup 1gera atkomandi, gera atkomuligt, lata upp, verða atkomandi, verða atkomuligt (um marknað, øki)2(skurðviðgera) opa, skera upp3(við ávirki) lata seg upp, verða atkomuligt4(um fólk) tosa opið um5(um ein ið koyrir) seta ferðina upp, traðka á spitaran;openup onskjóta eftir, lata/loysa skot av eftir
open2	1opin, fríur, frælsur, leysur, falur; óavmarkaður; ætlaður øllum2(ísamb.viðs)upp (t.d.push//kick the door open; break the box open; the door sprang open; the window flew open);(síeis. nðf.:viðs)3(um málo.tíl.har støða ikki er tikin enn) opin, óloystur (t.d.open question);ikki avgreiddur, óavgreiddur4(um gerð, viðurskiftio.tíl.sum ikki eru krógvað) opin, opinberur, óduldur, ófjaldur, bersýndur, týðiligur, sjónligur, opinberligur, almennur (t.d.rebellion; scandal)5(um kenslur) opin, óduldur, ófjaldur (t.d.admiration; hostilitity; contempt, curiosity)6(um fólk) opinskáraður, hjartaligur, trúgvur, trúfastur, sannur, heilhugaður, reiðiligur (t.d.withvið)7lýggjur (t.d.open weather//winter)8[íyms. samb.]open and shut(tað er) sjálvandi/eyðsæð, lætt við at gera;open exhaustfríur útblástur;open scholarshipstudningur/styrkur, sum øll kunnu søkja um9[ísamb. viðs]lay open1lata upp2leggja bert3avdúka; siga frá; (síeis. nðf.; lay oneself open to); leave the door openlata hurðina standa upplatna/opna10[ísamb. viðn; leita eis. eftir orðum í stavraðnum; t.d. open account//secret]in open courtí almennum rættargangi;give with (an) open handvera stórtøkin/gávumildur;keep open housevera blíður at koma inn til, vera heimablíður/inniblíður;an open mindvera viðkvæmur;have (keep) an open mind,símind111[ísamb. viðfs]inthe open (air)1úti2gera almannakendan, umrøða alment (t.d.they wanted the plans in the open); comeintothe opensiga sum er; siga, hvat ein ætlar; siga frá øllum;opentoopin fyri (t.d.open the public); opentodoubt(el.question)ivi er um;be open to offersvera hugaður at taka við tilboði;open to persuasionsum vil lata seg vikael.yvirtala;it is open to criticism (eis.)tað er átaluvert;it is open to different interpretationstað kann tulkast á ymsan hátt;there are two courses open to youtú hevur tveir vegir í at velja;lay/leave oneself open tokoma fyri (t.d.open attack; open criticism); be openwithsbysiga einum, sum er
open access	frí atgongd
open-access library	[bókasavn, har fólk sjálv sleppa fram at hillunum]
open account	(handilsm.)leypandi konta
open-air	úti-, uttandura, uttandura- (t.d.life; theatre)
open-and-shut	(tað er) sjálvandiel.eyðsæð, lætt við at gera
open-armed	við opnum ørmum;an open-armed welcomevera boðin vælkomin við opnum ørmum
open borders	óvard landamørk (fólk hava frítt at fara//koma)
opencast	opencast coal minekolanám úr gryvju (ikki undir jørð);opencast miningnámvinna úr gryvju
open cheque	ókrossaður kekkur, kekkur ið ikki er krossaður
open circuit	(ravm.)opin streymrás
open day	vitjanardagur, opið hús
open-door	(politiskari skipanviðv.)sum ongar avmarkingar hava við sær, ótarnaður
open-ended	1sum er opin í øðrum endanum; sum hevur ongan bakvegg2(fl.m.)opin, óavmarkaður (har ongar treytir eru ásettar frammanundan);open-ended questionspurningur við nógvum svarmøguleikum, opin spurningur
opener	1blikkupplatari,(tlm.)upptrekkjari2innleiðslufyrireiking, undandystur, undankappingo.tíl.3[íyms. samb.]for -s (tlm.)í fyrstuni, at byrja við
open-eyed	við opnum eygum, gætin, ansin; bilsin
open-field system	(sø.)arbeiða í felag
open-handed	gávumildur, stórtøkin, leysur á hondini
open-hearted	1opinskáraður2hjartagóður
open housing	(am.) frælsur/fríur bústaðarrættur (at tað er bannað at gera rasuliganel.átrúnaðarligan mannamun í sambandi við leiguel.sølu av bústaði)
opening1	1op, opilsi, smoga, hol (t.d.opening in a hedge)2byrjan, inngangur3k(j)ansur, vóngevandi møguleiki; møguleiki ið gevur góðar vónir; útvegur4leyst starv
opening2	1upplatingar- (t.d.opening day, opening price);inngangs- (t.d.opening remarks; speech),byrjanar-; fyrsti2[íyms. samb.](t.d.í bridge)opening bid, opening callbyrjanarmeld;opening speechsetanarrøða, fyrsta røða
opening balance	(am.; handilsm.) flutningur/flyting til næsta roknskaparár
