a’	(skotskt.) =all(t.d.for a’ that)
adventurer	ævintýramaður, vágin maður, ævintýrari
adventuress	ævintýrakona, ævintýrari
adventurism	ævintýrapolitikkur
adventurous	djarvur, vágin, ævintýrligur, ævintýrahugaður
adverb	hjáorð, adverbium
adverbial	hjáliður, hjáorðs-
adversary	1mótstøðufólk; fíggindi; mótspælari2the Adversarydjevulin, fjandin
adversative	(máll.)mótsetningar-, andstøðu- (t.d.conjunctionsambindingarorð,clauseeykasetningur)
adverse	1mótsettur, øvutur, sum er ímóti;adverse suit(í kortspæli) litur mótspælarans2ólagaligur (t.d.weather conditions); adverse wind(s)mótvindur; bágin; vondur;adverse fortunemótgangur3óheppin (t.d.effects; (t.d. circumstances; conditions; impression; position; terms);skaðiligur; negativur (t.d.publicity); adverse effect(um heilivág) óheppið hjáárin;adverse fortunemótgangur4atfinningarsamur (t.d.comments; reviews)
adversity	mótgangur (t.d.in times of adversity);mótburður (t.d.undergo a great deal of adversity);óhapp, vanlukka
advert1	(tlm.)lýsing
advert2	1gera varan við, gera varugan við; savna seg um2advert tosipa til, vísa til
advertence,advertency	at vera eftirskettinel.ansin, (tlm.) uppmerksemi
advertent	eftirskettin, ansin, (tlm.) uppmerksamur
advertise	kunngera, lýsa (t.d.advertise the house for sale);lýsa við;advertise oneselfreklamera fyri sær sjálvum; advertiseforlýsa eftir (t.d.a servant);rópa út um geilar (t.d.there is no need to advertise that I am ill);(síeis.advertising)
advertisement	kunngerð, lýsing; reklama
advertisement broker	lýsingaumboðsmaður
advertisement copy	lýsingahandrit
advertisement design	lýsingasnið
advertisement manager	lýsingastjóri (á blaðio.tl.)
advertisement writer	lýsingahøvundur, tekstsmiður
advertiser	kunngerari, lýsari
advertising	lýsing, reklama (t.d.a magazine containing a great deal of advertising); truth in advertisingfalsleys lýsing
advertisingagency	lýsingastova, kunngerðarstova
advertisingartist	reklamuteknari
advertising consultant	lýsingaráðgevi
advertising copy	lýsingatekst(ir)
advertising department	lýsingadeild
advertising drive	lýsingaherferð, lýsingaátak
advertising film	lýsingafilmur, reklamufilmur
advertising firm	lýsingastova
advertising gimmick	lýsingasnild
advertising man	lýsingamaður
advertising manager	lýsingastjóri
advertising matter	prentlutirflt
advertising page	lýsingasíða
advertising rate	lýsingaprísur
advertising revenue	lýsingainntøkur
advertising rough	lýsingaskitsa
advertising strip	(um bók) lýsingabelti
advertising stunt	lýsingasnild
advertising tape	klistriband við prenti á
advertorial	lýsing sum oddagrein
advice	1ráð,a piece (el. bit) of adviceeini ráð;ask sby’s advicebiðja ein um ráð;by my adviceeftir mínum ráðum;that was good advicehatta vóru góð ráð; hatta var skilagott;take sby’s advicefylgja eins ráðum;take medical adviceleita sær læknaráð2tíðindi, fregn, frásøgn;advices flt.tíðindi, fregn (t.d.according to the latest advices from Paris); (handilsm.)frásøgn, fráboðan;letter of advice (handilsm.)frásøgn;as per advice (handilsm.)sambært frásøgn3(trygg.) advice of claimskaðafráboðan
advice column	lesarabrævkassi
advice columnist	brævkassablaðstjóri
advice note	(handilsm.)fylgiseðil
advisable	ráðiligur (t.d.procedure; course; it would not be advisable to go there; I do not regard it as advisable to enlist his aid; it would be advisable to have a witness)
advise	1ráða (t.d.I advise you to stay in bed);mæla til (t.d.the doctor advised a change of air); advise him against doing it, advise him not to do itráða honum frá at gera tað, mæla honum frá at gera tað;be advised (eis.)taka við ráðum, gera eftir ráðum2boða frá(ofum, viðvíkjandi) (t.d.we will advise you when we hear from New York; advise us of any change in the price; he had not advised his friends of his marriage); as advisedsum fráboðað;(trygg.)advisea claimboða frá skaða;(post)boða frá3advise withráðføra seg við (t.d.friends)
advised	væl umhugsaður,badly advisedóumhugsaður (t.d.conduct); you were ill advised to do ittað var ikki rætt av tær at gera tað;you were well advised to do ittað var rætt av tær at gera tað;you would be well advised not to ask him for moneytú gert rættast ikki at biðja hann um pengar …
advisedly	vitandi, við vilja, við (be)ráddum huga (t.d.act advisedly; I use the word advisedly)
advisedness	varsemi
advisement	ráð, vegleiðing; ráðgeving,take under advisementhava til umhugsanar
adviser	ráðgev(ar)i, konsulentur (t.d.literary adviser; technical adviser);legal adviserlógráðgevi, advokatur;my legal adviser (eis:)mín sakførari
advisory	ráðgevandi
advocacy	1advokatvirksemi, advokatvirki2verja, stríð(offyri); stuðul
advocate1	1talsmaður, forsprákari, undangongumaður, slóðbrótari(offyri)2(við skotskan rætt ogfl.m.)sakførari, málførslumaður, advokatur
advocate2	vera talsmaður fyri, verja, stuðla, styðja
advowee	(kirkjum.) fólk við kalsrætti, kalshavi
advowson	kalsrættur
advt.	(st.)advertisement
adynamia	(lækn.)máttloysi
adynamic	máttleysur
adz(e)	skarøks
AEA	(st.)American Economic Association; Atomic Energy Authority
AEC	(st.)Atomic Energy Commission
aedile	(sø.)eftirlitsmaður (í Rom)
AE F	(st.)Allied Expeditionary Force; Amalgamated Union of Engineering and Foundry Workers
Aegean	egeiskur
aegis	vernd, verja, skjøldur;under the aegis of the U Nundir ST-vernd, innan fyri ST-virkisøki
aegrotat	1sjúkraváttan2(uml.)sjúkrapróvtøka
Aeneid	Eneasarkvæði
aeolian	vindbrýndur, vind-;aeolian harpvindharpa
aeon	ævinleiki
aerate	sambinda við kolsýru; blanda við luft
aerated bread	breyð sum er gingið
aerated water	mineralvatn, sodavatn
aerial1	(loft) kampur, antenna
aerial2	loftkendur, loftvorðin; loft- (t.d.aerial combat); aerial photographloftmynd;aerial photographyloftmyndatøka;aerial railwayloftbreyt;aerial reconnaissanceloftnjósning;aerial ropewayrennistrongur, togbreyt, togbrúgv;aerial shoot (plfr.)loftskot
aerial barrage	1(from the air) loftálop2(from the ground) loftverjuskot
aerial camera	loftmyndatól
aerialist	loftfimleikari
aerial line	telefonlinja
aerial map	loftmyndakort
aerial ropeway	togbreyt
aerial topdressing	taðing úr luftini
aerie	rovfuglareiður,(eis. fl.m)arnarreiður
aeriform	loftkendur;(fl.m.)loftvorðin, óveruligur
aerobatics	listflog, loftfimleikur
aerobic	súrevniskrevjandi
aerobics	treystivenjing, aerobic
aerodrome	flogvøllur, floghavn
aerodynamic drag	(flogm.) luftmótstøða
aerodynamics	loftmáttarfrøði, aerodynamikkur
aerodyne	flogfar ið er tyngri enn luftin
aeroengine	flogfarsmotorur
aerofoil	burðarflati
aerolite	torusteinur
aeromechanic	flogmekanikari
aeromotor	flogfarsmotorur
aeronaut	flogmaður, loftskipari
aeronautical	loftferðslu-, flogmála-, flog-
aeronautics	loftferðsla, loftferðslufrøði; flúgviteknikkur
aerophobia	sjúklig ræðsla fyri at flúgva, flogræðsla
aerophoto	loftfotomynd
aerophotography	loftmyndatøka (við dronuel.flogfari)
aeroplane	flogfar;aeroplane serviceflogsamband
aerosol	sirmfløska, sirmdós
aerospace	luftrum; (rúmdar)flúgving;aerospace industryrúmdarídnaður
aerostat	luftskip, luftballón
aerostatic	flog- (t.d.voyage)
aeruginous	eirdur (um kopar)
aery	síaerie
aesthete	fagurfrøðingur, vænleikanjótari, estetikari
aesthetic	fagurfrøðiligur, listfrøðiligur, estetiskur
aesthetics	(heimsp.)fagurfrøði, estetikkur
aestivate	(dý.)liggja í „summardvala”
aet,aetat	(st.)aetatis [i:·teitis] í tí aldri, í tí aldursári, sum (t.d. sum 70 ára gamal)
aetiology	orsakafrøði, etiologi (læran um sjúkrauppruna og sjúkraorsøk)
AF	(st.)Admiral of the Fleet; Anglo-French; Air Force
afar	fjart, langt burtur (frá)
AF C	(st.)Air Force Cross; Association Football Club
affability	blíðskapur, týðskapur
affable	vinarligur, blíður, týður, fryntligur
affair	1mál (t.d.affairs of stateríkismál)2affairs flt (eis:)viðurskifti (t.d.my private affairs); men of affairs (uml.)fólk sum standa mitt í tí praktiska lívinum;(tlm.) that is my affaireg um tað;that’s your affair (eis:)tú um tað; hatta er títt mál; hasum mást tú sjálv(ur) taka tær av3(almenn) hending, gøla4fjas(they are having an affairtey fjasast); kærleikssamband, kærleikssøga5keypslutur (t.d.his hat was a three-cornered affair of dark velvet; that car is a smart affair)
affect	1ávirka (t.d.it affects our interests),broyta; raka (t.d.many factories are affected by the strike; the wage increase will affect 300, 000 workers); (kensluliga)røra, nema við,be much affected byverða nomin inniliga av (sum nemur ein inniliga)2dáma (væl) (t.d.long words; eccentric clothes);ganga í (t.d.an open-neck shirt; white gloves)3tykjast, látast,affect ignorancelátast einki at vita; gera seg uppaffect the title of lexicographerprýða seg við heitinum orðabókahøvundur4halda til (t.d.swallows that affect chimneys)
affectation	lótir, fjákalótir,it was mere affectationtað vóru berar lótir; uppgerð;affectation of kindnessuppgjørdur vinskapur
affected	1tilgjørdur (t.d.manner),løgin, uppgjørdur (t.d.style),skaputur (t.d.affected personskapikrukka)2vera fyri (sjúku), fongdur við (sjúku), yvirtikin (av sjúku), illa fongdur viðseriously affected
affecting	rørandi, hjartanemandi
affection	1alskur, kærleiki (t.d.a mother’s affection for her children); affections fltheitar kenslur, gøðska2kenslur (t.d.the heart is the seat of the affections)3sinnalag, lyndi4(gl.)sjúka, sjúkdómur, sótt (t.d.a nervous affection)5eginleiki (t.d.shape and weight are affections of bodies)
affectional	kenslu-, kensluborin, kensluligur
affectionate	alskin, eymur, kærur;Yours affectionatelyvinaliga, vinaligar heilsanir
affective	(sál.)kensluligur, kensluborin; kenslu- (t.d.life, crime; act; reaction)
affiance1	trúlovan
affiance2	trúlova (seg)
affiche	uppslag, plakat
affidavit	skrivlig eiðfest frágreiðing
affiliate1	dótturfelag; systurfelagsskapur
affiliate2	1sameina; knýta at (t.d.affiliate the club to a larger organization; the affiliated unions; the branches are affiliated to the central organization; a college affiliated to(, am:with) the university)2affiliateoneself to sthknýta seg at einum, fara upp í (t.d.literary circles; a political party)3affiliate a child on (el. to) sbyvísa á ein sum faðir at barni, kanna einum barn
affiliated company	(handilsm.)dótturfelag
affiliation	1upptøka, sameining (t.d.their affiliation to the Transport Workers’ Union)2tilknýti (t.d.there is no doubt about the political affiliation of the strike leaders); their political affiliationsteirra politiska tilknýti3(sál.)samband, samskifti (t.d.need of affiliationtørvur á at koma í samband við fólk)4(løgfr.)nevna ein sum faðir at barni;payment under an affiliation orderbarnapengar
affiliation case	faðirskapsmál
affiliation order	(løgfr.) áseting av uppihaldspeningi í faðirskaparmáli
affinal	affinal relatives//relationshipskyldfólk//skyldskapur fingin við giftu (ikki holdborin skyldfólk//skyldskapur)
affinity	1svágarskapur, skyldskapur2(fl.m.)atdráttur, samkensla3andskyldskapur, líkskapur (t.d.there is an affinity between them)4(evnafr.)fýsni, affinitetur (lyndi hjá evnum at andgera, reagera)
affinity group	(flogm.) felagsbólkur [ísamb.við leiguflogferðir, t.d.recognized as an affinity group by the aviation authorities];affinity rules[almennar reglur fyri bólkaferðir skipaðar sum leiguflogferðir]
affirm	1vátta (t.d.the truth of the statement), sanna, játta2halda fast upp á; staðfesta,affirm a judgmentstaðfesta ein dóm
affirmance	1váttan2staðfesting
affirmation	váttan, játtan; hátíðarlig váttan í staðin fyri eið
affirmative1	játtan,answer in the affirmativesvara játttandi;the answer is in the affirmativesvarið er játtandi;40 votes were in the affirmative40 atkvøddu fyri; 40 atkvøður vóru fyri
affirmative2	játtandi
affix1	(máll.)skoyti, affiks, forskoyti, prefiks, eftirskoyti, suffiks
affix2	1festa við, hefta uppá, leggja afturat, seta á, klistra (t.d.affix a stamp to the envelope)2affixone’s signature toskriva undir upp á, seta sína undirskrift undir
afflatus	guddómligur íblástur
afflict	gera harman(el.ringan), valda (einum) harm, plága, pína, tyngja;many of the evils which afflict society (eis.:)… sum samfelagið líður undir
afflicted	1sum syrgir sáran2sum er fyri vanlukku/sjúku/mótburði, plágaður (t.d.the sorely afflicted family)
affliction	1sorg, harmur2vanlukka, ólukka, plága (t.d.she lost her sight and is now learning to live with her affliction)3“pína”,to read his books is a veritable afflictionat lesa hansara bøkur er ein beinleiðis pína
afflictive	sum elvir sorg (líðingar)
affluence	1yvirflóð, ríkidømi2ørgrynni (t.d.of people; of words)
affluent1	tvørá, hjáá
affluent2	1ríkiligur, í yvirflóð2ríkur, múgvandi;the affluent societysamfelag við yvirflóð, vælferðarsamfelag;the affluent statevælferðarstaturin3sum rennur til (t.d.blood)
affluential	múgvandi; máttmikil
afflux	tilrensl (t.d.affluxof blood)
afforce	víðka við yrkiskønum limum (t.d.a jury; a court)
afforcement	víðkan
afford	1veita, geva (t.d.protection; the shed afforded little shelter; it afforded a beautiful sight),fremja, lata2seta tíð av til (t.d.he cannot afford the time to go therehann hevur ikki tíð at fara hagar;you can’t afford time for thattað hevur tú als ikki tíð til); seta pláss av,we can afford no space for footnotesvit hava ikki pláss til fótnotur3hava ráð til (t.d.we can’t afford (to buy) a motor car yet), loyva sær (t.d.he can afford (to do) it)
affordable	affordable pricerímiligur(el.hóskandi) prísur
afforest	gróðurseta við trøum, planta skóg
afforestation	1gróðurseting av trøum, gróðurseting av skógi2nýggj gróðurseting;afforestation companygróðursetingarfelag
affranchise	fría, loysa
affray	slagsmál, bardagi, at fara til hendurs, samanbrestur, hávi, ófriður;shooting affrayskotbardagi
affreight	leiga til farmaflutnings; ferma
affreightment	leigusáttmáli
affright1	ræðsla, skelkur, hvøkkur
affright2	ræða, skelka, hvøkka
affront1	firtni, sinnismunur
affront2	gera firtnan, misbjóða (e-m)
afghan1	(am.)ullteppi(t.d.at hava út yvir seg tá ein fær sær lúr)
Afghan2	afgani
Afghan3	afganskur; Afghan(hound)hundaslag úr eysturlondum
Afghanistan	(landafr.) Afganistan
aficionado	viðhaldsfólk, stuðul
afield	1úti á bønum2(ítrótt.)á vøllinum3(gl.)í hernað, á herferð4(far) afieldlangt av leið, langt av landi skotin (t.d.travel far afield; places as far afield as Guernsey)
afire	í loga, logandi,the house was afirehúsini stóðu í ljósum loga;set afireseta eld á
AFK	(st.) Away From Keyboard
A. F. L	(st.)American Federation of Labor; American Football League
